TM;Category;unknown;Quantity
2014-12-09T00:01:00.0000000;Delta;635,536,800,600,000,000.00000000;919
09-08-2012 12:01 AM;Lambda;6.348265926E+17;149
02-08-2016 12:01 AM;Sigma;6.359048646E+17;581
2018-07-23T00:01:00.0000000;Omega;636,679,008,600,000,000.00000000;437
2015-11-20 00:01:00;Epsilon;635835744600000000;813
2018-06-17T00:01:00.0000000;Kappa;636,647,904,600,000,000.00000000;477
02-22-2018 12:01 AM;Sigma;6.365485446E+17;551
2019-05-11 00:01:00;Beta;636931296600000000;314
2016-08-31 00:01:00;Omicron;636081984600000000;837
2018-05-10T00:01:00.0000000;Upsilon;636,615,072,600,000,000.00000000;336
2019-08-21 00:01:00;Tau;637019424600000000;480
12-02-2019 12:01 AM;Pi;6.371084166E+17;291
2016-01-29T00:02:00.0000000;Theta;635,896,225,200,000,000.00000000;138
2012-04-01 00:02:00;Nu;634688353200000000;782
2015-08-18T00:02:00.0000000;Nu;635,754,529,200,000,000.00000000;425
02-20-2018 12:01 AM;Beta;6.365468166E+17;394
2013-08-27 00:01:00;Beta;635131584600000000;511
12-30-2010 12:01 AM;Delta;6.342926406E+17;983
04-15-2012 12:01 AM;Eta;6.347004486E+17;954
08-08-2011 12:01 AM;Nu;6.344835846E+17;428
08-16-2013 12:01 AM;Psi;6.351220806E+17;561
2013-12-11T00:01:00.0000000;Chi;635,223,168,600,000,000.00000000;683
2019-05-22 00:01:00;Psi;636940800600000000;285
2010-06-03 00:01:00;Alpha;634111200600000000;872
07-26-2014 12:01 AM;Theta;6.354192966E+17;386
2018-04-06T00:01:00.0000000;Psi;636,585,696,600,000,000.00000000;505
2010-03-24T00:01:00.0000000;Pi;634,049,856,600,000,000.00000000;596
2013-04-17 00:01:00;Kappa;635017536600000000;216
2014-06-07 00:01:00;Omega;635376960600000000;66
2016-07-06 00:02:00;Nu;636033601200000000;670
12-06-2018 12:01 AM;Eta;6.367965126E+17;760
2016-06-19 00:01:00;Gamma;636018912600000000;514
09-27-2017 12:01 AM;Zeta;6.364206726E+17;982
2013-03-13T00:02:00.0000000;Pi;634,987,297,200,000,000.00000000;456
05-28-2016 12:01 AM;Kappa;6.359999046E+17;935
02-03-2012 12:01 AM;Xi;6.346382406E+17;752
2011-02-18 00:01:00;Tau;6.34336E+017;627
2010-01-12T00:01:00.0000000;Chi;633,988,512,600,000,000.00000000;897
2012-05-15 00:01:00;Tau;634726368600000000;35
03-21-2015 12:02 AM;Zeta;6.356249292E+17;373
2018-12-12 00:01:00;Zeta;636801696600000000;352
10-31-2012 12:01 AM;Iota;6.348723846E+17;809
2012-09-01 00:02:00;Nu;6.34821E+017;378
2014-06-28T00:02:00.0000000;Chi;635,395,105,200,000,000.00000000;989
04-23-2015 12:01 AM;Nu;6.356534406E+17;205
2017-06-18T00:02:00.0000000;Beta;636,333,409,200,000,000.00000000;991
05-06-2011 12:01 AM;Psi;6.344023686E+17;303
2012-07-26 00:01:00;Psi;634788576600000000;395
2011-09-05 00:01:00;Nu;6.34508E+017;309
2015-01-12 00:01:00;Eta;635566176600000000;429
2019-10-16T00:02:00.0000000;Kappa;637,067,809,200,000,000.00000000;225
01-14-2012 12:01 AM;Lambda;6.346209606E+17;928
2011-04-23 00:01:00;Chi;634391136600000000;462
2011-10-30 00:01:00;Zeta;6.34555E+017;90
2016-10-11 00:01:00;Chi;636117408600000000;379
2016-11-01 00:02:00;Sigma;6.36136E+017;333
2016-06-18 00:01:00;Omega;636018048600000000;316
01-27-2015 12:01 AM;Iota;6.355791366E+17;928
2010-04-26 00:01:00;Mu;634078368600000000;521
03-28-2017 12:01 AM;Gamma;6.362625606E+17;638
2014-12-05 00:01:00;Omega;635533344600000000;144
2012-05-31 00:01:00;Upsilon;634740192600000000;337
04-24-2015 12:02 AM;Upsilon;6.356543052E+17;303
2010-12-25 00:02:00;Kappa;6.34288E+017;864
2016-05-31 00:01:00;Eta;636002496600000000;763
2017-04-22 00:01:00;Nu;636284160600000000;546
02-07-2016 12:02 AM;Zeta;6.359040012E+17;429
02-07-2010 12:01 AM;Psi;6.340109766E+17;211
2011-01-10 00:02:00;Lambda;634302145200000000;789
12-12-2011 12:01 AM;Eta;6.345924486E+17;606
2018-03-03 00:01:00;Delta;636556320600000000;781
2016-07-15 00:01:00;Upsilon;6.36041E+017;636
2018-03-21 00:01:00;Phi;636571872600000000;511
2013-12-14 00:01:00;Pi;635225760600000000;518
2010-10-16 00:01:00;Lambda;6.34228E+017;414
2010-10-15 00:02:00;Upsilon;6.34227E+017;33
2017-07-29 00:01:00;Kappa;636368832600000000;588
04-02-2010 12:01 AM;Omega;6.340576326E+17;433
02-22-2011 12:01 AM;Phi;6.343392966E+17;539
2014-04-30 00:02:00;Omega;635344129200000000;732
02-05-2011 12:01 AM;Sigma;6.343246086E+17;285
2011-01-05 00:01:00;Phi;634297824600000000;23
2019-07-01T00:03:00.0000000;Mu;636,975,361,800,000,000.00000000;58
05-24-2017 12:01 AM;Psi;6.363118086E+17;950
2011-08-13T00:01:00.0000000;Epsilon;634,487,904,600,000,000.00000000;683
09-19-2014 12:01 AM;Kappa;6.354668166E+17;89
2017-09-14 00:01:00;Lambda;636409440600000000;835
2013-04-05 00:01:00;Tau;635007168600000000;946
2016-08-02 00:02:00;Epsilon;6.36057E+017;18
01-29-2013 12:03 AM;Beta;6.349501458E+17;227
2015-11-18T00:01:00.0000000;Iota;635,834,016,600,000,000.00000000;79
09-16-2010 12:01 AM;Xi;6.342019206E+17;461
2016-11-27 00:02:00;Gamma;636158017200000000;772
2011-05-02 00:03:00;Omicron;6.34399E+017;633
2013-11-20 00:02:00;Alpha;635205025200000000;608
2015-02-17 00:01:00;Theta;635597280600000000;87
2014-02-07 00:02:00;Beta;635273281200000000;291
2017-07-14 00:01:00;Iota;6.36356E+017;200
2019-08-07T00:02:00.0000000;Beta;637,007,329,200,000,000.00000000;104
08-23-2010 12:02 AM;Omega;6.341811852E+17;240
03-30-2017 12:02 AM;Iota;6.362642892E+17;449
2018-07-02T00:02:00.0000000;Tau;636,660,865,200,000,000.00000000;330
2014-07-15T00:02:00.0000000;Nu;635,409,793,200,000,000.00000000;824
09-01-2013 12:02 AM;Iota;6.351359052E+17;736
2011-03-21T00:01:00.0000000;Nu;634,362,624,600,000,000.00000000;206
06-06-2013 12:02 AM;Kappa;6.350607372E+17;217
11-21-2017 12:01 AM;Upsilon;6.364681926E+17;783
09-22-2018 12:02 AM;Rho;6.367317132E+17;426
05-04-2011 12:02 AM;Delta;6.344006412E+17;133
2016-02-17 00:02:00;Eta;635912641200000000;114
2012-04-10 00:01:00;Gamma;6.34696E+017;684
2012-07-02T00:03:00.0000000;Epsilon;634,767,841,800,000,000.00000000;973
2018-04-09 00:02:00;Delta;6.36588E+017;963
2016-09-07 00:02:00;Chi;6.36088E+017;477
2017-04-27 00:04:00;Pi;636288482400000000;307
2018-10-21 00:04:00;Phi;636756770400000000;199
2011-11-29T00:02:00.0000000;Alpha;634,581,217,200,000,000.00000000;932
2015-07-30T00:02:00.0000000;Phi;635,738,113,200,000,000.00000000;164
09-28-2016 12:02 AM;Upsilon;6.361061772E+17;964
2010-04-25 00:01:00;Upsilon;634077504600000000;738
2010-05-17T00:02:00.0000000;Tau;634,096,513,200,000,000.00000000;947
08-19-2013 12:01 AM;Theta;6.351246726E+17;774
2015-10-10T00:02:00.0000000;Alpha;635,800,321,200,000,000.00000000;857
2016-09-08 00:02:00;Nu;6.36089E+017;761
12-06-2017 12:02 AM;Pi;6.364811532E+17;912
2017-02-09T00:03:00.0000000;Omega;636,221,953,800,000,000.00000000;56
07-15-2018 12:01 AM;Delta;6.366720966E+17;463
2019-03-31 00:01:00;Mu;636895872600000000;723
2013-10-04 00:02:00;Tau;6.35164E+017;263
2018-03-16T00:02:00.0000000;Alpha;636,567,553,200,000,000.00000000;665
2010-08-03 00:02:00;Delta;6.34164E+017;891
2016-06-03 00:04:00;Eta;636005090400000000;787
2014-12-06T00:03:00.0000000;Omega;635,534,209,800,000,000.00000000;907
2011-04-30 00:01:00;Epsilon;634397184600000000;240
2018-11-10 00:03:00;Lambda;636774049800000000;783
09-29-2016 12:02 AM;Beta;6.361070412E+17;262
08-10-2015 12:03 AM;Phi;6.357476178E+17;924
10-10-2018 12:02 AM;Omicron;6.367472652E+17;415
2010-12-25 00:02:00;Omicron;6.34288E+017;650
2014-10-18 00:02:00;Zeta;635491873200000000;86
11-11-2015 12:03 AM;Sigma;6.358279698E+17;231
2018-05-06 00:02:00;Rho;636611617200000000;886
2016-12-02T00:01:00.0000000;Kappa;636,162,336,600,000,000.00000000;708
08-07-2010 12:02 AM;Chi;6.341673612E+17;11
11-18-2012 12:01 AM;Gamma;6.348879366E+17;126
2018-08-26T00:03:00.0000000;Alpha;636,708,385,800,000,000.00000000;945
2019-02-05T00:02:00.0000000;Phi;636,849,217,200,000,000.00000000;992
2018-09-17 00:02:00;Nu;636727393200000000;299
2016-03-20 00:02:00;Lambda;635940289200000000;992
2019-06-29T00:03:00.0000000;Nu;636,973,633,800,000,000.00000000;460
2015-05-26 00:01:00;Pi;6.35682E+017;881
03-28-2012 12:01 AM;Omicron;6.346848966E+17;296
2013-03-31T00:04:00.0000000;Eta;635,002,850,400,000,000.00000000;918
11-05-2016 12:02 AM;Mu;6.361390092E+17;772
2015-04-09 00:02:00;Psi;635641345200000000;457
2014-12-27 00:03:00;Zeta;635552353800000000;353
2013-05-04 00:01:00;Theta;635032224600000000;517
2015-01-12T00:02:00.0000000;Eta;635,566,177,200,000,000.00000000;197
2010-12-22T00:01:00.0000000;Kappa;634,285,728,600,000,000.00000000;723
2017-04-23 00:02:00;Zeta;636285025200000000;642
2019-07-26 00:02:00;Chi;6.36997E+017;635
12-05-2012 12:02 AM;Iota;6.349026252E+17;351
10-18-2010 12:01 AM;Chi;6.342295686E+17;155
2018-07-03T00:02:00.0000000;Tau;636,661,729,200,000,000.00000000;173
2013-07-17T00:03:00.0000000;Tau;635,096,161,800,000,000.00000000;249
2012-10-18 00:02:00;Delta;634861153200000000;883
2017-10-18 00:04:00;Omicron;636438818400000000;315
2018-11-24T00:03:00.0000000;Psi;636,786,145,800,000,000.00000000;368
06-19-2015 12:03 AM;Phi;6.357026898E+17;170
09-12-2017 12:02 AM;Omicron;6.364077132E+17;225
07-03-2010 12:01 AM;Kappa;6.341371206E+17;740
2019-04-08 00:01:00;Sigma;6.36903E+017;479
2017-11-29T00:02:00.0000000;Psi;636,475,105,200,000,000.00000000;614
2016-11-20 00:01:00;Gamma;6.36152E+017;369
2018-12-19 00:02:00;Beta;6.36808E+017;784
2017-01-28 00:02:00;Beta;636211585200000000;911
2013-09-14 00:02:00;Kappa;635147137200000000;258
05-20-2019 12:02 AM;Omega;6.369390732E+17;43
2017-03-18T00:02:00.0000000;Mu;636,253,921,200,000,000.00000000;283
07-03-2016 12:01 AM;Omega;6.360310086E+17;423
09-29-2016 12:03 AM;Alpha;6.361070418E+17;97
01-21-2015 12:04 AM;Omega;6.355739544E+17;828
2010-01-24 00:03:00;Delta;633998881800000000;121
2019-03-29 00:01:00;Iota;636894144600000000;96
04-30-2019 12:02 AM;Alpha;6.369217932E+17;771
2015-02-17T00:02:00.0000000;Beta;635,597,281,200,000,000.00000000;854
2010-05-02 00:02:00;Omega;634083553200000000;96
2019-09-12T00:02:00.0000000;Rho;637,038,433,200,000,000.00000000;183
2013-04-22 00:02:00;Omega;635021857200000000;604
05-24-2017 12:01 AM;Eta;6.363118086E+17;151
2017-09-15 00:02:00;Nu;636410305200000000;883
2019-05-30 00:04:00;Pi;6.36948E+017;253
2010-04-12 00:03:00;Tau;634066273800000000;41
06-28-2017 12:03 AM;Nu;6.363420498E+17;191
2014-11-04 00:02:00;Alpha;635506561200000000;304
2019-05-26 00:04:00;Kappa;636944258400000000;471
2016-03-07 00:02:00;Kappa;635929057200000000;164
2011-11-27 00:02:00;Tau;634579489200000000;9
2018-01-23 00:02:00;Beta;636522625200000000;409
06-24-2012 12:01 AM;Mu;6.347609286E+17;495
07-03-2015 12:02 AM;Nu;6.357147852E+17;249
2019-05-14 00:02:00;Kappa;6.36934E+017;0
2013-06-16 00:02:00;Phi;635069377200000000;530
05-07-2017 12:03 AM;Xi;6.362971218E+17;847
2011-05-15 00:04:00;Gamma;634410146400000000;957
06-10-2011 12:02 AM;Omega;6.344326092E+17;268
2015-12-24T00:01:00.0000000;Theta;635,865,120,600,000,000.00000000;99
2011-08-18 00:04:00;Omega;6.34492E+017;400
2014-12-25T00:04:00.0000000;Nu;635,550,626,400,000,000.00000000;724
02-06-2016 12:03 AM;Zeta;6.359031378E+17;16
2017-08-07 00:03:00;Phi;636376609800000000;201
2019-01-23 00:02:00;Pi;636837985200000000;80
2015-05-07 00:03:00;Nu;6.35666E+017;366
2018-07-01 00:02:00;Eta;636660001200000000;6
2011-08-27 00:02:00;Mu;634500001200000000;565
07-02-2016 12:02 AM;Rho;6.360301452E+17;322
02-07-2016 12:02 AM;Delta;6.359040012E+17;584
2010-09-20T00:02:00.0000000;Delta;634,205,377,200,000,000.00000000;352
2010-12-06 00:02:00;Tau;634271905200000000;207
2016-05-10 00:05:00;Sigma;635984355000000000;827
2019-05-23T00:03:00.0000000;Chi;636,941,665,800,000,000.00000000;27
2014-08-09 00:03:00;Chi;6.35431E+017;184
2019-03-01 00:02:00;Gamma;6.36870E+017;581
10-19-2015 12:03 AM;Eta;6.358080978E+17;835
2016-08-10 00:04:00;Gamma;636063842400000000;278
2015-06-23 00:02:00;Eta;635706145200000000;413
2015-12-09 00:03:00;Theta;6.35852E+017;912
2010-12-03 00:03:00;Rho;634269313800000000;111
09-11-2016 12:01 AM;Omega;6.360914886E+17;927
2019-08-08 00:02:00;Iota;637008193200000000;417
2010-11-28 00:02:00;Lambda;634264993200000000;615
03-13-2011 12:04 AM;Omega;6.343557144E+17;291
2019-04-05 00:04:00;Eta;6.36900E+017;53
2011-07-09 00:03:00;Kappa;634457665800000000;859
2018-12-27 00:03:00;Rho;636814657800000000;921
2015-10-25 00:03:00;Kappa;635813281800000000;853
2015-06-28 00:02:00;Epsilon;635710465200000000;305
2011-10-09 00:04:00;Beta;6.34537E+017;884
12-14-2015 12:04 AM;Rho;6.358564824E+17;816
07-05-2015 12:04 AM;Kappa;6.357165144E+17;317
2014-04-18 00:04:00;Mu;635333762400000000;181
2014-08-03 00:04:00;Sigma;635426210400000000;804
2015-06-24T00:02:00.0000000;Kappa;635,707,009,200,000,000.00000000;193
11-23-2015 12:04 AM;Zeta;6.358383384E+17;205
2013-05-21 00:03:00;Alpha;635046913800000000;988
2017-05-29T00:04:00.0000000;Zeta;636,316,130,400,000,000.00000000;55
2014-09-05T00:06:00.0000000;Rho;635,454,723,600,000,000.00000000;776
