TM;Category;unknown;Quantity
2018-08-28T00:01:00.0000000;Chi;636,710,112,600,000,000.00000000;897
2012-08-29 00:01:00;Theta;634817952600000000;269
12-31-2016 12:01 AM;Phi;6.361873926E+17;109
2017-01-25T00:01:00.0000000;Nu;636,208,992,600,000,000.00000000;239
10-11-2018 12:01 AM;Chi;6.367481286E+17;76
06-25-2019 12:01 AM;Omega;6.369701766E+17;871
2016-05-22 00:01:00;Zeta;6.35995E+017;584
2018-01-05T00:01:00.0000000;Lambda;636,507,072,600,000,000.00000000;258
2017-09-23 00:01:00;Alpha;6.36417E+017;706
2016-04-13 00:01:00;Psi;635961024600000000;475
2018-04-21 00:01:00;Omicron;636598656600000000;127
12-17-2014 12:01 AM;Delta;6.355437126E+17;974
2012-08-28T00:01:00.0000000;Eta;634,817,088,600,000,000.00000000;987
02-16-2013 12:01 AM;Phi;6.349656966E+17;644
2015-06-07T00:01:00.0000000;Epsilon;635,692,320,600,000,000.00000000;64
2016-07-14 00:01:00;Zeta;636040512600000000;268
02-11-2015 12:01 AM;Iota;6.355920966E+17;847
05-01-2019 12:01 AM;Gamma;6.369226566E+17;348
2010-12-27 00:01:00;Zeta;6.34290E+017;291
2019-04-22 00:01:00;Chi;636914880600000000;235
2015-05-01T00:01:00.0000000;Lambda;635,660,352,600,000,000.00000000;801
2019-01-26 00:01:00;Phi;6.36841E+017;853
2017-03-18 00:01:00;Eta;636253920600000000;591
10-01-2011 12:01 AM;Pi;6.345302406E+17;163
2014-03-11T00:01:00.0000000;Omega;635,300,928,600,000,000.00000000;189
10-17-2016 12:03 AM;Beta;6.361225938E+17;874
11-17-2018 12:01 AM;Kappa;6.367800966E+17;257
2017-09-21 00:01:00;Sigma;636415488600000000;669
08-14-2014 12:01 AM;Delta;6.354357126E+17;17
2011-10-12 00:01:00;Epsilon;6.34540E+017;70
2011-02-13T00:01:00.0000000;Lambda;634,331,520,600,000,000.00000000;114
01-16-2012 12:01 AM;Chi;6.346226886E+17;818
2011-12-20 00:01:00;Pi;634599360600000000;417
2016-04-08 00:01:00;Phi;635956704600000000;120
07-01-2016 12:02 AM;Omega;6.360292812E+17;37
2014-06-30 00:01:00;Zeta;635396832600000000;333
06-03-2013 12:01 AM;Nu;6.350581446E+17;253
04-11-2014 12:01 AM;Delta;6.353277126E+17;539
2016-04-12 00:01:00;Epsilon;635960160600000000;21
2017-11-09T00:02:00.0000000;Iota;636,457,825,200,000,000.00000000;440
2016-04-12 00:01:00;Zeta;635960160600000000;587
12-19-2015 12:01 AM;Sigma;6.358608006E+17;748
2013-06-09 00:01:00;Upsilon;635063328600000000;638
07-02-2010 12:01 AM;Chi;6.341362566E+17;844
2013-05-03 00:02:00;Psi;635031361200000000;473
2015-12-12 00:01:00;Mu;6.35855E+017;258
2011-09-16T00:03:00.0000000;Zeta;634,517,281,800,000,000.00000000;363
2017-08-26 00:01:00;Sigma;636393024600000000;841
2011-03-18 00:02:00;Chi;634360033200000000;697
2013-12-28T00:02:00.0000000;Alpha;635,237,857,200,000,000.00000000;987
09-09-2017 12:02 AM;Gamma;6.364051212E+17;579
2015-04-30 00:01:00;Omega;635659488600000000;464
2012-02-26 00:01:00;Iota;634658112600000000;774
2018-09-17 00:02:00;Phi;636727393200000000;252
2015-06-13 00:02:00;Lambda;6.35698E+017;572
09-12-2010 12:02 AM;Mu;6.341984652E+17;443
2017-09-22 00:01:00;Omicron;6.36416E+017;540
11-26-2015 12:01 AM;Kappa;6.358409286E+17;755
2012-10-06 00:01:00;Eta;634850784600000000;512
2015-11-17T00:02:00.0000000;Lambda;635,833,153,200,000,000.00000000;664
2011-10-14 00:01:00;Beta;6.34541E+017;255
09-24-2013 12:01 AM;Phi;6.351557766E+17;45
12-05-2019 12:01 AM;Nu;6.371110086E+17;881
2015-10-26 00:01:00;Omicron;635814144600000000;650
2017-07-23 00:01:00;Chi;636363648600000000;239
2018-07-27 00:01:00;Iota;6.36682E+017;724
2014-05-27 00:02:00;Omega;6.35367E+017;69
02-01-2019 12:01 AM;Psi;6.368457606E+17;855
2019-09-14 00:01:00;Theta;637040160600000000;261
11-16-2019 12:01 AM;Epsilon;6.370945926E+17;116
2016-03-27 00:02:00;Psi;6.35946E+017;541
2017-02-18 00:01:00;Alpha;6.36230E+017;715
05-06-2016 12:01 AM;Omicron;6.359808966E+17;300
2011-10-31 00:01:00;Chi;6.34556E+017;784
2011-07-24T00:02:00.0000000;Epsilon;634,470,625,200,000,000.00000000;632
09-21-2019 12:01 AM;Sigma;6.370462086E+17;131
2011-03-24 00:01:00;Pi;634365216600000000;933
07-24-2014 12:03 AM;Tau;6.354175698E+17;319
2018-07-02 00:01:00;Sigma;636660864600000000;233
2012-11-23 00:02:00;Xi;634892257200000000;359
08-06-2016 12:02 AM;Mu;6.360603852E+17;831
2019-04-07 00:03:00;Chi;6.36902E+017;569
06-25-2013 12:02 AM;Sigma;6.350771532E+17;986
01-23-2010 12:02 AM;Rho;6.339980172E+17;644
04-15-2019 12:01 AM;Xi;6.369088326E+17;251
2013-03-18 00:02:00;Alpha;634991617200000000;387
12-26-2012 12:02 AM;Mu;6.349207692E+17;66
2016-01-26 00:02:00;Pi;635893633200000000;658
12-14-2016 12:02 AM;Epsilon;6.361727052E+17;957
2017-08-31T00:01:00.0000000;Nu;636,397,344,600,000,000.00000000;44
02-03-2017 12:02 AM;Pi;6.362167692E+17;634
2012-03-03 00:02:00;Xi;634663297200000000;502
01-26-2014 12:01 AM;Gamma;6.352629126E+17;836
2015-10-07 00:02:00;Mu;635797729200000000;727
12-23-2018 12:01 AM;Mu;6.368112006E+17;283
2012-08-12 00:02:00;Kappa;634803265200000000;112
2016-03-07 00:01:00;Rho;635929056600000000;827
05-29-2016 12:01 AM;Eta;6.360007686E+17;582
2011-07-06 00:01:00;Tau;634455072600000000;958
09-02-2019 12:02 AM;Sigma;6.370297932E+17;472
2016-07-28T00:02:00.0000000;Upsilon;636,052,609,200,000,000.00000000;834
2018-09-30 00:02:00;Epsilon;636738625200000000;674
2010-12-20T00:02:00.0000000;Eta;634,284,001,200,000,000.00000000;547
12-09-2017 12:02 AM;Gamma;6.364837452E+17;809
02-19-2011 12:03 AM;Nu;6.343367058E+17;804
2010-10-28T00:02:00.0000000;Nu;634,238,209,200,000,000.00000000;395
09-29-2011 12:02 AM;Xi;6.345285132E+17;11
2017-03-03 00:02:00;Chi;636240961200000000;557
04-30-2012 12:03 AM;Omega;6.347134098E+17;254
2018-01-19 00:01:00;Alpha;636519168600000000;435
04-16-2011 12:02 AM;Iota;6.343850892E+17;449
04-21-2016 12:03 AM;Tau;6.359679378E+17;727
2016-12-17 00:02:00;Gamma;636175297200000000;53
2017-04-22 00:02:00;Beta;636284161200000000;966
2013-10-16 00:01:00;Psi;635174784600000000;218
2017-10-07 00:02:00;Omicron;636429313200000000;187
2015-04-08 00:03:00;Psi;635640481800000000;473
2010-08-20 00:01:00;Pi;634178592600000000;340
2019-09-12T00:02:00.0000000;Zeta;637,038,433,200,000,000.00000000;375
2018-11-25T00:02:00.0000000;Xi;636,787,009,200,000,000.00000000;173
2014-01-12 00:01:00;Beta;635250816600000000;609
2018-12-17 00:02:00;Kappa;636806017200000000;894
2017-10-05T00:02:00.0000000;Xi;636,427,585,200,000,000.00000000;838
2015-06-24T00:03:00.0000000;Rho;635,707,009,800,000,000.00000000;578
2013-09-30T00:02:00.0000000;Rho;635,160,961,200,000,000.00000000;964
2016-11-16 00:02:00;Iota;636148513200000000;342
2018-04-11 00:02:00;Kappa;6.36590E+017;372
2019-11-21T00:02:00.0000000;Alpha;637,098,913,200,000,000.00000000;930
2019-12-29T00:02:00.0000000;Chi;637,131,745,200,000,000.00000000;226
2010-10-11 00:02:00;Theta;634223521200000000;782
2018-09-30 00:02:00;Sigma;636738625200000000;775
2014-02-09 00:02:00;Zeta;6.35275E+017;833
2014-01-23 00:02:00;Delta;6.35260E+017;999
2017-04-10 00:01:00;Mu;636273792600000000;405
2010-04-27 00:01:00;Rho;634079232600000000;136
2012-01-19 00:02:00;Xi;634625281200000000;255
2016-08-20 00:02:00;Omega;6.36072E+017;352
08-08-2015 12:03 AM;Alpha;6.357458898E+17;528
2018-10-01T00:04:00.0000000;Nu;636,739,490,400,000,000.00000000;41
04-23-2015 12:01 AM;Eta;6.356534406E+17;956
08-09-2015 12:02 AM;Kappa;6.357467532E+17;118
2011-11-13 00:02:00;Nu;634567393200000000;550
10-03-2010 12:02 AM;Xi;6.342166092E+17;765
2019-01-18T00:02:00.0000000;Sigma;636,833,665,200,000,000.00000000;89
2018-03-14 00:03:00;Rho;636565825800000000;438
2011-06-03 00:02:00;Iota;634426561200000000;384
2012-02-26 00:01:00;Delta;634658112600000000;603
04-15-2011 12:03 AM;Theta;6.343842258E+17;740
2011-07-21 00:02:00;Gamma;634468033200000000;639
2017-09-14 00:02:00;Chi;636409441200000000;391
2016-09-23 00:03:00;Tau;636101857800000000;117
2010-11-04 00:01:00;Sigma;6.34244E+017;172
2013-10-04 00:02:00;Rho;6.35164E+017;632
04-16-2012 12:03 AM;Psi;6.347013138E+17;918
2013-06-11T00:02:00.0000000;Chi;635,065,057,200,000,000.00000000;533
04-09-2015 12:01 AM;Mu;6.356413446E+17;51
05-27-2010 12:02 AM;Iota;6.341051532E+17;449
2010-07-27T00:02:00.0000000;Beta;634,157,857,200,000,000.00000000;395
2016-12-02 00:03:00;Zeta;636162337800000000;503
12-07-2018 12:02 AM;Omicron;6.367973772E+17;410
2013-04-02T00:02:00.0000000;Pi;635,004,577,200,000,000.00000000;598
2018-07-08 00:01:00;Upsilon;636666048600000000;401
10-17-2016 12:03 AM;Upsilon;6.361225938E+17;39
11-23-2016 12:01 AM;Sigma;6.361545606E+17;123
03-31-2010 12:04 AM;Upsilon;6.340559064E+17;485
2016-08-20 00:03:00;Nu;6.36072E+017;520
2013-11-02T00:03:00.0000000;Lambda;635,189,473,800,000,000.00000000;851
2011-02-15 00:02:00;Iota;634333249200000000;334
2014-01-14 00:01:00;Rho;635252544600000000;684
2012-12-30T00:04:00.0000000;Alpha;634,924,226,400,000,000.00000000;925
2013-05-08T00:02:00.0000000;Pi;635,035,681,200,000,000.00000000;321
11-02-2017 12:03 AM;Epsilon;6.364517778E+17;513
2016-12-17T00:03:00.0000000;Omega;636,175,297,800,000,000.00000000;648
2013-11-25 00:01:00;Rho;635209344600000000;446
2019-09-09T00:03:00.0000000;Beta;637,035,841,800,000,000.00000000;432
2016-08-12 00:01:00;Kappa;636065568600000000;74
2016-07-10 00:03:00;Omega;636037057800000000;863
10-09-2012 12:03 AM;Epsilon;6.348533778E+17;482
2011-01-29 00:02:00;Nu;634318561200000000;700
03-24-2019 12:03 AM;Rho;6.368898258E+17;561
2018-08-11 00:03:00;Pi;636695425800000000;449
2018-04-09 00:03:00;Tau;6.36588E+017;877
02-19-2018 12:03 AM;Eta;6.365459538E+17;215
2019-06-19 00:01:00;Rho;6.36965E+017;819
2016-01-24 00:03:00;Omicron;635891905800000000;236
08-18-2013 12:02 AM;Iota;6.351238092E+17;207
2013-11-08 00:03:00;Eta;6.35195E+017;364
2018-06-20 00:02:00;Upsilon;6.36650E+017;883
2013-05-11 00:02:00;Psi;635038273200000000;227
12-07-2018 12:02 AM;Delta;6.367973772E+17;954
2017-08-29T00:02:00.0000000;Gamma;636,395,617,200,000,000.00000000;124
2015-09-05 00:04:00;Eta;635770082400000000;104
12-11-2010 12:01 AM;Eta;6.342762246E+17;417
11-22-2010 12:03 AM;Phi;6.342598098E+17;704
2010-12-02T00:02:00.0000000;Chi;634,268,449,200,000,000.00000000;162
2015-03-03 00:04:00;Kappa;635609378400000000;382
06-26-2018 12:02 AM;Kappa;6.366556812E+17;414
12-11-2017 12:02 AM;Tau;6.364854732E+17;720
2019-05-21 00:03:00;Pi;636939937800000000;626
2010-11-18 00:03:00;Mu;6.34256E+017;930
2019-03-17 00:03:00;Sigma;636883777800000000;640
2013-11-07 00:02:00;Lambda;635193793200000000;523
12-20-2018 12:03 AM;Pi;6.368086098E+17;957
04-29-2019 12:01 AM;Eta;6.369209286E+17;68
2019-05-23T00:04:00.0000000;Epsilon;636,941,666,400,000,000.00000000;468
02-19-2012 12:03 AM;Delta;6.346520658E+17;309
2011-10-28 00:01:00;Zeta;634553568600000000;513
2014-12-23 00:03:00;Gamma;635548897800000000;321
2014-06-10T00:02:00.0000000;Upsilon;635,379,553,200,000,000.00000000;834
11-22-2016 12:05 AM;Eta;6.36153699E+17;680
2019-09-14 00:02:00;Psi;637040161200000000;518
12-17-2014 12:03 AM;Eta;6.355437138E+17;966
2019-01-25 00:02:00;Psi;6.36840E+017;916
11-23-2010 12:03 AM;Eta;6.342606738E+17;271
09-18-2015 12:02 AM;Phi;6.357813132E+17;582
2011-08-17 00:02:00;Rho;6.34491E+017;672
2013-05-21 00:03:00;Xi;635046913800000000;947
07-16-2016 12:03 AM;Beta;6.360422418E+17;203
2011-08-28 00:03:00;Xi;634500865800000000;587
2018-12-02 00:02:00;Sigma;6.36793E+017;52
2013-09-13 00:02:00;Psi;635146273200000000;748
12-04-2018 12:03 AM;Gamma;6.367947858E+17;869
2011-07-23 00:01:00;Nu;634469760600000000;196
03-09-2018 12:03 AM;Chi;6.365615058E+17;50
01-20-2015 12:03 AM;Sigma;6.355730898E+17;451
2017-01-24T00:03:00.0000000;Eta;636,208,129,800,000,000.00000000;68
2018-12-09 00:04:00;Nu;636799106400000000;673
2011-06-21 00:04:00;Tau;634442114400000000;786
06-25-2019 12:03 AM;Lambda;6.369701778E+17;580
05-02-2012 12:04 AM;Tau;6.347151384E+17;229
2012-08-09T00:03:00.0000000;Gamma;634,800,673,800,000,000.00000000;113
2012-09-02 00:03:00;Nu;6.34821E+017;250
2011-12-04 00:04:00;Sigma;6.34586E+017;1
2014-02-25 00:03:00;Rho;6.35289E+017;750
2012-03-31 00:02:00;Delta;634687489200000000;681
2015-06-25T00:02:00.0000000;Omicron;635,707,873,200,000,000.00000000;671
2011-01-12 00:01:00;Chi;634303872600000000;377
2014-06-07 00:01:00;Theta;635376960600000000;683
2014-11-06 00:04:00;Nu;6.35508E+017;816
01-06-2019 12:05 AM;Rho;6.36823299E+17;410
2010-05-02 00:01:00;Pi;634083552600000000;807
2019-08-23T00:04:00.0000000;Pi;637,021,154,400,000,000.00000000;236
2019-10-03 00:02:00;Iota;637056577200000000;361
2017-10-18 00:03:00;Epsilon;636438817800000000;942
2010-09-16 00:03:00;Eta;634201921800000000;930
10-04-2015 12:02 AM;Chi;6.357951372E+17;863
2012-09-17 00:04:00;Beta;6.34834E+017;39
2013-07-23 00:03:00;Iota;6.35101E+017;272
2011-06-19 00:05:00;Epsilon;634440387000000000;753
06-28-2016 12:04 AM;Epsilon;6.360266904E+17;742
2018-04-06 00:06:00;Theta;6.36586E+017;455
08-16-2012 12:03 AM;Lambda;6.348067218E+17;591
03-24-2019 12:02 AM;Chi;6.368898252E+17;579
