TM;Category;unknown;Quantity
03-16-2011 12:01 AM;Mu;6.343583046E+17;190
12-01-2013 12:01 AM;Phi;6.352145286E+17;110
02-06-2011 12:01 AM;Lambda;6.343254726E+17;967
2013-11-12 00:01:00;Pi;6.35198E+017;867
06-26-2013 12:01 AM;Theta;6.350780166E+17;952
2019-10-01T00:01:00.0000000;Omega;637,054,848,600,000,000.00000000;33
2013-01-24 00:01:00;Omega;6.34946E+017;808
2019-03-04 00:01:00;Psi;6.36873E+017;507
06-23-2014 12:01 AM;Xi;6.353907846E+17;914
2015-12-08 00:02:00;Chi;635851297200000000;410
2019-10-07 00:01:00;Theta;6.37060E+017;274
2018-01-22T00:01:00.0000000;Beta;636,521,760,600,000,000.00000000;910
2016-01-18 00:01:00;Lambda;6.35887E+017;670
03-09-2019 12:01 AM;Eta;6.368768646E+17;695
2016-09-03T00:01:00.0000000;Tau;636,084,576,600,000,000.00000000;210
2017-07-26 00:02:00;Nu;636366241200000000;477
08-15-2019 12:01 AM;Nu;6.370142406E+17;65
2015-03-12 00:02:00;Alpha;635617153200000000;563
2010-04-16 00:01:00;Iota;6.34070E+017;556
2018-06-02 00:01:00;Iota;636634944600000000;630
2018-11-22 00:01:00;Nu;636784416600000000;408
2012-06-14 00:01:00;Nu;634752288600000000;655
2017-07-30 00:01:00;Epsilon;6.36370E+017;431
2013-03-20 00:01:00;Theta;6.34993E+017;245
2017-01-28 00:02:00;Iota;636211585200000000;202
2017-06-06 00:01:00;Nu;6.36323E+017;744
2017-05-11 00:02:00;Theta;636300577200000000;597
2011-11-27 00:01:00;Omega;634579488600000000;314
2012-04-22T00:01:00.0000000;Eta;634,706,496,600,000,000.00000000;151
2014-12-26T00:01:00.0000000;Xi;635,551,488,600,000,000.00000000;455
2017-05-13T00:02:00.0000000;Theta;636,302,305,200,000,000.00000000;289
2016-03-09 00:01:00;Zeta;635930784600000000;150
2016-11-12 00:01:00;Beta;636145056600000000;817
2015-01-16 00:01:00;Psi;635569632600000000;838
2011-11-19 00:01:00;Omega;6.34573E+017;392
2011-04-27T00:02:00.0000000;Chi;634,394,593,200,000,000.00000000;918
2018-02-23 00:01:00;Beta;636549408600000000;892
11-26-2015 12:01 AM;Delta;6.358409286E+17;230
2012-07-20 00:01:00;Mu;634783392600000000;345
05-31-2015 12:01 AM;Iota;6.356862726E+17;638
2013-11-27 00:01:00;Gamma;635211072600000000;991
2013-01-15 00:03:00;Gamma;634938049800000000;656
11-11-2015 12:01 AM;Phi;6.358279686E+17;15
2014-03-29T00:01:00.0000000;Beta;635,316,480,600,000,000.00000000;541
03-27-2013 12:01 AM;Alpha;6.349993926E+17;159
