TM;Category;unknown;Quantity
2018-09-22 00:01:00;Omicron;6.36732E+017;718
2018-11-06 00:01:00;Alpha;636770592600000000;720
10-07-2014 12:01 AM;Pi;6.354823686E+17;651
2014-08-01 00:01:00;Tau;635424480600000000;434
08-24-2010 12:01 AM;Eta;6.341820486E+17;413
2013-03-18 00:01:00;Zeta;634991616600000000;941
2016-02-21 00:01:00;Lambda;6.35916E+017;220
2013-02-09 00:01:00;Iota;634959648600000000;442
05-09-2010 12:01 AM;Rho;6.340896006E+17;887
2019-02-08 00:01:00;Alpha;636851808600000000;128
2012-03-24 00:01:00;Rho;6.34681E+017;675
2019-08-22 00:01:00;Zeta;637020288600000000;742
2016-07-08 00:01:00;Lambda;636035328600000000;613
09-27-2017 12:01 AM;Iota;6.364206726E+17;901
2014-11-25 00:01:00;Epsilon;6.35525E+017;404
2015-08-24 00:01:00;Alpha;6.35760E+017;651
2011-11-09 00:01:00;Pi;634563936600000000;420
02-08-2011 12:01 AM;Theta;6.343272006E+17;597
2015-09-27 00:01:00;Beta;635789088600000000;463
03-24-2019 12:01 AM;Iota;6.368898246E+17;40
2014-09-05 00:01:00;Beta;635454720600000000;200
02-01-2013 12:01 AM;Kappa;6.349527366E+17;211
2012-11-22 00:01:00;Gamma;634891392600000000;984
2018-11-12 00:02:00;Eta;6.36776E+017;107
05-25-2017 12:01 AM;Chi;6.363126726E+17;916
2010-08-05 00:01:00;Lambda;6.34166E+017;704
2010-02-16T00:01:00.0000000;Epsilon;634,018,752,600,000,000.00000000;320
2013-07-02T00:01:00.0000000;Omega;635,083,200,600,000,000.00000000;670
2012-06-17T00:01:00.0000000;Beta;634,754,880,600,000,000.00000000;806
2018-10-24 00:01:00;Tau;636759360600000000;210
04-26-2015 12:01 AM;Omega;6.356560326E+17;726
06-04-2014 12:01 AM;Epsilon;6.353743686E+17;110
2017-03-23 00:02:00;Omega;636258241200000000;594
2019-10-14 00:02:00;Omicron;637066081200000000;443
10-03-2016 12:01 AM;Omega;6.361104966E+17;621
04-29-2013 12:01 AM;Tau;6.350279046E+17;200
2018-12-13T00:01:00.0000000;Gamma;636,802,560,600,000,000.00000000;275
12-27-2011 12:01 AM;Theta;6.346054086E+17;771
2017-11-15 00:02:00;Mu;6.36463E+017;649
2010-08-15T00:01:00.0000000;Xi;634,174,272,600,000,000.00000000;580
2013-06-29 00:01:00;Pi;635080608600000000;704
2017-10-25T00:01:00.0000000;Gamma;636,444,864,600,000,000.00000000;103
2011-07-11 00:02:00;Epsilon;634459393200000000;258
04-01-2011 12:02 AM;Omega;6.343721292E+17;101
06-02-2015 12:02 AM;Pi;6.356880012E+17;248
11-04-2016 12:01 AM;Omega;6.361381446E+17;460
08-09-2015 12:01 AM;Gamma;6.357467526E+17;997
2013-10-31 00:02:00;Xi;635187745200000000;844
2011-06-05 00:01:00;Omega;634428288600000000;337
2016-02-02 00:02:00;Delta;6.35900E+017;992
12-18-2014 12:02 AM;Pi;6.355445772E+17;950
10-08-2019 12:02 AM;Theta;6.370608972E+17;2
2018-06-16T00:02:00.0000000;Nu;636,647,041,200,000,000.00000000;702
