TM;Category;unknown;Quantity
2016-06-10 00:01:00;Phi;6.36011E+017;952
2010-01-11T00:01:00.0000000;Beta;633,987,648,600,000,000.00000000;965
07-29-2013 12:01 AM;Nu;6.351065286E+17;640
2014-10-13 00:01:00;Delta;635487552600000000;492
2019-02-09 00:01:00;Gamma;636852672600000000;922
2013-09-30T00:01:00.0000000;Eta;635,160,960,600,000,000.00000000;748
2012-10-07 00:01:00;Kappa;634851648600000000;712
2016-12-23 00:01:00;Lambda;636180480600000000;838
12-16-2015 12:01 AM;Alpha;6.358582086E+17;148
12-04-2019 12:01 AM;Xi;6.371101446E+17;80
2012-01-22T00:01:00.0000000;Beta;634,627,872,600,000,000.00000000;940
2013-08-10 00:01:00;Zeta;635116896600000000;752
2013-06-20 00:01:00;Xi;6.35073E+017;158
10-12-2018 12:01 AM;Eta;6.367489926E+17;644
2018-12-02 00:01:00;Omega;6.36793E+017;39
04-09-2014 12:01 AM;Beta;6.353259846E+17;962
04-12-2013 12:01 AM;Omega;6.350132166E+17;381
2013-10-19T00:01:00.0000000;Delta;635,177,376,600,000,000.00000000;46
2016-04-27T00:01:00.0000000;Alpha;635,973,120,600,000,000.00000000;950
2010-03-11 00:01:00;Beta;6.34039E+017;179
2013-01-04 00:02:00;Xi;634928545200000000;767
2016-05-24 00:01:00;Theta;6.35996E+017;998
2018-12-27 00:02:00;Upsilon;636814657200000000;659
2010-07-07 00:01:00;Sigma;634140576600000000;941
2018-06-04 00:02:00;Zeta;6.36637E+017;656
01-22-2010 12:01 AM;Delta;6.339971526E+17;50
2011-06-01T00:01:00.0000000;Alpha;634,424,832,600,000,000.00000000;270
06-04-2014 12:02 AM;Epsilon;6.353743692E+17;916
2018-01-01 00:01:00;Delta;636503616600000000;8
2018-10-20T00:02:00.0000000;Phi;636,755,905,200,000,000.00000000;375
2017-02-18 00:01:00;Rho;6.36230E+017;85
2019-04-25 00:01:00;Upsilon;6.36917E+017;95
2013-12-10T00:01:00.0000000;Beta;635,222,304,600,000,000.00000000;41
05-02-2012 12:03 AM;Chi;6.347151378E+17;221
2013-10-21 00:01:00;Sigma;635179104600000000;368
2012-03-22 00:01:00;Upsilon;634679712600000000;911
11-21-2011 12:01 AM;Omicron;6.345743046E+17;215
2012-06-21 00:02:00;Sigma;6.34758E+017;98
2012-03-20 00:01:00;Chi;634677984600000000;788
04-18-2018 12:01 AM;Chi;6.365960646E+17;510
2016-11-14T00:02:00.0000000;Theta;636,146,785,200,000,000.00000000;142
2014-03-17 00:02:00;Zeta;6.35306E+017;790
2010-04-27 00:01:00;Kappa;634079232600000000;73
05-19-2019 12:01 AM;Nu;6.369382086E+17;50
2014-02-25 00:02:00;Gamma;635288833200000000;560
2017-12-19 00:02:00;Delta;636492385200000000;269
2010-12-04T00:01:00.0000000;Chi;634,270,176,600,000,000.00000000;899
2013-12-15 00:01:00;Beta;635226624600000000;442
2010-03-03 00:01:00;Xi;634031712600000000;955
11-19-2017 12:01 AM;Psi;6.364664646E+17;953
2017-07-23 00:01:00;Mu;636363648600000000;915
2018-04-03T00:02:00.0000000;Sigma;636,583,105,200,000,000.00000000;579
2012-07-02T00:02:00.0000000;Eta;634,767,841,200,000,000.00000000;837
08-18-2013 12:02 AM;Chi;6.351238092E+17;176
2015-02-16T00:03:00.0000000;Phi;635,596,417,800,000,000.00000000;99
2015-03-26T00:03:00.0000000;Rho;635,629,249,800,000,000.00000000;301
2013-08-27 00:01:00;Phi;635131584600000000;89
2013-07-07 00:02:00;Kappa;6.35088E+017;804
2011-01-28 00:03:00;Psi;634317697800000000;590
2015-08-16 00:02:00;Pi;635752801200000000;15
05-11-2016 12:02 AM;Delta;6.359852172E+17;952
2013-03-28 00:02:00;Chi;635000257200000000;392
07-11-2012 12:02 AM;Phi;6.347756172E+17;466
2016-03-26 00:01:00;Epsilon;635945472600000000;934
2010-05-06 00:01:00;Kappa;6.34087E+017;264
2019-12-08 00:03:00;Tau;637113601800000000;964
2010-04-13 00:01:00;Nu;634067136600000000;841
2014-06-17 00:01:00;Rho;6.35386E+017;645
03-27-2019 12:02 AM;Rho;6.368924172E+17;501
2018-08-25 00:02:00;Phi;636707521200000000;132
2010-08-04 00:02:00;Iota;6.34165E+017;57
2013-09-16 00:01:00;Kappa;635148864600000000;540
02-03-2018 12:03 AM;Mu;6.365321298E+17;753
2012-07-22T00:01:00.0000000;Alpha;634,785,120,600,000,000.00000000;574
2011-07-07T00:03:00.0000000;Omicron;634,455,937,800,000,000.00000000;872
07-12-2012 12:02 AM;Kappa;6.347764812E+17;827
2017-11-11T00:02:00.0000000;Zeta;636,459,553,200,000,000.00000000;711
2015-01-10 00:01:00;Gamma;635564448600000000;447
2010-10-29 00:02:00;Delta;634239073200000000;839
10-16-2017 12:02 AM;Phi;6.364370892E+17;536
2015-08-21 00:01:00;Eta;635757120600000000;474
2018-11-06 00:01:00;Sigma;636770592600000000;472
2016-03-06 00:04:00;Omicron;635928194400000000;651
07-02-2010 12:01 AM;Phi;6.341362566E+17;877
2017-10-02 00:01:00;Chi;636424992600000000;690
2018-01-24 00:02:00;Psi;636523489200000000;596
2015-07-11 00:01:00;Gamma;635721696600000000;506
2019-01-23 00:02:00;Sigma;636837985200000000;584
2016-09-02 00:03:00;Psi;636083713800000000;181
05-09-2016 12:01 AM;Sigma;6.359834886E+17;242
2019-01-05 00:02:00;Mu;6.36822E+017;878
03-21-2014 12:03 AM;Theta;6.353095698E+17;895
2017-06-22 00:03:00;Omicron;6.36337E+017;334
2015-12-28 00:01:00;Tau;635868576600000000;970
2015-09-11 00:01:00;Theta;6.35775E+017;275
04-13-2019 12:02 AM;Mu;6.369071052E+17;182
2017-02-17 00:02:00;Zeta;6.36229E+017;16
07-29-2019 12:01 AM;Delta;6.369995526E+17;945
04-16-2012 12:03 AM;Gamma;6.347013138E+17;807
2019-10-23 00:01:00;Phi;6.37074E+017;382
03-21-2015 12:01 AM;Gamma;6.356249286E+17;252
09-04-2013 12:02 AM;Mu;6.351384972E+17;934
2013-10-15 00:02:00;Gamma;635173921200000000;704
2010-04-07 00:02:00;Upsilon;634061953200000000;157
2017-08-28 00:01:00;Delta;636394752600000000;380
2019-01-25 00:02:00;Pi;6.36840E+017;38
2017-06-25 00:01:00;Phi;6.36339E+017;402
03-26-2012 12:02 AM;Xi;6.346831692E+17;430
2017-04-05 00:01:00;Lambda;636269472600000000;631
2018-04-03T00:02:00.0000000;Nu;636,583,105,200,000,000.00000000;266
2012-02-13 00:03:00;Epsilon;634646881800000000;932
2018-07-18 00:02:00;Alpha;636674689200000000;490
08-17-2012 12:01 AM;Rho;6.348075846E+17;636
2019-05-13 00:02:00;Omega;6.36933E+017;83
2019-03-21 00:02:00;Iota;6.36887E+017;803
2013-02-19 00:03:00;Xi;634968289800000000;816
12-24-2012 12:01 AM;Gamma;6.349190406E+17;76
2018-10-17 00:01:00;Theta;636753312600000000;820
2015-01-10 00:01:00;Omega;635564448600000000;889
11-05-2016 12:04 AM;Phi;6.361390104E+17;961
2015-08-03 00:02:00;Mu;635741569200000000;182
06-12-2011 12:03 AM;Theta;6.344343378E+17;53
2016-05-19 00:03:00;Pi;635992129800000000;617
11-15-2012 12:02 AM;Theta;6.348853452E+17;370
2019-12-29T00:02:00.0000000;Mu;637,131,745,200,000,000.00000000;247
2015-04-16 00:02:00;Mu;635647393200000000;944
2012-11-25T00:01:00.0000000;Beta;634,893,984,600,000,000.00000000;537
03-25-2013 12:02 AM;Sigma;6.349976652E+17;297
2017-12-05 00:02:00;Zeta;6.36480E+017;54
2014-03-10T00:02:00.0000000;Psi;635,300,065,200,000,000.00000000;338
2016-09-18T00:03:00.0000000;Lambda;636,097,537,800,000,000.00000000;93
2018-01-25 00:01:00;Beta;636524352600000000;878
2010-11-18 00:03:00;Delta;6.34256E+017;626
2014-07-31 00:01:00;Theta;635423616600000000;88
07-12-2013 12:03 AM;Phi;6.350918418E+17;772
04-22-2010 12:02 AM;Theta;6.340749132E+17;468
2011-08-15 00:02:00;Iota;634489633200000000;477
2011-10-20 00:04:00;Theta;634546658400000000;339
2014-07-22 00:02:00;Sigma;6.35416E+017;342
2013-12-28T00:01:00.0000000;Phi;635,237,856,600,000,000.00000000;775
2011-04-08T00:03:00.0000000;Chi;634,378,177,800,000,000.00000000;881
2012-08-31 00:03:00;Xi;6.34820E+017;556
2014-06-23 00:04:00;Omicron;635390786400000000;401
2016-02-12 00:01:00;Theta;635908320600000000;847
2016-06-07 00:02:00;Kappa;636008545200000000;820
2014-06-24 00:01:00;Alpha;635391648600000000;271
06-12-2010 12:02 AM;Tau;6.341189772E+17;328
05-02-2019 12:01 AM;Delta;6.369235206E+17;542
2019-03-02 00:02:00;Epsilon;6.36871E+017;9
2010-10-09T00:02:00.0000000;Beta;634,221,793,200,000,000.00000000;811
2013-03-20 00:01:00;Omega;6.34993E+017;166
2011-06-23 00:02:00;Sigma;634443841200000000;273
2015-02-16 00:02:00;Kappa;635596417200000000;521
2018-12-09 00:02:00;Sigma;636799105200000000;144
2010-07-31 00:02:00;Phi;634161313200000000;863
08-05-2011 12:02 AM;Theta;6.344809932E+17;509
2013-04-05 00:02:00;Psi;635007169200000000;86
2010-10-23 00:03:00;Omicron;634233889800000000;330
11-01-2012 12:03 AM;Phi;6.348732498E+17;589
08-22-2017 12:02 AM;Mu;6.363895692E+17;195
2016-05-20 00:03:00;Xi;6.35993E+017;647
10-29-2018 12:01 AM;Gamma;6.367636806E+17;815
08-25-2011 12:02 AM;Gamma;6.344982732E+17;882
07-13-2012 12:03 AM;Theta;6.347773458E+17;102
2011-11-13 00:02:00;Xi;634567393200000000;418
2016-03-22T00:03:00.0000000;Chi;635,942,017,800,000,000.00000000;528
2010-02-14 00:01:00;Beta;634017024600000000;212
