TM;Category;unknown;Quantity
03-15-2010 12:01 AM;Zeta;6.340420806E+17;644
2012-05-10T00:01:00.0000000;Iota;634,722,048,600,000,000.00000000;15
2019-03-16T00:01:00.0000000;Xi;636,882,912,600,000,000.00000000;428
2013-02-04 00:01:00;Iota;634955328600000000;527
2017-02-09 00:01:00;Theta;636221952600000000;872
2011-11-27 00:01:00;Zeta;634579488600000000;38
2018-08-14 00:01:00;Alpha;6.36698E+017;241
2018-03-04 00:01:00;Nu;6.36557E+017;940
2018-11-30 00:01:00;Chi;636791328600000000;338
05-10-2010 12:01 AM;Pi;6.340904646E+17;447
04-05-2015 12:01 AM;Psi;6.356378886E+17;966
2016-03-01 00:01:00;Mu;635923872600000000;314
08-07-2016 12:01 AM;Tau;6.360612486E+17;99
2019-09-10 00:01:00;Zeta;637036704600000000;32
2015-05-20T00:01:00.0000000;Mu;635,676,768,600,000,000.00000000;829
2018-07-05T00:01:00.0000000;Tau;636,663,456,600,000,000.00000000;114
2013-03-30 00:01:00;Chi;635001984600000000;640
2014-01-05 00:01:00;Alpha;6.35245E+017;6
2013-03-18 00:01:00;Mu;634991616600000000;216
09-03-2013 12:02 AM;Epsilon;6.351376332E+17;675
2010-11-19 00:01:00;Omega;634257216600000000;202
2014-12-26T00:01:00.0000000;Omicron;635,551,488,600,000,000.00000000;852
2019-01-04 00:03:00;Phi;636821569800000000;927
2014-06-24 00:01:00;Sigma;635391648600000000;898
2018-10-06 00:01:00;Tau;636743808600000000;124
2017-04-12 00:01:00;Pi;6.36276E+017;431
12-01-2013 12:01 AM;Zeta;6.352145286E+17;7
2019-03-02 00:02:00;Zeta;6.36871E+017;573
2018-04-26 00:01:00;Lambda;636602976600000000;167
2014-06-30 00:01:00;Epsilon;635396832600000000;722
2011-06-01T00:01:00.0000000;Gamma;634,424,832,600,000,000.00000000;637
08-12-2014 12:01 AM;Rho;6.354339846E+17;925
06-12-2017 12:01 AM;Delta;6.363282246E+17;424
02-05-2011 12:01 AM;Iota;6.343246086E+17;858
2011-06-03T00:01:00.0000000;Psi;634,426,560,600,000,000.00000000;984
2012-01-07 00:01:00;Tau;634614912600000000;601
09-22-2019 12:02 AM;Alpha;6.370470732E+17;754
09-29-2011 12:03 AM;Iota;6.345285138E+17;668
2010-01-30 00:03:00;Rho;634004065800000000;186
12-29-2016 12:01 AM;Beta;6.361856646E+17;642
2019-01-06 00:01:00;Omicron;6.36823E+017;505
2014-04-05 00:01:00;Gamma;6.35323E+017;694
2016-07-30 00:01:00;Psi;636054336600000000;103
11-26-2016 12:02 AM;Rho;6.361571532E+17;891
12-11-2010 12:01 AM;Rho;6.342762246E+17;402
2015-12-06T00:01:00.0000000;Zeta;635,849,568,600,000,000.00000000;279
03-27-2019 12:01 AM;Pi;6.368924166E+17;561
03-14-2017 12:02 AM;Delta;6.362504652E+17;315
2010-08-16T00:01:00.0000000;Mu;634,175,136,600,000,000.00000000;283
12-10-2016 12:01 AM;Omega;6.361692486E+17;118
2019-04-07 00:02:00;Zeta;6.36902E+017;161
08-01-2019 12:01 AM;Sigma;6.370021446E+17;983
2011-05-19 00:01:00;Lambda;634413600600000000;19
2015-03-07 00:01:00;Eta;635612832600000000;478
07-22-2015 12:02 AM;Alpha;6.357312012E+17;428
09-06-2018 12:01 AM;Eta;6.367178886E+17;187
2010-12-24 00:01:00;Mu;634287456600000000;667
2015-05-02T00:01:00.0000000;Gamma;635,661,216,600,000,000.00000000;867
2014-11-17 00:01:00;Rho;635517792600000000;561
2011-11-12T00:02:00.0000000;Lambda;634,566,529,200,000,000.00000000;68
2014-10-17 00:01:00;Lambda;635491008600000000;589
12-15-2015 12:01 AM;Theta;6.358573446E+17;676
11-18-2019 12:01 AM;Gamma;6.370963206E+17;872
2016-01-26 00:01:00;Sigma;635893632600000000;236
05-23-2018 12:01 AM;Pi;6.366263046E+17;324
2017-06-20 00:02:00;Omicron;636335137200000000;893
2014-05-18 00:02:00;Rho;635359681200000000;978
05-17-2014 12:02 AM;Epsilon;6.353588172E+17;102
12-19-2013 12:02 AM;Psi;6.352300812E+17;264
2017-03-06 00:02:00;Psi;6.36244E+017;47
2016-11-13T00:01:00.0000000;Chi;636,145,920,600,000,000.00000000;7
2014-04-02 00:02:00;Mu;635319937200000000;687
02-05-2017 12:01 AM;Theta;6.362184966E+17;788
07-29-2019 12:01 AM;Chi;6.369995526E+17;858
03-01-2010 12:01 AM;Gamma;6.340299846E+17;282
2019-09-08 00:03:00;Omega;637034977800000000;870
2016-10-12 00:01:00;Phi;636118272600000000;964
