TM;Category;unknown;Quantity
2012-03-23 00:01:00;Omicron;6.34681E+017;760
2011-12-18T00:01:00.0000000;Rho;634,597,632,600,000,000.00000000;773
2013-06-17 00:01:00;Psi;635070240600000000;210
2012-11-04 00:01:00;Rho;634875840600000000;191
2018-01-04T00:01:00.0000000;Omega;636,506,208,600,000,000.00000000;45
01-11-2019 12:01 AM;Nu;6.368276166E+17;967
2010-02-01 00:02:00;Zeta;634005793200000000;251
2018-07-19 00:01:00;Mu;636675552600000000;838
2011-07-14 00:01:00;Chi;6.34462E+017;779
2013-11-09 00:01:00;Upsilon;635195520600000000;932
2014-09-24 00:01:00;Iota;635471136600000000;658
2017-07-11 00:01:00;Phi;636353280600000000;980
2012-08-10T00:01:00.0000000;Rho;634,801,536,600,000,000.00000000;590
2014-12-24 00:01:00;Beta;635549760600000000;340
2014-11-16 00:01:00;Eta;635516928600000000;731
2014-06-15 00:01:00;Delta;6.35384E+017;542
2014-08-28 00:02:00;Xi;6.35448E+017;456
2011-12-18T00:01:00.0000000;Epsilon;634,597,632,600,000,000.00000000;866
10-23-2014 12:01 AM;Zeta;6.354961926E+17;110
2017-12-22 00:01:00;Chi;6.36495E+017;80
2015-12-10 00:01:00;Nu;635853024600000000;379
2012-09-22 00:01:00;Zeta;6.34839E+017;687
2013-03-01 00:01:00;Zeta;634976928600000000;818
11-04-2011 12:02 AM;Gamma;6.345596172E+17;871
2013-04-23 00:01:00;Delta;635022720600000000;451
2013-03-13T00:02:00.0000000;Rho;634,987,297,200,000,000.00000000;141
2010-05-20 00:01:00;Epsilon;634099104600000000;510
09-12-2010 12:02 AM;Alpha;6.341984652E+17;665
2012-02-07 00:01:00;Alpha;634641696600000000;516
2011-12-02 00:01:00;Omega;634583808600000000;105
2018-02-25 00:01:00;Chi;636551136600000000;238
03-18-2010 12:02 AM;Omicron;6.340446732E+17;182
2012-10-06 00:01:00;Sigma;634850784600000000;143
09-05-2018 12:02 AM;Gamma;6.367170252E+17;551
02-04-2017 12:01 AM;Xi;6.362176326E+17;294
2016-11-16 00:01:00;Kappa;636148512600000000;712
2011-10-29 00:01:00;Kappa;634554432600000000;956
07-14-2012 12:01 AM;Sigma;6.347782086E+17;494
2019-06-15 00:01:00;Kappa;636961536600000000;14
2018-11-03 00:02:00;Xi;636768001200000000;252
01-12-2019 12:01 AM;Epsilon;6.368284806E+17;602
2017-11-12T00:01:00.0000000;Upsilon;636,460,416,600,000,000.00000000;702
03-07-2014 12:01 AM;Alpha;6.352974726E+17;74
2011-06-03 00:02:00;Phi;634426561200000000;137
2015-03-25T00:03:00.0000000;Sigma;635,628,385,800,000,000.00000000;26
2018-08-25T00:03:00.0000000;Lambda;636,707,521,800,000,000.00000000;31
10-03-2010 12:01 AM;Eta;6.342166086E+17;789
2018-02-14 00:01:00;Eta;6.36542E+017;140
2016-05-22 00:02:00;Psi;6.35995E+017;663
2013-04-05 00:01:00;Xi;635007168600000000;153
2018-10-05 00:02:00;Gamma;636742945200000000;65
05-31-2014 12:03 AM;Omega;6.353709138E+17;610
2017-04-06T00:01:00.0000000;Beta;636,270,336,600,000,000.00000000;282
2018-09-09 00:03:00;Kappa;636720481800000000;462
2012-05-16 00:01:00;Phi;6.34727E+017;444
