TM;Category;unknown;Quantity
09-25-2012 12:01 AM;Delta;6.348412806E+17;630
2018-08-16 00:01:00;Eta;6.36700E+017;40
2017-10-24T00:01:00.0000000;Eta;636,444,000,600,000,000.00000000;551
2015-02-19T00:01:00.0000000;Tau;635,599,008,600,000,000.00000000;188
2019-01-24 00:01:00;Nu;6.36839E+017;546
2012-01-23T00:01:00.0000000;Epsilon;634,628,736,600,000,000.00000000;139
2017-10-28 00:01:00;Omicron;636447456600000000;747
2018-08-24 00:01:00;Omicron;636706656600000000;876
2017-07-24T00:01:00.0000000;Omicron;636,364,512,600,000,000.00000000;219
03-17-2016 12:01 AM;Beta;6.359376966E+17;304
2013-08-02 00:02:00;Gamma;635109985200000000;713
2019-06-11 00:01:00;Chi;636958080600000000;312
05-21-2019 12:01 AM;Sigma;6.369399366E+17;57
2013-02-28 00:01:00;Beta;634976064600000000;248
09-21-2019 12:01 AM;Omega;6.370462086E+17;743
10-18-2016 12:01 AM;Pi;6.361234566E+17;89
2012-06-03 00:01:00;Alpha;6.34743E+017;687
2010-01-29T00:01:00.0000000;Theta;634,003,200,600,000,000.00000000;834
2019-05-28 00:01:00;Delta;636945984600000000;468
05-29-2016 12:01 AM;Pi;6.360007686E+17;515
2012-10-02T00:02:00.0000000;Sigma;634,847,329,200,000,000.00000000;109
2012-04-19 00:01:00;Psi;634703904600000000;640
2017-12-12 00:02:00;Delta;636486337200000000;691
2012-09-01 00:01:00;Xi;6.34821E+017;270
2016-05-16T00:01:00.0000000;Gamma;635,989,536,600,000,000.00000000;421
2010-04-15 00:02:00;Nu;6.34069E+017;161
2011-09-02 00:01:00;Iota;634505184600000000;318
08-22-2017 12:01 AM;Pi;6.363895686E+17;209
2017-06-25 00:01:00;Alpha;6.36339E+017;149
05-07-2011 12:01 AM;Nu;6.344032326E+17;346
2018-03-01 00:01:00;Epsilon;636554592600000000;160
2016-05-31 00:01:00;Delta;636002496600000000;971
2015-12-31 00:01:00;Sigma;6.35871E+017;19
02-14-2013 12:02 AM;Omicron;6.349639692E+17;673
2019-08-28 00:02:00;Eta;637025473200000000;582
09-05-2019 12:01 AM;Delta;6.370323846E+17;87
2014-06-25 00:02:00;Rho;635392513200000000;508
2014-08-05 00:02:00;Epsilon;635427937200000000;492
2011-05-31 00:01:00;Gamma;634423968600000000;380
2010-06-19 00:01:00;Mu;634125024600000000;436
07-27-2019 12:01 AM;Nu;6.369978246E+17;293
2017-11-24 00:02:00;Gamma;636470785200000000;364
2015-10-30T00:01:00.0000000;Beta;635,817,600,600,000,000.00000000;577
2010-06-20 00:01:00;Beta;634125888600000000;463
2019-12-08 00:01:00;Mu;637113600600000000;449
2016-02-05 00:01:00;Lambda;6.35902E+017;377
2011-11-12T00:02:00.0000000;Delta;634,566,529,200,000,000.00000000;658
2010-02-04 00:02:00;Theta;6.34008E+017;150
03-11-2012 12:01 AM;Eta;6.346702086E+17;445
2013-11-01 00:01:00;Beta;635188608600000000;331
2011-03-02T00:02:00.0000000;Chi;634,346,209,200,000,000.00000000;208
2012-02-06 00:02:00;Psi;634640833200000000;63
12-05-2019 12:02 AM;Zeta;6.371110092E+17;191
2019-09-11T00:02:00.0000000;Omicron;637,037,569,200,000,000.00000000;958
2017-01-09 00:01:00;Xi;636195168600000000;83
2015-09-12 00:02:00;Iota;6.35776E+017;543
2012-02-07 00:01:00;Rho;634641696600000000;144
2013-02-07T00:01:00.0000000;Psi;634,957,920,600,000,000.00000000;522
2017-11-12 00:03:00;Gamma;636460417800000000;121
2013-12-12T00:01:00.0000000;Lambda;635,224,032,600,000,000.00000000;789
2011-12-21 00:01:00;Nu;634600224600000000;665
07-04-2015 12:02 AM;Sigma;6.357156492E+17;36
