TM;Category;unknown;Quantity
07-20-2010 12:01 AM;Xi;6.341518086E+17;628
04-18-2012 12:01 AM;Pi;6.347030406E+17;620
09-25-2018 12:01 AM;Zeta;6.367343046E+17;863
08-09-2010 12:01 AM;Zeta;6.341690886E+17;215
2016-01-12 00:02:00;Lambda;635881537200000000;729
03-28-2012 12:01 AM;Psi;6.346848966E+17;33
2019-12-18 00:01:00;Psi;6.37122E+017;552
09-18-2014 12:01 AM;Alpha;6.354659526E+17;601
2019-01-03 00:01:00;Theta;636820704600000000;893
2018-08-30 00:01:00;Sigma;636711840600000000;706
2017-01-23 00:01:00;Phi;636207264600000000;938
2011-06-17 00:01:00;Nu;634438656600000000;277
06-27-2017 12:01 AM;Phi;6.363411846E+17;365
2010-09-07 00:01:00;Alpha;634194144600000000;739
2010-05-03 00:01:00;Lambda;634084416600000000;271
03-29-2017 12:01 AM;Xi;6.362634246E+17;5
2012-10-20T00:01:00.0000000;Upsilon;634,862,880,600,000,000.00000000;79
01-19-2016 12:01 AM;Tau;6.358875846E+17;348
2011-04-27T00:01:00.0000000;Kappa;634,394,592,600,000,000.00000000;79
2015-10-26 00:01:00;Lambda;635814144600000000;999
09-28-2018 12:01 AM;Beta;6.367368966E+17;209
10-01-2017 12:01 AM;Psi;6.364241286E+17;507
2018-07-23T00:01:00.0000000;Mu;636,679,008,600,000,000.00000000;485
11-17-2019 12:01 AM;Alpha;6.370954566E+17;283
2010-08-16T00:01:00.0000000;Alpha;634,175,136,600,000,000.00000000;910
05-22-2018 12:01 AM;Theta;6.366254406E+17;268
2014-02-27 00:02:00;Iota;6.35291E+017;275
06-21-2013 12:01 AM;Lambda;6.350736966E+17;908
2013-11-04T00:01:00.0000000;Zeta;635,191,200,600,000,000.00000000;654
01-13-2013 12:01 AM;Zeta;6.349363206E+17;553
2013-09-16 00:01:00;Iota;635148864600000000;80
2014-01-21 00:02:00;Eta;6.35259E+017;982
08-14-2015 12:01 AM;Alpha;6.357510726E+17;141
2017-10-07 00:02:00;Rho;636429313200000000;879
2019-09-26 00:01:00;Delta;637050528600000000;273
2012-11-14 00:01:00;Alpha;6.34884E+017;977
2019-09-17 00:01:00;Phi;6.37043E+017;943
2010-12-03T00:01:00.0000000;Epsilon;634,269,312,600,000,000.00000000;149
07-19-2016 12:01 AM;Tau;6.360448326E+17;966
09-28-2017 12:01 AM;Chi;6.364215366E+17;280
03-08-2012 12:01 AM;Beta;6.346676166E+17;579
05-04-2017 12:02 AM;Kappa;6.362945292E+17;978
02-27-2016 12:03 AM;Lambda;6.359212818E+17;727
08-20-2017 12:01 AM;Omicron;6.363878406E+17;878
2010-02-17T00:01:00.0000000;Sigma;634,019,616,600,000,000.00000000;552
2013-10-02 00:03:00;Iota;635162689800000000;556
2015-08-02T00:01:00.0000000;Delta;635,740,704,600,000,000.00000000;813
02-15-2014 12:02 AM;Upsilon;6.352801932E+17;246
09-02-2014 12:02 AM;Lambda;6.354521292E+17;179
08-28-2015 12:02 AM;Zeta;6.357631692E+17;133
2019-01-08 00:01:00;Phi;6.36825E+017;421
07-03-2011 12:01 AM;Tau;6.344524806E+17;113
2016-10-09T00:01:00.0000000;Xi;636,115,680,600,000,000.00000000;497
11-30-2014 12:01 AM;Pi;6.355290246E+17;370
2017-06-04 00:01:00;Kappa;636321312600000000;876
2019-05-10 00:02:00;Mu;636930433200000000;343
2011-02-27 00:02:00;Psi;634343617200000000;844
2011-06-02 00:03:00;Delta;634425697800000000;287
2015-12-10 00:01:00;Beta;635853024600000000;159
2017-05-11 00:01:00;Zeta;636300576600000000;552
2013-09-26 00:01:00;Omega;635157504600000000;737
2012-02-09T00:02:00.0000000;Sigma;634,643,425,200,000,000.00000000;569
2017-12-20 00:01:00;Psi;636493248600000000;816
2012-08-11 00:01:00;Alpha;634802400600000000;985
03-14-2011 12:02 AM;Omega;6.343565772E+17;646
2014-08-26 00:02:00;Iota;6.35446E+017;553
04-01-2016 12:03 AM;Psi;6.359506578E+17;831
2016-04-30 00:02:00;Xi;635975713200000000;533
2010-09-06 00:03:00;Phi;6.34193E+017;838
2010-06-19 00:01:00;Tau;634125024600000000;678
2014-11-25 00:01:00;Rho;6.35525E+017;258
2012-01-02 00:01:00;Psi;634610592600000000;362
2010-04-07 00:01:00;Alpha;634061952600000000;712
2018-09-13 00:01:00;Upsilon;636723936600000000;789
03-05-2019 12:02 AM;Gamma;6.368734092E+17;32
2016-10-04 00:01:00;Nu;636111360600000000;393
11-18-2013 12:01 AM;Chi;6.352032966E+17;17
2010-06-09 00:02:00;Zeta;6.34116E+017;870
10-20-2016 12:01 AM;Omicron;6.361251846E+17;505
2010-10-14 00:02:00;Omicron;6.34226E+017;524
2013-02-23 00:01:00;Rho;634971744600000000;149
2016-09-07 00:03:00;Delta;6.36088E+017;355
2014-11-03T00:01:00.0000000;Theta;635,505,696,600,000,000.00000000;566
2011-01-13 00:01:00;Eta;6.34305E+017;969
2012-02-24 00:02:00;Beta;634656385200000000;822
2019-06-18 00:02:00;Upsilon;6.36964E+017;357
08-10-2010 12:02 AM;Psi;6.341699532E+17;512
2014-04-14 00:01:00;Psi;635330304600000000;237
02-22-2018 12:01 AM;Beta;6.365485446E+17;347
07-04-2015 12:01 AM;Psi;6.357156486E+17;553
2011-03-04T00:01:00.0000000;Lambda;634,347,936,600,000,000.00000000;698
2018-02-10 00:02:00;Gamma;636538177200000000;155
02-07-2016 12:02 AM;Psi;6.359040012E+17;988
2012-05-28T00:01:00.0000000;Alpha;634,737,600,600,000,000.00000000;528
2012-08-13 00:02:00;Lambda;634804129200000000;406
2014-05-20 00:02:00;Lambda;635361409200000000;168
2011-12-02 00:02:00;Beta;634583809200000000;867
2014-12-30 00:02:00;Iota;635554945200000000;92
2019-06-11T00:02:00.0000000;Eta;636,958,081,200,000,000.00000000;661
01-30-2019 12:02 AM;Zeta;6.368440332E+17;599
2012-10-23 00:03:00;Tau;634865473800000000;899
2011-01-07 00:04:00;Tau;634299554400000000;124
2011-03-03T00:03:00.0000000;Chi;634,347,073,800,000,000.00000000;269
01-24-2015 12:03 AM;Alpha;6.355765458E+17;103
2011-03-28 00:01:00;Omega;6.34369E+017;792
2014-05-05T00:02:00.0000000;Phi;635,348,449,200,000,000.00000000;761
2011-07-21 00:02:00;Zeta;634468033200000000;398
2013-05-22 00:02:00;Omega;635047777200000000;122
05-19-2018 12:03 AM;Delta;6.366228498E+17;590
01-12-2013 12:02 AM;Beta;6.349354572E+17;355
10-04-2015 12:03 AM;Pi;6.357951378E+17;126
05-25-2010 12:02 AM;Lambda;6.341034252E+17;925
2019-08-24T00:01:00.0000000;Alpha;637,022,016,600,000,000.00000000;30
2014-08-23 00:02:00;Zeta;635443489200000000;188
2016-01-16 00:01:00;Iota;6.35885E+017;810
09-06-2018 12:03 AM;Psi;6.367178898E+17;920
2019-08-26 00:03:00;Delta;637023745800000000;901
2017-06-05 00:01:00;Chi;636322176600000000;492
