TM;Category;unknown;Quantity
12-16-2014 12:01 AM;Xi;6.355428486E+17;394
05-23-2012 12:01 AM;Omega;6.347332806E+17;936
09-24-2013 12:01 AM;Pi;6.351557766E+17;0
2012-04-05T00:01:00.0000000;Upsilon;634,691,808,600,000,000.00000000;855
2012-01-19 00:01:00;Iota;634625280600000000;153
02-27-2015 12:01 AM;Pi;6.356059206E+17;573
2013-10-14 00:01:00;Epsilon;635173056600000000;366
10-08-2019 12:01 AM;Omega;6.370608966E+17;183
10-31-2012 12:01 AM;Kappa;6.348723846E+17;559
2013-07-02T00:01:00.0000000;Omicron;635,083,200,600,000,000.00000000;822
2014-07-15 00:01:00;Phi;635409792600000000;703
06-10-2018 12:01 AM;Theta;6.366418566E+17;387
08-10-2015 12:01 AM;Iota;6.357476166E+17;66
01-12-2019 12:01 AM;Iota;6.368284806E+17;605
05-19-2013 12:01 AM;Pi;6.350451846E+17;380
01-10-2013 12:01 AM;Alpha;6.349337286E+17;500
04-24-2015 12:01 AM;Eta;6.356543046E+17;879
2018-11-13 00:01:00;Psi;6.36777E+017;849
03-16-2011 12:01 AM;Nu;6.343583046E+17;524
2015-10-15 00:01:00;Phi;635804640600000000;363
10-18-2010 12:01 AM;Psi;6.342295686E+17;700
06-29-2011 12:01 AM;Theta;6.344490246E+17;29
2013-08-09 00:02:00;Phi;635116033200000000;429
2017-10-26 00:01:00;Nu;636445728600000000;583
2016-07-10T00:02:00.0000000;Delta;636,037,057,200,000,000.00000000;31
07-22-2010 12:01 AM;Phi;6.341535366E+17;457
2016-12-05 00:01:00;Zeta;636164928600000000;285
02-14-2019 12:01 AM;Nu;6.368569926E+17;240
03-30-2017 12:01 AM;Omega;6.362642886E+17;527
2011-05-12 00:02:00;Gamma;634407553200000000;114
05-20-2018 12:03 AM;Omicron;6.366237138E+17;582
2016-01-09T00:03:00.0000000;Gamma;635,878,945,800,000,000.00000000;851
2012-09-13 00:01:00;Lambda;634830912600000000;15
2018-08-04 00:02:00;Gamma;636689377200000000;970
04-20-2011 12:01 AM;Kappa;6.343885446E+17;786
2010-09-08 00:01:00;Mu;6.34195E+017;575
2017-08-13T00:01:00.0000000;Alpha;636,381,792,600,000,000.00000000;859
2018-03-24 00:01:00;Xi;6.36574E+017;844
07-13-2013 12:01 AM;Pi;6.350927046E+17;510
2012-01-26 00:01:00;Omicron;634631328600000000;703
2015-09-24T00:02:00.0000000;Gamma;635,786,497,200,000,000.00000000;381
2016-07-28T00:01:00.0000000;Omega;636,052,608,600,000,000.00000000;905
2014-05-23T00:01:00.0000000;Chi;635,364,000,600,000,000.00000000;966
11-15-2013 12:02 AM;Phi;6.352007052E+17;78
09-10-2017 12:01 AM;Tau;6.364059846E+17;596
2013-10-24 00:01:00;Omega;6.35182E+017;30
2018-10-17 00:02:00;Phi;636753313200000000;481
2016-10-14 00:02:00;Kappa;6.36120E+017;136
05-10-2010 12:01 AM;Psi;6.340904646E+17;74
2016-07-16 00:01:00;Omega;6.36042E+017;826
2010-09-04T00:01:00.0000000;Kappa;634,191,552,600,000,000.00000000;610
2013-08-02 00:02:00;Omicron;635109985200000000;477
07-29-2014 12:01 AM;Phi;6.354218886E+17;169
2015-09-26 00:01:00;Iota;635788224600000000;319
2012-03-04 00:01:00;Pi;6.34664E+017;601
2011-01-24T00:02:00.0000000;Chi;634,314,241,200,000,000.00000000;632
2014-11-22 00:02:00;Psi;635522113200000000;40
2014-11-19T00:01:00.0000000;Nu;635,519,520,600,000,000.00000000;993
09-29-2016 12:01 AM;Alpha;6.361070406E+17;69
2010-03-28 00:02:00;Chi;6.34053E+017;352
2012-03-24 00:02:00;Upsilon;6.34681E+017;761
08-19-2012 12:02 AM;Lambda;6.348093132E+17;575
2017-05-11 00:01:00;Kappa;636300576600000000;601
2013-03-17 00:01:00;Zeta;634990752600000000;21
09-11-2011 12:02 AM;Psi;6.345129612E+17;709
05-03-2018 12:01 AM;Alpha;6.366090246E+17;419
11-20-2018 12:02 AM;Chi;6.367826892E+17;861
2015-04-01 00:01:00;Tau;6.35634E+017;681
2016-03-19 00:02:00;Theta;635939425200000000;609
2013-06-12T00:01:00.0000000;Phi;635,065,920,600,000,000.00000000;72
2016-02-11 00:02:00;Eta;635907457200000000;369
2013-02-05T00:01:00.0000000;Omicron;634,956,192,600,000,000.00000000;317
2018-03-01 00:02:00;Sigma;636554593200000000;974
10-10-2013 12:02 AM;Rho;6.351696012E+17;8
01-20-2011 12:02 AM;Omega;6.343107852E+17;550
2017-01-23 00:01:00;Gamma;636207264600000000;881
11-28-2014 12:02 AM;Omicron;6.355272972E+17;933
2018-09-21 00:01:00;Gamma;6.36731E+017;487
2019-03-31 00:01:00;Chi;636895872600000000;336
2011-11-26 00:02:00;Kappa;634578625200000000;228
2017-03-25 00:02:00;Eta;6.36260E+017;290
2015-12-30 00:02:00;Xi;6.35870E+017;382
2011-05-18 00:02:00;Iota;634412737200000000;215
2018-06-15T00:01:00.0000000;Rho;636,646,176,600,000,000.00000000;294
2016-12-02T00:01:00.0000000;Upsilon;636,162,336,600,000,000.00000000;37
03-13-2010 12:03 AM;Epsilon;6.340403538E+17;865
01-01-2016 12:02 AM;Eta;6.358720332E+17;806
2011-09-05 00:02:00;Beta;6.34508E+017;886
2010-12-17 00:01:00;Upsilon;634281408600000000;672
11-17-2012 12:01 AM;Eta;6.348870726E+17;698
2014-09-10T00:01:00.0000000;Xi;635,459,040,600,000,000.00000000;789
2016-10-27T00:02:00.0000000;Sigma;636,131,233,200,000,000.00000000;898
2013-08-07T00:01:00.0000000;Lambda;635,114,304,600,000,000.00000000;877
2016-05-05 00:01:00;Upsilon;6.35980E+017;543
2010-09-20T00:02:00.0000000;Iota;634,205,377,200,000,000.00000000;593
2016-04-24 00:03:00;Chi;635970529800000000;822
2015-03-12 00:03:00;Epsilon;6.35617E+017;890
2014-11-19T00:01:00.0000000;Pi;635,519,520,600,000,000.00000000;751
2019-09-26 00:03:00;Chi;637050529800000000;886
2014-01-04 00:01:00;Zeta;6.35244E+017;310
2015-05-09 00:01:00;Psi;6.35667E+017;574
05-05-2011 12:02 AM;Omicron;6.344015052E+17;628
2018-06-03 00:02:00;Alpha;6.36636E+017;81
07-15-2012 12:02 AM;Psi;6.347790732E+17;13
2015-01-19 00:01:00;Alpha;6.35572E+017;67
2018-01-05 00:02:00;Mu;636507073200000000;620
2012-08-12 00:01:00;Pi;634803264600000000;629
11-12-2014 12:02 AM;Omicron;6.355134732E+17;424
12-02-2019 12:02 AM;Sigma;6.371084172E+17;81
01-01-2017 12:02 AM;Theta;6.361882572E+17;145
07-09-2014 12:02 AM;Zeta;6.354046092E+17;895
07-04-2015 12:01 AM;Eta;6.357156486E+17;208
2015-09-18 00:03:00;Zeta;635781313800000000;937
04-01-2010 12:01 AM;Nu;6.340567686E+17;558
2019-05-21 00:02:00;Eta;636939937200000000;73
04-01-2017 12:02 AM;Omicron;6.362660172E+17;517
2010-06-08 00:03:00;Chi;6.34116E+017;667
2019-04-16 00:02:00;Theta;636909697200000000;428
2017-01-12 00:01:00;Upsilon;6.36198E+017;861
12-12-2011 12:02 AM;Theta;6.345924492E+17;887
