TM;Category;unknown;Quantity
2012-08-05 00:01:00;Xi;634797216600000000;849
12-14-2016 12:01 AM;Alpha;6.361727046E+17;613
2015-11-24 00:01:00;Phi;6.35839E+017;961
2014-12-22 00:02:00;Lambda;635548033200000000;721
2019-03-16T00:01:00.0000000;Psi;636,882,912,600,000,000.00000000;974
03-18-2015 12:01 AM;Omicron;6.356223366E+17;647
12-29-2017 12:01 AM;Beta;6.365010246E+17;530
05-10-2011 12:01 AM;Pi;6.344058246E+17;941
2012-05-25 00:01:00;Nu;634735008600000000;333
10-19-2011 12:01 AM;Nu;6.345457926E+17;456
2014-09-28T00:01:00.0000000;Upsilon;635,474,592,600,000,000.00000000;408
05-24-2018 12:01 AM;Beta;6.366271686E+17;154
2019-03-22 00:01:00;Psi;6.36888E+017;142
01-29-2013 12:01 AM;Pi;6.349501446E+17;385
2019-01-24 00:01:00;Mu;6.36839E+017;895
2019-04-21T00:01:00.0000000;Xi;636,914,016,600,000,000.00000000;137
2017-07-29 00:02:00;Chi;6.36369E+017;519
2015-09-03 00:01:00;Iota;635768352600000000;123
2016-11-17 00:01:00;Pi;636149376600000000;389
08-19-2013 12:02 AM;Iota;6.351246732E+17;536
2010-03-27 00:01:00;Psi;634052448600000000;477
2014-01-19 00:01:00;Lambda;635256864600000000;62
09-12-2016 12:03 AM;Pi;6.360923538E+17;824
06-26-2012 12:01 AM;Beta;6.347626566E+17;913
03-31-2016 12:01 AM;Omicron;6.359497926E+17;942
2011-12-01 00:02:00;Gamma;634582945200000000;237
2012-11-30 00:01:00;Psi;634898304600000000;442
02-01-2012 12:01 AM;Upsilon;6.346365126E+17;500
12-02-2013 12:01 AM;Tau;6.352153926E+17;152
2010-03-28 00:01:00;Epsilon;634053312600000000;851
2015-10-27 00:01:00;Omicron;635815008600000000;568
08-18-2012 12:02 AM;Sigma;6.348084492E+17;695
2019-01-20 00:02:00;Iota;636835393200000000;967
2019-12-12 00:02:00;Rho;637117057200000000;460
07-20-2016 12:01 AM;Theta;6.360456966E+17;420
2014-05-12 00:01:00;Omega;6.35354E+017;197
2011-10-23 00:01:00;Xi;634549248600000000;651
2016-06-18 00:02:00;Psi;636018049200000000;622
2016-03-10 00:03:00;Delta;6.35932E+017;206
2015-08-08 00:01:00;Pi;6.35746E+017;302
04-10-2019 12:02 AM;Theta;6.369045132E+17;739
2010-01-29T00:01:00.0000000;Zeta;634,003,200,600,000,000.00000000;781
2013-10-19T00:01:00.0000000;Eta;635,177,376,600,000,000.00000000;571
01-10-2014 12:01 AM;Tau;6.352490886E+17;393
2019-07-15 00:01:00;Chi;636987456600000000;825
2015-02-07 00:01:00;Kappa;6.35589E+017;717
2015-03-28T00:01:00.0000000;Nu;635,630,976,600,000,000.00000000;702
2012-09-03 00:01:00;Beta;6.34822E+017;242
2016-06-24 00:02:00;Lambda;636023233200000000;260
2013-11-12 00:01:00;Nu;6.35198E+017;945
08-06-2010 12:02 AM;Beta;6.341664972E+17;933
2018-11-21 00:02:00;Omicron;636783553200000000;141
2018-08-05 00:01:00;Tau;636690240600000000;831
2011-03-09 00:01:00;Epsilon;6.34352E+017;649
2010-07-28T00:01:00.0000000;Omega;634,158,720,600,000,000.00000000;256
2015-04-18 00:01:00;Rho;635649120600000000;916
2015-08-23 00:01:00;Gamma;635758848600000000;525
2013-01-20T00:01:00.0000000;Eta;634,942,368,600,000,000.00000000;690
2015-03-26T00:02:00.0000000;Iota;635,629,249,200,000,000.00000000;51
2019-07-20T00:02:00.0000000;Mu;636,991,777,200,000,000.00000000;953
2017-09-24 00:01:00;Iota;6.36418E+017;651
2019-05-25T00:02:00.0000000;Pi;636,943,393,200,000,000.00000000;178
08-16-2013 12:02 AM;Iota;6.351220812E+17;638
06-20-2019 12:02 AM;Phi;6.369658572E+17;489
2012-07-25 00:02:00;Pi;634787713200000000;347
2014-01-24 00:01:00;Lambda;6.35261E+017;386
2017-12-12 00:03:00;Kappa;636486337800000000;691
2018-12-17 00:02:00;Rho;636806017200000000;122
03-05-2013 12:01 AM;Kappa;6.349803846E+17;881
2014-02-19 00:02:00;Zeta;635283649200000000;82
2010-10-24 00:01:00;Rho;634234752600000000;229
2011-08-30T00:02:00.0000000;Eta;634,502,593,200,000,000.00000000;283
2016-05-04 00:02:00;Iota;6.35979E+017;43
2018-02-10 00:03:00;Omega;636538177800000000;157
11-12-2014 12:01 AM;Upsilon;6.355134726E+17;807
07-30-2012 12:01 AM;Theta;6.347920326E+17;918
02-22-2011 12:02 AM;Iota;6.343392972E+17;239
2014-02-26 00:01:00;Theta;635289696600000000;912
03-19-2014 12:02 AM;Mu;6.353078412E+17;449
2012-01-12 00:01:00;Omicron;6.34619E+017;421
2017-02-27 00:03:00;Zeta;636237505800000000;520
2010-12-03T00:02:00.0000000;Theta;634,269,313,200,000,000.00000000;625
2014-01-21 00:03:00;Rho;6.35259E+017;342
2010-04-08 00:02:00;Lambda;634062817200000000;977
09-02-2013 12:01 AM;Rho;6.351367686E+17;330
2010-06-19 00:02:00;Tau;634125025200000000;656
2018-04-05T00:02:00.0000000;Rho;636,584,833,200,000,000.00000000;514
2012-11-24 00:01:00;Lambda;634893120600000000;598
10-07-2014 12:02 AM;Nu;6.354823692E+17;740
2016-05-31 00:02:00;Delta;636002497200000000;956
08-22-2016 12:02 AM;Psi;6.360742092E+17;778
2019-09-11T00:01:00.0000000;Chi;637,037,568,600,000,000.00000000;584
