TM;Category;unknown;Quantity
2011-04-14 00:01:00;Eta;6.34383E+017;365
02-18-2013 12:01 AM;Gamma;6.349674246E+17;902
2016-08-16T00:01:00.0000000;Zeta;636,069,024,600,000,000.00000000;800
2011-08-28 00:01:00;Omicron;634500864600000000;170
06-29-2012 12:01 AM;Chi;6.347652486E+17;173
09-02-2013 12:01 AM;Iota;6.351367686E+17;197
09-24-2018 12:01 AM;Mu;6.367334406E+17;805
05-02-2012 12:01 AM;Nu;6.347151366E+17;695
2013-02-27 00:01:00;Kappa;634975200600000000;770
2011-02-18 00:01:00;Eta;6.34336E+017;129
2016-12-02T00:01:00.0000000;Rho;636,162,336,600,000,000.00000000;382
2013-11-09 00:01:00;Epsilon;635195520600000000;841
2015-06-15 00:01:00;Zeta;6.35699E+017;943
11-19-2018 12:01 AM;Rho;6.367818246E+17;947
2019-03-04 00:01:00;Kappa;6.36873E+017;802
01-10-2019 12:01 AM;Lambda;6.368267526E+17;577
05-16-2013 12:01 AM;Pi;6.350425926E+17;503
2017-08-19 00:01:00;Kappa;6.36387E+017;478
2016-04-13 00:01:00;Kappa;635961024600000000;733
2015-11-23 00:01:00;Mu;6.35838E+017;293
2010-07-29T00:01:00.0000000;Upsilon;634,159,584,600,000,000.00000000;60
2012-08-23 00:01:00;Theta;634812768600000000;188
2018-03-23 00:02:00;Eta;6.36574E+017;710
2014-11-21T00:01:00.0000000;Sigma;635,521,248,600,000,000.00000000;947
2015-12-06T00:01:00.0000000;Tau;635,849,568,600,000,000.00000000;815
10-27-2014 12:01 AM;Omicron;6.354996486E+17;312
06-06-2012 12:01 AM;Tau;6.347453766E+17;981
12-26-2011 12:02 AM;Iota;6.346045452E+17;179
2015-08-25 00:01:00;Iota;6.35761E+017;278
2013-09-11T00:01:00.0000000;Xi;635,144,544,600,000,000.00000000;137
2017-11-25 00:02:00;Kappa;636471649200000000;337
2011-10-11 00:01:00;Eta;634538880600000000;338
2019-08-12 00:01:00;Alpha;6.37012E+017;540
01-20-2017 12:01 AM;Kappa;6.362046726E+17;220
2012-01-20 00:01:00;Iota;634626144600000000;712
08-09-2010 12:02 AM;Iota;6.341690892E+17;972
11-15-2014 12:01 AM;Upsilon;6.355160646E+17;632
2018-10-20T00:01:00.0000000;Nu;636,755,904,600,000,000.00000000;738
02-14-2013 12:01 AM;Kappa;6.349639686E+17;724
01-19-2016 12:01 AM;Mu;6.358875846E+17;533
2016-10-30 00:01:00;Zeta;636133824600000000;372
06-30-2017 12:01 AM;Nu;6.363437766E+17;189
2018-11-25T00:02:00.0000000;Epsilon;636,787,009,200,000,000.00000000;406
2010-12-08 00:01:00;Gamma;6.34274E+017;132
2019-04-16 00:02:00;Beta;636909697200000000;856
2018-09-30 00:01:00;Kappa;636738624600000000;830
2019-07-07 00:01:00;Psi;6.36981E+017;902
2011-07-04 00:02:00;Delta;634453345200000000;188
01-09-2019 12:03 AM;Tau;6.368258898E+17;175
2019-09-29T00:02:00.0000000;Lambda;637,053,121,200,000,000.00000000;941
