TM;Category;unknown;Quantity
2018-04-23T00:01:00.0000000;Kappa;636,600,384,600,000,000.00000000;72
2016-09-08 00:01:00;Beta;6.36089E+017;259
2013-10-21 00:01:00;Xi;635179104600000000;423
10-07-2015 12:01 AM;Omega;6.357977286E+17;700
2014-10-12 00:01:00;Mu;635486688600000000;475
2011-06-23 00:01:00;Nu;634443840600000000;650
2017-02-10T00:02:00.0000000;Kappa;636,222,817,200,000,000.00000000;62
08-18-2019 12:01 AM;Iota;6.370168326E+17;693
08-25-2011 12:01 AM;Nu;6.344982726E+17;897
2011-12-07 00:01:00;Theta;6.34588E+017;967
2017-06-20T00:01:00.0000000;Iota;636,335,136,600,000,000.00000000;325
2014-07-30 00:02:00;Mu;635422753200000000;29
05-14-2014 12:01 AM;Lambda;6.353562246E+17;319
2016-09-24 00:01:00;Kappa;636102720600000000;814
2018-09-01 00:02:00;Theta;6.36714E+017;569
06-22-2018 12:03 AM;Epsilon;6.366522258E+17;354
2014-12-28T00:01:00.0000000;Theta;635,553,216,600,000,000.00000000;350
2014-10-14T00:01:00.0000000;Omicron;635,488,416,600,000,000.00000000;170
2010-07-12T00:01:00.0000000;Phi;634,144,896,600,000,000.00000000;739
2018-05-30T00:01:00.0000000;Chi;636,632,352,600,000,000.00000000;819
2015-11-05 00:01:00;Rho;6.35823E+017;589
2014-07-16T00:02:00.0000000;Pi;635,410,657,200,000,000.00000000;855
2010-12-25 00:01:00;Phi;634288320600000000;34
2011-03-24 00:01:00;Xi;634365216600000000;622
04-06-2010 12:01 AM;Chi;6.340610886E+17;70
10-09-2019 12:02 AM;Upsilon;6.370617612E+17;552
2011-12-15 00:01:00;Sigma;634595040600000000;964
2015-01-20 00:02:00;Nu;6.35573E+017;486
2015-09-22 00:01:00;Lambda;635784768600000000;550
2012-04-17 00:04:00;Nu;634702178400000000;600
2012-04-03 00:01:00;Iota;634690080600000000;558
2014-01-15T00:01:00.0000000;Sigma;635,253,408,600,000,000.00000000;625
2015-11-18T00:01:00.0000000;Beta;635,834,016,600,000,000.00000000;434
2011-07-06 00:01:00;Psi;634455072600000000;527
02-19-2013 12:01 AM;Rho;6.349682886E+17;174
2010-10-06 00:01:00;Zeta;634219200600000000;347
2016-08-11 00:01:00;Theta;636064704600000000;19
2015-12-06T00:01:00.0000000;Alpha;635,849,568,600,000,000.00000000;215
2013-06-13T00:01:00.0000000;Psi;635,066,784,600,000,000.00000000;128
2014-01-03 00:01:00;Upsilon;6.35243E+017;313
2019-04-03T00:01:00.0000000;Upsilon;636,898,464,600,000,000.00000000;30
2016-12-22 00:02:00;Eta;636179617200000000;18
2015-10-29T00:01:00.0000000;Pi;635,816,736,600,000,000.00000000;973
2019-11-20 00:01:00;Kappa;637098048600000000;102
2016-07-10T00:01:00.0000000;Zeta;636,037,056,600,000,000.00000000;643
2018-02-26T00:01:00.0000000;Nu;636,552,000,600,000,000.00000000;524
02-16-2018 12:02 AM;Beta;6.365433612E+17;153
09-20-2019 12:01 AM;Zeta;6.370453446E+17;490
2012-06-02 00:02:00;Phi;6.34742E+017;199
09-12-2010 12:02 AM;Upsilon;6.341984652E+17;177
2013-01-04 00:02:00;Psi;634928545200000000;356
2019-07-06 00:01:00;Phi;6.36980E+017;492
2019-02-07T00:01:00.0000000;Tau;636,850,944,600,000,000.00000000;449
2016-07-28T00:02:00.0000000;Tau;636,052,609,200,000,000.00000000;506
2019-11-20 00:02:00;Eta;637098049200000000;773
2011-09-19T00:01:00.0000000;Eta;634,519,872,600,000,000.00000000;979
2019-08-22 00:01:00;Iota;637020288600000000;48
05-10-2015 12:01 AM;Chi;6.356681286E+17;153
06-05-2013 12:01 AM;Xi;6.350598726E+17;53
05-27-2016 12:01 AM;Alpha;6.359990406E+17;819
08-09-2016 12:02 AM;Omega;6.360629772E+17;61
04-17-2011 12:01 AM;Phi;6.343859526E+17;162
2014-05-06T00:01:00.0000000;Iota;635,349,312,600,000,000.00000000;51
11-18-2013 12:01 AM;Phi;6.352032966E+17;305
2014-03-25 00:02:00;Delta;635313025200000000;371
06-20-2015 12:02 AM;Lambda;6.357035532E+17;623
09-06-2018 12:03 AM;Upsilon;6.367178898E+17;75
05-02-2018 12:02 AM;Phi;6.366081612E+17;283
2010-11-21 00:02:00;Chi;6.34259E+017;61
02-14-2019 12:02 AM;Eta;6.368569932E+17;32
03-29-2011 12:01 AM;Phi;6.343695366E+17;978
09-20-2013 12:01 AM;Phi;6.351523206E+17;489
2014-08-06 00:02:00;Iota;635428801200000000;794
03-02-2014 12:02 AM;Sigma;6.352931532E+17;173
2015-02-20 00:03:00;Phi;635599873800000000;624
08-21-2011 12:01 AM;Eta;6.344948166E+17;610
2013-02-22 00:01:00;Phi;634970880600000000;787
2019-07-15 00:01:00;Xi;636987456600000000;752
07-04-2016 12:02 AM;Gamma;6.360318732E+17;621
11-02-2011 12:02 AM;Pi;6.345578892E+17;911
2012-02-25 00:02:00;Gamma;634657249200000000;304
2017-10-28 00:01:00;Mu;636447456600000000;133
2014-09-23 00:02:00;Beta;635470273200000000;404
2019-10-20 00:01:00;Gamma;637071264600000000;470
2019-11-04T00:03:00.0000000;Iota;637,084,225,800,000,000.00000000;244
2014-07-17T00:01:00.0000000;Rho;635,411,520,600,000,000.00000000;344
2012-03-03 00:02:00;Kappa;634663297200000000;477
