TM;Category;unknown;Quantity
03-14-2011 12:01 AM;Nu;6.343565766E+17;385
2013-07-04 00:01:00;Lambda;635084928600000000;12
2010-06-11 00:01:00;Zeta;6.34118E+017;233
2014-12-29 00:01:00;Psi;635554080600000000;532
05-09-2017 12:01 AM;Epsilon;6.362988486E+17;700
2013-08-27 00:01:00;Epsilon;635131584600000000;562
2012-05-16 00:01:00;Iota;6.34727E+017;507
08-19-2018 12:01 AM;Theta;6.367023366E+17;740
2010-12-23 00:01:00;Theta;634286592600000000;768
2016-03-25 00:01:00;Omega;635944608600000000;106
12-20-2019 12:01 AM;Omicron;6.371239686E+17;441
2012-07-08 00:01:00;Gamma;634773024600000000;150
04-02-2017 12:01 AM;Delta;6.362668806E+17;168
2011-04-23 00:01:00;Xi;634391136600000000;218
2011-10-08T00:01:00.0000000;Nu;634,536,288,600,000,000.00000000;180
2016-10-12 00:01:00;Delta;636118272600000000;778
2013-01-17 00:01:00;Gamma;634939776600000000;491
08-11-2010 12:01 AM;Rho;6.341708166E+17;438
2010-12-07 00:01:00;Omicron;634272768600000000;524
12-28-2017 12:02 AM;Epsilon;6.365001612E+17;901
2015-09-09 00:01:00;Chi;635773536600000000;497
10-16-2011 12:01 AM;Delta;6.345432006E+17;523
2015-01-16 00:03:00;Theta;635569633800000000;866
2015-01-18 00:01:00;Delta;635571360600000000;635
2014-01-04 00:01:00;Delta;6.35244E+017;182
2015-06-29 00:01:00;Zeta;635711328600000000;158
2016-05-18T00:01:00.0000000;Sigma;635,991,264,600,000,000.00000000;436
2014-09-26T00:02:00.0000000;Epsilon;635,472,865,200,000,000.00000000;596
12-06-2012 12:01 AM;Xi;6.349034886E+17;488
05-01-2019 12:01 AM;Epsilon;6.369226566E+17;605
2017-12-14 00:01:00;Gamma;636488064600000000;418
12-05-2013 12:01 AM;Tau;6.352179846E+17;966
2018-05-11T00:01:00.0000000;Alpha;636,615,936,600,000,000.00000000;0
2016-01-29T00:01:00.0000000;Rho;635,896,224,600,000,000.00000000;400
2014-03-12T00:01:00.0000000;Phi;635,301,792,600,000,000.00000000;732
2011-07-04 00:01:00;Mu;634453344600000000;886
09-03-2013 12:03 AM;Mu;6.351376338E+17;7
2010-08-22 00:01:00;Eta;6.34180E+017;349
03-28-2019 12:01 AM;Xi;6.368932806E+17;371
2010-09-25 00:01:00;Chi;634209696600000000;256
05-27-2011 12:02 AM;Upsilon;6.344205132E+17;877
2016-04-25 00:01:00;Chi;635971392600000000;12
2019-06-19 00:01:00;Epsilon;6.36965E+017;222
12-15-2016 12:01 AM;Tau;6.361735686E+17;282
12-27-2017 12:01 AM;Sigma;6.364992966E+17;443
03-26-2018 12:02 AM;Gamma;6.365761932E+17;627
2010-03-25T00:01:00.0000000;Pi;634,050,720,600,000,000.00000000;912
2018-07-02T00:02:00.0000000;Alpha;636,660,865,200,000,000.00000000;679
04-09-2014 12:01 AM;Pi;6.353259846E+17;481
05-25-2010 12:03 AM;Iota;6.341034258E+17;543
2018-04-21T00:02:00.0000000;Sigma;636,598,657,200,000,000.00000000;377
2017-08-19 00:01:00;Xi;6.36387E+017;286
2017-03-03 00:02:00;Beta;636240961200000000;984
2019-04-21T00:01:00.0000000;Nu;636,914,016,600,000,000.00000000;758
2016-08-29 00:01:00;Phi;636080256600000000;478
11-27-2015 12:01 AM;Delta;6.358417926E+17;248
2015-07-02 00:01:00;Eta;6.35714E+017;608
05-04-2012 12:01 AM;Delta;6.347168646E+17;643
2017-01-11 00:01:00;Chi;636196896600000000;627
2014-12-13 00:01:00;Nu;6.35540E+017;638
05-05-2011 12:01 AM;Zeta;6.344015046E+17;767
2012-07-20 00:01:00;Omega;634783392600000000;356
2016-05-20 00:01:00;Phi;635992992600000000;28
2014-05-21 00:01:00;Delta;635362272600000000;327
2010-09-06 00:03:00;Tau;6.34193E+017;574
2016-04-14 00:01:00;Upsilon;635961888600000000;977
05-07-2017 12:01 AM;Gamma;6.362971206E+17;630
2012-01-08 00:01:00;Lambda;634615776600000000;42
12-01-2019 12:02 AM;Omicron;6.371075532E+17;614
2010-06-18 00:02:00;Kappa;634124161200000000;767
2019-12-29T00:01:00.0000000;Upsilon;637,131,744,600,000,000.00000000;433
2010-09-28 00:01:00;Tau;6.34212E+017;973
01-09-2014 12:01 AM;Nu;6.352482246E+17;458
01-26-2015 12:02 AM;Tau;6.355782732E+17;459
2015-03-08T00:02:00.0000000;Rho;635,613,697,200,000,000.00000000;594
10-06-2015 12:01 AM;Eta;6.357968646E+17;901
2014-01-22 00:02:00;Sigma;6.35259E+017;219
2014-06-13 00:01:00;Iota;635382144600000000;135
11-07-2015 12:01 AM;Beta;6.358245126E+17;293
2012-07-20T00:02:00.0000000;Omicron;634,783,393,200,000,000.00000000;88
2017-04-28 00:01:00;Xi;636289344600000000;345
11-25-2015 12:02 AM;Mu;6.358400652E+17;316
12-31-2016 12:01 AM;Xi;6.361873926E+17;447
2019-08-05 00:01:00;Eta;637005600600000000;965
2019-03-30 00:02:00;Zeta;636895009200000000;238
2015-11-19 00:01:00;Psi;635834880600000000;264
2010-01-08 00:01:00;Kappa;633985056600000000;860
06-06-2018 12:01 AM;Rho;6.366384006E+17;310
01-11-2013 12:01 AM;Omicron;6.349345926E+17;821
2010-06-07 00:03:00;Phi;634114657800000000;525
2015-04-12 00:01:00;Eta;635643936600000000;71
2010-03-06T00:02:00.0000000;Xi;634,034,305,200,000,000.00000000;92
2015-01-29 00:02:00;Tau;635580865200000000;4
2017-05-16 00:02:00;Chi;636304897200000000;693
2017-01-20 00:02:00;Pi;636204673200000000;845
05-25-2017 12:03 AM;Epsilon;6.363126738E+17;774
2014-11-24 00:03:00;Zeta;6.35524E+017;624
2014-01-11 00:04:00;Tau;635249954400000000;775
2018-08-23 00:03:00;Beta;636705793800000000;950
2013-03-17 00:01:00;Lambda;634990752600000000;146
05-26-2016 12:01 AM;Beta;6.359981766E+17;466
2010-03-03 00:01:00;Sigma;634031712600000000;435
2019-04-05 00:02:00;Chi;636900193200000000;950
2016-08-30T00:03:00.0000000;Zeta;636,081,121,800,000,000.00000000;701
08-22-2011 12:03 AM;Omega;6.344956818E+17;389
09-28-2011 12:04 AM;Delta;6.345276504E+17;78
01-31-2018 12:01 AM;Iota;6.365295366E+17;161
2018-11-14 00:02:00;Psi;6.36778E+017;853
2012-01-25 00:02:00;Kappa;634630465200000000;692
2016-06-08 00:02:00;Beta;6.36009E+017;430
10-08-2013 12:02 AM;Alpha;6.351678732E+17;816
2013-04-07 00:03:00;Omega;6.35009E+017;591
03-11-2018 12:02 AM;Iota;6.365632332E+17;489
2018-04-27 00:03:00;Mu;6.36604E+017;974
2016-09-16 00:02:00;Lambda;636095809200000000;244
2010-08-11 00:02:00;Zeta;634170817200000000;321
06-20-2015 12:01 AM;Iota;6.357035526E+17;761
2013-04-24 00:01:00;Psi;635023584600000000;687
01-05-2010 12:01 AM;Eta;6.339824646E+17;918
2018-01-03T00:02:00.0000000;Nu;636,505,345,200,000,000.00000000;738
2013-12-11T00:01:00.0000000;Pi;635,223,168,600,000,000.00000000;330
02-22-2017 12:03 AM;Alpha;6.362331858E+17;894
04-24-2015 12:03 AM;Omicron;6.356543058E+17;179
08-17-2013 12:01 AM;Epsilon;6.351229446E+17;278
2011-12-21 00:03:00;Chi;6.34600E+017;75
2018-03-06 00:02:00;Upsilon;6.36559E+017;885
06-18-2014 12:03 AM;Eta;6.353864658E+17;894
2015-02-06 00:02:00;Mu;6.35588E+017;500
06-21-2014 12:03 AM;Mu;6.353890578E+17;600
2017-05-16 00:01:00;Psi;636304896600000000;806
2014-06-05 00:02:00;Theta;635375233200000000;209
2012-05-30 00:02:00;Eta;634739329200000000;747
2016-04-29T00:01:00.0000000;Alpha;635,974,848,600,000,000.00000000;308
03-27-2012 12:02 AM;Tau;6.346840332E+17;827
2013-05-12 00:01:00;Beta;635039136600000000;909
2018-11-30 00:03:00;Rho;6.36791E+017;523
2014-08-05T00:01:00.0000000;Pi;635,427,936,600,000,000.00000000;5
05-16-2019 12:01 AM;Omicron;6.369356166E+17;415
10-08-2013 12:02 AM;Upsilon;6.351678732E+17;235
03-16-2015 12:03 AM;Delta;6.356206098E+17;318
12-23-2013 12:02 AM;Sigma;6.352335372E+17;43
2013-02-25 00:03:00;Pi;634973473800000000;360
2016-05-30 00:02:00;Chi;636001633200000000;886
2014-02-07 00:03:00;Nu;6.35273E+017;595
2017-06-15 00:02:00;Mu;636330817200000000;924
2010-12-18T00:03:00.0000000;Delta;634,282,273,800,000,000.00000000;824
2013-07-17T00:03:00.0000000;Chi;635,096,161,800,000,000.00000000;582
08-24-2010 12:04 AM;Beta;6.341820504E+17;269
02-06-2010 12:02 AM;Omega;6.340101132E+17;856
2019-11-19 00:01:00;Sigma;637097184600000000;718
2010-09-08 00:02:00;Eta;6.34195E+017;561
06-13-2016 12:04 AM;Epsilon;6.360137304E+17;444
2013-08-25 00:03:00;Omicron;635129857800000000;957
2010-05-17T00:03:00.0000000;Phi;634,096,513,800,000,000.00000000;703
2011-08-09 00:02:00;Theta;634484449200000000;869
06-18-2014 12:02 AM;Psi;6.353864652E+17;324
08-04-2016 12:03 AM;Pi;6.360586578E+17;597
12-16-2010 12:01 AM;Pi;6.342805446E+17;45
2016-06-18 00:01:00;Rho;636018048600000000;501
04-09-2014 12:02 AM;Beta;6.353259852E+17;209
2017-07-12 00:02:00;Nu;6.36354E+017;767
2014-08-18 00:02:00;Kappa;635439169200000000;683
01-14-2012 12:03 AM;Eta;6.346209618E+17;91
07-31-2019 12:03 AM;Nu;6.370012818E+17;352
2017-12-19 00:02:00;Beta;636492385200000000;389
04-10-2013 12:03 AM;Omega;6.350114898E+17;888
2015-12-26 00:03:00;Iota;635866849800000000;245
2014-04-11 00:04:00;Alpha;635327714400000000;123
2014-05-23T00:01:00.0000000;Omicron;635,364,000,600,000,000.00000000;641
07-02-2016 12:02 AM;Kappa;6.360301452E+17;228
2013-04-23 00:02:00;Kappa;635022721200000000;565
05-04-2017 12:04 AM;Sigma;6.362945304E+17;744
05-04-2018 12:02 AM;Nu;6.366098892E+17;937
11-23-2016 12:03 AM;Chi;6.361545618E+17;795
09-16-2015 12:01 AM;Xi;6.357795846E+17;413
2014-10-18 00:03:00;Zeta;6.35492E+017;940
2019-04-24 00:02:00;Rho;6.36917E+017;477
2018-02-15 00:03:00;Omega;6.36542E+017;384
2017-10-08 00:02:00;Sigma;636430177200000000;951
2018-11-02 00:04:00;Chi;636767138400000000;455
2016-07-05 00:02:00;Alpha;636032737200000000;728
12-28-2011 12:02 AM;Epsilon;6.346062732E+17;839
2013-06-08 00:02:00;Xi;635062465200000000;347
2018-05-04 00:04:00;Rho;636609890400000000;254
2018-07-08 00:02:00;Tau;6.36666E+017;536
2019-02-22 00:02:00;Sigma;636863905200000000;900
2014-12-28T00:01:00.0000000;Pi;635,553,216,600,000,000.00000000;769
2019-01-17T00:04:00.0000000;Theta;636,832,802,400,000,000.00000000;70
07-20-2011 12:02 AM;Nu;6.344671692E+17;250
2018-05-28 00:05:00;Theta;636630627000000000;886
