TM;Category;unknown;Quantity
2017-11-07 00:01:00;Rho;636456096600000000;472
11-03-2011 12:01 AM;Alpha;6.345587526E+17;392
2015-05-19T00:01:00.0000000;Nu;635,675,904,600,000,000.00000000;474
2011-01-23 00:01:00;Kappa;634313376600000000;515
2018-07-23T00:01:00.0000000;Iota;636,679,008,600,000,000.00000000;112
2015-02-05 00:01:00;Tau;635586912600000000;203
12-23-2018 12:01 AM;Iota;6.368112006E+17;704
2016-12-07 00:01:00;Epsilon;6.36167E+017;479
2016-10-07T00:01:00.0000000;Upsilon;636,113,952,600,000,000.00000000;655
2012-05-12T00:01:00.0000000;Omicron;634,723,776,600,000,000.00000000;829
2016-06-23T00:01:00.0000000;Eta;636,022,368,600,000,000.00000000;961
06-30-2017 12:01 AM;Kappa;6.363437766E+17;524
2013-03-02 00:01:00;Theta;6.34978E+017;485
2011-11-26 00:01:00;Upsilon;634578624600000000;413
2018-10-19 00:01:00;Omicron;636755040600000000;378
04-09-2015 12:01 AM;Beta;6.356413446E+17;808
2013-08-30 00:01:00;Lambda;6.35134E+017;273
06-20-2014 12:01 AM;Chi;6.353881926E+17;581
07-05-2010 12:01 AM;Alpha;6.341388486E+17;698
01-31-2013 12:02 AM;Beta;6.349518732E+17;262
2013-04-02T00:01:00.0000000;Lambda;635,004,576,600,000,000.00000000;473
2019-02-08 00:01:00;Chi;636851808600000000;733
2014-07-02 00:01:00;Mu;635398560600000000;129
2017-08-18 00:01:00;Epsilon;6.36386E+017;733
2019-03-14T00:01:00.0000000;Xi;636,881,184,600,000,000.00000000;260
2012-12-20 00:01:00;Xi;6.34916E+017;718
2014-12-24 00:02:00;Psi;635549761200000000;403
2016-06-21T00:01:00.0000000;Phi;636,020,640,600,000,000.00000000;367
2011-01-22 00:01:00;Eta;634312512600000000;239
2010-06-27 00:02:00;Upsilon;6.34132E+017;403
2019-08-30 00:01:00;Delta;6.37027E+017;252
2011-04-08T00:01:00.0000000;Chi;634,378,176,600,000,000.00000000;927
12-09-2018 12:01 AM;Nu;6.367991046E+17;153
10-25-2015 12:01 AM;Psi;6.358132806E+17;138
2019-06-28 00:02:00;Beta;636972769200000000;337
2010-10-26T00:02:00.0000000;Omicron;634,236,481,200,000,000.00000000;533
2013-04-01T00:01:00.0000000;Beta;635,003,712,600,000,000.00000000;858
2011-06-05 00:01:00;Upsilon;634428288600000000;796
2011-12-20 00:01:00;Tau;634599360600000000;155
2011-04-26T00:01:00.0000000;Zeta;634,393,728,600,000,000.00000000;449
2014-04-04 00:01:00;Alpha;6.35322E+017;790
01-27-2014 12:02 AM;Delta;6.352637772E+17;600
06-01-2015 12:02 AM;Omega;6.356871372E+17;729
2018-10-25 00:01:00;Beta;636760224600000000;639
04-19-2011 12:01 AM;Psi;6.343876806E+17;997
