TM;Category;unknown;Quantity
2010-06-21 00:01:00;Lambda;634126752600000000;496
09-09-2012 12:01 AM;Epsilon;6.348274566E+17;166
2010-12-19 00:01:00;Beta;634283136600000000;506
2014-06-13 00:01:00;Omicron;635382144600000000;141
07-07-2015 12:01 AM;Mu;6.357182406E+17;952
2017-07-09 00:01:00;Chi;636351552600000000;946
2014-11-17 00:01:00;Omicron;635517792600000000;539
2019-03-01 00:01:00;Upsilon;636869952600000000;535
09-11-2011 12:01 AM;Pi;6.345129606E+17;131
2010-08-05 00:01:00;Tau;6.34166E+017;105
02-02-2017 12:01 AM;Phi;6.362159046E+17;598
2019-10-05 00:01:00;Beta;6.37058E+017;329
2013-12-07 00:01:00;Tau;635219712600000000;796
2014-01-20 00:01:00;Kappa;635257728600000000;988
04-18-2018 12:01 AM;Beta;6.365960646E+17;978
2014-05-04T00:01:00.0000000;Kappa;635,347,584,600,000,000.00000000;93
2012-05-28T00:01:00.0000000;Phi;634,737,600,600,000,000.00000000;594
09-21-2014 12:01 AM;Epsilon;6.354685446E+17;447
2011-08-16 00:01:00;Nu;634490496600000000;403
07-30-2013 12:01 AM;Phi;6.351073926E+17;889
2016-03-27 00:02:00;Gamma;6.35946E+017;436
2011-03-03T00:01:00.0000000;Psi;634,347,072,600,000,000.00000000;942
06-13-2016 12:01 AM;Delta;6.360137286E+17;586
2018-05-10T00:01:00.0000000;Psi;636,615,072,600,000,000.00000000;929
2016-12-02T00:01:00.0000000;Chi;636,162,336,600,000,000.00000000;720
2012-10-19 00:01:00;Alpha;634862016600000000;957
2013-05-12 00:01:00;Lambda;635039136600000000;913
2019-09-30T00:01:00.0000000;Theta;637,053,984,600,000,000.00000000;248
2012-11-12 00:02:00;Upsilon;6.34883E+017;595
2018-02-16 00:01:00;Iota;6.36543E+017;95
2019-03-22 00:01:00;Lambda;6.36888E+017;51
2016-11-15 00:02:00;Rho;636147649200000000;637
01-03-2011 12:01 AM;Iota;6.342960966E+17;842
2012-08-10T00:01:00.0000000;Pi;634,801,536,600,000,000.00000000;7
2017-04-23 00:01:00;Beta;636285024600000000;671
2018-12-28 00:02:00;Pi;636815521200000000;427
2017-01-27 00:01:00;Beta;636210720600000000;733
09-09-2011 12:01 AM;Xi;6.345112326E+17;571
11-01-2012 12:01 AM;Lambda;6.348732486E+17;124
