TM;Category;unknown;Quantity
2012-10-22T00:01:00.0000000;Alpha;634,864,608,600,000,000.00000000;115
2019-03-04 00:01:00;Gamma;6.36873E+017;540
2018-04-21 00:01:00;Beta;636598656600000000;161
05-24-2012 12:01 AM;Gamma;6.347341446E+17;541
07-08-2014 12:01 AM;Omega;6.354037446E+17;254
2011-10-24T00:01:00.0000000;Chi;634,550,112,600,000,000.00000000;650
05-29-2015 12:01 AM;Tau;6.356845446E+17;653
2012-07-22T00:02:00.0000000;Pi;634,785,121,200,000,000.00000000;10
2018-12-12 00:01:00;Gamma;636801696600000000;962
2016-05-02 00:01:00;Omicron;635977440600000000;11
2014-05-03T00:02:00.0000000;Gamma;635,346,721,200,000,000.00000000;174
2010-08-14T00:02:00.0000000;Lambda;634,173,409,200,000,000.00000000;139
04-19-2016 12:01 AM;Xi;6.359662086E+17;157
2015-05-24 00:02:00;Chi;635680225200000000;368
2016-12-23 00:01:00;Rho;636180480600000000;822
2010-05-15 00:02:00;Omega;634094785200000000;183
2019-04-22 00:01:00;Pi;636914880600000000;371
2011-07-25T00:01:00.0000000;Omega;634,471,488,600,000,000.00000000;951
09-09-2011 12:02 AM;Omicron;6.345112332E+17;25
06-12-2017 12:02 AM;Pi;6.363282252E+17;204
01-20-2011 12:01 AM;Phi;6.343107846E+17;343
04-29-2019 12:02 AM;Theta;6.369209292E+17;781
2014-10-13 00:01:00;Omega;635487552600000000;390
2010-11-11 00:01:00;Delta;634250304600000000;221
11-29-2014 12:01 AM;Chi;6.355281606E+17;222
2019-09-11T00:02:00.0000000;Gamma;637,037,569,200,000,000.00000000;19
2018-02-26T00:02:00.0000000;Delta;636,552,001,200,000,000.00000000;798
2014-06-29 00:03:00;Eta;635395969800000000;392
2012-03-02 00:01:00;Chi;634662432600000000;45
09-30-2017 12:01 AM;Epsilon;6.364232646E+17;423
2016-11-29 00:01:00;Pi;636159744600000000;263
10-30-2019 12:01 AM;Psi;6.370799046E+17;926
07-03-2010 12:01 AM;Upsilon;6.341371206E+17;434
2017-08-10 00:01:00;Zeta;636379200600000000;3
2017-11-28T00:01:00.0000000;Eta;636,474,240,600,000,000.00000000;912
12-23-2019 12:01 AM;Alpha;6.371265606E+17;746
2014-06-08 00:01:00;Iota;635377824600000000;791
2014-05-04T00:01:00.0000000;Mu;635,347,584,600,000,000.00000000;662
07-16-2017 12:01 AM;Zeta;6.363576006E+17;186
2015-12-05T00:02:00.0000000;Omicron;635,848,705,200,000,000.00000000;742
2012-08-25 00:01:00;Iota;634814496600000000;404
2016-01-25 00:03:00;Theta;635892769800000000;732
06-07-2013 12:01 AM;Rho;6.350616006E+17;624
09-21-2013 12:02 AM;Beta;6.351531852E+17;67
2017-10-04T00:02:00.0000000;Epsilon;636,426,721,200,000,000.00000000;405
2011-05-20 00:03:00;Lambda;6.34414E+017;733
2012-08-24 00:02:00;Eta;634813633200000000;611
2011-07-29 00:01:00;Gamma;634474944600000000;310
07-14-2018 12:01 AM;Theta;6.366712326E+17;322
2018-05-08 00:01:00;Tau;636613344600000000;691
2013-03-17 00:01:00;Tau;634990752600000000;48
2015-12-07T00:01:00.0000000;Nu;635,850,432,600,000,000.00000000;98
04-26-2015 12:02 AM;Phi;6.356560332E+17;964
2017-08-31 00:02:00;Beta;636397345200000000;187
2017-01-24T00:01:00.0000000;Zeta;636,208,128,600,000,000.00000000;247
2014-05-05T00:01:00.0000000;Omega;635,348,448,600,000,000.00000000;353
03-09-2013 12:02 AM;Alpha;6.349838412E+17;461
2016-07-29T00:01:00.0000000;Chi;636,053,472,600,000,000.00000000;374
2015-02-24 00:01:00;Chi;6.35603E+017;912
2019-03-17 00:03:00;Lambda;636883777800000000;607
03-23-2014 12:01 AM;Tau;6.353112966E+17;877
2015-01-28 00:02:00;Sigma;635580001200000000;300
2014-05-10 00:02:00;Psi;6.35353E+017;407
06-28-2012 12:01 AM;Eta;6.347643846E+17;647
2017-07-26 00:02:00;Chi;636366241200000000;919
2018-10-08 00:01:00;Nu;6.36746E+017;234
2013-07-23 00:02:00;Beta;635101345200000000;873
04-30-2014 12:01 AM;Alpha;6.353441286E+17;493
01-27-2013 12:03 AM;Kappa;6.349484178E+17;371
05-29-2010 12:01 AM;Omega;6.341068806E+17;374
2011-08-27 00:01:00;Delta;634500000600000000;245
2012-11-22 00:01:00;Epsilon;634891392600000000;387
2017-10-01 00:02:00;Beta;636424129200000000;848
08-20-2017 12:01 AM;Lambda;6.363878406E+17;80
2017-09-18T00:01:00.0000000;Gamma;636,412,896,600,000,000.00000000;81
11-09-2016 12:01 AM;Eta;6.361424646E+17;138
2014-12-11 00:01:00;Theta;635538528600000000;649
2011-02-08 00:03:00;Chi;634327201800000000;888
11-23-2010 12:02 AM;Rho;6.342606732E+17;176
02-19-2017 12:03 AM;Upsilon;6.362305938E+17;395
2011-06-20T00:02:00.0000000;Psi;634,441,249,200,000,000.00000000;420
05-26-2010 12:02 AM;Lambda;6.341042892E+17;855
2018-06-01 00:01:00;Alpha;636634080600000000;446
2017-01-13 00:02:00;Rho;6.36199E+017;450
2014-08-07 00:02:00;Omega;635429665200000000;470
2016-07-26T00:02:00.0000000;Sigma;636,050,881,200,000,000.00000000;608
2016-11-10 00:02:00;Iota;636143329200000000;781
2016-06-27 00:03:00;Tau;6.36026E+017;491
06-16-2016 12:02 AM;Lambda;6.360163212E+17;578
03-02-2014 12:04 AM;Mu;6.352931544E+17;366
04-20-2010 12:02 AM;Nu;6.340731852E+17;549
01-28-2019 12:01 AM;Nu;6.368423046E+17;731
2012-01-21T00:02:00.0000000;Phi;634,627,009,200,000,000.00000000;509
2019-04-25 00:01:00;Rho;6.36917E+017;102
2016-05-23 00:01:00;Theta;6.35996E+017;601
2010-07-13 00:01:00;Xi;634145760600000000;11
10-19-2016 12:03 AM;Theta;6.361243218E+17;692
2016-07-25 00:02:00;Theta;636050017200000000;542
2013-07-08 00:01:00;Nu;6.35088E+017;848
2017-02-12T00:01:00.0000000;Epsilon;636,224,544,600,000,000.00000000;828
2013-02-12 00:02:00;Xi;6.34962E+017;300
2018-08-31 00:02:00;Phi;636712705200000000;605
12-23-2019 12:02 AM;Kappa;6.371265612E+17;582
2017-09-14 00:02:00;Upsilon;636409441200000000;702
2010-10-31 00:02:00;Eta;634240801200000000;683
2011-02-10 00:02:00;Eta;634328929200000000;67
2011-07-30 00:02:00;Gamma;6.34476E+017;883
01-25-2015 12:02 AM;Epsilon;6.355774092E+17;727
2016-10-11 00:02:00;Upsilon;636117409200000000;208
2012-08-07T00:03:00.0000000;Sigma;634,798,945,800,000,000.00000000;918
05-20-2018 12:02 AM;Xi;6.366237132E+17;382
2016-08-30 00:02:00;Tau;636081121200000000;957
