TM;Category;unknown;Quantity
2015-12-27 00:01:00;Lambda;635867712600000000;602
2017-04-22 00:01:00;Sigma;636284160600000000;374
2016-09-20T00:01:00.0000000;Kappa;636,099,264,600,000,000.00000000;977
2017-08-28 00:01:00;Pi;636394752600000000;816
2012-05-10T00:01:00.0000000;Tau;634,722,048,600,000,000.00000000;310
2012-03-17T00:01:00.0000000;Lambda;634,675,392,600,000,000.00000000;855
2011-10-13 00:01:00;Nu;6.34541E+017;349
12-16-2015 12:01 AM;Beta;6.358582086E+17;100
2019-09-15 00:01:00;Eta;637041024600000000;250
2011-11-27 00:01:00;Beta;634579488600000000;419
2012-12-13T00:01:00.0000000;Nu;634,909,536,600,000,000.00000000;306
02-17-2013 12:01 AM;Pi;6.349665606E+17;139
2018-12-20 00:01:00;Pi;6.36809E+017;53
2016-03-25 00:01:00;Kappa;635944608600000000;666
2019-02-03 00:01:00;Nu;636847488600000000;486
2019-04-18 00:01:00;Beta;636911424600000000;379
2014-12-12 00:01:00;Theta;635539392600000000;561
07-31-2012 12:01 AM;Upsilon;6.347928966E+17;960
2014-09-11 00:01:00;Mu;635459904600000000;479
09-11-2010 12:02 AM;Nu;6.341976012E+17;657
2012-12-13T00:01:00.0000000;Rho;634,909,536,600,000,000.00000000;73
2017-02-27 00:01:00;Upsilon;636237504600000000;21
07-31-2013 12:02 AM;Upsilon;6.351082572E+17;932
2015-09-27 00:01:00;Lambda;635789088600000000;730
06-02-2013 12:02 AM;Zeta;6.350572812E+17;557
01-02-2017 12:01 AM;Omicron;6.361891206E+17;485
2018-11-29 00:01:00;Pi;636790464600000000;245
08-02-2017 12:01 AM;Upsilon;6.363722886E+17;856
2014-07-14 00:01:00;Sigma;635408928600000000;755
2013-07-20T00:01:00.0000000;Kappa;635,098,752,600,000,000.00000000;577
03-14-2016 12:02 AM;Rho;6.359351052E+17;133
2017-10-28 00:03:00;Alpha;6.36447E+017;350
11-18-2012 12:01 AM;Chi;6.348879366E+17;539
2014-04-17T00:01:00.0000000;Zeta;635,332,896,600,000,000.00000000;92
2010-05-15 00:02:00;Xi;634094785200000000;714
12-12-2010 12:02 AM;Chi;6.342770892E+17;111
02-18-2018 12:01 AM;Iota;6.365450886E+17;954
2011-02-12T00:01:00.0000000;Tau;634,330,656,600,000,000.00000000;533
2015-10-10 00:01:00;Alpha;635800320600000000;280
2012-09-17 00:02:00;Epsilon;634834369200000000;45
07-28-2013 12:02 AM;Omega;6.351056652E+17;399
2011-05-16 00:02:00;Delta;634411009200000000;410
01-27-2019 12:01 AM;Mu;6.368414406E+17;179
2017-10-31 00:01:00;Upsilon;6.36450E+017;208
2013-04-09 00:01:00;Phi;6.35011E+017;71
05-20-2018 12:01 AM;Theta;6.366237126E+17;366
11-02-2017 12:01 AM;Mu;6.364517766E+17;154
2010-03-24T00:01:00.0000000;Theta;634,049,856,600,000,000.00000000;961
2017-05-31T00:02:00.0000000;Tau;636,317,857,200,000,000.00000000;388
2012-04-24 00:02:00;Iota;634708225200000000;523
04-18-2017 12:01 AM;Tau;6.362807046E+17;578
2015-09-06T00:01:00.0000000;Lambda;635,770,944,600,000,000.00000000;451
2011-01-26T00:01:00.0000000;Rho;634,315,968,600,000,000.00000000;60
2019-09-13 00:02:00;Rho;637039297200000000;315
11-18-2012 12:01 AM;Delta;6.348879366E+17;835
04-21-2016 12:01 AM;Chi;6.359679366E+17;594
12-05-2013 12:01 AM;Theta;6.352179846E+17;720
2016-03-19 00:01:00;Delta;635939424600000000;707
11-06-2011 12:01 AM;Psi;6.345613446E+17;966
11-09-2016 12:01 AM;Omega;6.361424646E+17;861
2017-12-21 00:01:00;Chi;636494112600000000;584
09-05-2012 12:01 AM;Xi;6.348240006E+17;315
2010-09-23 00:02:00;Kappa;634207969200000000;639
2011-02-13T00:01:00.0000000;Rho;634,331,520,600,000,000.00000000;963
2012-08-12 00:01:00;Mu;634803264600000000;719
03-15-2017 12:01 AM;Lambda;6.362513286E+17;628
10-17-2011 12:02 AM;Lambda;6.345440652E+17;125
05-11-2010 12:02 AM;Zeta;6.340913292E+17;549
2018-11-29 00:03:00;Phi;6.36790E+017;852
2012-03-01 00:02:00;Upsilon;634661569200000000;854
03-07-2012 12:01 AM;Lambda;6.346667526E+17;453
2013-10-01T00:01:00.0000000;Eta;635,161,824,600,000,000.00000000;846
02-05-2011 12:02 AM;Rho;6.343246092E+17;839
2014-01-02 00:02:00;Zeta;635242177200000000;67
2018-08-12 00:01:00;Tau;636696288600000000;270
2012-11-27 00:02:00;Lambda;634895713200000000;804
09-05-2018 12:01 AM;Lambda;6.367170246E+17;701
2011-01-25T00:02:00.0000000;Omega;634,315,105,200,000,000.00000000;235
01-30-2014 12:01 AM;Kappa;6.352663686E+17;992
2014-11-01T00:01:00.0000000;Chi;635,503,968,600,000,000.00000000;381
2019-12-13 00:02:00;Phi;637117921200000000;64
2014-05-19 00:02:00;Rho;635360545200000000;789
01-18-2017 12:01 AM;Theta;6.362029446E+17;183
05-29-2010 12:01 AM;Delta;6.341068806E+17;729
2019-07-18T00:01:00.0000000;Nu;636,990,048,600,000,000.00000000;937
2010-12-25 00:02:00;Delta;6.34288E+017;303
2017-06-24 00:01:00;Delta;6.36339E+017;68
2019-09-15 00:01:00;Mu;637041024600000000;112
02-08-2011 12:01 AM;Psi;6.343272006E+17;401
2015-07-19 00:02:00;Upsilon;6.35729E+017;246
05-27-2017 12:01 AM;Epsilon;6.363144006E+17;11
2016-03-29 00:01:00;Sigma;6.35948E+017;157
2014-06-12 00:01:00;Pi;635381280600000000;825
2016-10-15 00:02:00;Lambda;6.36121E+017;10
2011-05-20 00:01:00;Nu;6.34414E+017;777
2012-01-28 00:01:00;Upsilon;6.34633E+017;777
2018-07-24 00:01:00;Pi;636679872600000000;351
2018-10-04 00:02:00;Epsilon;636742081200000000;88
11-02-2012 12:02 AM;Iota;6.348741132E+17;185
2016-08-20 00:02:00;Pi;6.36072E+017;792
01-05-2016 12:02 AM;Theta;6.358754892E+17;407
01-28-2014 12:03 AM;Upsilon;6.352646418E+17;473
2019-05-09 00:03:00;Omega;636929569800000000;381
2012-04-24 00:02:00;Epsilon;634708225200000000;774
2019-06-28 00:02:00;Theta;636972769200000000;888
2013-02-02 00:02:00;Rho;634953601200000000;637
2010-10-31 00:03:00;Epsilon;6.34241E+017;898
2013-04-27 00:01:00;Lambda;6.35026E+017;279
2010-01-10T00:02:00.0000000;Chi;633,986,785,200,000,000.00000000;352
2018-09-14T00:01:00.0000000;Xi;636,724,800,600,000,000.00000000;856
2010-04-07 00:02:00;Eta;634061953200000000;614
2010-02-13 00:01:00;Iota;634016160600000000;425
2017-09-06 00:01:00;Eta;6.36403E+017;359
2017-12-05 00:01:00;Pi;6.36480E+017;688
01-28-2019 12:01 AM;Alpha;6.368423046E+17;697
11-03-2010 12:04 AM;Pi;6.342433944E+17;424
2018-12-16 00:01:00;Xi;636805152600000000;490
11-06-2016 12:01 AM;Chi;6.361398726E+17;305
12-05-2018 12:03 AM;Iota;6.367956498E+17;94
2013-09-12T00:01:00.0000000;Theta;635,145,408,600,000,000.00000000;710
2016-06-21T00:01:00.0000000;Alpha;636,020,640,600,000,000.00000000;170
2011-08-30T00:01:00.0000000;Rho;634,502,592,600,000,000.00000000;612
2014-03-25 00:02:00;Nu;635313025200000000;129
2013-02-11 00:01:00;Upsilon;6.34961E+017;692
01-07-2015 12:03 AM;Iota;6.355618578E+17;456
2014-08-20T00:03:00.0000000;Epsilon;635,440,897,800,000,000.00000000;362
07-18-2017 12:02 AM;Psi;6.363593292E+17;76
2010-09-23 00:02:00;Theta;634207969200000000;518
2019-09-09 00:01:00;Pi;637035840600000000;383
2011-09-24 00:02:00;Pi;6.34524E+017;55
2013-12-14 00:01:00;Tau;635225760600000000;785
2018-10-22 00:02:00;Theta;636757633200000000;490
01-10-2019 12:02 AM;Rho;6.368267532E+17;829
2015-02-03 00:03:00;Tau;635585185800000000;375
2010-03-03 00:02:00;Omicron;634031713200000000;865
12-03-2013 12:01 AM;Gamma;6.352162566E+17;879
03-14-2011 12:02 AM;Iota;6.343565772E+17;191
2016-05-16T00:03:00.0000000;Omicron;635,989,537,800,000,000.00000000;798
10-06-2015 12:02 AM;Lambda;6.357968652E+17;799
2015-12-05T00:03:00.0000000;Delta;635,848,705,800,000,000.00000000;910
2011-01-10 00:01:00;Chi;634302144600000000;513
11-22-2017 12:02 AM;Gamma;6.364690572E+17;180
2019-06-29T00:02:00.0000000;Beta;636,973,633,200,000,000.00000000;495
2015-01-29 00:01:00;Pi;635580864600000000;966
2012-12-17 00:01:00;Tau;634912992600000000;14
2014-07-14 00:02:00;Mu;635408929200000000;580
2018-12-19 00:03:00;Epsilon;6.36808E+017;391
2010-04-28T00:03:00.0000000;Tau;634,080,097,800,000,000.00000000;469
2014-01-04 00:03:00;Upsilon;6.35244E+017;936
2013-03-02 00:03:00;Upsilon;6.34978E+017;417
2015-01-18 00:03:00;Eta;6.35571E+017;564
02-20-2011 12:02 AM;Delta;6.343375692E+17;509
2012-10-10 00:01:00;Sigma;6.34854E+017;444
2010-01-24 00:02:00;Nu;633998881200000000;905
2015-10-31T00:02:00.0000000;Zeta;635,818,465,200,000,000.00000000;406
2014-10-20 00:03:00;Rho;6.35494E+017;252
2011-07-14 00:02:00;Upsilon;6.34462E+017;587
2014-06-09T00:02:00.0000000;Theta;635,378,689,200,000,000.00000000;254
2011-09-05 00:02:00;Sigma;6.34508E+017;3
04-14-2019 12:02 AM;Theta;6.369079692E+17;803
2010-05-23 00:03:00;Mu;6.34102E+017;240
2019-05-31 00:04:00;Iota;6.36949E+017;177
2018-10-07 00:04:00;Phi;6.36745E+017;341
04-06-2015 12:02 AM;Tau;6.356387532E+17;760
2018-01-23 00:03:00;Theta;636522625800000000;447
2012-10-17 00:02:00;Rho;634860289200000000;844
2018-02-13 00:02:00;Sigma;6.36541E+017;289
2016-09-23 00:02:00;Beta;636101857200000000;580
12-18-2013 12:02 AM;Pi;6.352292172E+17;473
2013-02-05T00:01:00.0000000;Beta;634,956,192,600,000,000.00000000;203
2013-06-09 00:02:00;Tau;635063329200000000;844
2014-08-03T00:02:00.0000000;Eta;635,426,209,200,000,000.00000000;945
2019-06-19 00:02:00;Xi;6.36965E+017;567
2015-09-01 00:02:00;Gamma;635766625200000000;13
04-18-2010 12:02 AM;Rho;6.340714572E+17;486
2013-10-23 00:03:00;Eta;6.35181E+017;424
2013-07-23 00:02:00;Chi;635101345200000000;130
2011-02-14 00:03:00;Iota;634332385800000000;685
2010-05-17T00:02:00.0000000;Gamma;634,096,513,200,000,000.00000000;477
2016-06-05T00:01:00.0000000;Mu;636,006,816,600,000,000.00000000;574
2012-01-28 00:02:00;Xi;6.34633E+017;609
2019-09-16 00:02:00;Gamma;6.37042E+017;320
2013-11-21T00:03:00.0000000;Phi;635,205,889,800,000,000.00000000;434
2012-06-13 00:02:00;Zeta;634751425200000000;176
2018-01-20 00:01:00;Omega;636520032600000000;7
2018-02-15 00:02:00;Chi;6.36542E+017;62
2019-03-16 00:02:00;Sigma;636882913200000000;724
2015-10-18 00:03:00;Zeta;6.35807E+017;128
12-30-2011 12:01 AM;Mu;6.346080006E+17;379
2018-01-17 00:03:00;Lambda;636517441800000000;672
2018-02-27T00:02:00.0000000;Phi;636,552,865,200,000,000.00000000;927
06-12-2011 12:04 AM;Epsilon;6.344343384E+17;173
