TM;Category;unknown;Quantity
2018-07-24 00:01:00;Mu;636679872600000000;224
2017-10-26 00:01:00;Phi;636445728600000000;340
2016-10-30 00:01:00;Chi;636133824600000000;270
2019-08-02 00:01:00;Sigma;637003008600000000;557
2011-04-15 00:01:00;Omega;6.34384E+017;127
2011-04-30 00:01:00;Eta;634397184600000000;768
2014-05-23T00:01:00.0000000;Iota;635,364,000,600,000,000.00000000;515
02-16-2014 12:01 AM;Epsilon;6.352810566E+17;764
01-19-2010 12:01 AM;Rho;6.339945606E+17;613
2017-07-06T00:02:00.0000000;Kappa;636,348,961,200,000,000.00000000;925
09-21-2019 12:01 AM;Psi;6.370462086E+17;998
08-23-2017 12:01 AM;Mu;6.363904326E+17;368
2010-03-08 00:01:00;Tau;634036032600000000;223
2014-07-23 00:02:00;Psi;6.35417E+017;29
2012-04-22T00:01:00.0000000;Mu;634,706,496,600,000,000.00000000;112
2017-10-23T00:01:00.0000000;Mu;636,443,136,600,000,000.00000000;975
2013-06-16 00:01:00;Chi;635069376600000000;723
2010-12-24 00:01:00;Zeta;634287456600000000;814
2019-08-27 00:01:00;Tau;637024608600000000;811
2017-12-16T00:01:00.0000000;Xi;636,489,792,600,000,000.00000000;576
2016-04-17 00:01:00;Sigma;6.35964E+017;732
2019-03-20 00:01:00;Zeta;6.36886E+017;462
2018-02-09T00:01:00.0000000;Nu;636,537,312,600,000,000.00000000;837
2016-10-10 00:01:00;Sigma;636116544600000000;231
2011-03-21T00:01:00.0000000;Beta;634,362,624,600,000,000.00000000;845
2019-06-18 00:01:00;Pi;6.36964E+017;270
2019-08-28 00:01:00;Nu;637025472600000000;682
2011-01-30 00:01:00;Lambda;634319424600000000;145
2014-10-18 00:02:00;Kappa;635491873200000000;655
2010-10-26T00:03:00.0000000;Phi;634,236,481,800,000,000.00000000;514
2012-10-20T00:01:00.0000000;Nu;634,862,880,600,000,000.00000000;499
2017-05-20 00:01:00;Omega;6.36308E+017;549
2015-06-13 00:01:00;Theta;6.35698E+017;16
07-20-2011 12:01 AM;Omega;6.344671686E+17;16
2015-11-21 00:01:00;Mu;635836608600000000;577
2010-01-30T00:01:00.0000000;Gamma;634,004,064,600,000,000.00000000;368
2012-08-05 00:01:00;Phi;634797216600000000;225
2012-01-04T00:01:00.0000000;Eta;634,612,320,600,000,000.00000000;173
05-27-2017 12:01 AM;Psi;6.363144006E+17;685
2016-03-25 00:01:00;Beta;635944608600000000;836
2015-05-23 00:01:00;Delta;635679360600000000;248
2016-07-15 00:01:00;Sigma;6.36041E+017;660
10-15-2012 12:02 AM;Theta;6.348585612E+17;247
2018-08-26T00:02:00.0000000;Omega;636,708,385,200,000,000.00000000;325
2016-08-28 00:02:00;Iota;636079393200000000;934
2014-06-05 00:02:00;Zeta;635375233200000000;448
2012-10-22 00:02:00;Zeta;634864609200000000;921
2018-07-19 00:02:00;Zeta;636675553200000000;411
2018-04-11 00:01:00;Beta;6.36590E+017;676
2017-04-27T00:01:00.0000000;Iota;636,288,480,600,000,000.00000000;870
02-03-2011 12:02 AM;Psi;6.343228812E+17;580
08-22-2018 12:01 AM;Nu;6.367049286E+17;799
02-14-2019 12:02 AM;Upsilon;6.368569932E+17;671
2014-05-22T00:01:00.0000000;Alpha;635,363,136,600,000,000.00000000;447
2016-06-09 00:01:00;Kappa;6.36010E+017;522
09-10-2012 12:01 AM;Sigma;6.348283206E+17;616
10-11-2012 12:01 AM;Lambda;6.348551046E+17;400
2014-06-24 00:01:00;Lambda;635391648600000000;834
2013-12-11T00:02:00.0000000;Chi;635,223,169,200,000,000.00000000;453
2018-07-25 00:02:00;Xi;636680737200000000;386
