TM;Category;unknown;Quantity
2018-10-03T00:01:00.0000000;Rho;636,741,216,600,000,000.00000000;576
2010-08-21 00:01:00;Psi;6.34179E+017;797
2015-05-01T00:01:00.0000000;Xi;635,660,352,600,000,000.00000000;317
2014-03-16 00:01:00;Lambda;635305248600000000;447
2012-03-23 00:01:00;Sigma;6.34681E+017;43
2013-07-07 00:01:00;Pi;6.35088E+017;865
2013-05-23 00:01:00;Kappa;635048640600000000;242
10-02-2016 12:01 AM;Omega;6.361096326E+17;554
03-11-2011 12:01 AM;Upsilon;6.343539846E+17;728
2018-05-11T00:01:00.0000000;Xi;636,615,936,600,000,000.00000000;647
2015-03-06 00:01:00;Eta;635611968600000000;409
2011-04-11 00:01:00;Psi;634380768600000000;922
2014-05-10 00:01:00;Nu;6.35353E+017;111
2018-07-23T00:01:00.0000000;Phi;636,679,008,600,000,000.00000000;493
05-19-2012 12:01 AM;Alpha;6.347298246E+17;616
2012-04-01 00:01:00;Omega;634688352600000000;164
2014-12-11 00:02:00;Sigma;635538529200000000;104
12-20-2014 12:01 AM;Upsilon;6.355463046E+17;874
01-23-2016 12:01 AM;Nu;6.358910406E+17;425
02-11-2014 12:02 AM;Delta;6.352767372E+17;964
05-26-2011 12:02 AM;Rho;6.344196492E+17;737
2015-12-01 00:02:00;Epsilon;635845249200000000;474
2013-09-09 00:01:00;Phi;635142816600000000;278
2013-05-23 00:01:00;Nu;635048640600000000;937
2014-01-13 00:01:00;Pi;635251680600000000;811
2019-02-04 00:01:00;Sigma;636848352600000000;633
2019-12-15 00:01:00;Omega;637119648600000000;82
11-10-2015 12:01 AM;Iota;6.358271046E+17;782
2010-03-07T00:01:00.0000000;Zeta;634,035,168,600,000,000.00000000;593
2015-05-17 00:01:00;Gamma;635674176600000000;341
04-21-2011 12:01 AM;Epsilon;6.343894086E+17;511
11-02-2012 12:02 AM;Kappa;6.348741132E+17;860
2010-12-21T00:01:00.0000000;Eta;634,284,864,600,000,000.00000000;92
2012-08-12 00:02:00;Phi;634803265200000000;656
2010-10-26T00:02:00.0000000;Eta;634,236,481,200,000,000.00000000;669
2013-07-22 00:01:00;Theta;635100480600000000;852
2012-10-17 00:01:00;Alpha;634860288600000000;881
08-23-2016 12:01 AM;Zeta;6.360750726E+17;735
06-29-2012 12:01 AM;Xi;6.347652486E+17;218
2010-08-01 00:01:00;Phi;634162176600000000;678
2019-05-30 00:01:00;Omega;636947712600000000;676
2015-10-30T00:02:00.0000000;Xi;635,817,601,200,000,000.00000000;591
2018-12-16 00:01:00;Nu;636805152600000000;933
2014-12-08T00:02:00.0000000;Pi;635,535,937,200,000,000.00000000;496
2017-03-26 00:01:00;Sigma;6.36261E+017;846
2015-10-13 00:02:00;Beta;635802913200000000;929
03-09-2018 12:01 AM;Kappa;6.365615046E+17;428
2010-04-13 00:01:00;Epsilon;634067136600000000;425
2016-05-04 00:01:00;Rho;6.35979E+017;113
12-28-2016 12:02 AM;Omicron;6.361848012E+17;809
2019-10-23 00:02:00;Sigma;6.37074E+017;162
2013-06-12T00:03:00.0000000;Epsilon;635,065,921,800,000,000.00000000;201
2016-05-24 00:01:00;Omega;6.35996E+017;61
04-12-2012 12:02 AM;Tau;6.346978572E+17;261
2015-04-18 00:02:00;Omicron;6.35649E+017;924
2013-02-26T00:01:00.0000000;Phi;634,974,336,600,000,000.00000000;645
2013-05-24T00:02:00.0000000;Mu;635,049,505,200,000,000.00000000;471
2018-02-09T00:01:00.0000000;Theta;636,537,312,600,000,000.00000000;410
03-29-2018 12:01 AM;Sigma;6.365787846E+17;616
2010-06-23T00:02:00.0000000;Psi;634,128,481,200,000,000.00000000;649
06-09-2012 12:02 AM;Gamma;6.347479692E+17;318
05-19-2019 12:02 AM;Omicron;6.369382092E+17;518
2017-10-04 00:01:00;Iota;636426720600000000;64
09-04-2014 12:01 AM;Omega;6.354538566E+17;96
06-10-2011 12:03 AM;Epsilon;6.344326098E+17;50
2015-03-15 00:02:00;Nu;6.35620E+017;451
