TM;Category;unknown;Quantity
2016-09-26 00:01:00;Psi;6.36104E+017;959
2013-12-15 00:01:00;Nu;635226624600000000;528
2011-10-24T00:01:00.0000000;Eta;634,550,112,600,000,000.00000000;658
2016-11-18 00:01:00;Eta;636150240600000000;77
08-17-2014 12:01 AM;Iota;6.354383046E+17;279
2010-08-23 00:01:00;Pi;6.34181E+017;50
2016-01-14 00:01:00;Kappa;635883264600000000;991
2017-07-06T00:01:00.0000000;Kappa;636,348,960,600,000,000.00000000;208
2011-10-23T00:02:00.0000000;Lambda;634,549,249,200,000,000.00000000;232
09-25-2017 12:01 AM;Alpha;6.364189446E+17;113
2017-05-19 00:01:00;Iota;6.36307E+017;537
2017-12-03 00:01:00;Zeta;636478560600000000;600
2019-04-22 00:01:00;Mu;636914880600000000;962
2010-12-06 00:01:00;Pi;634271904600000000;261
2015-01-13T00:01:00.0000000;Gamma;635,567,040,600,000,000.00000000;909
2016-09-04 00:01:00;Pi;636085440600000000;126
2012-07-21T00:01:00.0000000;Mu;634,784,256,600,000,000.00000000;89
11-29-2015 12:02 AM;Delta;6.358435212E+17;664
2013-07-01T00:01:00.0000000;Lambda;635,082,336,600,000,000.00000000;344
11-06-2010 12:01 AM;Zeta;6.342459846E+17;697
02-16-2014 12:01 AM;Omega;6.352810566E+17;785
07-28-2019 12:01 AM;Tau;6.369986886E+17;175
2010-03-10 00:01:00;Zeta;634037760600000000;155
2016-10-25T00:01:00.0000000;Kappa;636,129,504,600,000,000.00000000;808
01-29-2013 12:01 AM;Xi;6.349501446E+17;471
2016-12-17 00:01:00;Zeta;636175296600000000;264
2018-08-27T00:01:00.0000000;Mu;636,709,248,600,000,000.00000000;221
2016-08-12 00:02:00;Zeta;636065569200000000;576
2010-10-09T00:01:00.0000000;Psi;634,221,792,600,000,000.00000000;57
02-01-2013 12:01 AM;Upsilon;6.349527366E+17;914
2013-01-14 00:02:00;Alpha;634937185200000000;467
2017-05-01 00:01:00;Beta;6.36292E+017;18
02-17-2019 12:02 AM;Iota;6.368595852E+17;305
2017-07-24T00:01:00.0000000;Iota;636,364,512,600,000,000.00000000;633
05-06-2017 12:01 AM;Zeta;6.362962566E+17;835
08-11-2014 12:02 AM;Psi;6.354331212E+17;275
2018-11-23 00:02:00;Mu;636785281200000000;430
2010-12-07 00:02:00;Alpha;6.34273E+017;140
01-21-2015 12:02 AM;Eta;6.355739532E+17;518
2010-06-24T00:01:00.0000000;Sigma;634,129,344,600,000,000.00000000;447
2015-08-03 00:01:00;Xi;635741568600000000;632
06-10-2018 12:01 AM;Kappa;6.366418566E+17;226
11-24-2010 12:03 AM;Lambda;6.342615378E+17;448
2011-06-15 00:02:00;Upsilon;634436929200000000;284
04-19-2011 12:02 AM;Mu;6.343876812E+17;264
2016-06-26 00:01:00;Mu;636024960600000000;906
2011-05-19 00:02:00;Omega;6.34414E+017;670
2017-09-21 00:02:00;Upsilon;636415489200000000;914
2012-05-10T00:02:00.0000000;Tau;634,722,049,200,000,000.00000000;23
2014-04-04 00:01:00;Zeta;6.35322E+017;541
2019-06-01 00:01:00;Nu;6.36949E+017;674
2016-12-18 00:01:00;Gamma;636176160600000000;665
07-03-2015 12:02 AM;Epsilon;6.357147852E+17;958
2013-05-12 00:01:00;Pi;635039136600000000;227
2014-11-08 00:01:00;Omicron;6.35510E+017;655
2013-05-30 00:01:00;Beta;635054688600000000;704
2013-01-22 00:01:00;Delta;634944096600000000;867
2013-05-08T00:01:00.0000000;Zeta;635,035,680,600,000,000.00000000;536
2016-04-05 00:03:00;Mu;635954113800000000;981
2018-08-25 00:01:00;Pi;636707520600000000;865
2015-03-14 00:02:00;Zeta;6.35619E+017;492
11-10-2015 12:02 AM;Gamma;6.358271052E+17;894
10-06-2014 12:01 AM;Rho;6.354815046E+17;723
2011-05-11 00:01:00;Xi;634406688600000000;390
2014-09-26T00:03:00.0000000;Omega;635,472,865,800,000,000.00000000;800
2016-01-26 00:02:00;Sigma;635893633200000000;595
2018-12-28 00:02:00;Nu;636815521200000000;791
2015-09-06T00:01:00.0000000;Omega;635,770,944,600,000,000.00000000;254
2011-03-21T00:03:00.0000000;Lambda;634,362,625,800,000,000.00000000;181
06-29-2017 12:01 AM;Tau;6.363429126E+17;68
2012-04-22T00:01:00.0000000;Psi;634,706,496,600,000,000.00000000;261
12-29-2010 12:01 AM;Alpha;6.342917766E+17;128
06-13-2010 12:01 AM;Omicron;6.341198406E+17;749
2012-01-30 00:01:00;Xi;6.34635E+017;879
2016-11-19 00:02:00;Beta;6.36151E+017;720
2013-05-05 00:02:00;Omicron;635033089200000000;16
2013-10-15 00:02:00;Sigma;635173921200000000;147
2012-03-23 00:02:00;Mu;6.34681E+017;662
2018-08-30 00:01:00;Chi;636711840600000000;479
2015-06-14 00:02:00;Omicron;6.35698E+017;189
01-19-2017 12:01 AM;Chi;6.362038086E+17;381
03-02-2014 12:02 AM;Mu;6.352931532E+17;743
2014-05-10 00:02:00;Chi;6.35353E+017;676
02-03-2018 12:01 AM;Psi;6.365321286E+17;468
2016-11-01 00:02:00;Lambda;6.36136E+017;909
2014-01-24 00:01:00;Sigma;6.35261E+017;944
2010-12-05 00:02:00;Phi;634271041200000000;418
09-11-2017 12:01 AM;Beta;6.364068486E+17;187
04-08-2015 12:01 AM;Omega;6.356404806E+17;937
04-14-2012 12:01 AM;Tau;6.346995846E+17;603
04-27-2014 12:02 AM;Alpha;6.353415372E+17;898
2010-06-10 00:01:00;Pi;6.34117E+017;596
2013-07-17 00:01:00;Rho;635096160600000000;739
2010-10-10T00:01:00.0000000;Beta;634,222,656,600,000,000.00000000;18
06-18-2014 12:02 AM;Kappa;6.353864652E+17;8
2018-01-06 00:01:00;Tau;636507936600000000;239
04-17-2012 12:02 AM;Phi;6.347021772E+17;678
12-27-2011 12:01 AM;Zeta;6.346054086E+17;537
2019-04-05 00:02:00;Eta;636900193200000000;266
2017-04-02 00:04:00;Chi;636266882400000000;89
2014-10-19 00:01:00;Omicron;635492736600000000;274
2018-01-08 00:02:00;Upsilon;6.36510E+017;229
2014-08-18 00:02:00;Theta;635439169200000000;13
2016-01-30 00:02:00;Delta;635897089200000000;203
2010-09-03T00:01:00.0000000;Omicron;634,190,688,600,000,000.00000000;621
01-18-2010 12:02 AM;Zeta;6.339936972E+17;859
2019-09-26 00:03:00;Alpha;637050529800000000;816
2012-04-10 00:01:00;Beta;6.34696E+017;527
2017-03-03T00:01:00.0000000;Xi;636,240,960,600,000,000.00000000;256
2015-09-25T00:01:00.0000000;Rho;635,787,360,600,000,000.00000000;39
2011-02-09 00:02:00;Kappa;634328065200000000;86
07-17-2017 12:01 AM;Kappa;6.363584646E+17;676
2010-08-22 00:01:00;Pi;6.34180E+017;79
2016-03-19 00:02:00;Kappa;635939425200000000;388
2015-07-16 00:02:00;Omicron;635726017200000000;547
2013-10-31 00:02:00;Lambda;635187745200000000;902
2010-07-09T00:02:00.0000000;Xi;634,142,305,200,000,000.00000000;604
2010-12-06 00:01:00;Rho;634271904600000000;60
07-01-2016 12:02 AM;Kappa;6.360292812E+17;875
03-05-2014 12:01 AM;Psi;6.352957446E+17;511
2015-07-09 00:02:00;Nu;635719969200000000;255
2011-01-12 00:03:00;Iota;6.34304E+017;912
07-30-2013 12:01 AM;Delta;6.351073926E+17;664
2010-06-18 00:02:00;Rho;634124161200000000;60
2017-06-02 00:02:00;Mu;636319585200000000;581
2016-07-31 00:03:00;Sigma;6.36055E+017;614
2010-03-19 00:02:00;Eta;634045537200000000;703
2011-11-13 00:02:00;Alpha;634567393200000000;741
2014-01-29 00:03:00;Tau;635265505800000000;326
2012-01-26 00:02:00;Omicron;634631329200000000;167
2014-02-07 00:01:00;Lambda;635273280600000000;989
2016-08-14T00:01:00.0000000;Upsilon;636,067,296,600,000,000.00000000;268
2014-06-15 00:01:00;Beta;6.35384E+017;683
06-11-2010 12:03 AM;Alpha;6.341181138E+17;264
2013-01-16 00:03:00;Zeta;634938913800000000;25
2017-05-10 00:01:00;Upsilon;636299712600000000;241
2011-01-09 00:03:00;Delta;634301281800000000;565
2015-04-14T00:01:00.0000000;Delta;635,645,664,600,000,000.00000000;539
01-08-2015 12:02 AM;Kappa;6.355627212E+17;948
2017-10-20 00:02:00;Nu;636440545200000000;298
2016-11-01 00:02:00;Mu;6.36136E+017;942
2012-09-30 00:02:00;Chi;634845601200000000;216
09-22-2019 12:02 AM;Omicron;6.370470732E+17;816
2019-05-31 00:01:00;Zeta;6.36949E+017;697
03-08-2013 12:01 AM;Nu;6.349829766E+17;915
03-04-2014 12:01 AM;Chi;6.352948806E+17;986
12-27-2011 12:02 AM;Xi;6.346054092E+17;51
2014-12-13 00:03:00;Chi;6.35540E+017;98
2017-11-15 00:03:00;Alpha;6.36463E+017;814
07-18-2011 12:02 AM;Rho;6.344654412E+17;238
2016-12-21 00:02:00;Tau;636178753200000000;698
2016-05-19 00:03:00;Delta;635992129800000000;662
2010-04-27 00:02:00;Pi;634079233200000000;364
02-14-2019 12:03 AM;Alpha;6.368569938E+17;116
03-26-2012 12:03 AM;Zeta;6.346831698E+17;899
2016-03-01 00:02:00;Omicron;635923873200000000;904
2019-06-07 00:03:00;Eta;636954625800000000;243
2016-08-29 00:03:00;Eta;636080257800000000;374
11-09-2014 12:03 AM;Beta;6.355108818E+17;812
2015-03-11 00:02:00;Iota;635616289200000000;787
2012-11-08T00:02:00.0000000;Mu;634,879,297,200,000,000.00000000;263
2018-09-13 00:01:00;Tau;636723936600000000;755
2014-06-10T00:02:00.0000000;Alpha;635,379,553,200,000,000.00000000;129
06-05-2019 12:02 AM;Chi;6.369528972E+17;383
2011-12-20 00:01:00;Nu;634599360600000000;711
2015-03-09T00:01:00.0000000;Eta;635,614,560,600,000,000.00000000;855
2011-04-07T00:01:00.0000000;Sigma;634,377,312,600,000,000.00000000;977
01-29-2012 12:04 AM;Epsilon;6.346339224E+17;278
08-07-2016 12:02 AM;Lambda;6.360612492E+17;578
01-29-2019 12:02 AM;Zeta;6.368431692E+17;788
03-27-2018 12:02 AM;Tau;6.365770572E+17;297
09-25-2012 12:02 AM;Omega;6.348412812E+17;544
2015-10-26 00:03:00;Phi;635814145800000000;349
2011-03-10 00:01:00;Epsilon;6.34353E+017;697
2014-12-06T00:04:00.0000000;Lambda;635,534,210,400,000,000.00000000;10
2015-11-03 00:02:00;Zeta;635821057200000000;958
2018-02-15 00:03:00;Xi;6.36542E+017;371
2016-03-07 00:02:00;Omicron;635929057200000000;164
2011-10-23 00:01:00;Beta;634549248600000000;980
2015-01-14 00:03:00;Lambda;635567905800000000;299
2019-07-04 00:04:00;Mu;6.36978E+017;7
08-05-2017 12:02 AM;Eta;6.363748812E+17;947
03-05-2013 12:02 AM;Omicron;6.349803852E+17;338
2012-07-23 00:04:00;Lambda;634785986400000000;11
2016-08-03 00:01:00;Tau;6.36058E+017;799
12-30-2016 12:03 AM;Epsilon;6.361865298E+17;45
01-13-2019 12:03 AM;Lambda;6.368293458E+17;671
10-17-2017 12:02 AM;Lambda;6.364379532E+17;512
2010-02-19 00:04:00;Zeta;6.34021E+017;25
08-06-2010 12:03 AM;Delta;6.341664978E+17;407
02-17-2018 12:02 AM;Gamma;6.365442252E+17;173
04-18-2017 12:03 AM;Zeta;6.362807058E+17;368
2013-08-27 00:03:00;Zeta;635131585800000000;820
08-15-2014 12:02 AM;Omega;6.354365772E+17;842
2010-08-21 00:04:00;Delta;6.34179E+017;692
2018-12-11 00:02:00;Nu;636800833200000000;559
2011-11-25 00:02:00;Kappa;634577761200000000;244
05-29-2016 12:01 AM;Rho;6.360007686E+17;223
07-20-2016 12:02 AM;Phi;6.360456972E+17;283
2013-11-07 00:03:00;Kappa;635193793800000000;914
2014-01-20 00:02:00;Theta;635257729200000000;601
2013-03-19 00:02:00;Phi;6.34992E+017;890
07-22-2015 12:02 AM;Upsilon;6.357312012E+17;301
2015-09-23T00:03:00.0000000;Eta;635,785,633,800,000,000.00000000;677
04-19-2010 12:03 AM;Xi;6.340723218E+17;436
2017-02-25 00:02:00;Delta;636235777200000000;207
2011-10-02 00:02:00;Phi;634531105200000000;561
2014-07-02 00:04:00;Delta;6.35399E+017;181
07-19-2011 12:01 AM;Sigma;6.344663046E+17;528
2014-06-13 00:05:00;Pi;6.35382E+017;831
11-06-2010 12:05 AM;Lambda;6.34245987E+17;642
2014-09-10 00:03:00;Mu;635459041800000000;19
2018-10-08 00:03:00;Rho;6.36746E+017;816
2015-10-09 00:01:00;Nu;635799456600000000;5
05-19-2018 12:01 AM;Omicron;6.366228486E+17;314
2018-09-12 00:02:00;Delta;636723073200000000;779
09-10-2011 12:03 AM;Zeta;6.345120978E+17;590
2018-04-02 00:02:00;Eta;636582241200000000;204
04-29-2012 12:04 AM;Xi;6.347125464E+17;81
2012-08-14 00:03:00;Omicron;6.34805E+017;177
2010-07-15 00:03:00;Iota;6.34147E+017;210
2014-04-01 00:05:00;Mu;6.35319E+017;492
01-27-2013 12:02 AM;Lambda;6.349484172E+17;70
2016-11-08 00:04:00;Phi;636141602400000000;249
2012-06-30 00:03:00;Gamma;634766113800000000;931
2012-04-05 00:04:00;Mu;634691810400000000;418
2014-01-17T00:01:00.0000000;Eta;635,255,136,600,000,000.00000000;603
03-23-2013 12:02 AM;Omega;6.349959372E+17;914
09-09-2011 12:02 AM;Upsilon;6.345112332E+17;899
2014-03-15 00:05:00;Iota;6.35304E+017;914
2014-12-11 00:02:00;Tau;635538529200000000;793
2018-09-14T00:03:00.0000000;Nu;636,724,801,800,000,000.00000000;757
2010-10-24T00:04:00.0000000;Omicron;634,234,754,400,000,000.00000000;782
07-09-2019 12:04 AM;Upsilon;6.369822744E+17;599
2018-03-29 00:04:00;Alpha;636578786400000000;310
2012-12-17 00:03:00;Omicron;6.34913E+017;874
2015-06-21 00:03:00;Omega;635704417800000000;93
10-12-2018 12:03 AM;Nu;6.367489938E+17;505
2017-12-03 00:03:00;Eta;6.36479E+017;459
2016-03-02T00:06:00.0000000;Alpha;635,924,739,600,000,000.00000000;300
04-19-2015 12:06 AM;Tau;6.356499876E+17;408
