TM;Category;unknown;Quantity
2015-05-06 00:01:00;Eta;635664672600000000;29
2011-05-30 00:01:00;Omicron;634423104600000000;86
2019-01-25 00:01:00;Delta;6.36840E+017;745
2018-10-20T00:01:00.0000000;Tau;636,755,904,600,000,000.00000000;394
02-06-2017 12:01 AM;Tau;6.362193606E+17;203
2014-05-25 00:01:00;Delta;635365728600000000;37
2015-10-15 00:01:00;Psi;635804640600000000;857
02-23-2011 12:01 AM;Alpha;6.343401606E+17;469
2018-04-04T00:01:00.0000000;Theta;636,583,968,600,000,000.00000000;112
08-30-2014 12:02 AM;Sigma;6.354495372E+17;531
2014-11-18 00:01:00;Psi;635518656600000000;526
2019-12-08 00:02:00;Beta;637113601200000000;836
2010-09-22T00:01:00.0000000;Iota;634,207,104,600,000,000.00000000;69
02-25-2017 12:01 AM;Nu;6.362357766E+17;184
2019-07-03 00:01:00;Nu;636977088600000000;987
2014-04-22 00:01:00;Epsilon;6.35337E+017;910
2017-01-22 00:01:00;Tau;636206400600000000;820
2019-07-08 00:01:00;Omicron;6.36981E+017;83
2018-10-07 00:01:00;Alpha;636744672600000000;779
2016-08-17 00:01:00;Epsilon;636069888600000000;981
11-16-2013 12:01 AM;Pi;6.352015686E+17;369
2011-03-01 00:01:00;Sigma;634345344600000000;756
2018-01-20 00:01:00;Rho;636520032600000000;518
2011-07-07T00:01:00.0000000;Sigma;634,455,936,600,000,000.00000000;271
05-21-2012 12:01 AM;Mu;6.347315526E+17;514
2018-05-17 00:01:00;Omega;6.36621E+017;884
09-14-2010 12:01 AM;Sigma;6.342001926E+17;852
2012-11-08T00:01:00.0000000;Rho;634,879,296,600,000,000.00000000;332
08-17-2014 12:01 AM;Beta;6.354383046E+17;563
2011-08-16 00:01:00;Xi;634490496600000000;595
07-21-2016 12:01 AM;Lambda;6.360465606E+17;80
2012-04-12 00:01:00;Iota;6.34698E+017;296
08-22-2012 12:01 AM;Eta;6.348119046E+17;510
11-27-2015 12:01 AM;Eta;6.358417926E+17;416
03-18-2016 12:01 AM;Pi;6.359385606E+17;488
12-17-2015 12:01 AM;Lambda;6.358590726E+17;575
12-11-2011 12:01 AM;Delta;6.345915846E+17;963
2019-11-24 00:03:00;Lambda;637101505800000000;845
2010-04-26 00:01:00;Pi;634078368600000000;937
2017-01-27 00:01:00;Psi;636210720600000000;196
2018-10-24 00:02:00;Delta;636759361200000000;710
08-25-2010 12:01 AM;Phi;6.341829126E+17;163
2018-03-05 00:01:00;Upsilon;6.36558E+017;227
2018-12-15T00:01:00.0000000;Epsilon;636,804,288,600,000,000.00000000;598
2017-02-18 00:01:00;Sigma;6.36230E+017;880
12-10-2017 12:02 AM;Eta;6.364846092E+17;380
2017-10-06T00:02:00.0000000;Theta;636,428,449,200,000,000.00000000;19
05-06-2017 12:01 AM;Epsilon;6.362962566E+17;345
2014-12-27T00:02:00.0000000;Psi;635,552,353,200,000,000.00000000;1
2013-01-05 00:01:00;Zeta;634929408600000000;348
2011-08-11 00:01:00;Alpha;634486176600000000;620
2015-10-08 00:01:00;Nu;635798592600000000;520
2018-07-26 00:01:00;Omicron;636681600600000000;749
2011-05-10 00:02:00;Rho;634405825200000000;194
2013-07-15 00:01:00;Theta;635094432600000000;788
2017-05-10 00:02:00;Rho;636299713200000000;161
2013-08-28 00:02:00;Beta;635132449200000000;632
2017-01-02 00:02:00;Sigma;636189121200000000;219
2019-05-04 00:01:00;Upsilon;636925248600000000;776
2017-12-31 00:02:00;Iota;636502753200000000;836
2019-01-15 00:01:00;Sigma;636831072600000000;458
2011-01-06 00:01:00;Pi;634298688600000000;70
2010-10-25 00:02:00;Omega;634235617200000000;589
02-04-2012 12:01 AM;Mu;6.346391046E+17;156
09-08-2012 12:01 AM;Eta;6.348265926E+17;481
08-20-2013 12:01 AM;Omicron;6.351255366E+17;877
03-26-2018 12:01 AM;Beta;6.365761926E+17;734
2010-06-22T00:01:00.0000000;Lambda;634,127,616,600,000,000.00000000;188
2016-11-14T00:01:00.0000000;Eta;636,146,784,600,000,000.00000000;8
2011-10-07T00:02:00.0000000;Kappa;634,535,425,200,000,000.00000000;599
04-04-2010 12:01 AM;Zeta;6.340593606E+17;739
2017-01-04 00:02:00;Beta;636190849200000000;151
08-25-2011 12:01 AM;Upsilon;6.344982726E+17;878
2013-06-20 00:01:00;Mu;6.35073E+017;63
2018-11-05 00:01:00;Pi;636769728600000000;867
2017-08-11T00:02:00.0000000;Iota;636,380,065,200,000,000.00000000;506
2017-10-24T00:01:00.0000000;Kappa;636,444,000,600,000,000.00000000;780
2018-06-22 00:01:00;Tau;6.36652E+017;66
2017-04-10 00:01:00;Xi;636273792600000000;732
2015-10-19 00:01:00;Kappa;6.35808E+017;883
10-26-2014 12:02 AM;Eta;6.354987852E+17;683
2016-10-13 00:02:00;Nu;6.36119E+017;511
07-03-2016 12:02 AM;Omicron;6.360310092E+17;350
10-08-2019 12:01 AM;Omicron;6.370608966E+17;50
2012-03-17T00:02:00.0000000;Eta;634,675,393,200,000,000.00000000;763
07-31-2012 12:04 AM;Psi;6.347928984E+17;975
07-10-2013 12:01 AM;Pi;6.350901126E+17;592
2013-12-27 00:02:00;Alpha;635236993200000000;216
2012-11-28 00:01:00;Eta;634896576600000000;181
12-28-2016 12:02 AM;Beta;6.361848012E+17;806
2013-04-08 00:02:00;Pi;6.35010E+017;647
2011-07-28 00:01:00;Upsilon;634474080600000000;966
2019-12-28T00:01:00.0000000;Lambda;637,130,880,600,000,000.00000000;824
2011-10-27 00:02:00;Theta;634552705200000000;46
02-09-2015 12:02 AM;Alpha;6.355903692E+17;956
2012-03-14 00:01:00;Phi;634672800600000000;200
2013-09-15 00:02:00;Epsilon;635148001200000000;931
04-18-2017 12:02 AM;Sigma;6.362807052E+17;152
2011-12-24 00:02:00;Upsilon;6.34603E+017;407
2012-01-04T00:03:00.0000000;Rho;634,612,321,800,000,000.00000000;623
2014-03-19 00:01:00;Sigma;6.35308E+017;45
2018-08-05 00:03:00;Beta;636690241800000000;900
2010-07-08 00:02:00;Tau;634141441200000000;372
2012-10-17 00:01:00;Omicron;634860288600000000;326
2016-03-09 00:01:00;Upsilon;635930784600000000;864
08-16-2013 12:01 AM;Phi;6.351220806E+17;336
2016-04-26 00:01:00;Omega;635972256600000000;582
2012-03-02 00:03:00;Chi;634662433800000000;897
05-05-2012 12:02 AM;Mu;6.347177292E+17;944
01-05-2016 12:01 AM;Alpha;6.358754886E+17;837
10-03-2014 12:03 AM;Mu;6.354789138E+17;920
11-20-2012 12:02 AM;Upsilon;6.348896652E+17;879
2015-12-22 00:01:00;Chi;635863392600000000;946
09-07-2013 12:01 AM;Rho;6.351410886E+17;846
03-11-2017 12:03 AM;Nu;6.362478738E+17;980
2011-06-03 00:02:00;Rho;634426561200000000;545
06-29-2011 12:01 AM;Lambda;6.344490246E+17;285
2014-05-25 00:02:00;Zeta;635365729200000000;42
10-19-2016 12:02 AM;Omega;6.361243212E+17;654
2011-05-30 00:02:00;Zeta;634423105200000000;894
07-27-2019 12:01 AM;Tau;6.369978246E+17;851
2016-06-19 00:02:00;Chi;636018913200000000;26
05-29-2010 12:03 AM;Xi;6.341068818E+17;711
2019-02-28 00:03:00;Kappa;6.36869E+017;465
2018-03-18T00:02:00.0000000;Xi;636,569,281,200,000,000.00000000;783
2014-09-07 00:01:00;Omega;635456448600000000;477
10-17-2016 12:02 AM;Omicron;6.361225932E+17;994
2011-03-24 00:04:00;Epsilon;6.34365E+017;614
2012-02-16 00:02:00;Rho;6.34649E+017;70
2018-10-02T00:02:00.0000000;Gamma;636,740,353,200,000,000.00000000;749
2014-01-21 00:02:00;Mu;6.35259E+017;110
2017-04-04 00:01:00;Sigma;636268608600000000;865
04-20-2011 12:02 AM;Epsilon;6.343885452E+17;538
12-20-2014 12:03 AM;Phi;6.355463058E+17;670
2012-04-12 00:01:00;Eta;6.34698E+017;454
08-21-2018 12:03 AM;Beta;6.367040658E+17;708
07-31-2018 12:03 AM;Upsilon;6.366859218E+17;11
2016-10-14 00:01:00;Phi;6.36120E+017;103
2014-08-09 00:02:00;Phi;6.35431E+017;846
2011-11-26 00:03:00;Lambda;634578625800000000;108
2015-04-29 00:02:00;Alpha;635658625200000000;916
