TM;Category;unknown;Quantity
2019-12-12T00:01:00.0000000;Sigma;637,117,056,600,000,000.00000000;213
2012-07-20 00:01:00;Lambda;634783392600000000;460
01-04-2010 12:01 AM;Zeta;6.339816006E+17;236
2016-09-23 00:01:00;Phi;636101856600000000;696
2010-02-03 00:01:00;Phi;6.34008E+017;176
01-20-2011 12:01 AM;Epsilon;6.343107846E+17;680
2016-12-26 00:01:00;Sigma;6.36183E+017;821
2018-12-28 00:01:00;Eta;636815520600000000;470
2016-12-05 00:01:00;Eta;636164928600000000;933
07-02-2011 12:02 AM;Chi;6.344516172E+17;118
12-18-2014 12:01 AM;Iota;6.355445766E+17;562
2010-01-27 00:01:00;Tau;634001472600000000;267
2018-10-04T00:01:00.0000000;Upsilon;636,742,080,600,000,000.00000000;260
12-08-2017 12:01 AM;Mu;6.364828806E+17;245
2013-06-15 00:01:00;Zeta;635068512600000000;247
2015-11-13 00:01:00;Sigma;635829696600000000;96
2013-01-20T00:01:00.0000000;Gamma;634,942,368,600,000,000.00000000;625
2015-05-05 00:01:00;Eta;635663808600000000;88
09-03-2019 12:01 AM;Epsilon;6.370306566E+17;287
2015-10-30T00:01:00.0000000;Theta;635,817,600,600,000,000.00000000;569
08-16-2014 12:01 AM;Omicron;6.354374406E+17;23
11-04-2016 12:01 AM;Eta;6.361381446E+17;607
12-08-2017 12:01 AM;Psi;6.364828806E+17;285
2015-07-15T00:01:00.0000000;Pi;635,725,152,600,000,000.00000000;49
2019-11-12 00:01:00;Pi;6.37091E+017;237
2011-09-06 00:02:00;Nu;6.34509E+017;816
2015-02-04 00:01:00;Gamma;635586048600000000;837
2016-05-15 00:01:00;Epsilon;635988672600000000;250
2013-06-11 00:01:00;Delta;635065056600000000;527
02-22-2017 12:01 AM;Gamma;6.362331846E+17;580
2014-06-08 00:01:00;Alpha;635377824600000000;39
09-14-2010 12:02 AM;Omicron;6.342001932E+17;414
2016-10-09T00:01:00.0000000;Eta;636,115,680,600,000,000.00000000;150
02-14-2015 12:01 AM;Chi;6.355946886E+17;490
07-12-2018 12:02 AM;Omicron;6.366695052E+17;194
2017-08-12T00:01:00.0000000;Mu;636,380,928,600,000,000.00000000;424
2012-01-06 00:02:00;Nu;634614049200000000;926
04-20-2017 12:01 AM;Pi;6.362824326E+17;477
2012-09-02 00:01:00;Nu;6.34821E+017;402
2014-12-29 00:02:00;Chi;635554081200000000;786
