TM;Category;unknown;Quantity
2014-08-21T00:01:00.0000000;Kappa;635,441,760,600,000,000.00000000;27
2017-03-01T00:01:00.0000000;Omicron;636,239,232,600,000,000.00000000;350
06-21-2015 12:01 AM;Iota;6.357044166E+17;405
2011-12-01T00:01:00.0000000;Upsilon;634,582,944,600,000,000.00000000;288
2016-05-12 00:01:00;Zeta;635986080600000000;153
2012-03-23 00:01:00;Alpha;6.34681E+017;432
09-18-2014 12:02 AM;Iota;6.354659532E+17;353
2011-09-05 00:01:00;Pi;6.34508E+017;277
2010-09-05 00:01:00;Lambda;634192416600000000;45
06-11-2011 12:01 AM;Iota;6.344334726E+17;427
11-23-2016 12:01 AM;Gamma;6.361545606E+17;144
01-06-2015 12:01 AM;Chi;6.355609926E+17;755
2014-04-22 00:01:00;Sigma;6.35337E+017;593
2013-07-16 00:01:00;Sigma;635095296600000000;730
2012-10-09 00:01:00;Zeta;6.34853E+017;817
02-11-2016 12:01 AM;Phi;6.359074566E+17;529
09-02-2014 12:01 AM;Tau;6.354521286E+17;874
2016-06-03T00:01:00.0000000;Phi;636,005,088,600,000,000.00000000;350
2015-11-22 00:01:00;Psi;6.35837E+017;556
2018-09-28 00:02:00;Beta;636736897200000000;780
2017-10-27 00:02:00;Xi;636446593200000000;530
2012-07-27 00:01:00;Epsilon;6.34789E+017;520
2018-03-25 00:01:00;Eta;6.36575E+017;453
2012-03-23 00:03:00;Lambda;6.34681E+017;104
2016-08-15T00:01:00.0000000;Upsilon;636,068,160,600,000,000.00000000;896
08-12-2015 12:01 AM;Omicron;6.357493446E+17;565
2013-10-23 00:01:00;Mu;6.35181E+017;803
2014-05-20 00:02:00;Sigma;635361409200000000;993
2019-11-24 00:02:00;Rho;637101505200000000;668
2014-08-29 00:01:00;Sigma;6.35449E+017;53
06-29-2016 12:03 AM;Gamma;6.360275538E+17;874
2010-03-03 00:01:00;Mu;634031712600000000;725
2016-04-12 00:01:00;Omicron;635960160600000000;630
05-08-2016 12:02 AM;Lambda;6.359826252E+17;736
2014-08-18 00:01:00;Theta;635439168600000000;109
2014-05-28 00:01:00;Eta;6.35368E+017;167
2010-11-17 00:03:00;Theta;634255489800000000;767
2016-10-11 00:01:00;Upsilon;636117408600000000;821
2014-09-08T00:02:00.0000000;Iota;635,457,313,200,000,000.00000000;25
01-31-2013 12:01 AM;Nu;6.349518726E+17;355
2011-07-14 00:02:00;Lambda;6.34462E+017;154
2019-01-15 00:02:00;Rho;636831073200000000;178
07-08-2015 12:02 AM;Rho;6.357191052E+17;86
2017-03-24 00:01:00;Phi;636259104600000000;4
2013-09-28T00:02:00.0000000;Gamma;635,159,233,200,000,000.00000000;553
02-08-2016 12:02 AM;Omicron;6.359048652E+17;883
2013-12-12 00:02:00;Nu;635224033200000000;454
12-14-2016 12:01 AM;Rho;6.361727046E+17;32
2010-03-03 00:01:00;Iota;634031712600000000;76
09-25-2018 12:02 AM;Omega;6.367343052E+17;454
2011-07-12 00:02:00;Zeta;6.34460E+017;421
2012-12-30 00:01:00;Mu;634924224600000000;569
04-28-2013 12:01 AM;Sigma;6.350270406E+17;599
2019-02-13 00:01:00;Rho;6.36856E+017;61
01-28-2013 12:01 AM;Eta;6.349492806E+17;453
05-26-2016 12:02 AM;Mu;6.359981772E+17;153
02-06-2017 12:02 AM;Kappa;6.362193612E+17;573
2010-03-18 00:04:00;Omicron;634044674400000000;920
2012-09-17 00:03:00;Epsilon;634834369800000000;262
2011-12-21 00:01:00;Phi;634600224600000000;62
03-01-2014 12:02 AM;Alpha;6.352922892E+17;490
2019-07-26 00:01:00;Zeta;6.36997E+017;692
2013-03-17 00:01:00;Theta;634990752600000000;941
08-26-2010 12:02 AM;Psi;6.341837772E+17;522
2010-03-05T00:02:00.0000000;Sigma;634,033,441,200,000,000.00000000;601
02-01-2019 12:02 AM;Sigma;6.368457612E+17;312
01-16-2017 12:01 AM;Kappa;6.362012166E+17;104
08-31-2019 12:03 AM;Nu;6.370280658E+17;371
2018-01-05 00:02:00;Zeta;636507073200000000;738
2011-12-23 00:01:00;Alpha;6.34602E+017;583
2016-10-07T00:01:00.0000000;Omicron;636,113,952,600,000,000.00000000;143
2017-05-10 00:03:00;Rho;636299713800000000;460
09-16-2014 12:02 AM;Mu;6.354642252E+17;821
2011-10-03 00:01:00;Rho;634531968600000000;604
2018-05-25 00:01:00;Alpha;636628032600000000;872
2013-01-01T00:01:00.0000000;Eta;634,925,952,600,000,000.00000000;914
2016-09-17 00:02:00;Lambda;636096673200000000;216
05-05-2018 12:02 AM;Zeta;6.366107532E+17;62
2010-12-26 00:01:00;Alpha;6.34289E+017;113
2016-11-14T00:02:00.0000000;Omicron;636,146,785,200,000,000.00000000;699
12-26-2011 12:02 AM;Rho;6.346045452E+17;807
2013-11-29 00:02:00;Lambda;6.35213E+017;330
2018-07-19 00:01:00;Psi;636675552600000000;146
2010-10-11 00:02:00;Pi;634223521200000000;387
2013-01-25 00:03:00;Gamma;6.34947E+017;458
2013-08-14 00:01:00;Eta;6.35120E+017;83
2010-05-13 00:02:00;Sigma;634093057200000000;455
2015-12-04 00:01:00;Gamma;635847840600000000;668
2011-09-22 00:01:00;Lambda;634522464600000000;825
2010-01-27 00:01:00;Zeta;634001472600000000;510
2019-01-20 00:02:00;Zeta;636835393200000000;750
2011-04-13 00:02:00;Chi;6.34382E+017;674
2011-08-29 00:01:00;Upsilon;634501728600000000;672
2019-05-24T00:02:00.0000000;Delta;636,942,529,200,000,000.00000000;314
2011-02-01 00:02:00;Omicron;6.34321E+017;563
2015-04-20 00:02:00;Xi;6.35651E+017;620
2012-11-10 00:01:00;Iota;634881024600000000;291
06-22-2012 12:03 AM;Omega;6.347592018E+17;855
2014-03-28 00:01:00;Phi;635315616600000000;548
2019-11-08 00:02:00;Theta;637087681200000000;74
2014-05-23T00:02:00.0000000;Rho;635,364,001,200,000,000.00000000;237
2015-02-01T00:02:00.0000000;Chi;635,583,457,200,000,000.00000000;851
2017-01-29 00:02:00;Rho;6.36212E+017;452
12-12-2011 12:02 AM;Zeta;6.345924492E+17;88
2015-01-01 00:02:00;Upsilon;6.35557E+017;912
2016-05-04 00:01:00;Sigma;6.35979E+017;932
2010-03-31 00:01:00;Iota;6.34056E+017;842
2011-08-17 00:02:00;Omicron;6.34491E+017;115
2019-08-30 00:03:00;Psi;6.37027E+017;656
2012-09-03 00:01:00;Psi;6.34822E+017;985
11-17-2018 12:01 AM;Mu;6.367800966E+17;976
2014-10-13 00:01:00;Omicron;635487552600000000;542
02-06-2010 12:02 AM;Delta;6.340101132E+17;400
06-12-2010 12:02 AM;Rho;6.341189772E+17;338
04-30-2013 12:03 AM;Epsilon;6.350287698E+17;20
2015-10-29T00:01:00.0000000;Omega;635,816,736,600,000,000.00000000;273
03-17-2015 12:03 AM;Omega;6.356214738E+17;332
2012-12-14T00:01:00.0000000;Alpha;634,910,400,600,000,000.00000000;931
2014-01-03 00:03:00;Chi;6.35243E+017;782
2011-02-11T00:02:00.0000000;Omega;634,329,793,200,000,000.00000000;985
2015-03-05 00:02:00;Beta;635611105200000000;322
2016-09-20T00:02:00.0000000;Sigma;636,099,265,200,000,000.00000000;510
2014-08-04T00:02:00.0000000;Mu;635,427,073,200,000,000.00000000;655
2013-02-06T00:02:00.0000000;Iota;634,957,057,200,000,000.00000000;158
05-11-2010 12:02 AM;Omicron;6.340913292E+17;395
06-12-2016 12:02 AM;Xi;6.360128652E+17;541
2015-08-20 00:02:00;Pi;635756257200000000;877
2015-09-07 00:02:00;Iota;635771809200000000;624
2019-08-26 00:03:00;Iota;637023745800000000;868
2018-04-21T00:03:00.0000000;Eta;636,598,657,800,000,000.00000000;916
09-25-2012 12:03 AM;Upsilon;6.348412818E+17;798
