TM;Category;unknown;Quantity
05-17-2013 12:01 AM;Sigma;6.350434566E+17;956
12-26-2012 12:01 AM;Gamma;6.349207686E+17;768
2017-08-01 00:01:00;Delta;6.36371E+017;839
2016-01-25 00:02:00;Mu;635892769200000000;242
03-18-2016 12:01 AM;Chi;6.359385606E+17;649
05-18-2014 12:01 AM;Theta;6.353596806E+17;19
2010-02-13 00:01:00;Delta;634016160600000000;510
09-17-2015 12:02 AM;Iota;6.357804492E+17;464
09-10-2012 12:01 AM;Omicron;6.348283206E+17;16
2018-03-15 00:02:00;Sigma;636566689200000000;224
03-06-2013 12:01 AM;Psi;6.349812486E+17;605
2018-09-17 00:01:00;Upsilon;636727392600000000;89
12-29-2010 12:02 AM;Zeta;6.342917772E+17;421
06-09-2012 12:01 AM;Omicron;6.347479686E+17;786
2015-05-25 00:01:00;Theta;6.35681E+017;238
08-29-2015 12:02 AM;Rho;6.357640332E+17;800
2016-07-08 00:01:00;Upsilon;636035328600000000;284
2013-10-23 00:01:00;Kappa;6.35181E+017;748
09-21-2019 12:02 AM;Psi;6.370462092E+17;841
2013-10-21 00:01:00;Kappa;635179104600000000;906
05-13-2015 12:01 AM;Tau;6.356707206E+17;196
2019-03-17 00:01:00;Lambda;636883776600000000;335
2016-10-09T00:02:00.0000000;Chi;636,115,681,200,000,000.00000000;809
03-12-2012 12:01 AM;Lambda;6.346710726E+17;258
07-17-2018 12:01 AM;Rho;6.366738246E+17;725
08-18-2012 12:01 AM;Xi;6.348084486E+17;566
08-28-2010 12:02 AM;Alpha;6.341855052E+17;393
12-02-2013 12:01 AM;Zeta;6.352153926E+17;996
02-08-2011 12:01 AM;Lambda;6.343272006E+17;286
2014-11-27 00:01:00;Xi;6.35526E+017;97
2017-10-21 00:01:00;Delta;636441408600000000;562
2013-02-22T00:03:00.0000000;Omega;634,970,881,800,000,000.00000000;216
2014-09-06 00:01:00;Beta;635455584600000000;962
2016-11-17 00:02:00;Pi;636149377200000000;551
2011-03-02T00:02:00.0000000;Epsilon;634,346,209,200,000,000.00000000;228
2012-10-21T00:01:00.0000000;Eta;634,863,744,600,000,000.00000000;227
2017-08-13T00:01:00.0000000;Iota;636,381,792,600,000,000.00000000;662
2017-05-31T00:03:00.0000000;Sigma;636,317,857,800,000,000.00000000;838
2011-08-08 00:03:00;Eta;634483585800000000;305
09-20-2014 12:02 AM;Iota;6.354676812E+17;432
2016-07-17 00:01:00;Beta;6.36043E+017;863
2018-10-09 00:01:00;Chi;6.36746E+017;786
2014-02-06 00:01:00;Zeta;635272416600000000;191
2018-07-24 00:02:00;Psi;636679873200000000;888
