TM;Category;unknown;Quantity
2018-01-21T00:01:00.0000000;Xi;636,520,896,600,000,000.00000000;279
05-05-2012 12:01 AM;Lambda;6.347177286E+17;166
08-17-2012 12:01 AM;Pi;6.348075846E+17;345
2011-06-03 00:02:00;Pi;634426561200000000;975
01-08-2014 12:01 AM;Mu;6.352473606E+17;489
2015-12-30 00:01:00;Omega;6.35870E+017;166
02-11-2016 12:01 AM;Theta;6.359074566E+17;177
01-27-2019 12:01 AM;Pi;6.368414406E+17;617
2014-02-04T00:01:00.0000000;Pi;635,270,688,600,000,000.00000000;326
11-26-2016 12:01 AM;Rho;6.361571526E+17;494
2019-12-12T00:01:00.0000000;Mu;637,117,056,600,000,000.00000000;36
2013-03-18 00:01:00;Rho;634991616600000000;813
2011-04-05 00:01:00;Alpha;634375584600000000;302
06-05-2019 12:01 AM;Gamma;6.369528966E+17;625
2017-06-21 00:01:00;Phi;636336000600000000;350
2013-03-02 00:01:00;Lambda;6.34978E+017;814
2018-08-13 00:01:00;Pi;636697152600000000;456
2013-10-16 00:01:00;Xi;635174784600000000;466
01-03-2016 12:01 AM;Sigma;6.358737606E+17;38
2017-12-03 00:01:00;Rho;636478560600000000;930
2011-04-10 00:02:00;Mu;634379905200000000;777
2012-04-12 00:01:00;Beta;6.34698E+017;157
11-29-2014 12:01 AM;Epsilon;6.355281606E+17;409
2013-11-20 00:01:00;Phi;635205024600000000;150
12-15-2010 12:01 AM;Lambda;6.342796806E+17;481
2010-05-06 00:02:00;Alpha;6.34087E+017;15
08-25-2016 12:01 AM;Gamma;6.360768006E+17;179
2013-11-11 00:02:00;Iota;6.35197E+017;26
12-11-2016 12:01 AM;Upsilon;6.361701126E+17;876
04-24-2015 12:01 AM;Upsilon;6.356543046E+17;916
2017-08-16 00:01:00;Mu;636384384600000000;325
2016-08-10 00:03:00;Eta;636063841800000000;506
2010-03-24T00:02:00.0000000;Phi;634,049,857,200,000,000.00000000;744
2018-09-03 00:01:00;Tau;6.36715E+017;225
03-27-2013 12:01 AM;Rho;6.349993926E+17;449
2019-05-27T00:01:00.0000000;Beta;636,945,120,600,000,000.00000000;514
2019-06-18 00:02:00;Kappa;6.36964E+017;451
03-17-2010 12:01 AM;Epsilon;6.340438086E+17;707
03-11-2011 12:01 AM;Mu;6.343539846E+17;209
02-15-2019 12:01 AM;Iota;6.368578566E+17;529
2010-04-06 00:02:00;Mu;634061089200000000;537
2015-06-05 00:02:00;Phi;635690593200000000;262
2012-06-19 00:02:00;Eta;634756609200000000;337
2015-01-27 00:02:00;Tau;635579137200000000;203
2012-08-28T00:01:00.0000000;Nu;634,817,088,600,000,000.00000000;934
2011-02-10 00:01:00;Chi;634328928600000000;291
2015-08-22 00:02:00;Theta;635757985200000000;386
2016-11-13T00:01:00.0000000;Omega;636,145,920,600,000,000.00000000;971
01-05-2016 12:02 AM;Eta;6.358754892E+17;713
2019-01-15 00:02:00;Psi;636831073200000000;593
2018-10-28 00:01:00;Beta;6.36763E+017;638
06-21-2013 12:01 AM;Omicron;6.350736966E+17;451
2012-08-06 00:02:00;Tau;634798081200000000;549
2015-09-29 00:01:00;Delta;6.35791E+017;555
2015-07-12T00:02:00.0000000;Omega;635,722,561,200,000,000.00000000;422
2015-04-11 00:01:00;Pi;635643072600000000;979
12-06-2012 12:01 AM;Mu;6.349034886E+17;640
01-13-2018 12:01 AM;Tau;6.365139846E+17;166
2014-07-30 00:03:00;Alpha;635422753800000000;261
2019-01-04 00:01:00;Gamma;636821568600000000;325
2016-06-11 00:01:00;Sigma;6.36012E+017;894
12-19-2019 12:02 AM;Theta;6.371231052E+17;971
2013-04-21 00:02:00;Mu;635020993200000000;835
2018-10-06 00:03:00;Lambda;6.36744E+017;13
04-10-2013 12:02 AM;Iota;6.350114892E+17;246
2016-11-17 00:01:00;Eta;636149376600000000;508
08-26-2011 12:01 AM;Eta;6.344991366E+17;122
2012-03-20 00:02:00;Chi;634677985200000000;29
2018-02-06 00:02:00;Pi;636534721200000000;757
2019-11-22T00:01:00.0000000;Gamma;637,099,776,600,000,000.00000000;746
2016-04-07 00:02:00;Alpha;635955841200000000;552
12-23-2018 12:02 AM;Zeta;6.368112012E+17;297
2010-12-02T00:03:00.0000000;Phi;634,268,449,800,000,000.00000000;117
2014-03-08 00:02:00;Kappa;635298337200000000;766
2019-07-01T00:01:00.0000000;Beta;636,975,360,600,000,000.00000000;370
2016-04-06 00:02:00;Gamma;635954977200000000;985
2010-04-17 00:03:00;Kappa;6.34071E+017;307
2017-08-09 00:02:00;Nu;636378337200000000;368
01-20-2017 12:01 AM;Chi;6.362046726E+17;825
2019-08-27 00:01:00;Zeta;637024608600000000;799
09-20-2013 12:01 AM;Kappa;6.351523206E+17;980
2013-05-08T00:02:00.0000000;Alpha;635,035,681,200,000,000.00000000;508
2014-10-09 00:03:00;Iota;635484097800000000;996
12-24-2012 12:03 AM;Pi;6.349190418E+17;798
2015-10-15 00:01:00;Tau;635804640600000000;380
2014-03-08 00:01:00;Beta;635298336600000000;38
2011-01-08 00:03:00;Upsilon;634300417800000000;710
2019-08-03 00:02:00;Theta;637003873200000000;663
2011-09-02 00:01:00;Upsilon;634505184600000000;136
2010-10-09T00:02:00.0000000;Alpha;634,221,793,200,000,000.00000000;386
2015-06-10 00:02:00;Xi;635694913200000000;832
2011-11-15 00:01:00;Kappa;634569120600000000;885
10-24-2014 12:02 AM;Chi;6.354970572E+17;325
2010-06-03T00:02:00.0000000;Xi;634,111,201,200,000,000.00000000;492
02-06-2010 12:01 AM;Mu;6.340101126E+17;610
04-29-2013 12:01 AM;Pi;6.350279046E+17;400
02-22-2011 12:01 AM;Psi;6.343392966E+17;408
2010-06-26 00:01:00;Alpha;634131072600000000;665
2016-11-14 00:03:00;Theta;636146785800000000;430
2016-01-30T00:01:00.0000000;Alpha;635,897,088,600,000,000.00000000;115
2013-10-06 00:02:00;Omega;6.35166E+017;127
2014-02-18 00:02:00;Psi;635282785200000000;466
2015-11-13 00:02:00;Eta;635829697200000000;959
2014-07-18 00:03:00;Upsilon;635412385800000000;389
05-21-2018 12:03 AM;Chi;6.366245778E+17;454
2013-05-30 00:02:00;Upsilon;6.35055E+017;127
01-13-2018 12:01 AM;Lambda;6.365139846E+17;838
2010-04-08 00:01:00;Alpha;634062816600000000;774
2018-01-21T00:01:00.0000000;Alpha;636,520,896,600,000,000.00000000;565
2015-06-29 00:03:00;Kappa;6.35711E+017;43
2017-07-13 00:01:00;Delta;6.36355E+017;419
12-23-2019 12:02 AM;Omicron;6.371265612E+17;631
08-07-2011 12:02 AM;Omega;6.344827212E+17;171
2011-10-12 00:02:00;Omega;6.34540E+017;900
2018-03-14 00:02:00;Rho;636565825200000000;501
2018-10-02T00:02:00.0000000;Lambda;636,740,353,200,000,000.00000000;226
2011-08-19 00:02:00;Chi;6.34493E+017;889
2016-07-14 00:01:00;Alpha;636040512600000000;91
2011-06-18 00:01:00;Mu;634439520600000000;689
2014-06-15 00:01:00;Omega;6.35384E+017;593
2015-09-02 00:02:00;Iota;635767489200000000;232
05-29-2010 12:01 AM;Omicron;6.341068806E+17;326
2012-06-01 00:02:00;Epsilon;634741057200000000;851
2012-07-02T00:02:00.0000000;Zeta;634,767,841,200,000,000.00000000;591
2015-06-30 00:02:00;Pi;6.35712E+017;508
2015-07-13T00:02:00.0000000;Tau;635,723,425,200,000,000.00000000;123
05-08-2016 12:02 AM;Tau;6.359826252E+17;341
09-01-2015 12:01 AM;Kappa;6.357666246E+17;725
02-09-2016 12:02 AM;Chi;6.359057292E+17;479
2019-07-04 00:02:00;Mu;636977953200000000;310
11-07-2015 12:03 AM;Kappa;6.358245138E+17;306
2019-09-28 00:01:00;Lambda;637052256600000000;605
01-17-2012 12:02 AM;Kappa;6.346235532E+17;296
12-27-2011 12:02 AM;Lambda;6.346054092E+17;811
01-12-2019 12:01 AM;Omega;6.368284806E+17;152
02-23-2016 12:04 AM;Gamma;6.359178264E+17;382
2018-05-09T00:03:00.0000000;Alpha;636,614,209,800,000,000.00000000;783
2010-12-01 00:01:00;Theta;634267584600000000;31
2014-09-29 00:02:00;Epsilon;635475457200000000;284
2014-03-27 00:01:00;Pi;635314752600000000;796
2019-03-18 00:02:00;Mu;636884641200000000;563
2010-10-14 00:01:00;Mu;6.34226E+017;473
12-02-2013 12:01 AM;Chi;6.352153926E+17;291
2011-02-19 00:02:00;Sigma;6.34337E+017;7
2018-08-14 00:01:00;Pi;6.36698E+017;95
2011-09-25 00:02:00;Alpha;6.34525E+017;182
2012-11-11 00:03:00;Pi;6.34882E+017;729
2013-05-26T00:02:00.0000000;Gamma;635,051,233,200,000,000.00000000;156
2019-04-14 00:03:00;Epsilon;636907969800000000;7
2010-09-26 00:01:00;Epsilon;6.34211E+017;2
10-09-2013 12:02 AM;Epsilon;6.351687372E+17;666
03-11-2018 12:03 AM;Psi;6.365632338E+17;687
2016-07-24 00:02:00;Xi;636049153200000000;272
2016-02-16T00:01:00.0000000;Xi;635,911,776,600,000,000.00000000;183
08-18-2019 12:02 AM;Eta;6.370168332E+17;635
12-20-2019 12:02 AM;Tau;6.371239692E+17;362
2010-09-19T00:03:00.0000000;Beta;634,204,513,800,000,000.00000000;253
2017-04-24 00:01:00;Mu;636285888600000000;99
2012-11-07T00:01:00.0000000;Rho;634,878,432,600,000,000.00000000;747
2010-09-04 00:02:00;Rho;634191553200000000;105
2013-02-28 00:02:00;Upsilon;634976065200000000;387
04-23-2015 12:02 AM;Omicron;6.356534412E+17;53
2014-11-15 00:02:00;Rho;635516065200000000;361
2012-08-28T00:02:00.0000000;Alpha;634,817,089,200,000,000.00000000;496
06-01-2014 12:04 AM;Psi;6.353717784E+17;717
2012-07-26 00:03:00;Tau;6.34789E+017;45
2015-08-26 00:01:00;Chi;6.35761E+017;673
2019-04-26 00:02:00;Theta;6.36918E+017;751
10-13-2017 12:03 AM;Tau;6.364344978E+17;451
2019-11-04T00:01:00.0000000;Beta;637,084,224,600,000,000.00000000;981
2014-01-29 00:04:00;Zeta;635265506400000000;320
2017-01-20 00:02:00;Omicron;636204673200000000;566
08-24-2010 12:03 AM;Kappa;6.341820498E+17;244
2010-12-18 00:02:00;Tau;634282273200000000;997
05-27-2017 12:01 AM;Iota;6.363144006E+17;525
04-16-2018 12:01 AM;Delta;6.365943366E+17;958
2017-10-08 00:03:00;Gamma;636430177800000000;986
2015-07-11 00:02:00;Eta;635721697200000000;110
2015-08-22 00:02:00;Beta;635757985200000000;974
2015-04-11 00:02:00;Rho;635643073200000000;448
2015-07-12 00:01:00;Psi;635722560600000000;665
2018-04-29 00:02:00;Nu;6.36606E+017;824
2010-09-03T00:01:00.0000000;Zeta;634,190,688,600,000,000.00000000;6
2011-02-10 00:02:00;Beta;634328929200000000;251
12-10-2010 12:04 AM;Upsilon;6.342753624E+17;360
2017-08-11T00:03:00.0000000;Delta;636,380,065,800,000,000.00000000;878
02-07-2010 12:03 AM;Gamma;6.340109778E+17;39
08-15-2019 12:02 AM;Alpha;6.370142412E+17;423
2012-04-26 00:01:00;Iota;634709952600000000;844
