TM;Category;unknown;Quantity
2014-01-02 00:01:00;Chi;635242176600000000;407
07-13-2013 12:01 AM;Epsilon;6.350927046E+17;548
05-15-2015 12:01 AM;Iota;6.356724486E+17;307
2015-03-28T00:01:00.0000000;Epsilon;635,630,976,600,000,000.00000000;508
2017-03-24 00:02:00;Zeta;636259105200000000;604
02-11-2010 12:01 AM;Delta;6.340144326E+17;6
12-17-2015 12:01 AM;Tau;6.358590726E+17;843
11-07-2010 12:01 AM;Nu;6.342468486E+17;379
04-11-2013 12:01 AM;Nu;6.350123526E+17;456
2010-08-01 00:01:00;Iota;634162176600000000;510
2016-03-02 00:01:00;Beta;635924736600000000;130
2015-03-07 00:01:00;Epsilon;635612832600000000;556
2019-02-12 00:01:00;Delta;6.36855E+017;261
2012-08-06 00:01:00;Phi;634798080600000000;277
10-18-2010 12:01 AM;Lambda;6.342295686E+17;125
01-21-2016 12:01 AM;Xi;6.358893126E+17;373
11-16-2018 12:03 AM;Epsilon;6.367792338E+17;530
2015-08-24 00:01:00;Nu;6.35760E+017;708
2015-09-27 00:02:00;Omega;635789089200000000;572
2016-10-06 00:02:00;Beta;636113089200000000;882
2016-01-10T00:01:00.0000000;Upsilon;635,879,808,600,000,000.00000000;683
2010-05-25 00:01:00;Theta;6.34103E+017;41
04-11-2019 12:01 AM;Gamma;6.369053766E+17;984
2011-04-29 00:01:00;Pi;634396320600000000;590
11-01-2017 12:01 AM;Xi;6.364509126E+17;736
08-27-2010 12:02 AM;Psi;6.341846412E+17;494
2017-04-15 00:01:00;Upsilon;6.36278E+017;771
2018-09-02 00:02:00;Alpha;6.36714E+017;592
10-20-2015 12:01 AM;Upsilon;6.358089606E+17;387
04-05-2016 12:01 AM;Zeta;6.359541126E+17;990
2010-07-08 00:01:00;Mu;634141440600000000;576
11-05-2016 12:01 AM;Phi;6.361390086E+17;356
2018-03-01 00:01:00;Tau;636554592600000000;498
03-08-2013 12:01 AM;Phi;6.349829766E+17;649
2019-06-30T00:01:00.0000000;Nu;636,974,496,600,000,000.00000000;63
2014-08-10 00:01:00;Phi;6.35432E+017;220
2012-06-30 00:01:00;Eta;634766112600000000;890
2017-05-21 00:01:00;Phi;6.36309E+017;768
01-17-2017 12:01 AM;Omega;6.362020806E+17;56
2012-01-24T00:01:00.0000000;Lambda;634,629,600,600,000,000.00000000;50
2014-11-24 00:01:00;Nu;635523840600000000;93
2011-07-03 00:02:00;Zeta;634452481200000000;844
04-28-2014 12:02 AM;Eta;6.353424012E+17;238
2017-01-10 00:02:00;Chi;636196033200000000;89
2019-09-12T00:01:00.0000000;Tau;637,038,432,600,000,000.00000000;982
05-01-2018 12:02 AM;Gamma;6.366072972E+17;950
2011-07-25T00:01:00.0000000;Phi;634,471,488,600,000,000.00000000;461
12-06-2011 12:03 AM;Nu;6.345872658E+17;766
2017-08-15 00:01:00;Nu;636383520600000000;874
2013-05-04 00:01:00;Gamma;635032224600000000;758
2019-02-28 00:02:00;Tau;636869089200000000;576
10-28-2014 12:01 AM;Omicron;6.355005126E+17;566
2010-11-22 00:01:00;Kappa;6.34260E+017;958
06-12-2017 12:02 AM;Tau;6.363282252E+17;113
2013-03-18 00:03:00;Gamma;6.34992E+017;974
2010-09-20T00:02:00.0000000;Epsilon;634,205,377,200,000,000.00000000;385
2011-03-04T00:01:00.0000000;Tau;634,347,936,600,000,000.00000000;515
2015-11-05 00:01:00;Epsilon;6.35823E+017;515
01-29-2019 12:01 AM;Pi;6.368431686E+17;422
2012-08-12 00:02:00;Nu;634803265200000000;663
2015-01-09 00:02:00;Lambda;635563585200000000;86
2014-08-24 00:02:00;Xi;635444353200000000;598
2014-10-15T00:02:00.0000000;Nu;635,489,281,200,000,000.00000000;464
