TM;Category;unknown;Quantity
2012-08-25 00:01:00;Omega;634814496600000000;2
2018-07-03T00:01:00.0000000;Tau;636,661,728,600,000,000.00000000;264
2011-04-05 00:01:00;Rho;634375584600000000;689
2018-04-09 00:01:00;Epsilon;636588288600000000;401
05-21-2019 12:01 AM;Nu;6.369399366E+17;977
2015-10-01 00:01:00;Iota;6.35793E+017;442
05-12-2010 12:01 AM;Psi;6.340921926E+17;173
2015-11-19 00:01:00;Pi;635834880600000000;296
2015-11-14 00:01:00;Eta;635830560600000000;119
02-15-2013 12:02 AM;Psi;6.349648332E+17;428
09-25-2017 12:02 AM;Upsilon;6.364189452E+17;635
2015-12-29 00:01:00;Lambda;6.35869E+017;805
2017-10-27 00:01:00;Delta;636446592600000000;138
04-10-2019 12:01 AM;Lambda;6.369045126E+17;177
12-12-2017 12:01 AM;Delta;6.364863366E+17;758
08-21-2011 12:01 AM;Kappa;6.344948166E+17;592
2016-11-19 00:03:00;Lambda;6.36151E+017;979
2018-08-05 00:01:00;Omicron;636690240600000000;763
2011-04-23 00:02:00;Xi;634391137200000000;297
09-14-2015 12:01 AM;Lambda;6.357778566E+17;190
2018-08-08T00:02:00.0000000;Mu;636,692,833,200,000,000.00000000;229
06-11-2012 12:01 AM;Tau;6.347496966E+17;637
2015-08-17T00:02:00.0000000;Psi;635,753,665,200,000,000.00000000;147
2010-06-07 00:01:00;Alpha;634114656600000000;813
2011-04-13 00:01:00;Omega;6.34382E+017;869
2019-12-10T00:03:00.0000000;Omicron;637,115,329,800,000,000.00000000;619
06-07-2019 12:01 AM;Delta;6.369546246E+17;208
2017-01-05 00:01:00;Lambda;636191712600000000;231
03-23-2019 12:01 AM;Nu;6.368889606E+17;0
2013-04-08 00:02:00;Zeta;6.35010E+017;93
2011-07-04 00:01:00;Alpha;634453344600000000;587
05-20-2013 12:01 AM;Iota;6.350460486E+17;392
2012-01-19 00:01:00;Alpha;634625280600000000;656
2016-12-24 00:02:00;Eta;6.36181E+017;124
2011-09-01T00:01:00.0000000;Pi;634,504,320,600,000,000.00000000;786
04-21-2017 12:01 AM;Epsilon;6.362832966E+17;840
2011-10-22 00:01:00;Gamma;634548384600000000;79
2012-01-06T00:01:00.0000000;Rho;634,614,048,600,000,000.00000000;857
2016-08-31 00:01:00;Iota;636081984600000000;979
2019-07-08 00:02:00;Eta;6.36981E+017;866
06-21-2014 12:02 AM;Epsilon;6.353890572E+17;44
2010-08-30 00:01:00;Omicron;634187232600000000;611
11-07-2010 12:01 AM;Theta;6.342468486E+17;653
2012-12-29 00:01:00;Nu;634923360600000000;802
05-01-2012 12:01 AM;Omicron;6.347142726E+17;449
02-04-2017 12:01 AM;Pi;6.362176326E+17;894
12-20-2019 12:02 AM;Beta;6.371239692E+17;508
08-06-2010 12:01 AM;Chi;6.341664966E+17;501
2019-01-07 00:01:00;Omega;6.36824E+017;946
2013-10-19T00:01:00.0000000;Iota;635,177,376,600,000,000.00000000;596
09-30-2016 12:01 AM;Psi;6.361079046E+17;93
2018-06-30 00:02:00;Alpha;636659137200000000;331
2016-08-11 00:02:00;Delta;636064705200000000;824
2018-06-13 00:01:00;Psi;636644448600000000;558
2013-10-15 00:02:00;Rho;635173921200000000;326
2018-03-06 00:01:00;Gamma;6.36559E+017;614
2010-09-05 00:01:00;Zeta;634192416600000000;712
2019-11-28 00:02:00;Beta;6.37105E+017;627
2019-05-13 00:01:00;Alpha;6.36933E+017;930
2014-06-16 00:02:00;Rho;6.35385E+017;114
2018-09-17 00:01:00;Omicron;636727392600000000;969
2019-01-23 00:01:00;Theta;636837984600000000;961
2014-08-28 00:02:00;Mu;6.35448E+017;334
2015-05-19T00:02:00.0000000;Sigma;635,675,905,200,000,000.00000000;199
2017-01-22 00:01:00;Beta;636206400600000000;320
2012-02-06 00:01:00;Epsilon;634640832600000000;625
2015-12-23T00:02:00.0000000;Lambda;635,864,257,200,000,000.00000000;399
01-11-2019 12:01 AM;Eta;6.368276166E+17;164
09-27-2016 12:02 AM;Pi;6.361053132E+17;483
2019-06-18 00:03:00;Xi;6.36964E+017;966
2012-12-17 00:02:00;Zeta;634912993200000000;812
08-20-2012 12:01 AM;Xi;6.348101766E+17;800
2017-06-25 00:01:00;Delta;6.36339E+017;434
2019-05-04 00:02:00;Delta;636925249200000000;413
2015-05-07 00:01:00;Delta;6.35666E+017;634
09-13-2015 12:02 AM;Sigma;6.357769932E+17;940
2019-03-01 00:02:00;Omega;6.36870E+017;167
2019-10-21 00:01:00;Mu;637072128600000000;989
09-02-2014 12:02 AM;Delta;6.354521292E+17;523
2012-03-31 00:02:00;Kappa;634687489200000000;403
2018-01-09 00:02:00;Zeta;6.36511E+017;343
06-13-2017 12:01 AM;Sigma;6.363290886E+17;895
04-21-2015 12:03 AM;Sigma;6.356517138E+17;70
12-04-2019 12:03 AM;Theta;6.371101458E+17;994
08-28-2016 12:01 AM;Nu;6.360793926E+17;585
2011-03-27 00:03:00;Pi;6.34368E+017;366
2016-10-31 00:04:00;Theta;6.36135E+017;453
2010-06-24 00:02:00;Psi;634129345200000000;658
2017-01-04T00:03:00.0000000;Beta;636,190,849,800,000,000.00000000;967
2010-11-13 00:01:00;Pi;634252032600000000;806
07-12-2014 12:01 AM;Sigma;6.354072006E+17;507
12-26-2016 12:03 AM;Kappa;6.361830738E+17;556
05-18-2012 12:03 AM;Theta;6.347289618E+17;644
2010-12-26 00:01:00;Beta;6.34289E+017;95
2013-03-17 00:01:00;Mu;634990752600000000;952
2014-03-01 00:01:00;Delta;6.35292E+017;201
08-23-2011 12:02 AM;Sigma;6.344965452E+17;284
2017-04-23 00:02:00;Rho;636285025200000000;948
04-17-2011 12:02 AM;Chi;6.343859532E+17;697
2014-12-24T00:03:00.0000000;Sigma;635,549,761,800,000,000.00000000;857
2012-10-04 00:02:00;Theta;634849057200000000;384
2014-07-17 00:03:00;Xi;635411521800000000;570
2019-02-13 00:02:00;Theta;6.36856E+017;600
2014-08-05 00:02:00;Eta;635427937200000000;99
2019-10-05 00:01:00;Nu;6.37058E+017;86
09-15-2010 12:02 AM;Iota;6.342010572E+17;769
11-08-2016 12:01 AM;Tau;6.361416006E+17;534
2014-11-25 00:01:00;Eta;6.35525E+017;336
2018-11-04 00:02:00;Theta;636768865200000000;317
2019-04-01T00:01:00.0000000;Lambda;636,896,736,600,000,000.00000000;248
08-18-2018 12:02 AM;Pi;6.367014732E+17;294
06-10-2012 12:01 AM;Xi;6.347488326E+17;941
2016-07-29 00:03:00;Eta;636053473800000000;186
2010-06-06 00:02:00;Epsilon;634113793200000000;870
2018-01-07 00:01:00;Delta;636508800600000000;61
2010-03-05T00:01:00.0000000;Psi;634,033,440,600,000,000.00000000;334
2018-12-30 00:01:00;Delta;636817248600000000;966
2013-04-16 00:03:00;Omicron;635016673800000000;673
2010-11-11 00:02:00;Omicron;634250305200000000;229
2017-07-26 00:02:00;Sigma;636366241200000000;430
2019-04-05 00:03:00;Kappa;6.36900E+017;165
06-07-2018 12:03 AM;Lambda;6.366392658E+17;713
05-19-2019 12:02 AM;Mu;6.369382092E+17;984
2014-05-22T00:02:00.0000000;Kappa;635,363,137,200,000,000.00000000;384
2013-10-01 00:02:00;Psi;635161825200000000;762
2019-02-11 00:03:00;Omicron;6.36854E+017;660
09-05-2019 12:02 AM;Alpha;6.370323852E+17;199
2015-10-31T00:02:00.0000000;Psi;635,818,465,200,000,000.00000000;996
2014-07-02 00:01:00;Gamma;635398560600000000;778
2011-12-31 00:03:00;Pi;634608865800000000;786
2017-01-13 00:02:00;Eta;6.36199E+017;127
2013-07-18T00:02:00.0000000;Epsilon;635,097,025,200,000,000.00000000;236
2016-09-18T00:04:00.0000000;Delta;636,097,538,400,000,000.00000000;360
2018-08-09T00:02:00.0000000;Nu;636,693,697,200,000,000.00000000;799
02-06-2015 12:04 AM;Iota;6.355877784E+17;463
03-28-2018 12:01 AM;Omicron;6.365779206E+17;690
2017-03-14 00:04:00;Tau;636250466400000000;635
2011-01-04 00:02:00;Tau;634296961200000000;215
09-11-2010 12:01 AM;Iota;6.341976006E+17;596
2010-07-26 00:02:00;Pi;634156993200000000;907
2014-09-12 00:02:00;Lambda;635460769200000000;573
2012-06-30 00:02:00;Upsilon;634766113200000000;97
11-25-2015 12:02 AM;Tau;6.358400652E+17;127
2017-06-20 00:02:00;Theta;636335137200000000;713
03-22-2014 12:03 AM;Omega;6.353104338E+17;414
10-24-2013 12:03 AM;Sigma;6.351816978E+17;132
2014-07-17 00:03:00;Sigma;635411521800000000;649
2018-03-02 00:04:00;Phi;6.36555E+017;562
2015-01-18 00:02:00;Iota;6.35571E+017;173
2010-08-14T00:02:00.0000000;Theta;634,173,409,200,000,000.00000000;45
2017-05-17 00:03:00;Pi;6.36306E+017;889
05-05-2018 12:02 AM;Beta;6.366107532E+17;621
2013-03-15T00:02:00.0000000;Sigma;634,989,025,200,000,000.00000000;715
07-13-2017 12:04 AM;Kappa;6.363550104E+17;37
2013-12-12T00:01:00.0000000;Phi;635,224,032,600,000,000.00000000;438
2019-12-12 00:02:00;Chi;637117057200000000;673
2013-02-12 00:02:00;Alpha;6.34962E+017;997
01-21-2010 12:02 AM;Eta;6.339962892E+17;201
03-27-2013 12:02 AM;Delta;6.349993932E+17;538
2015-06-08T00:02:00.0000000;Psi;635,693,185,200,000,000.00000000;907
07-19-2011 12:03 AM;Epsilon;6.344663058E+17;430
2017-07-26 00:04:00;Tau;636366242400000000;395
11-26-2010 12:01 AM;Sigma;6.342632646E+17;696
2019-05-04 00:03:00;Xi;636925249800000000;244
2019-04-07 00:03:00;Delta;6.36902E+017;305
2019-04-20T00:01:00.0000000;Pi;636,913,152,600,000,000.00000000;136
2016-12-24 00:02:00;Rho;6.36181E+017;413
2010-02-10 00:03:00;Tau;634013569800000000;784
01-16-2011 12:03 AM;Psi;6.343073298E+17;854
2019-09-07 00:03:00;Nu;637034113800000000;882
2010-06-11 00:01:00;Beta;6.34118E+017;466
09-23-2018 12:03 AM;Epsilon;6.367325778E+17;221
2013-06-17 00:03:00;Rho;6.35070E+017;390
04-19-2016 12:01 AM;Alpha;6.359662086E+17;305
11-25-2010 12:03 AM;Sigma;6.342624018E+17;70
2010-01-08 00:02:00;Delta;633985057200000000;170
2016-05-15 00:05:00;Iota;635988675000000000;401
01-30-2013 12:02 AM;Beta;6.349510092E+17;474
05-24-2011 12:02 AM;Upsilon;6.344179212E+17;280
2017-01-05T00:04:00.0000000;Mu;636,191,714,400,000,000.00000000;919
2010-04-06 00:03:00;Upsilon;634061089800000000;125
2011-06-18T00:03:00.0000000;Zeta;634,439,521,800,000,000.00000000;812
2012-03-22 00:04:00;Mu;6.34680E+017;770
09-22-2013 12:03 AM;Epsilon;6.351540498E+17;666
2010-12-16 00:02:00;Nu;634280545200000000;406
10-27-2012 12:04 AM;Kappa;6.348689304E+17;220
03-07-2019 12:03 AM;Nu;6.368751378E+17;400
2015-07-15 00:02:00;Omicron;635725153200000000;709
2018-06-03 00:03:00;Rho;6.36636E+017;986
10-20-2016 12:03 AM;Upsilon;6.361251858E+17;217
2017-03-02T00:03:00.0000000;Pi;636,240,097,800,000,000.00000000;359
2017-10-24 00:03:00;Mu;636444001800000000;686
10-24-2014 12:05 AM;Rho;6.35497059E+17;693
2016-08-30 00:02:00;Pi;636081121200000000;83
2017-01-10 00:03:00;Xi;6.36196E+017;870
03-07-2012 12:03 AM;Sigma;6.346667538E+17;59
2017-10-25 00:02:00;Omega;636444865200000000;583
2012-05-22 00:04:00;Sigma;634732418400000000;589
2018-08-09T00:01:00.0000000;Psi;636,693,696,600,000,000.00000000;89
09-27-2017 12:02 AM;Chi;6.364206732E+17;481
2011-01-31 00:02:00;Zeta;6.34320E+017;946
2012-04-21T00:02:00.0000000;Phi;634,705,633,200,000,000.00000000;362
2019-06-12 00:06:00;Delta;636958947600000000;794
2011-12-20 00:01:00;Mu;634599360600000000;129
2017-05-14 00:03:00;Rho;636303169800000000;942
2017-12-01 00:02:00;Kappa;636476833200000000;443
08-02-2012 12:02 AM;Zeta;6.347946252E+17;612
2016-08-18 00:04:00;Iota;6.36071E+017;118
2013-05-10 00:04:00;Omega;6.35037E+017;25
11-04-2010 12:05 AM;Tau;6.34244259E+17;317
07-21-2015 12:04 AM;Alpha;6.357303384E+17;251
2013-02-11 00:04:00;Xi;6.34961E+017;751
11-15-2018 12:04 AM;Chi;6.367783704E+17;615
2010-08-14T00:02:00.0000000;Alpha;634,173,409,200,000,000.00000000;62
2015-03-04 00:03:00;Phi;635610241800000000;288
2019-06-10T00:03:00.0000000;Chi;636,957,217,800,000,000.00000000;162
2019-08-07 00:03:00;Sigma;637007329800000000;269
2011-06-03 00:06:00;Omicron;6.34427E+017;305
2011-08-17 00:05:00;Upsilon;6.34491E+017;465
02-22-2011 12:01 AM;Theta;6.343392966E+17;274
2012-08-05T00:05:00.0000000;Omicron;634,797,219,000,000,000.00000000;171
2015-12-23T00:02:00.0000000;Phi;635,864,257,200,000,000.00000000;236
2017-08-26 00:03:00;Lambda;636393025800000000;723
2019-01-23 00:03:00;Delta;6.36838E+017;508
2013-03-26 00:04:00;Epsilon;634998530400000000;114
2013-10-22 00:03:00;Nu;6.35180E+017;675
2010-08-14T00:03:00.0000000;Alpha;634,173,409,800,000,000.00000000;427
2011-11-08 00:02:00;Lambda;634563073200000000;655
2018-08-24T00:04:00.0000000;Kappa;636,706,658,400,000,000.00000000;700
2012-11-25T00:03:00.0000000;Alpha;634,893,985,800,000,000.00000000;291
2010-02-18 00:03:00;Pi;634020481800000000;504
2015-06-06T00:03:00.0000000;Zeta;635,691,457,800,000,000.00000000;89
05-28-2016 12:03 AM;Chi;6.359999058E+17;942
10-14-2012 12:02 AM;Tau;6.348576972E+17;907
2011-07-21 00:02:00;Mu;634468033200000000;221
2010-11-30 00:06:00;Nu;634266723600000000;405
2016-09-02 00:03:00;Tau;636083713800000000;487
