TM;Category;unknown;Quantity
2011-03-20T00:01:00.0000000;Rho;634,361,760,600,000,000.00000000;696
2010-05-17T00:01:00.0000000;Upsilon;634,096,512,600,000,000.00000000;191
2016-08-02 00:01:00;Delta;6.36057E+017;346
2014-06-25 00:01:00;Psi;635392512600000000;658
2016-04-24 00:01:00;Omega;635970528600000000;235
2019-12-17 00:01:00;Omicron;6.37121E+017;464
2013-03-20 00:01:00;Nu;6.34993E+017;163
2017-01-21 00:01:00;Upsilon;636205536600000000;537
12-04-2012 12:01 AM;Omicron;6.349017606E+17;186
2016-10-28 00:01:00;Sigma;636132096600000000;148
2014-02-27 00:01:00;Omega;6.35291E+017;328
2013-05-08T00:01:00.0000000;Lambda;635,035,680,600,000,000.00000000;384
09-12-2016 12:02 AM;Alpha;6.360923532E+17;660
2015-09-29 00:01:00;Pi;6.35791E+017;768
2011-04-27T00:01:00.0000000;Iota;634,394,592,600,000,000.00000000;794
2014-02-09 00:02:00;Kappa;6.35275E+017;590
2010-06-02 00:02:00;Xi;634110337200000000;602
2014-02-10 00:01:00;Pi;6.35276E+017;570
2011-07-09T00:01:00.0000000;Zeta;634,457,664,600,000,000.00000000;640
2010-02-22 00:01:00;Nu;6.34024E+017;781
03-02-2015 12:01 AM;Chi;6.356085126E+17;353
07-19-2010 12:02 AM;Mu;6.341509452E+17;299
2019-02-09 00:01:00;Upsilon;636852672600000000;682
04-01-2016 12:02 AM;Omicron;6.359506572E+17;217
2019-07-21 00:01:00;Beta;636992640600000000;514
2018-05-11 00:03:00;Delta;636615937800000000;180
2015-11-19 00:01:00;Mu;635834880600000000;119
08-01-2012 12:03 AM;Kappa;6.347937618E+17;326
2018-03-02 00:02:00;Lambda;636555457200000000;735
11-22-2017 12:02 AM;Chi;6.364690572E+17;727
04-18-2011 12:01 AM;Rho;6.343868166E+17;218
2013-02-05T00:02:00.0000000;Theta;634,956,193,200,000,000.00000000;254
2013-07-19T00:01:00.0000000;Epsilon;635,097,888,600,000,000.00000000;841
2010-02-18 00:02:00;Beta;634020481200000000;932
08-01-2018 12:02 AM;Pi;6.366867852E+17;155
08-24-2011 12:01 AM;Lambda;6.344974086E+17;737
2016-09-24 00:01:00;Omega;636102720600000000;297
09-06-2012 12:02 AM;Alpha;6.348248652E+17;47
09-06-2012 12:01 AM;Phi;6.348248646E+17;234
02-06-2010 12:02 AM;Zeta;6.340101132E+17;676
2019-03-21 00:01:00;Iota;6.36887E+017;37
2019-06-19 00:02:00;Alpha;6.36965E+017;423
2015-09-25T00:01:00.0000000;Nu;635,787,360,600,000,000.00000000;566
2010-05-05 00:01:00;Lambda;6.34086E+017;334
2011-07-07T00:01:00.0000000;Omega;634,455,936,600,000,000.00000000;437
03-11-2012 12:02 AM;Kappa;6.346702092E+17;20
2010-10-30 00:01:00;Lambda;634239936600000000;526
2019-11-11 00:01:00;Omega;6.37090E+017;899
09-04-2014 12:01 AM;Theta;6.354538566E+17;525
2015-03-13 00:01:00;Omicron;635618016600000000;153
2017-07-27 00:02:00;Alpha;636367105200000000;647
2013-11-29 00:01:00;Rho;6.35213E+017;664
10-01-2010 12:01 AM;Alpha;6.342148806E+17;213
2019-07-02T00:01:00.0000000;Chi;636,976,224,600,000,000.00000000;787
05-18-2019 12:01 AM;Epsilon;6.369373446E+17;829
2019-11-04T00:01:00.0000000;Chi;637,084,224,600,000,000.00000000;593
2015-06-28 00:02:00;Nu;635710465200000000;893
02-14-2014 12:01 AM;Sigma;6.352793286E+17;729
08-28-2015 12:02 AM;Psi;6.357631692E+17;161
2019-11-02 00:01:00;Epsilon;637082496600000000;333
2015-11-22 00:01:00;Beta;6.35837E+017;412
2014-09-08T00:01:00.0000000;Eta;635,457,312,600,000,000.00000000;475
2013-04-15 00:02:00;Pi;635015809200000000;408
2012-05-11T00:01:00.0000000;Psi;634,722,912,600,000,000.00000000;327
2011-11-25 00:04:00;Iota;634577762400000000;157
07-23-2015 12:01 AM;Alpha;6.357320646E+17;894
07-27-2019 12:02 AM;Upsilon;6.369978252E+17;662
2010-08-04 00:02:00;Omega;6.34165E+017;322
2013-07-19T00:02:00.0000000;Theta;635,097,889,200,000,000.00000000;616
02-06-2011 12:02 AM;Lambda;6.343254732E+17;528
08-25-2016 12:01 AM;Zeta;6.360768006E+17;925
2012-09-30 00:02:00;Epsilon;634845601200000000;520
2016-06-28 00:02:00;Beta;6.36027E+017;741
2016-10-15 00:02:00;Zeta;6.36121E+017;805
2019-12-27 00:01:00;Iota;637130016600000000;193
2010-04-24 00:03:00;Sigma;634076641800000000;184
2013-05-09T00:01:00.0000000;Alpha;635,036,544,600,000,000.00000000;421
07-25-2015 12:03 AM;Psi;6.357337938E+17;998
11-28-2014 12:02 AM;Chi;6.355272972E+17;13
2014-07-21 00:01:00;Gamma;635414976600000000;789
2019-06-12T00:02:00.0000000;Zeta;636,958,945,200,000,000.00000000;180
2010-07-13 00:01:00;Omega;634145760600000000;244
2015-01-09T00:05:00.0000000;Phi;635,563,587,000,000,000.00000000;125
2012-06-17 00:03:00;Chi;634754881800000000;813
05-24-2011 12:02 AM;Tau;6.344179212E+17;292
2010-11-19 00:04:00;Psi;6.34257E+017;296
2019-05-06 00:01:00;Kappa;636926976600000000;473
2010-10-12 00:01:00;Delta;634224384600000000;522
2010-05-16T00:03:00.0000000;Iota;634,095,649,800,000,000.00000000;479
10-25-2019 12:03 AM;Beta;6.370755858E+17;617
2015-10-18 00:01:00;Upsilon;6.35807E+017;792
2015-12-26 00:03:00;Chi;635866849800000000;627
05-05-2011 12:01 AM;Delta;6.344015046E+17;576
2018-08-08T00:04:00.0000000;Rho;636,692,834,400,000,000.00000000;974
06-13-2010 12:01 AM;Mu;6.341198406E+17;758
06-28-2017 12:02 AM;Gamma;6.363420492E+17;394
2015-06-03 00:02:00;Iota;635688865200000000;429
2019-05-09 00:03:00;Theta;636929569800000000;599
08-13-2014 12:02 AM;Beta;6.354348492E+17;660
03-08-2018 12:01 AM;Delta;6.365606406E+17;377
2013-10-16T00:03:00.0000000;Xi;635,174,785,800,000,000.00000000;209
10-02-2010 12:02 AM;Delta;6.342157452E+17;824
2013-02-02 00:02:00;Pi;634953601200000000;183
2015-03-28 00:03:00;Upsilon;635630977800000000;48
2016-05-13 00:01:00;Iota;635986944600000000;815
10-02-2014 12:04 AM;Phi;6.354780504E+17;844
2016-01-09T00:02:00.0000000;Xi;635,878,945,200,000,000.00000000;544
2017-05-20 00:02:00;Rho;6.36308E+017;654
2014-02-24 00:01:00;Rho;635287968600000000;465
2018-07-24 00:02:00;Phi;636679873200000000;827
2017-03-15 00:04:00;Theta;636251330400000000;413
2013-04-15 00:04:00;Chi;635015810400000000;126
2016-09-19T00:02:00.0000000;Omicron;636,098,401,200,000,000.00000000;627
2015-04-12T00:02:00.0000000;Sigma;635,643,937,200,000,000.00000000;74
06-11-2016 12:02 AM;Chi;6.360120012E+17;981
2011-01-03 00:04:00;Rho;634296098400000000;885
2016-01-31 00:03:00;Lambda;635897953800000000;274
2016-07-31 00:01:00;Theta;636055200600000000;515
2019-10-16 00:01:00;Epsilon;637067808600000000;425
2013-10-24 00:01:00;Tau;6.35182E+017;429
2016-05-31 00:02:00;Pi;636002497200000000;950
2019-08-12 00:01:00;Pi;6.37012E+017;247
2013-02-13 00:02:00;Omega;6.34963E+017;348
2015-06-12 00:02:00;Theta;6.35697E+017;21
05-25-2011 12:03 AM;Phi;6.344187858E+17;232
2012-10-08 00:03:00;Mu;6.34853E+017;741
03-15-2010 12:02 AM;Zeta;6.340420812E+17;77
2013-02-10 00:02:00;Theta;634960513200000000;324
2017-03-21T00:01:00.0000000;Eta;636,256,512,600,000,000.00000000;512
04-29-2013 12:01 AM;Epsilon;6.350279046E+17;165
06-08-2018 12:01 AM;Pi;6.366401286E+17;348
2016-01-17 00:02:00;Sigma;6.35886E+017;39
2011-07-27 00:02:00;Chi;634473217200000000;188
2011-04-05 00:02:00;Omega;634375585200000000;236
2010-06-04T00:03:00.0000000;Rho;634,112,065,800,000,000.00000000;295
2010-10-25T00:03:00.0000000;Psi;634,235,617,800,000,000.00000000;966
08-09-2016 12:02 AM;Lambda;6.360629772E+17;98
2017-04-10 00:01:00;Kappa;636273792600000000;727
2012-03-19 00:02:00;Chi;634677121200000000;129
10-12-2013 12:02 AM;Tau;6.351713292E+17;762
04-23-2015 12:02 AM;Kappa;6.356534412E+17;636
2011-11-08 00:01:00;Iota;634563072600000000;660
2013-08-31 00:02:00;Theta;6.35135E+017;950
2016-05-04 00:02:00;Kappa;6.35979E+017;558
07-29-2019 12:03 AM;Alpha;6.369995538E+17;598
2010-08-18 00:02:00;Gamma;634176865200000000;845
07-30-2018 12:03 AM;Upsilon;6.366850578E+17;336
2018-01-03T00:03:00.0000000;Kappa;636,505,345,800,000,000.00000000;303
08-18-2018 12:04 AM;Psi;6.367014744E+17;214
2018-08-31 00:02:00;Xi;636712705200000000;560
10-10-2012 12:02 AM;Zeta;6.348542412E+17;567
2010-05-18T00:02:00.0000000;Iota;634,097,377,200,000,000.00000000;914
2014-01-12 00:03:00;Eta;635250817800000000;799
10-26-2014 12:03 AM;Psi;6.354987858E+17;404
2011-01-14 00:02:00;Mu;6.34306E+017;789
2013-02-13 00:02:00;Sigma;6.34963E+017;664
01-01-2010 12:04 AM;Eta;6.339790104E+17;16
2016-09-03 00:02:00;Lambda;636084577200000000;594
2017-09-19 00:02:00;Psi;636413761200000000;999
2015-02-23 00:03:00;Iota;6.35602E+017;451
06-09-2012 12:02 AM;Epsilon;6.347479692E+17;645
2018-08-08T00:03:00.0000000;Gamma;636,692,833,800,000,000.00000000;34
2017-10-08 00:01:00;Sigma;636430176600000000;461
09-20-2014 12:02 AM;Eta;6.354676812E+17;761
2011-10-19 00:03:00;Gamma;634545793800000000;525
2011-02-16 00:04:00;Alpha;6.34334E+017;323
2016-04-15 00:02:00;Rho;6.35963E+017;407
08-21-2012 12:03 AM;Upsilon;6.348110418E+17;889
2017-07-03 00:03:00;Lambda;636346369800000000;298
2016-06-18 00:02:00;Rho;636018049200000000;793
05-21-2018 12:02 AM;Phi;6.366245772E+17;263
04-05-2010 12:01 AM;Zeta;6.340602246E+17;889
10-17-2010 12:04 AM;Kappa;6.342287064E+17;731
2013-12-24 00:03:00;Rho;635234401800000000;291
2016-12-25 00:03:00;Omicron;6.36182E+017;525
10-13-2012 12:01 AM;Xi;6.348568326E+17;3
07-10-2019 12:03 AM;Alpha;6.369831378E+17;477
2012-10-07 00:03:00;Rho;6.34852E+017;428
2019-04-03 00:04:00;Chi;636898466400000000;913
2014-08-05T00:01:00.0000000;Omicron;635,427,936,600,000,000.00000000;161
2012-07-27 00:03:00;Chi;6.34789E+017;446
2010-03-06T00:02:00.0000000;Pi;634,034,305,200,000,000.00000000;148
2010-08-18 00:03:00;Zeta;634176865800000000;390
10-30-2019 12:02 AM;Lambda;6.370799052E+17;537
2016-07-07 00:01:00;Iota;636034464600000000;259
2018-02-09 00:04:00;Kappa;636537314400000000;56
01-17-2010 12:03 AM;Upsilon;6.339928338E+17;182
08-22-2016 12:03 AM;Iota;6.360742098E+17;332
05-25-2016 12:03 AM;Iota;6.359973138E+17;438
2015-08-26 00:01:00;Delta;6.35761E+017;284
2014-12-24T00:03:00.0000000;Pi;635,549,761,800,000,000.00000000;61
2018-09-10 00:04:00;Eta;636721346400000000;40
2011-11-30 00:03:00;Zeta;634582081800000000;704
2014-05-22T00:03:00.0000000;Omega;635,363,137,800,000,000.00000000;19
2018-08-14 00:01:00;Xi;6.36698E+017;626
2018-10-03 00:04:00;Iota;636741218400000000;461
2013-11-26 00:02:00;Omega;635210209200000000;627
05-22-2011 12:03 AM;Epsilon;6.344161938E+17;363
2014-04-28 00:05:00;Sigma;635342403000000000;918
12-23-2013 12:03 AM;Alpha;6.352335378E+17;460
