TM;Category;unknown;Quantity
2015-06-14 00:01:00;Xi;6.35698E+017;61
2012-01-22T00:01:00.0000000;Gamma;634,627,872,600,000,000.00000000;513
07-19-2011 12:01 AM;Gamma;6.344663046E+17;595
2013-04-07 00:01:00;Omega;6.35009E+017;643
2019-03-11 00:01:00;Phi;636878592600000000;810
2015-09-22 00:01:00;Omega;635784768600000000;453
2013-02-21 00:01:00;Beta;634970016600000000;344
09-12-2011 12:01 AM;Kappa;6.345138246E+17;898
10-13-2012 12:01 AM;Pi;6.348568326E+17;789
2011-08-20 00:01:00;Pi;6.34494E+017;110
2012-11-11 00:01:00;Pi;634881888600000000;674
03-14-2016 12:01 AM;Omega;6.359351046E+17;416
2019-09-19 00:01:00;Delta;6.37044E+017;699
2016-01-31 00:01:00;Pi;635897952600000000;990
2011-08-17 00:01:00;Nu;634491360600000000;883
2016-04-25 00:01:00;Alpha;635971392600000000;300
01-28-2019 12:01 AM;Gamma;6.368423046E+17;595
2012-10-06 00:01:00;Zeta;634850784600000000;91
2016-09-22 00:01:00;Omicron;636100992600000000;40
04-10-2013 12:01 AM;Beta;6.350114886E+17;174
03-26-2018 12:01 AM;Psi;6.365761926E+17;153
2017-01-28 00:01:00;Iota;636211584600000000;480
07-09-2015 12:01 AM;Iota;6.357199686E+17;121
11-01-2017 12:01 AM;Omicron;6.364509126E+17;49
2013-12-13 00:01:00;Beta;635224896600000000;971
2015-02-19T00:01:00.0000000;Upsilon;635,599,008,600,000,000.00000000;207
2010-03-27 00:01:00;Chi;634052448600000000;693
10-17-2010 12:01 AM;Kappa;6.342287046E+17;117
06-26-2019 12:01 AM;Lambda;6.369710406E+17;766
2018-05-17 00:02:00;Omega;6.36621E+017;603
11-02-2012 12:01 AM;Epsilon;6.348741126E+17;928
2014-08-04T00:02:00.0000000;Alpha;635,427,073,200,000,000.00000000;679
08-22-2017 12:01 AM;Tau;6.363895686E+17;426
2014-06-12 00:02:00;Epsilon;635381281200000000;48
2014-06-29T00:02:00.0000000;Lambda;635,395,969,200,000,000.00000000;517
2015-09-27 00:02:00;Beta;635789089200000000;618
2018-03-01 00:02:00;Mu;636554593200000000;620
2015-07-03 00:01:00;Omega;6.35715E+017;95
03-02-2014 12:01 AM;Xi;6.352931526E+17;717
2012-04-20 00:01:00;Rho;634704768600000000;960
07-24-2014 12:02 AM;Iota;6.354175692E+17;379
2013-03-14T00:02:00.0000000;Pi;634,988,161,200,000,000.00000000;31
2019-01-20 00:02:00;Upsilon;636835393200000000;838
05-03-2019 12:01 AM;Pi;6.369243846E+17;682
2013-05-07T00:01:00.0000000;Iota;635,034,816,600,000,000.00000000;538
