TM;Category;unknown;Quantity
06-30-2016 12:01 AM;Eta;6.360284166E+17;779
2017-04-26T00:01:00.0000000;Chi;636,287,616,600,000,000.00000000;548
2016-10-23 00:01:00;Iota;636127776600000000;645
2013-06-02 00:01:00;Tau;6.35057E+017;267
01-06-2010 12:01 AM;Kappa;6.339833286E+17;810
10-09-2019 12:01 AM;Omicron;6.370617606E+17;563
2015-02-06 00:01:00;Iota;6.35588E+017;218
2010-10-08T00:01:00.0000000;Zeta;634,220,928,600,000,000.00000000;164
2015-07-20 00:01:00;Chi;6.35729E+017;141
2014-06-17 00:01:00;Eta;6.35386E+017;542
02-19-2018 12:02 AM;Upsilon;6.365459532E+17;743
03-21-2015 12:01 AM;Rho;6.356249286E+17;871
11-22-2016 12:01 AM;Delta;6.361536966E+17;9
06-28-2018 12:01 AM;Rho;6.366574086E+17;976
2015-12-09 00:01:00;Omega;635852160600000000;791
2014-12-23 00:01:00;Eta;635548896600000000;571
2013-05-23 00:01:00;Phi;635048640600000000;623
02-06-2017 12:01 AM;Alpha;6.362193606E+17;829
08-16-2014 12:01 AM;Iota;6.354374406E+17;469
2016-06-02 00:01:00;Rho;636004224600000000;207
2015-05-21T00:01:00.0000000;Zeta;635,677,632,600,000,000.00000000;580
01-03-2011 12:01 AM;Delta;6.342960966E+17;115
05-10-2010 12:01 AM;Gamma;6.340904646E+17;747
2010-02-13 00:01:00;Nu;634016160600000000;127
2013-10-31 00:02:00;Pi;635187745200000000;510
2017-04-11 00:01:00;Omicron;636274656600000000;186
2018-10-08 00:01:00;Upsilon;6.36746E+017;755
08-06-2010 12:01 AM;Omega;6.341664966E+17;303
2015-04-21 00:01:00;Kappa;6.35652E+017;655
2016-09-07 00:01:00;Tau;6.36088E+017;256
10-08-2014 12:01 AM;Omega;6.354832326E+17;75
05-18-2013 12:01 AM;Gamma;6.350443206E+17;866
2013-10-18T00:01:00.0000000;Omicron;635,176,512,600,000,000.00000000;31
06-18-2010 12:01 AM;Alpha;6.341241606E+17;968
2010-04-28T00:01:00.0000000;Epsilon;634,080,096,600,000,000.00000000;34
