TM;Category;unknown;Quantity
2014-09-13 00:01:00;Omicron;635461632600000000;111
2016-09-04 00:01:00;Kappa;636085440600000000;60
04-01-2010 12:01 AM;Upsilon;6.340567686E+17;950
2014-01-17T00:01:00.0000000;Xi;635,255,136,600,000,000.00000000;902
12-07-2017 12:01 AM;Lambda;6.364820166E+17;629
12-08-2012 12:01 AM;Upsilon;6.349052166E+17;426
2018-08-27T00:01:00.0000000;Psi;636,709,248,600,000,000.00000000;481
2017-10-28 00:01:00;Tau;636447456600000000;610
06-18-2010 12:01 AM;Delta;6.341241606E+17;155
06-16-2010 12:01 AM;Eta;6.341224326E+17;837
2014-06-29T00:01:00.0000000;Lambda;635,395,968,600,000,000.00000000;652
06-28-2011 12:01 AM;Omicron;6.344481606E+17;7
2019-06-29 00:01:00;Upsilon;636973632600000000;201
2013-02-27 00:01:00;Rho;634975200600000000;557
06-28-2011 12:01 AM;Pi;6.344481606E+17;471
09-18-2013 12:03 AM;Iota;6.351505938E+17;545
2015-04-28 00:01:00;Epsilon;635657760600000000;191
2014-10-14T00:01:00.0000000;Zeta;635,488,416,600,000,000.00000000;175
2019-03-02 00:01:00;Zeta;6.36871E+017;794
2012-08-06 00:01:00;Xi;634798080600000000;504
2014-12-27T00:01:00.0000000;Pi;635,552,352,600,000,000.00000000;214
2014-01-20 00:02:00;Kappa;635257729200000000;824
2012-01-21T00:02:00.0000000;Iota;634,627,009,200,000,000.00000000;269
2013-01-18T00:01:00.0000000;Psi;634,940,640,600,000,000.00000000;769
2017-03-27 00:01:00;Beta;6.36262E+017;201
2010-07-07 00:01:00;Delta;634140576600000000;73
2011-03-25 00:01:00;Gamma;634366080600000000;785
2012-05-07 00:01:00;Nu;634719456600000000;258
2012-02-17 00:01:00;Eta;6.34650E+017;531
2016-07-29 00:02:00;Iota;636053473200000000;532
2018-06-04 00:01:00;Nu;6.36637E+017;134
11-01-2012 12:01 AM;Sigma;6.348732486E+17;830
2016-06-18 00:01:00;Xi;636018048600000000;451
2019-12-07 00:02:00;Kappa;637112737200000000;511
2016-12-09 00:01:00;Mu;6.36168E+017;569
