TM;Category;unknown;Quantity
09-04-2013 12:01 AM;Sigma;6.351384966E+17;550
2019-01-05 00:01:00;Sigma;636822432600000000;578
2016-08-13 00:01:00;Omicron;636066432600000000;484
11-19-2017 12:01 AM;Pi;6.364664646E+17;752
2012-12-11 00:01:00;Epsilon;634907808600000000;369
2011-10-28 00:01:00;Epsilon;634553568600000000;746
2014-04-18T00:01:00.0000000;Iota;635,333,760,600,000,000.00000000;286
11-21-2012 12:01 AM;Lambda;6.348905286E+17;466
2018-11-15 00:01:00;Upsilon;6.36778E+017;897
10-13-2019 12:01 AM;Theta;6.370652166E+17;62
2017-01-12 00:01:00;Zeta;6.36198E+017;996
07-22-2016 12:02 AM;Kappa;6.360474252E+17;951
03-19-2010 12:01 AM;Omicron;6.340455366E+17;412
2010-06-06T00:01:00.0000000;Upsilon;634,113,792,600,000,000.00000000;606
2015-06-06T00:01:00.0000000;Gamma;635,691,456,600,000,000.00000000;973
12-21-2019 12:01 AM;Delta;6.371248326E+17;735
2016-07-16 00:01:00;Gamma;6.36042E+017;672
2011-01-13 00:01:00;Omicron;6.34305E+017;708
09-05-2012 12:01 AM;Iota;6.348240006E+17;115
2014-02-03T00:01:00.0000000;Alpha;635,269,824,600,000,000.00000000;655
03-14-2016 12:01 AM;Xi;6.359351046E+17;855
09-13-2011 12:01 AM;Beta;6.345146886E+17;989
01-15-2012 12:01 AM;Eta;6.346218246E+17;604
2018-09-12 00:01:00;Omicron;636723072600000000;779
2017-10-06T00:01:00.0000000;Kappa;636,428,448,600,000,000.00000000;26
2017-05-12 00:01:00;Pi;636301440600000000;261
2012-11-05 00:02:00;Lambda;634876705200000000;241
07-04-2016 12:02 AM;Tau;6.360318732E+17;798
2012-04-10 00:01:00;Iota;6.34696E+017;250
2014-05-26 00:01:00;Iota;635366592600000000;990
2012-03-14 00:01:00;Kappa;634672800600000000;277
2012-09-30 00:01:00;Epsilon;634845600600000000;263
2011-01-11 00:01:00;Zeta;634303008600000000;555
05-01-2019 12:01 AM;Kappa;6.369226566E+17;969
