TM;Category;unknown;Quantity
04-28-2013 12:01 AM;Epsilon;6.350270406E+17;611
2012-01-24T00:01:00.0000000;Chi;634,629,600,600,000,000.00000000;582
2011-06-04 00:01:00;Pi;634427424600000000;854
2016-06-21T00:01:00.0000000;Kappa;636,020,640,600,000,000.00000000;473
2017-06-16 00:01:00;Iota;636331680600000000;906
2015-04-21 00:01:00;Nu;6.35652E+017;85
2014-10-03 00:01:00;Rho;6.35479E+017;119
09-06-2013 12:01 AM;Nu;6.351402246E+17;276
2012-07-20 00:01:00;Upsilon;634783392600000000;812
2012-11-25T00:02:00.0000000;Delta;634,893,985,200,000,000.00000000;487
2011-10-28 00:02:00;Gamma;634553569200000000;982
2016-02-04 00:02:00;Alpha;6.35901E+017;706
2012-11-08T00:01:00.0000000;Upsilon;634,879,296,600,000,000.00000000;384
2018-12-21 00:01:00;Eta;6.36809E+017;6
2010-01-15 00:02:00;Delta;6.33991E+017;291
2011-10-07T00:02:00.0000000;Theta;634,535,425,200,000,000.00000000;635
05-03-2013 12:01 AM;Alpha;6.350313606E+17;815
2014-04-19 00:01:00;Tau;635334624600000000;92
2017-04-29 00:01:00;Gamma;636290208600000000;603
2016-03-27 00:02:00;Upsilon;6.35946E+017;546
2015-12-05T00:02:00.0000000;Zeta;635,848,705,200,000,000.00000000;275
2017-05-18 00:01:00;Iota;636306624600000000;843
2014-12-27T00:02:00.0000000;Omega;635,552,353,200,000,000.00000000;316
01-02-2016 12:01 AM;Delta;6.358728966E+17;635
02-25-2011 12:01 AM;Zeta;6.343418886E+17;103
2010-01-12T00:01:00.0000000;Pi;633,988,512,600,000,000.00000000;281
01-23-2010 12:01 AM;Upsilon;6.339980166E+17;82
2012-10-20T00:01:00.0000000;Alpha;634,862,880,600,000,000.00000000;358
2016-03-08 00:02:00;Theta;635929921200000000;819
11-12-2019 12:02 AM;Xi;6.370911372E+17;186
2012-04-02 00:02:00;Xi;634689217200000000;104
2015-06-25T00:02:00.0000000;Gamma;635,707,873,200,000,000.00000000;829
2016-07-07 00:01:00;Mu;636034464600000000;625
04-10-2014 12:02 AM;Beta;6.353268492E+17;483
2017-01-28 00:02:00;Sigma;636211585200000000;182
2012-11-15 00:01:00;Omicron;6.34885E+017;19
2012-10-08 00:01:00;Iota;6.34853E+017;498
2014-11-27 00:01:00;Delta;6.35526E+017;494
2014-03-14 00:01:00;Eta;635303520600000000;64
03-28-2012 12:01 AM;Nu;6.346848966E+17;316
2018-01-26 00:01:00;Rho;636525216600000000;255
2011-02-11 00:01:00;Omega;634329792600000000;207
2011-05-14T00:01:00.0000000;Omega;634,409,280,600,000,000.00000000;767
2010-04-16 00:01:00;Phi;6.34070E+017;616
09-10-2011 12:01 AM;Alpha;6.345120966E+17;644
2013-10-19 00:02:00;Tau;635177377200000000;977
2013-11-07 00:01:00;Theta;635193792600000000;953
2010-07-26 00:02:00;Alpha;634156993200000000;33
2016-11-13T00:02:00.0000000;Iota;636,145,921,200,000,000.00000000;149
04-13-2012 12:02 AM;Chi;6.346987212E+17;937
2019-04-25 00:02:00;Lambda;6.36917E+017;543
2017-03-20T00:01:00.0000000;Theta;636,255,648,600,000,000.00000000;74
06-09-2011 12:03 AM;Alpha;6.344317458E+17;382
2013-03-22 00:01:00;Zeta;6.34995E+017;850
08-16-2014 12:01 AM;Alpha;6.354374406E+17;193
06-27-2017 12:02 AM;Iota;6.363411852E+17;73
2015-07-10 00:01:00;Alpha;635720832600000000;347
2012-09-14T00:01:00.0000000;Omega;634,831,776,600,000,000.00000000;65
2019-12-07 00:01:00;Xi;637112736600000000;650
05-07-2011 12:03 AM;Omega;6.344032338E+17;673
2011-10-08T00:01:00.0000000;Epsilon;634,536,288,600,000,000.00000000;198
2012-05-13 00:01:00;Zeta;634724640600000000;603
2017-10-22 00:01:00;Omicron;636442272600000000;557
2019-04-22 00:02:00;Gamma;636914881200000000;239
2016-06-07 00:02:00;Pi;636008545200000000;721
10-13-2012 12:02 AM;Pi;6.348568332E+17;60
2011-09-03 00:01:00;Gamma;634506048600000000;528
2014-12-26T00:01:00.0000000;Kappa;635,551,488,600,000,000.00000000;957
2017-09-02 00:02:00;Pi;636399073200000000;391
04-15-2013 12:01 AM;Beta;6.350158086E+17;583
2013-10-22 00:03:00;Omicron;6.35180E+017;311
09-29-2011 12:02 AM;Omicron;6.345285132E+17;920
11-09-2010 12:01 AM;Epsilon;6.342485766E+17;592
2018-11-10 00:01:00;Omicron;636774048600000000;471
09-01-2013 12:02 AM;Xi;6.351359052E+17;813
2011-03-16 00:02:00;Omega;634358305200000000;434
2019-02-01 00:03:00;Nu;636845761800000000;891
2010-12-08 00:01:00;Delta;6.34274E+017;693
12-22-2019 12:04 AM;Phi;6.371256984E+17;435
2011-07-13 00:01:00;Zeta;6.34461E+017;59
2015-02-05 00:02:00;Nu;6.35587E+017;201
2010-09-17 00:01:00;Gamma;634202784600000000;928
03-19-2015 12:02 AM;Chi;6.356232012E+17;258
07-30-2019 12:01 AM;Rho;6.370004166E+17;277
11-07-2011 12:01 AM;Kappa;6.345622086E+17;555
05-22-2018 12:02 AM;Omicron;6.366254412E+17;567
2011-01-08T00:01:00.0000000;Lambda;634,300,416,600,000,000.00000000;271
2017-09-15 00:01:00;Nu;636410304600000000;430
02-17-2019 12:02 AM;Xi;6.368595852E+17;510
07-27-2015 12:01 AM;Delta;6.357355206E+17;34
09-02-2013 12:03 AM;Zeta;6.351367698E+17;916
2012-12-10 00:01:00;Epsilon;634906944600000000;82
03-11-2018 12:02 AM;Delta;6.365632332E+17;448
05-04-2012 12:02 AM;Omicron;6.347168652E+17;916
12-14-2016 12:02 AM;Lambda;6.361727052E+17;153
2016-10-05 00:01:00;Kappa;636112224600000000;411
2016-07-30 00:02:00;Nu;636054337200000000;167
2013-05-15 00:01:00;Omicron;6.35042E+017;878
2013-03-17 00:02:00;Pi;634990753200000000;926
2013-11-22T00:01:00.0000000;Theta;635,206,752,600,000,000.00000000;630
2013-10-16 00:01:00;Theta;635174784600000000;579
2019-05-11 00:01:00;Xi;636931296600000000;180
08-09-2016 12:01 AM;Pi;6.360629766E+17;760
08-22-2012 12:02 AM;Xi;6.348119052E+17;713
2011-04-07T00:02:00.0000000;Zeta;634,377,313,200,000,000.00000000;764
2010-10-09T00:02:00.0000000;Omicron;634,221,793,200,000,000.00000000;397
2013-08-11 00:01:00;Gamma;635117760600000000;590
10-17-2011 12:03 AM;Mu;6.345440658E+17;546
02-24-2011 12:03 AM;Omicron;6.343410258E+17;953
2012-08-27T00:02:00.0000000;Rho;634,816,225,200,000,000.00000000;247
09-06-2012 12:01 AM;Theta;6.348248646E+17;315
