TM;Category;unknown;Quantity
2018-02-12 00:01:00;Omega;636539904600000000;748
10-30-2013 12:01 AM;Delta;6.351868806E+17;703
2015-01-16 00:01:00;Theta;635569632600000000;289
05-12-2015 12:01 AM;Chi;6.356698566E+17;785
2017-02-12T00:01:00.0000000;Beta;636,224,544,600,000,000.00000000;626
2018-01-05T00:01:00.0000000;Pi;636,507,072,600,000,000.00000000;386
04-13-2013 12:01 AM;Delta;6.350140806E+17;17
2010-03-24T00:01:00.0000000;Gamma;634,049,856,600,000,000.00000000;867
01-31-2019 12:01 AM;Psi;6.368448966E+17;582
2014-11-03T00:01:00.0000000;Lambda;635,505,696,600,000,000.00000000;775
2015-10-08 00:01:00;Delta;635798592600000000;956
2010-03-10 00:01:00;Delta;634037760600000000;432
2013-12-17 00:01:00;Tau;6.35228E+017;13
02-03-2012 12:01 AM;Eta;6.346382406E+17;674
2014-07-14 00:01:00;Zeta;635408928600000000;660
2016-06-11 00:01:00;Omega;6.36012E+017;916
2014-11-19T00:02:00.0000000;Lambda;635,519,521,200,000,000.00000000;617
2011-02-17 00:01:00;Phi;634334976600000000;688
2010-01-30T00:01:00.0000000;Psi;634,004,064,600,000,000.00000000;977
2010-11-29 00:01:00;Omicron;634265856600000000;654
04-23-2016 12:01 AM;Phi;6.359696646E+17;79
2019-04-18 00:01:00;Xi;636911424600000000;812
08-11-2010 12:01 AM;Eta;6.341708166E+17;648
2014-11-18 00:01:00;Upsilon;635518656600000000;629
09-29-2011 12:01 AM;Nu;6.345285126E+17;781
01-13-2018 12:02 AM;Epsilon;6.365139852E+17;586
2016-01-25 00:01:00;Omicron;635892768600000000;642
2019-05-22 00:01:00;Phi;636940800600000000;458
05-27-2016 12:02 AM;Tau;6.359990412E+17;421
2012-03-25 00:01:00;Omega;6.34682E+017;976
07-16-2018 12:01 AM;Lambda;6.366729606E+17;466
2011-07-14 00:02:00;Omega;6.34462E+017;105
2014-08-24 00:01:00;Iota;635444352600000000;715
2013-04-05 00:02:00;Mu;635007169200000000;946
2013-09-11T00:01:00.0000000;Upsilon;635,144,544,600,000,000.00000000;34
2018-06-02 00:02:00;Tau;6.36635E+017;698
05-24-2017 12:02 AM;Beta;6.363118092E+17;945
12-27-2018 12:01 AM;Mu;6.368146566E+17;431
12-31-2010 12:01 AM;Phi;6.342935046E+17;344
05-17-2019 12:02 AM;Zeta;6.369364812E+17;241
2015-12-31 00:01:00;Epsilon;6.35871E+017;514
2019-12-09 00:01:00;Epsilon;637114464600000000;505
2012-06-20 00:01:00;Eta;634757472600000000;238
2014-05-09 00:01:00;Chi;635351904600000000;814
2010-03-29 00:01:00;Psi;6.34054E+017;285
2012-05-28T00:01:00.0000000;Chi;634,737,600,600,000,000.00000000;402
2011-06-08 00:01:00;Xi;6.34431E+017;315
04-22-2015 12:01 AM;Tau;6.356525766E+17;978
05-01-2012 12:02 AM;Psi;6.347142732E+17;880
2016-09-05 00:02:00;Psi;636086305200000000;86
2019-02-26T00:01:00.0000000;Chi;636,867,360,600,000,000.00000000;810
2014-04-14 00:02:00;Phi;635330305200000000;414
2011-10-29 00:01:00;Psi;634554432600000000;596
2014-02-11 00:01:00;Lambda;6.35277E+017;852
2011-01-26T00:02:00.0000000;Sigma;634,315,969,200,000,000.00000000;495
2019-12-07 00:02:00;Xi;637112737200000000;718
2016-06-09 00:01:00;Eta;6.36010E+017;638
09-24-2019 12:01 AM;Omega;6.370488006E+17;686
01-31-2018 12:03 AM;Tau;6.365295378E+17;660
2018-07-23T00:01:00.0000000;Upsilon;636,679,008,600,000,000.00000000;295
11-23-2010 12:03 AM;Lambda;6.342606738E+17;899
2014-06-27T00:02:00.0000000;Rho;635,394,241,200,000,000.00000000;408
2011-09-17T00:02:00.0000000;Mu;634,518,145,200,000,000.00000000;193
09-27-2016 12:02 AM;Iota;6.361053132E+17;683
06-25-2019 12:01 AM;Gamma;6.369701766E+17;430
01-21-2016 12:01 AM;Psi;6.358893126E+17;518
2011-08-13T00:02:00.0000000;Epsilon;634,487,905,200,000,000.00000000;487
02-20-2017 12:01 AM;Rho;6.362314566E+17;961
01-05-2015 12:02 AM;Iota;6.355601292E+17;168
2019-04-04 00:03:00;Alpha;636899329800000000;254
2015-03-05 00:02:00;Tau;635611105200000000;639
09-10-2016 12:01 AM;Iota;6.360906246E+17;228
2013-05-27T00:01:00.0000000;Gamma;635,052,096,600,000,000.00000000;278
2018-01-06 00:01:00;Chi;636507936600000000;418
2018-07-27 00:02:00;Xi;6.36682E+017;321
12-03-2019 12:02 AM;Nu;6.371092812E+17;0
09-08-2018 12:02 AM;Gamma;6.367196172E+17;561
2018-11-03 00:02:00;Beta;636768001200000000;146
2012-12-14 00:03:00;Beta;634910401800000000;936
2016-10-15 00:02:00;Beta;6.36121E+017;45
02-27-2015 12:02 AM;Omega;6.356059212E+17;359
2018-01-20 00:01:00;Kappa;636520032600000000;51
06-05-2019 12:02 AM;Iota;6.369528972E+17;645
2013-04-27 00:01:00;Theta;6.35026E+017;572
2016-05-04 00:01:00;Gamma;6.35979E+017;871
2016-12-14 00:03:00;Kappa;636172705800000000;714
2011-05-29 00:01:00;Beta;634422240600000000;144
2016-06-24 00:01:00;Sigma;636023232600000000;36
09-07-2018 12:01 AM;Omega;6.367187526E+17;709
2016-02-04 00:01:00;Iota;6.35901E+017;197
2019-05-29 00:03:00;Sigma;6.36947E+017;149
10-17-2010 12:01 AM;Theta;6.342287046E+17;374
2017-10-28 00:01:00;Eta;636447456600000000;53
2017-06-15 00:02:00;Omega;636330817200000000;306
2014-04-21 00:01:00;Pi;635336352600000000;278
11-09-2010 12:01 AM;Xi;6.342485766E+17;591
2015-05-08 00:01:00;Lambda;6.35666E+017;787
2011-01-23 00:02:00;Pi;634313377200000000;338
2018-07-09 00:02:00;Phi;6.36667E+017;209
07-03-2016 12:03 AM;Omicron;6.360310098E+17;389
2012-05-28T00:02:00.0000000;Mu;634,737,601,200,000,000.00000000;569
01-08-2015 12:01 AM;Lambda;6.355627206E+17;674
07-11-2019 12:01 AM;Iota;6.369840006E+17;318
03-20-2015 12:02 AM;Eta;6.356240652E+17;428
2010-11-20 00:01:00;Omega;6.34258E+017;452
2011-06-19T00:01:00.0000000;Mu;634,440,384,600,000,000.00000000;357
2011-05-30 00:02:00;Iota;634423105200000000;906
12-02-2013 12:03 AM;Phi;6.352153938E+17;811
2019-10-02 00:02:00;Theta;637055713200000000;550
2017-12-30 00:03:00;Epsilon;636501889800000000;818
2019-02-06T00:02:00.0000000;Sigma;636,850,081,200,000,000.00000000;962
08-14-2015 12:01 AM;Gamma;6.357510726E+17;340
05-15-2019 12:02 AM;Delta;6.369347532E+17;661
02-03-2018 12:02 AM;Pi;6.365321292E+17;200
2010-07-11 00:03:00;Theta;634144033800000000;401
2012-12-19 00:02:00;Alpha;6.34915E+017;796
2016-06-25 00:02:00;Omicron;636024097200000000;927
2010-04-16 00:02:00;Eta;6.34070E+017;36
2015-04-01 00:01:00;Pi;6.35634E+017;866
2018-09-17 00:04:00;Psi;6.36727E+017;550
09-03-2018 12:03 AM;Beta;6.367152978E+17;692
12-27-2011 12:01 AM;Gamma;6.346054086E+17;682
2014-02-03T00:01:00.0000000;Chi;635,269,824,600,000,000.00000000;854
2017-06-13 00:03:00;Pi;636329089800000000;866
2016-05-18 00:02:00;Tau;635991265200000000;634
2018-09-19 00:02:00;Epsilon;6.36729E+017;274
2013-05-24T00:03:00.0000000;Omega;635,049,505,800,000,000.00000000;696
2017-11-25 00:02:00;Pi;636471649200000000;891
2012-05-09T00:02:00.0000000;Epsilon;634,721,185,200,000,000.00000000;842
06-28-2018 12:01 AM;Delta;6.366574086E+17;45
2016-11-28 00:01:00;Zeta;636158880600000000;348
2018-06-15T00:03:00.0000000;Lambda;636,646,177,800,000,000.00000000;536
2011-08-26 00:02:00;Zeta;634499137200000000;272
04-02-2017 12:02 AM;Psi;6.362668812E+17;664
2010-01-11T00:02:00.0000000;Eta;633,987,649,200,000,000.00000000;235
2011-06-19T00:02:00.0000000;Mu;634,440,385,200,000,000.00000000;152
2016-05-12 00:03:00;Lambda;635986081800000000;198
2019-07-05 00:02:00;Sigma;6.36979E+017;195
11-14-2012 12:04 AM;Omicron;6.348844824E+17;707
2010-03-12 00:02:00;Gamma;6.34039E+017;13
10-21-2010 12:03 AM;Phi;6.342321618E+17;478
2018-02-10T00:01:00.0000000;Pi;636,538,176,600,000,000.00000000;458
2014-12-24T00:03:00.0000000;Gamma;635,549,761,800,000,000.00000000;49
2016-10-07T00:03:00.0000000;Pi;636,113,953,800,000,000.00000000;327
2015-12-02 00:02:00;Mu;635846113200000000;988
2012-08-11 00:02:00;Psi;634802401200000000;688
2011-07-10 00:03:00;Tau;634458529800000000;299
2018-02-08T00:02:00.0000000;Upsilon;636,536,449,200,000,000.00000000;297
01-30-2018 12:02 AM;Theta;6.365286732E+17;793
2010-11-02 00:03:00;Delta;6.34243E+017;208
2014-03-14 00:02:00;Xi;635303521200000000;113
2015-12-03T00:04:00.0000000;Zeta;635,846,978,400,000,000.00000000;937
09-10-2016 12:02 AM;Zeta;6.360906252E+17;989
2013-08-03 00:01:00;Beta;635110848600000000;354
2014-05-25 00:01:00;Alpha;635365728600000000;279
2010-09-19T00:04:00.0000000;Pi;634,204,514,400,000,000.00000000;234
2012-06-17 00:04:00;Nu;634754882400000000;931
09-09-2016 12:02 AM;Pi;6.360897612E+17;365
04-28-2013 12:02 AM;Nu;6.350270412E+17;361
