TM;Category;unknown;Quantity
2019-09-17 00:01:00;Xi;6.37043E+017;735
10-19-2010 12:01 AM;Theta;6.342304326E+17;52
2015-04-29 00:01:00;Kappa;635658624600000000;448
2018-09-03 00:01:00;Gamma;6.36715E+017;60
2015-07-19 00:01:00;Iota;6.35729E+017;85
2012-10-19 00:01:00;Omicron;634862016600000000;255
2016-11-19 00:01:00;Omicron;6.36151E+017;774
2011-05-17 00:01:00;Nu;634411872600000000;177
2018-05-09 00:01:00;Phi;636614208600000000;232
2013-09-10 00:01:00;Gamma;635143680600000000;806
2014-12-15 00:01:00;Eta;6.35542E+017;606
2016-12-24 00:01:00;Eta;636181344600000000;881
08-30-2015 12:01 AM;Sigma;6.357648966E+17;436
05-26-2010 12:03 AM;Gamma;6.341042898E+17;789
2011-02-11T00:02:00.0000000;Sigma;634,329,793,200,000,000.00000000;340
08-29-2015 12:01 AM;Nu;6.357640326E+17;931
08-10-2016 12:01 AM;Pi;6.360638406E+17;749
2015-06-08T00:01:00.0000000;Nu;635,693,184,600,000,000.00000000;419
2018-02-24 00:01:00;Psi;636550272600000000;166
2012-11-09T00:01:00.0000000;Omicron;634,880,160,600,000,000.00000000;946
2018-08-12 00:02:00;Gamma;636696289200000000;473
2012-03-20 00:01:00;Epsilon;634677984600000000;609
2011-04-07T00:02:00.0000000;Kappa;634,377,313,200,000,000.00000000;720
02-21-2012 12:01 AM;Kappa;6.346537926E+17;985
2014-12-25T00:01:00.0000000;Beta;635,550,624,600,000,000.00000000;495
11-27-2010 12:02 AM;Omicron;6.342641292E+17;8
2016-10-04 00:01:00;Kappa;636111360600000000;734
09-27-2012 12:01 AM;Xi;6.348430086E+17;618
2014-04-04 00:01:00;Nu;6.35322E+017;467
2016-10-05 00:02:00;Chi;636112225200000000;232
2016-10-23 00:02:00;Zeta;636127777200000000;160
09-18-2014 12:01 AM;Eta;6.354659526E+17;770
2015-08-25 00:02:00;Chi;6.35761E+017;811
08-25-2017 12:01 AM;Mu;6.363921606E+17;201
09-14-2010 12:01 AM;Upsilon;6.342001926E+17;325
2011-03-24 00:01:00;Lambda;634365216600000000;827
10-27-2013 12:02 AM;Lambda;6.351842892E+17;21
2016-01-16 00:02:00;Chi;6.35885E+017;989
2013-02-26T00:01:00.0000000;Iota;634,974,336,600,000,000.00000000;744
2017-11-17 00:01:00;Upsilon;6.36465E+017;523
2017-05-27 00:02:00;Omicron;636314401200000000;222
2011-11-28T00:03:00.0000000;Delta;634,580,353,800,000,000.00000000;407
10-29-2019 12:01 AM;Kappa;6.370790406E+17;249
2017-11-16 00:01:00;Upsilon;6.36464E+017;811
11-30-2014 12:01 AM;Upsilon;6.355290246E+17;344
10-02-2015 12:02 AM;Xi;6.357934092E+17;511
09-06-2013 12:01 AM;Tau;6.351402246E+17;723
09-24-2018 12:02 AM;Xi;6.367334412E+17;568
2013-06-09 00:01:00;Delta;635063328600000000;388
2013-06-10 00:02:00;Pi;635064193200000000;525
10-08-2014 12:02 AM;Psi;6.354832332E+17;362
2016-08-14T00:01:00.0000000;Theta;636,067,296,600,000,000.00000000;684
2015-10-17 00:02:00;Sigma;6.35806E+017;100
2017-07-09 00:01:00;Phi;636351552600000000;320
2018-10-26 00:02:00;Theta;6.36761E+017;574
2012-11-29 00:01:00;Kappa;634897440600000000;61
2017-12-02 00:01:00;Eta;636477696600000000;880
02-17-2018 12:01 AM;Rho;6.365442246E+17;304
03-29-2012 12:02 AM;Beta;6.346857612E+17;23
