TM;Category;unknown;Quantity
2017-09-20 00:01:00;Upsilon;636414624600000000;416
04-03-2011 12:01 AM;Xi;6.343738566E+17;0
2013-04-01T00:01:00.0000000;Delta;635,003,712,600,000,000.00000000;558
2011-11-29T00:01:00.0000000;Delta;634,581,216,600,000,000.00000000;784
11-03-2017 12:01 AM;Xi;6.364526406E+17;213
2018-06-16T00:01:00.0000000;Epsilon;636,647,040,600,000,000.00000000;279
12-25-2011 12:02 AM;Kappa;6.346036812E+17;323
01-09-2013 12:01 AM;Mu;6.349328646E+17;985
2017-12-17T00:01:00.0000000;Iota;636,490,656,600,000,000.00000000;468
06-08-2012 12:01 AM;Epsilon;6.347471046E+17;146
2013-09-07 00:02:00;Nu;635141089200000000;927
2016-09-17 00:01:00;Pi;636096672600000000;849
2019-03-16T00:01:00.0000000;Rho;636,882,912,600,000,000.00000000;798
2015-04-15T00:01:00.0000000;Iota;635,646,528,600,000,000.00000000;944
12-26-2012 12:01 AM;Eta;6.349207686E+17;942
07-28-2019 12:01 AM;Rho;6.369986886E+17;356
2013-06-20 00:01:00;Tau;6.35073E+017;124
05-05-2017 12:01 AM;Sigma;6.362953926E+17;536
2012-08-31 00:01:00;Omicron;634819680600000000;476
2016-04-26 00:01:00;Upsilon;635972256600000000;564
2012-11-30 00:01:00;Sigma;634898304600000000;6
06-03-2019 12:01 AM;Eta;6.369511686E+17;114
2010-04-12T00:01:00.0000000;Alpha;634,066,272,600,000,000.00000000;301
2018-06-21 00:01:00;Chi;6.36651E+017;455
2012-11-09T00:01:00.0000000;Zeta;634,880,160,600,000,000.00000000;627
2011-03-28 00:01:00;Upsilon;6.34369E+017;553
09-28-2016 12:03 AM;Zeta;6.361061778E+17;673
2015-01-19 00:01:00;Mu;6.35572E+017;806
2011-03-18 00:01:00;Phi;634360032600000000;281
2018-12-10 00:02:00;Tau;636799969200000000;827
2019-08-13 00:01:00;Sigma;6.37013E+017;204
2019-10-04 00:01:00;Psi;637057440600000000;987
03-08-2013 12:01 AM;Sigma;6.349829766E+17;997
07-27-2019 12:01 AM;Pi;6.369978246E+17;341
05-13-2014 12:02 AM;Nu;6.353553612E+17;212
2017-05-10 00:02:00;Sigma;636299713200000000;98
