TM;Category;unknown;Quantity
2016-11-19 00:01:00;Chi;6.36151E+017;122
2010-07-11T00:01:00.0000000;Rho;634,144,032,600,000,000.00000000;686
2015-07-14T00:01:00.0000000;Phi;635,724,288,600,000,000.00000000;19
08-07-2016 12:01 AM;Pi;6.360612486E+17;947
04-06-2015 12:01 AM;Nu;6.356387526E+17;291
2014-06-14 00:01:00;Alpha;635383008600000000;728
2017-01-12 00:01:00;Beta;6.36198E+017;798
2017-11-08 00:01:00;Iota;636456960600000000;119
07-02-2011 12:02 AM;Theta;6.344516172E+17;856
2016-12-03T00:01:00.0000000;Tau;636,163,200,600,000,000.00000000;803
10-24-2015 12:01 AM;Beta;6.358124166E+17;625
2019-04-16 00:01:00;Phi;636909696600000000;746
2012-08-31 00:01:00;Iota;634819680600000000;232
2018-08-06 00:01:00;Gamma;636691104600000000;266
2015-02-02 00:02:00;Chi;635584321200000000;915
2013-11-27 00:01:00;Sigma;635211072600000000;992
2011-01-28 00:01:00;Kappa;634317696600000000;996
2017-12-17T00:02:00.0000000;Lambda;636,490,657,200,000,000.00000000;240
2019-01-14 00:02:00;Gamma;636830209200000000;129
2011-03-19 00:01:00;Delta;634360896600000000;525
10-18-2017 12:01 AM;Omicron;6.364388166E+17;185
2011-10-22 00:01:00;Tau;634548384600000000;906
07-14-2019 12:01 AM;Epsilon;6.369865926E+17;222
2018-01-23T00:01:00.0000000;Zeta;636,522,624,600,000,000.00000000;813
2010-12-24 00:02:00;Zeta;634287457200000000;420
2018-03-23 00:01:00;Delta;6.36574E+017;359
05-05-2017 12:01 AM;Theta;6.362953926E+17;942
2015-04-16 00:01:00;Iota;635647392600000000;647
2016-07-15 00:02:00;Iota;6.36041E+017;766
2011-05-21 00:02:00;Nu;6.34415E+017;80
05-16-2013 12:01 AM;Omicron;6.350425926E+17;561
2017-11-18 00:01:00;Chi;6.36466E+017;190
2013-04-17 00:01:00;Delta;635017536600000000;830
2013-03-15T00:01:00.0000000;Chi;634,989,024,600,000,000.00000000;997
2014-10-02 00:02:00;Phi;6.35478E+017;599
2016-05-16T00:02:00.0000000;Lambda;635,989,537,200,000,000.00000000;257
2010-06-26 00:01:00;Phi;634131072600000000;157
2011-10-09 00:01:00;Lambda;634537152600000000;347
2017-05-15 00:02:00;Sigma;636304033200000000;60
2013-03-31T00:02:00.0000000;Rho;635,002,849,200,000,000.00000000;675
2019-08-03 00:02:00;Kappa;637003873200000000;930
2017-04-13 00:03:00;Phi;6.36276E+017;354
2016-05-20 00:02:00;Upsilon;635992993200000000;997
09-11-2017 12:01 AM;Iota;6.364068486E+17;16
12-03-2014 12:01 AM;Eta;6.355316166E+17;648
2013-05-24T00:02:00.0000000;Omicron;635,049,505,200,000,000.00000000;441
2014-11-01T00:01:00.0000000;Sigma;635,503,968,600,000,000.00000000;481
2017-09-15T00:03:00.0000000;Pi;636,410,305,800,000,000.00000000;136
09-05-2019 12:01 AM;Psi;6.370323846E+17;31
2018-11-08T00:01:00.0000000;Chi;636,772,320,600,000,000.00000000;984
2015-04-29 00:01:00;Xi;635658624600000000;226
2011-06-17 00:01:00;Chi;634438656600000000;118
2017-02-16 00:01:00;Omega;636228000600000000;539
2014-04-01 00:02:00;Lambda;635319073200000000;68
08-23-2010 12:02 AM;Lambda;6.341811852E+17;931
04-16-2018 12:02 AM;Phi;6.365943372E+17;571
2010-05-06 00:02:00;Phi;6.34087E+017;402
2013-09-13T00:01:00.0000000;Beta;635,146,272,600,000,000.00000000;823
2014-12-26T00:01:00.0000000;Gamma;635,551,488,600,000,000.00000000;675
2010-03-22T00:03:00.0000000;Epsilon;634,048,129,800,000,000.00000000;466
12-15-2010 12:02 AM;Mu;6.342796812E+17;114
06-05-2019 12:01 AM;Pi;6.369528966E+17;990
2019-01-02T00:01:00.0000000;Rho;636,819,840,600,000,000.00000000;702
2011-10-14 00:01:00;Sigma;6.34541E+017;497
07-15-2011 12:02 AM;Rho;6.344628492E+17;163
2013-12-14 00:01:00;Gamma;635225760600000000;481
04-02-2011 12:01 AM;Mu;6.343729926E+17;660
02-15-2013 12:01 AM;Gamma;6.349648326E+17;635
07-27-2013 12:01 AM;Mu;6.351048006E+17;945
06-12-2010 12:02 AM;Psi;6.341189772E+17;868
2010-09-09 00:03:00;Beta;6.34196E+017;819
2014-05-21T00:02:00.0000000;Delta;635,362,273,200,000,000.00000000;597
