TM;Category;unknown;Quantity
04-20-2016 12:01 AM;Alpha;6.359670726E+17;15
2017-01-06T00:01:00.0000000;Chi;636,192,576,600,000,000.00000000;136
2013-08-21 00:01:00;Tau;635126400600000000;416
2018-03-21 00:01:00;Beta;636571872600000000;153
2012-09-02 00:01:00;Alpha;6.34821E+017;144
11-14-2019 12:01 AM;Gamma;6.370928646E+17;261
2011-09-24 00:01:00;Beta;6.34524E+017;666
01-31-2018 12:01 AM;Sigma;6.365295366E+17;436
09-13-2016 12:01 AM;Sigma;6.360932166E+17;969
2019-02-09 00:01:00;Eta;636852672600000000;423
2010-04-12T00:01:00.0000000;Beta;634,066,272,600,000,000.00000000;28
2014-08-27 00:01:00;Upsilon;6.35447E+017;539
2017-03-27 00:01:00;Psi;6.36262E+017;397
12-23-2013 12:01 AM;Gamma;6.352335366E+17;226
2018-03-22 00:01:00;Theta;636572736600000000;507
2014-08-23T00:01:00.0000000;Upsilon;635,443,488,600,000,000.00000000;606
2010-01-08 00:02:00;Nu;633985057200000000;933
2013-03-29 00:01:00;Theta;635001120600000000;493
2016-08-29 00:01:00;Theta;636080256600000000;689
2013-01-18T00:01:00.0000000;Pi;634,940,640,600,000,000.00000000;898
2016-04-08T00:02:00.0000000;Kappa;635,956,705,200,000,000.00000000;21
2019-11-05T00:02:00.0000000;Zeta;637,085,089,200,000,000.00000000;444
2013-07-02T00:01:00.0000000;Chi;635,083,200,600,000,000.00000000;877
2011-01-09 00:02:00;Delta;634301281200000000;267
11-11-2015 12:02 AM;Psi;6.358279692E+17;618
06-04-2014 12:01 AM;Lambda;6.353743686E+17;977
2016-10-04 00:01:00;Omega;636111360600000000;814
2013-12-28T00:01:00.0000000;Sigma;635,237,856,600,000,000.00000000;263
07-12-2018 12:01 AM;Theta;6.366695046E+17;878
2014-03-10 00:01:00;Phi;635300064600000000;213
2016-08-01 00:01:00;Rho;636056064600000000;376
12-29-2011 12:01 AM;Eta;6.346071366E+17;926
02-18-2012 12:03 AM;Beta;6.346512018E+17;4
2013-08-11 00:01:00;Lambda;635117760600000000;484
12-02-2019 12:01 AM;Sigma;6.371084166E+17;168
2017-12-18 00:02:00;Nu;636491521200000000;149
2014-06-06 00:01:00;Chi;635376096600000000;694
04-19-2017 12:02 AM;Tau;6.362815692E+17;290
