TM;Category;unknown;Quantity
2019-05-07T00:01:00.0000000;Phi;636,927,840,600,000,000.00000000;149
07-13-2012 12:01 AM;Zeta;6.347773446E+17;725
2015-04-20 00:01:00;Omicron;6.35651E+017;951
2011-05-01 00:01:00;Tau;634398048600000000;117
10-09-2014 12:01 AM;Pi;6.354840966E+17;955
2019-02-28 00:01:00;Alpha;636869088600000000;864
06-28-2018 12:01 AM;Lambda;6.366574086E+17;171
2016-06-09 00:01:00;Upsilon;6.36010E+017;166
2015-08-18T00:01:00.0000000;Nu;635,754,528,600,000,000.00000000;136
2013-06-17 00:01:00;Tau;635070240600000000;460
01-07-2014 12:01 AM;Iota;6.352464966E+17;580
2013-03-10 00:02:00;Phi;634984705200000000;409
02-18-2018 12:01 AM;Eta;6.365450886E+17;338
2012-11-22 00:01:00;Kappa;634891392600000000;494
2013-02-28 00:01:00;Alpha;634976064600000000;2
06-21-2013 12:01 AM;Nu;6.350736966E+17;751
2013-09-25 00:02:00;Nu;635156641200000000;661
11-15-2019 12:01 AM;Theta;6.370937286E+17;340
2017-04-24 00:01:00;Gamma;636285888600000000;111
03-09-2012 12:01 AM;Nu;6.346684806E+17;602
2010-07-16 00:01:00;Sigma;6.34148E+017;385
2011-08-10 00:01:00;Zeta;634485312600000000;527
2011-12-02 00:01:00;Rho;634583808600000000;378
08-20-2013 12:01 AM;Chi;6.351255366E+17;754
2014-07-02 00:01:00;Sigma;635398560600000000;373
2017-04-07T00:01:00.0000000;Sigma;636,271,200,600,000,000.00000000;810
2010-08-01 00:03:00;Xi;6.34162E+017;545
2012-04-01 00:02:00;Sigma;634688353200000000;361
07-08-2014 12:02 AM;Lambda;6.354037452E+17;155
2018-08-26T00:01:00.0000000;Omicron;636,708,384,600,000,000.00000000;351
2015-09-29 00:02:00;Alpha;6.35791E+017;97
2016-03-24 00:03:00;Kappa;635943745800000000;782
03-29-2017 12:02 AM;Kappa;6.362634252E+17;214
03-22-2013 12:02 AM;Mu;6.349950732E+17;898
05-12-2010 12:01 AM;Mu;6.340921926E+17;365
2015-07-11 00:01:00;Eta;635721696600000000;827
2011-04-05 00:01:00;Delta;634375584600000000;431
11-02-2011 12:02 AM;Delta;6.345578892E+17;623
01-21-2016 12:01 AM;Omicron;6.358893126E+17;481
09-03-2019 12:02 AM;Rho;6.370306572E+17;685
09-15-2016 12:01 AM;Psi;6.360949446E+17;564
2015-12-09 00:01:00;Chi;635852160600000000;500
07-06-2015 12:02 AM;Upsilon;6.357173772E+17;812
2018-05-31 00:01:00;Lambda;636633216600000000;955
10-10-2018 12:02 AM;Alpha;6.367472652E+17;342
11-02-2018 12:01 AM;Delta;6.367671366E+17;84
2015-09-03 00:02:00;Rho;635768353200000000;275
2016-02-20 00:02:00;Sigma;6.35915E+017;460
2013-05-10 00:01:00;Iota;635037408600000000;802
2014-07-21 00:01:00;Delta;635414976600000000;8
2016-07-12 00:01:00;Omega;636038784600000000;819
2017-12-06 00:01:00;Chi;6.36481E+017;7
03-30-2016 12:02 AM;Omega;6.359489292E+17;602
2014-02-04T00:01:00.0000000;Psi;635,270,688,600,000,000.00000000;526
05-06-2012 12:01 AM;Psi;6.347185926E+17;258
2011-02-13T00:01:00.0000000;Eta;634,331,520,600,000,000.00000000;480
06-14-2010 12:01 AM;Iota;6.341207046E+17;107
2017-06-16 00:01:00;Omicron;636331680600000000;588
2016-03-06 00:02:00;Upsilon;635928193200000000;691
05-26-2011 12:02 AM;Sigma;6.344196492E+17;563
2016-07-06 00:02:00;Lambda;636033601200000000;504
2018-01-09 00:01:00;Omega;6.36511E+017;472
11-08-2015 12:01 AM;Zeta;6.358253766E+17;248
05-11-2015 12:02 AM;Theta;6.356689932E+17;199
2010-09-20T00:02:00.0000000;Mu;634,205,377,200,000,000.00000000;681
11-24-2011 12:02 AM;Upsilon;6.345768972E+17;521
12-12-2016 12:01 AM;Xi;6.361709766E+17;942
2013-05-03 00:02:00;Delta;635031361200000000;255
11-19-2017 12:01 AM;Theta;6.364664646E+17;699
06-29-2012 12:01 AM;Kappa;6.347652486E+17;906
05-09-2010 12:01 AM;Psi;6.340896006E+17;225
05-22-2017 12:02 AM;Psi;6.363100812E+17;602
2017-03-20T00:01:00.0000000;Sigma;636,255,648,600,000,000.00000000;995
12-01-2019 12:01 AM;Iota;6.371075526E+17;803
2016-10-25T00:02:00.0000000;Kappa;636,129,505,200,000,000.00000000;520
03-26-2013 12:02 AM;Mu;6.349985292E+17;485
08-05-2016 12:02 AM;Omicron;6.360595212E+17;338
2013-01-01T00:02:00.0000000;Upsilon;634,925,953,200,000,000.00000000;377
07-03-2016 12:02 AM;Mu;6.360310092E+17;344
2011-05-14T00:01:00.0000000;Iota;634,409,280,600,000,000.00000000;151
2013-07-17 00:02:00;Lambda;635096161200000000;149
12-13-2010 12:01 AM;Omicron;6.342779526E+17;753
04-30-2018 12:03 AM;Chi;6.366064338E+17;147
2012-08-26T00:02:00.0000000;Tau;634,815,361,200,000,000.00000000;844
2014-06-14 00:02:00;Kappa;635383009200000000;874
2010-09-07 00:01:00;Zeta;634194144600000000;940
01-02-2010 12:01 AM;Sigma;6.339798726E+17;777
2010-09-08 00:01:00;Nu;6.34195E+017;813
2014-02-19 00:02:00;Rho;635283649200000000;738
2016-09-04 00:02:00;Kappa;636085441200000000;329
2013-09-27T00:03:00.0000000;Eta;635,158,369,800,000,000.00000000;330
2013-04-08 00:02:00;Iota;6.35010E+017;5
