TM;Category;unknown;Quantity
2012-10-01 00:01:00;Epsilon;634846464600000000;175
10-10-2014 12:01 AM;Eta;6.354849606E+17;676
2019-05-27T00:01:00.0000000;Delta;636,945,120,600,000,000.00000000;168
2014-09-30 00:01:00;Rho;635476320600000000;438
2015-07-12 00:01:00;Chi;635722560600000000;398
2010-09-23 00:01:00;Lambda;634207968600000000;804
2010-10-08T00:01:00.0000000;Beta;634,220,928,600,000,000.00000000;611
2019-09-15 00:01:00;Delta;637041024600000000;684
2016-04-13 00:01:00;Iota;635961024600000000;955
02-26-2016 12:01 AM;Lambda;6.359204166E+17;645
2018-02-11 00:01:00;Nu;636539040600000000;57
2019-06-20 00:01:00;Zeta;6.36966E+017;430
08-21-2011 12:01 AM;Zeta;6.344948166E+17;689
09-12-2017 12:01 AM;Gamma;6.364077126E+17;183
2010-08-30 00:01:00;Alpha;634187232600000000;33
2010-04-12T00:01:00.0000000;Omicron;634,066,272,600,000,000.00000000;942
02-03-2018 12:01 AM;Lambda;6.365321286E+17;374
2012-12-14T00:01:00.0000000;Psi;634,910,400,600,000,000.00000000;603
2014-04-18 00:02:00;Psi;635333761200000000;926
2016-09-24 00:01:00;Rho;636102720600000000;998
09-11-2017 12:01 AM;Chi;6.364068486E+17;717
12-29-2017 12:01 AM;Mu;6.365010246E+17;437
2013-05-11 00:01:00;Chi;635038272600000000;946
2013-12-26 00:01:00;Zeta;635236128600000000;606
2019-01-25 00:01:00;Kappa;6.36840E+017;610
2015-07-19 00:01:00;Theta;6.35729E+017;738
2016-05-22 00:02:00;Zeta;6.35995E+017;583
2016-09-25 00:01:00;Lambda;6.36104E+017;404
09-21-2013 12:01 AM;Pi;6.351531846E+17;491
2010-08-13 00:01:00;Omicron;634172544600000000;1
2015-02-08 00:01:00;Eta;6.35590E+017;497
2019-07-23 00:02:00;Eta;636994369200000000;979
09-25-2012 12:01 AM;Psi;6.348412806E+17;209
03-11-2011 12:01 AM;Epsilon;6.343539846E+17;10
12-27-2012 12:01 AM;Upsilon;6.349216326E+17;477
2016-12-04 00:02:00;Phi;636164065200000000;864
08-31-2014 12:01 AM;Epsilon;6.354504006E+17;377
2011-05-01 00:01:00;Lambda;634398048600000000;219
2012-12-11 00:02:00;Beta;634907809200000000;287
12-03-2019 12:01 AM;Kappa;6.371092806E+17;255
2017-04-30 00:01:00;Phi;636291072600000000;614
2011-01-23 00:02:00;Phi;634313377200000000;577
10-02-2016 12:01 AM;Chi;6.361096326E+17;51
2014-10-04 00:01:00;Gamma;6.35480E+017;574
2016-07-08 00:01:00;Omega;636035328600000000;576
2016-07-25 00:01:00;Lambda;636050016600000000;435
11-20-2018 12:01 AM;Psi;6.367826886E+17;936
2011-07-26T00:02:00.0000000;Pi;634,472,353,200,000,000.00000000;493
2017-07-06T00:01:00.0000000;Omega;636,348,960,600,000,000.00000000;825
2014-08-25 00:02:00;Upsilon;635445217200000000;359
