TM;Category;unknown;Quantity
2017-11-14 00:01:00;Omicron;636462144600000000;253
03-10-2012 12:02 AM;Lambda;6.346693452E+17;445
2018-07-04T00:01:00.0000000;Rho;636,662,592,600,000,000.00000000;405
2019-02-07T00:01:00.0000000;Sigma;636,850,944,600,000,000.00000000;171
08-27-2016 12:01 AM;Beta;6.360785286E+17;572
07-16-2017 12:03 AM;Alpha;6.363576018E+17;999
2017-04-03 00:01:00;Lambda;636267744600000000;398
2012-06-04 00:02:00;Mu;6.34744E+017;234
02-24-2016 12:01 AM;Tau;6.359186886E+17;504
2019-03-17 00:01:00;Gamma;636883776600000000;367
2011-10-08 00:02:00;Nu;634536289200000000;154
2017-12-15 00:01:00;Omega;636488928600000000;34
07-03-2010 12:01 AM;Sigma;6.341371206E+17;477
2012-07-25 00:01:00;Alpha;634787712600000000;995
2014-05-10 00:01:00;Omega;6.35353E+017;503
2015-01-13T00:01:00.0000000;Xi;635,567,040,600,000,000.00000000;833
2019-09-11T00:02:00.0000000;Pi;637,037,569,200,000,000.00000000;236
2017-03-09 00:01:00;Lambda;6.36246E+017;610
2016-04-30 00:02:00;Eta;635975713200000000;770
06-15-2011 12:01 AM;Phi;6.344369286E+17;821
2014-03-12T00:02:00.0000000;Nu;635,301,793,200,000,000.00000000;506
01-14-2019 12:01 AM;Beta;6.368302086E+17;454
2017-02-28T00:02:00.0000000;Chi;636,238,369,200,000,000.00000000;581
2013-06-09 00:02:00;Alpha;635063329200000000;738
2018-03-24 00:01:00;Tau;6.36574E+017;728
2014-04-12 00:02:00;Beta;635328577200000000;898
2016-11-12T00:02:00.0000000;Gamma;636,145,057,200,000,000.00000000;904
2018-12-17 00:02:00;Gamma;636806017200000000;649
2015-12-21 00:01:00;Upsilon;635862528600000000;446
2014-08-23T00:01:00.0000000;Alpha;635,443,488,600,000,000.00000000;262
2018-11-08 00:03:00;Lambda;636772321800000000;497
2015-06-29 00:01:00;Nu;635711328600000000;892
2011-07-08T00:02:00.0000000;Omicron;634,456,801,200,000,000.00000000;882
2018-12-20 00:01:00;Mu;6.36809E+017;927
2013-05-28 00:01:00;Delta;635052960600000000;551
2014-08-27 00:01:00;Xi;6.35447E+017;495
09-14-2016 12:01 AM;Omicron;6.360940806E+17;39
12-22-2018 12:02 AM;Beta;6.368103372E+17;305
2013-11-07 00:02:00;Chi;635193793200000000;652
02-15-2019 12:01 AM;Epsilon;6.368578566E+17;298
2018-05-16 00:02:00;Mu;6.36620E+017;402
05-06-2016 12:01 AM;Chi;6.359808966E+17;255
2019-07-08 00:01:00;Iota;6.36981E+017;395
2014-10-14T00:01:00.0000000;Iota;635,488,416,600,000,000.00000000;857
2011-03-25 00:02:00;Tau;634366081200000000;870
03-26-2012 12:01 AM;Psi;6.346831686E+17;580
05-25-2017 12:02 AM;Eta;6.363126732E+17;168
2018-11-11 00:02:00;Lambda;636774913200000000;293
2014-02-21T00:02:00.0000000;Epsilon;635,285,377,200,000,000.00000000;730
2013-02-27 00:02:00;Phi;634975201200000000;373
2018-07-07 00:01:00;Sigma;636665184600000000;816
2014-05-24 00:02:00;Epsilon;635364865200000000;433
