TM;Category;unknown;Quantity
2018-10-05 00:01:00;Omicron;636742944600000000;936
02-12-2015 12:01 AM;Psi;6.355929606E+17;319
01-01-2017 12:02 AM;Chi;6.361882572E+17;337
2016-12-19T00:01:00.0000000;Delta;636,177,024,600,000,000.00000000;694
2015-11-13 00:01:00;Beta;635829696600000000;510
02-18-2013 12:01 AM;Chi;6.349674246E+17;990
02-26-2010 12:01 AM;Omicron;6.340273926E+17;100
12-21-2014 12:01 AM;Kappa;6.355471686E+17;898
2012-01-20 00:01:00;Beta;634626144600000000;855
2012-07-08 00:01:00;Nu;634773024600000000;789
2013-12-14 00:01:00;Upsilon;635225760600000000;42
2011-10-13 00:01:00;Sigma;6.34541E+017;249
2011-12-15 00:01:00;Nu;634595040600000000;442
12-01-2014 12:02 AM;Beta;6.355298892E+17;343
2018-10-08 00:01:00;Gamma;6.36746E+017;619
2014-09-26T00:01:00.0000000;Delta;635,472,864,600,000,000.00000000;138
2017-06-23 00:02:00;Zeta;6.36338E+017;223
2017-04-22 00:01:00;Zeta;636284160600000000;615
2012-06-22 00:02:00;Phi;6.34759E+017;108
06-17-2010 12:01 AM;Kappa;6.341232966E+17;849
2015-07-02 00:01:00;Delta;6.35714E+017;18
2013-08-22 00:01:00;Chi;635127264600000000;766
2011-09-23 00:01:00;Lambda;6.34523E+017;22
2018-10-27 00:01:00;Gamma;6.36762E+017;791
2015-02-24 00:01:00;Xi;6.35603E+017;38
2010-06-01 00:01:00;Lambda;634109472600000000;380
2019-12-09 00:01:00;Chi;637114464600000000;653
05-01-2013 12:01 AM;Delta;6.350296326E+17;509
2010-08-15T00:01:00.0000000;Mu;634,174,272,600,000,000.00000000;790
2011-12-03 00:01:00;Upsilon;634584672600000000;846
03-21-2014 12:02 AM;Delta;6.353095692E+17;426
09-24-2012 12:01 AM;Omicron;6.348404166E+17;379
11-19-2012 12:02 AM;Eta;6.348888012E+17;188
2012-09-17 00:01:00;Mu;634834368600000000;67
05-13-2014 12:01 AM;Tau;6.353553606E+17;195
03-16-2016 12:01 AM;Theta;6.359368326E+17;583
05-31-2014 12:01 AM;Xi;6.353709126E+17;471
2016-05-15T00:02:00.0000000;Upsilon;635,988,673,200,000,000.00000000;490
05-10-2016 12:01 AM;Gamma;6.359843526E+17;732
05-03-2012 12:02 AM;Delta;6.347160012E+17;913
09-24-2013 12:01 AM;Tau;6.351557766E+17;457
2012-07-08 00:01:00;Zeta;634773024600000000;290
2011-08-31T00:02:00.0000000;Pi;634,503,457,200,000,000.00000000;956
2014-05-06T00:01:00.0000000;Zeta;635,349,312,600,000,000.00000000;137
2017-12-13 00:02:00;Alpha;636487201200000000;328
2012-10-01T00:02:00.0000000;Zeta;634,846,465,200,000,000.00000000;686
2014-03-28T00:02:00.0000000;Eta;635,315,617,200,000,000.00000000;929
08-14-2019 12:02 AM;Eta;6.370133772E+17;515
09-07-2017 12:01 AM;Zeta;6.364033926E+17;156
2010-08-31 00:02:00;Epsilon;634188097200000000;239
2015-12-25T00:01:00.0000000;Omicron;635,865,984,600,000,000.00000000;241
2019-11-06 00:02:00;Delta;637085953200000000;274
2011-06-26 00:01:00;Nu;6.34446E+017;812
2011-05-31 00:01:00;Zeta;634423968600000000;14
2014-07-24 00:01:00;Xi;6.35418E+017;49
