TM;Category;unknown;Quantity
04-29-2014 12:01 AM;Nu;6.353432646E+17;333
05-03-2013 12:01 AM;Tau;6.350313606E+17;592
2017-10-04 00:01:00;Delta;636426720600000000;437
2019-07-07 00:01:00;Sigma;6.36981E+017;481
2013-10-01T00:01:00.0000000;Sigma;635,161,824,600,000,000.00000000;83
2013-11-23T00:01:00.0000000;Sigma;635,207,616,600,000,000.00000000;182
2015-12-31 00:01:00;Nu;6.35871E+017;142
2016-10-06 00:01:00;Phi;636113088600000000;34
2010-06-02 00:01:00;Xi;634110336600000000;491
05-18-2013 12:01 AM;Phi;6.350443206E+17;747
2018-05-12T00:01:00.0000000;Zeta;636,616,800,600,000,000.00000000;525
04-28-2014 12:01 AM;Beta;6.353424006E+17;355
2012-12-09 00:03:00;Delta;634906081800000000;104
2015-02-05 00:01:00;Omicron;635586912600000000;495
2019-01-05 00:01:00;Epsilon;636822432600000000;702
02-06-2016 12:01 AM;Gamma;6.359031366E+17;909
05-14-2014 12:01 AM;Tau;6.353562246E+17;598
2012-07-26 00:01:00;Nu;634788576600000000;980
01-23-2015 12:01 AM;Psi;6.355756806E+17;486
11-21-2017 12:01 AM;Beta;6.364681926E+17;688
2010-12-25 00:01:00;Lambda;634288320600000000;955
2011-08-13T00:01:00.0000000;Beta;634,487,904,600,000,000.00000000;125
2013-11-12 00:01:00;Xi;6.35198E+017;959
2019-08-05T00:03:00.0000000;Upsilon;637,005,601,800,000,000.00000000;724
2015-02-20 00:02:00;Iota;635599873200000000;222
2014-05-02 00:01:00;Nu;635345856600000000;36
2016-06-18 00:01:00;Psi;636018048600000000;116
07-14-2018 12:01 AM;Chi;6.366712326E+17;781
2015-10-27 00:02:00;Chi;635815009200000000;761
01-27-2014 12:02 AM;Epsilon;6.352637772E+17;446
2019-02-20 00:02:00;Eta;636862177200000000;659
2013-03-31 00:01:00;Gamma;635002848600000000;522
06-02-2014 12:01 AM;Gamma;6.353726406E+17;502
2013-07-16 00:01:00;Epsilon;635095296600000000;626
2013-01-04 00:01:00;Tau;634928544600000000;173
2014-05-21T00:02:00.0000000;Zeta;635,362,273,200,000,000.00000000;172
05-18-2019 12:02 AM;Zeta;6.369373452E+17;768
2011-07-29 00:01:00;Rho;634474944600000000;431
2016-04-10T00:01:00.0000000;Mu;635,958,432,600,000,000.00000000;241
2013-04-18T00:02:00.0000000;Xi;635,018,401,200,000,000.00000000;867
06-25-2012 12:01 AM;Tau;6.347617926E+17;0
2010-01-11T00:01:00.0000000;Tau;633,987,648,600,000,000.00000000;106
2018-10-23 00:01:00;Xi;636758496600000000;872
2018-05-16 00:02:00;Nu;6.36620E+017;256
2013-06-28 00:02:00;Omicron;635079745200000000;595
2014-04-12 00:02:00;Epsilon;635328577200000000;130
2014-06-27T00:01:00.0000000;Pi;635,394,240,600,000,000.00000000;615
2012-10-21T00:01:00.0000000;Pi;634,863,744,600,000,000.00000000;390
2014-10-31 00:01:00;Epsilon;635503104600000000;48
2016-05-24 00:01:00;Alpha;6.35996E+017;242
03-24-2019 12:01 AM;Eta;6.368898246E+17;107
2015-10-17 00:02:00;Omega;6.35806E+017;382
07-13-2019 12:01 AM;Epsilon;6.369857286E+17;696
2018-11-26T00:02:00.0000000;Kappa;636,787,873,200,000,000.00000000;862
2012-02-24 00:02:00;Rho;634656385200000000;522
2018-02-09T00:01:00.0000000;Tau;636,537,312,600,000,000.00000000;690
2013-02-21 00:03:00;Zeta;634970017800000000;191
2012-05-30 00:02:00;Delta;634739329200000000;880
2019-04-09 00:01:00;Phi;6.36904E+017;924
07-29-2018 12:02 AM;Chi;6.366841932E+17;186
04-22-2010 12:01 AM;Iota;6.340749126E+17;769
2012-04-21T00:02:00.0000000;Lambda;634,705,633,200,000,000.00000000;471
2019-03-29 00:01:00;Xi;636894144600000000;530
2013-02-26 00:02:00;Pi;634974337200000000;886
2017-10-28 00:01:00;Iota;636447456600000000;590
2019-04-21 00:02:00;Gamma;636914017200000000;231
11-02-2018 12:01 AM;Epsilon;6.367671366E+17;125
11-22-2010 12:02 AM;Epsilon;6.342598092E+17;560
02-24-2011 12:01 AM;Rho;6.343410246E+17;535
2014-01-01 00:01:00;Beta;635241312600000000;424
2015-01-29 00:01:00;Eta;635580864600000000;508
03-27-2013 12:01 AM;Delta;6.349993926E+17;610
12-28-2017 12:02 AM;Iota;6.365001612E+17;124
06-29-2011 12:02 AM;Omicron;6.344490252E+17;900
01-17-2017 12:02 AM;Psi;6.362020812E+17;125
2013-01-23 00:02:00;Gamma;6.34945E+017;453
2015-07-27 00:02:00;Psi;635735521200000000;521
2017-10-11 00:01:00;Alpha;6.36433E+017;307
2019-01-02 00:02:00;Beta;636819841200000000;728
2012-04-30 00:01:00;Eta;6.34713E+017;942
06-24-2013 12:01 AM;Sigma;6.350762886E+17;407
2018-05-17 00:01:00;Kappa;6.36621E+017;684
2018-02-12 00:01:00;Rho;636539904600000000;740
2010-01-27T00:02:00.0000000;Beta;634,001,473,200,000,000.00000000;938
2014-08-06 00:02:00;Alpha;635428801200000000;212
2015-04-09 00:02:00;Phi;635641345200000000;162
