TM;Category;unknown;Quantity
2011-08-18 00:01:00;Nu;6.34492E+017;179
11-28-2014 12:01 AM;Chi;6.355272966E+17;866
2012-04-07 00:01:00;Nu;634693536600000000;804
2011-06-04 00:01:00;Epsilon;634427424600000000;326
2019-11-21 00:01:00;Delta;637098912600000000;138
2018-01-05T00:01:00.0000000;Delta;636,507,072,600,000,000.00000000;965
2012-01-10 00:01:00;Omega;6.34618E+017;128
2019-02-03 00:01:00;Tau;636847488600000000;471
2014-03-26 00:01:00;Upsilon;635313888600000000;413
2014-07-05 00:01:00;Xi;6.35401E+017;600
05-08-2017 12:01 AM;Pi;6.362979846E+17;469
2018-05-07 00:01:00;Rho;636612480600000000;443
2018-10-05 00:01:00;Omega;636742944600000000;745
2012-07-08 00:01:00;Pi;634773024600000000;654
2014-11-23 00:01:00;Mu;635522976600000000;71
2016-04-17 00:01:00;Tau;6.35964E+017;142
2013-01-17 00:01:00;Tau;634939776600000000;983
2010-03-03 00:01:00;Rho;634031712600000000;525
11-05-2017 12:01 AM;Omega;6.364543686E+17;787
2015-09-24T00:01:00.0000000;Lambda;635,786,496,600,000,000.00000000;696
2012-05-08 00:01:00;Upsilon;634720320600000000;292
2013-07-25 00:01:00;Nu;6.35103E+017;649
2016-03-27 00:01:00;Alpha;635946336600000000;96
10-04-2014 12:02 AM;Phi;6.354797772E+17;349
2010-10-06 00:01:00;Rho;634219200600000000;24
2016-07-24 00:01:00;Omega;636049152600000000;453
2016-03-12 00:01:00;Sigma;6.35933E+017;662
2012-02-13 00:02:00;Rho;634646881200000000;666
2018-09-20 00:01:00;Tau;6.36730E+017;725
2011-12-07 00:01:00;Chi;6.34588E+017;711
2014-01-02 00:01:00;Zeta;635242176600000000;292
2017-09-06 00:02:00;Chi;6.36403E+017;487
06-27-2017 12:02 AM;Nu;6.363411852E+17;844
2019-08-06T00:02:00.0000000;Phi;637,006,465,200,000,000.00000000;395
2012-04-03T00:02:00.0000000;Beta;634,690,081,200,000,000.00000000;561
08-25-2011 12:01 AM;Epsilon;6.344982726E+17;352
2012-09-27 00:03:00;Delta;634843009800000000;438
05-24-2011 12:01 AM;Xi;6.344179206E+17;235
08-22-2017 12:02 AM;Kappa;6.363895692E+17;633
07-31-2013 12:01 AM;Epsilon;6.351082566E+17;820
2015-06-14 00:01:00;Phi;6.35698E+017;524
11-02-2012 12:01 AM;Pi;6.348741126E+17;787
06-27-2012 12:01 AM;Sigma;6.347635206E+17;646
2015-05-19T00:02:00.0000000;Theta;635,675,905,200,000,000.00000000;510
09-16-2010 12:01 AM;Gamma;6.342019206E+17;967
2011-03-26 00:01:00;Rho;6.34367E+017;492
08-27-2016 12:02 AM;Tau;6.360785292E+17;180
2011-10-30 00:02:00;Nu;6.34555E+017;731
12-11-2011 12:02 AM;Phi;6.345915852E+17;149
2012-03-04 00:01:00;Mu;6.34664E+017;154
2016-08-13 00:01:00;Pi;636066432600000000;313
05-24-2016 12:02 AM;Rho;6.359964492E+17;260
2012-10-26 00:01:00;Zeta;6.34868E+017;562
02-07-2015 12:03 AM;Omega;6.355886418E+17;596
01-04-2016 12:01 AM;Rho;6.358746246E+17;353
2019-01-05 00:02:00;Iota;6.36822E+017;826
2015-07-16 00:01:00;Kappa;635726016600000000;577
04-21-2016 12:01 AM;Pi;6.359679366E+17;863
10-10-2013 12:02 AM;Delta;6.351696012E+17;226
04-30-2013 12:02 AM;Zeta;6.350287692E+17;907
2010-10-26T00:02:00.0000000;Kappa;634,236,481,200,000,000.00000000;468
2011-12-20 00:02:00;Alpha;634599361200000000;303
11-16-2012 12:01 AM;Beta;6.348862086E+17;971
2017-04-03 00:02:00;Lambda;636267745200000000;718
2010-04-10T00:02:00.0000000;Phi;634,064,545,200,000,000.00000000;990
2013-05-27 00:02:00;Lambda;635052097200000000;176
2018-01-20 00:01:00;Epsilon;636520032600000000;113
2019-12-15 00:01:00;Pi;637119648600000000;774
2012-07-27 00:01:00;Upsilon;6.34789E+017;265
11-04-2016 12:01 AM;Theta;6.361381446E+17;19
2016-02-12 00:03:00;Alpha;635908321800000000;235
06-04-2013 12:02 AM;Kappa;6.350590092E+17;442
2014-12-05 00:02:00;Mu;635533345200000000;376
2014-01-04 00:01:00;Lambda;6.35244E+017;56
2015-06-05 00:02:00;Zeta;635690593200000000;745
2019-10-20 00:01:00;Epsilon;637071264600000000;789
05-09-2016 12:02 AM;Delta;6.359834892E+17;432
2018-10-01T00:03:00.0000000;Nu;636,739,489,800,000,000.00000000;108
2018-11-09 00:02:00;Rho;636773185200000000;940
2015-12-07 00:02:00;Chi;635850433200000000;769
2014-02-26 00:01:00;Xi;635289696600000000;237
09-17-2014 12:01 AM;Lambda;6.354650886E+17;89
2018-03-21 00:02:00;Pi;636571873200000000;960
2014-07-15 00:01:00;Xi;635409792600000000;890
03-15-2011 12:01 AM;Nu;6.343574406E+17;909
03-14-2016 12:02 AM;Mu;6.359351052E+17;460
2012-09-16T00:01:00.0000000;Omicron;634,833,504,600,000,000.00000000;30
08-03-2011 12:01 AM;Pi;6.344792646E+17;669
2017-10-04T00:03:00.0000000;Epsilon;636,426,721,800,000,000.00000000;255
2012-04-05T00:02:00.0000000;Delta;634,691,809,200,000,000.00000000;64
2010-08-20 00:02:00;Beta;6.34179E+017;26
12-20-2014 12:03 AM;Zeta;6.355463058E+17;330
02-20-2012 12:01 AM;Omicron;6.346529286E+17;626
09-12-2017 12:01 AM;Beta;6.364077126E+17;757
2019-12-06 00:03:00;Gamma;637111873800000000;935
2011-07-07T00:02:00.0000000;Zeta;634,455,937,200,000,000.00000000;978
2010-04-25 00:02:00;Zeta;634077505200000000;851
11-05-2017 12:02 AM;Delta;6.364543692E+17;84
2019-09-09 00:02:00;Theta;637035841200000000;123
2015-11-18 00:03:00;Chi;635834017800000000;375
2017-02-26 00:01:00;Xi;636236640600000000;524
03-26-2013 12:02 AM;Xi;6.349985292E+17;214
06-24-2019 12:03 AM;Iota;6.369693138E+17;473
2017-05-17 00:01:00;Psi;636305760600000000;193
07-15-2011 12:02 AM;Nu;6.344628492E+17;540
09-15-2010 12:03 AM;Kappa;6.342010578E+17;901
11-25-2015 12:02 AM;Upsilon;6.358400652E+17;286
2011-07-22 00:03:00;Omicron;634468897800000000;157
10-20-2016 12:02 AM;Theta;6.361251852E+17;184
03-08-2013 12:03 AM;Omega;6.349829778E+17;678
2018-12-30T00:02:00.0000000;Iota;636,817,249,200,000,000.00000000;305
10-31-2018 12:02 AM;Pi;6.367654092E+17;544
2012-02-26 00:02:00;Gamma;634658113200000000;273
2015-05-25 00:01:00;Mu;6.35681E+017;625
