TM;Category;unknown;Quantity
2015-09-05T00:01:00.0000000;Epsilon;635,770,080,600,000,000.00000000;157
2019-09-08 00:01:00;Mu;637034976600000000;727
2015-06-27T00:01:00.0000000;Delta;635,709,600,600,000,000.00000000;654
2017-04-05 00:01:00;Beta;636269472600000000;508
04-15-2019 12:01 AM;Delta;6.369088326E+17;913
12-05-2012 12:01 AM;Chi;6.349026246E+17;10
2016-12-18T00:02:00.0000000;Pi;636,176,161,200,000,000.00000000;331
2019-06-29 00:01:00;Psi;636973632600000000;828
2010-09-02T00:01:00.0000000;Tau;634,189,824,600,000,000.00000000;445
2018-01-10 00:01:00;Upsilon;6.36511E+017;366
2019-05-26T00:01:00.0000000;Delta;636,944,256,600,000,000.00000000;757
04-21-2017 12:01 AM;Xi;6.362832966E+17;561
11-17-2013 12:01 AM;Tau;6.352024326E+17;881
2011-10-10 00:01:00;Tau;634538016600000000;351
2011-02-28 00:01:00;Alpha;634344480600000000;820
2014-09-26T00:02:00.0000000;Rho;635,472,865,200,000,000.00000000;208
05-23-2011 12:01 AM;Omicron;6.344170566E+17;824
2016-12-05 00:01:00;Iota;636164928600000000;538
2016-09-06 00:02:00;Xi;6.36087E+017;355
11-18-2013 12:01 AM;Zeta;6.352032966E+17;131
2019-05-15 00:01:00;Omicron;6.36935E+017;781
08-20-2018 12:01 AM;Tau;6.367032006E+17;262
2010-03-06T00:01:00.0000000;Xi;634,034,304,600,000,000.00000000;837
10-22-2010 12:01 AM;Alpha;6.342330246E+17;759
2017-04-10 00:01:00;Iota;636273792600000000;39
2019-07-18T00:01:00.0000000;Delta;636,990,048,600,000,000.00000000;404
2015-08-03 00:01:00;Theta;635741568600000000;751
06-08-2018 12:02 AM;Zeta;6.366401292E+17;716
2010-06-23T00:02:00.0000000;Lambda;634,128,481,200,000,000.00000000;748
12-10-2017 12:01 AM;Beta;6.364846086E+17;498
2011-11-30T00:01:00.0000000;Phi;634,582,080,600,000,000.00000000;196
09-05-2019 12:01 AM;Tau;6.370323846E+17;786
05-21-2012 12:01 AM;Omega;6.347315526E+17;47
2015-11-16T00:01:00.0000000;Nu;635,832,288,600,000,000.00000000;772
2010-09-02T00:01:00.0000000;Beta;634,189,824,600,000,000.00000000;125
2010-12-20T00:01:00.0000000;Epsilon;634,284,000,600,000,000.00000000;54
2017-06-17 00:01:00;Tau;636332544600000000;263
2015-07-02 00:02:00;Pi;6.35714E+017;153
2011-11-29T00:01:00.0000000;Gamma;634,581,216,600,000,000.00000000;24
09-10-2011 12:01 AM;Eta;6.345120966E+17;166
2013-08-26 00:02:00;Theta;635130721200000000;650
2018-02-09T00:01:00.0000000;Pi;636,537,312,600,000,000.00000000;535
2015-09-06T00:01:00.0000000;Psi;635,770,944,600,000,000.00000000;63
2015-09-30 00:01:00;Theta;6.35792E+017;478
06-02-2014 12:03 AM;Chi;6.353726418E+17;678
2014-05-02 00:02:00;Delta;635345857200000000;242
2019-12-16 00:01:00;Pi;6.37121E+017;799
2010-05-18T00:02:00.0000000;Rho;634,097,377,200,000,000.00000000;398
2015-10-14 00:01:00;Psi;635803776600000000;524
2018-04-25 00:01:00;Chi;636602112600000000;919
2014-03-27 00:01:00;Lambda;635314752600000000;864
2011-12-23 00:02:00;Omicron;6.34602E+017;784
2011-06-21 00:02:00;Alpha;634442113200000000;351
2018-12-13T00:01:00.0000000;Beta;636,802,560,600,000,000.00000000;804
2018-12-13T00:02:00.0000000;Epsilon;636,802,561,200,000,000.00000000;94
2011-02-01 00:01:00;Gamma;6.34321E+017;35
2017-12-12 00:02:00;Sigma;636486337200000000;320
2019-04-20T00:01:00.0000000;Tau;636,913,152,600,000,000.00000000;211
2013-03-30 00:01:00;Eta;635001984600000000;40
2010-03-28 00:02:00;Xi;6.34053E+017;102
10-17-2017 12:01 AM;Omicron;6.364379526E+17;612
2013-10-14 00:02:00;Omicron;635173057200000000;421
2011-04-30 00:01:00;Omega;634397184600000000;712
2012-07-28 00:01:00;Omega;6.34790E+017;344
2011-09-01T00:01:00.0000000;Lambda;634,504,320,600,000,000.00000000;623
07-11-2019 12:02 AM;Tau;6.369840012E+17;189
08-07-2016 12:01 AM;Psi;6.360612486E+17;545
10-01-2011 12:02 AM;Mu;6.345302412E+17;82
11-01-2018 12:01 AM;Chi;6.367662726E+17;598
2018-11-24 00:01:00;Tau;636786144600000000;317
2013-07-07 00:02:00;Psi;6.35088E+017;231
2010-02-19 00:01:00;Lambda;634021344600000000;599
01-06-2015 12:01 AM;Tau;6.355609926E+17;263
2015-03-10 00:03:00;Beta;635615425800000000;298
2014-11-23 00:01:00;Zeta;635522976600000000;86
2016-09-17 00:01:00;Sigma;636096672600000000;116
09-21-2013 12:02 AM;Gamma;6.351531852E+17;673
2010-11-30 00:02:00;Omicron;634266721200000000;608
12-31-2016 12:02 AM;Alpha;6.361873932E+17;224
2013-11-01 00:03:00;Eta;635188609800000000;574
2016-02-15T00:01:00.0000000;Lambda;635,910,912,600,000,000.00000000;883
2018-01-09 00:02:00;Phi;6.36511E+017;678
02-12-2015 12:01 AM;Tau;6.355929606E+17;922
03-24-2013 12:03 AM;Beta;6.349968018E+17;888
2014-03-13 00:02:00;Lambda;635302657200000000;561
2011-03-26 00:01:00;Theta;6.34367E+017;449
09-01-2015 12:01 AM;Delta;6.357666246E+17;789
10-22-2010 12:01 AM;Sigma;6.342330246E+17;458
2018-08-11 00:02:00;Omicron;636695425200000000;775
2013-05-09 00:02:00;Nu;635036545200000000;451
2017-01-06T00:02:00.0000000;Psi;636,192,577,200,000,000.00000000;103
2011-04-22 00:02:00;Tau;634390273200000000;848
03-02-2014 12:01 AM;Tau;6.352931526E+17;385
2014-10-03 00:01:00;Delta;6.35479E+017;657
2017-01-10 00:01:00;Epsilon;636196032600000000;615
2010-07-16 00:01:00;Theta;6.34148E+017;344
2019-04-02T00:01:00.0000000;Beta;636,897,600,600,000,000.00000000;808
2018-08-25T00:04:00.0000000;Lambda;636,707,522,400,000,000.00000000;950
2014-05-23T00:01:00.0000000;Delta;635,364,000,600,000,000.00000000;305
2016-04-06 00:02:00;Alpha;635954977200000000;722
2010-04-06 00:02:00;Gamma;634061089200000000;929
05-03-2019 12:01 AM;Psi;6.369243846E+17;145
2011-09-25 00:02:00;Iota;6.34525E+017;675
06-12-2010 12:02 AM;Xi;6.341189772E+17;926
09-26-2011 12:01 AM;Xi;6.345259206E+17;55
08-29-2010 12:01 AM;Phi;6.341863686E+17;810
2012-04-24T00:01:00.0000000;Sigma;634,708,224,600,000,000.00000000;494
2015-12-10 00:02:00;Pi;6.35853E+017;77
2018-01-11 00:01:00;Upsilon;6.36512E+017;520
09-02-2014 12:02 AM;Epsilon;6.354521292E+17;663
08-20-2013 12:01 AM;Psi;6.351255366E+17;51
2015-12-10 00:02:00;Upsilon;6.35853E+017;841
2014-04-22 00:02:00;Lambda;6.35337E+017;559
05-05-2017 12:03 AM;Sigma;6.362953938E+17;299
2019-09-26 00:02:00;Pi;637050529200000000;850
12-08-2017 12:01 AM;Delta;6.364828806E+17;132
2014-02-04T00:01:00.0000000;Lambda;635,270,688,600,000,000.00000000;820
2019-10-17T00:01:00.0000000;Beta;637,068,672,600,000,000.00000000;972
10-07-2014 12:01 AM;Gamma;6.354823686E+17;460
01-06-2014 12:01 AM;Pi;6.352456326E+17;57
2012-03-13 00:02:00;Alpha;634671937200000000;203
2014-08-24 00:01:00;Nu;635444352600000000;950
2014-09-04 00:02:00;Gamma;635453857200000000;766
2012-01-21T00:02:00.0000000;Tau;634,627,009,200,000,000.00000000;365
07-11-2018 12:02 AM;Epsilon;6.366686412E+17;39
2019-03-21 00:02:00;Upsilon;6.36887E+017;39
2010-03-21 00:02:00;Mu;634047265200000000;656
2015-03-29 00:02:00;Sigma;635631841200000000;138
08-21-2012 12:02 AM;Kappa;6.348110412E+17;510
2017-02-11T00:01:00.0000000;Chi;636,223,680,600,000,000.00000000;100
08-07-2011 12:02 AM;Kappa;6.344827212E+17;774
2013-11-23T00:02:00.0000000;Gamma;635,207,617,200,000,000.00000000;181
2014-06-06 00:02:00;Iota;635376097200000000;835
07-06-2015 12:02 AM;Kappa;6.357173772E+17;210
10-09-2019 12:02 AM;Omega;6.370617612E+17;377
2012-03-13 00:02:00;Kappa;634671937200000000;19
2019-02-03 00:01:00;Omicron;636847488600000000;996
05-25-2016 12:01 AM;Nu;6.359973126E+17;803
2019-06-19 00:02:00;Epsilon;6.36965E+017;935
2013-06-18 00:01:00;Phi;6.35071E+017;45
2011-07-09 00:02:00;Beta;634457665200000000;512
06-22-2018 12:04 AM;Alpha;6.366522264E+17;776
2013-01-15 00:02:00;Epsilon;634938049200000000;816
2015-08-17 00:01:00;Delta;635753664600000000;466
2017-08-29T00:02:00.0000000;Sigma;636,395,617,200,000,000.00000000;588
2018-11-25T00:01:00.0000000;Omega;636,787,008,600,000,000.00000000;996
2011-11-11T00:03:00.0000000;Psi;634,565,665,800,000,000.00000000;177
2016-02-11 00:02:00;Epsilon;635907457200000000;549
03-12-2011 12:01 AM;Psi;6.343548486E+17;237
02-18-2013 12:01 AM;Beta;6.349674246E+17;174
2012-01-11 00:02:00;Epsilon;6.34618E+017;566
2014-09-10 00:02:00;Pi;635459041200000000;19
2016-03-10 00:03:00;Beta;6.35932E+017;628
2017-01-25 00:03:00;Delta;636208993800000000;348
2014-10-29 00:02:00;Xi;635501377200000000;335
2016-02-16T00:01:00.0000000;Alpha;635,911,776,600,000,000.00000000;378
05-04-2011 12:02 AM;Zeta;6.344006412E+17;168
2017-10-23T00:03:00.0000000;Delta;636,443,137,800,000,000.00000000;542
2019-09-01 00:01:00;Zeta;6.37029E+017;163
12-30-2010 12:02 AM;Theta;6.342926412E+17;370
2016-01-26 00:02:00;Eta;635893633200000000;481
2013-08-10 00:01:00;Nu;635116896600000000;928
10-04-2014 12:03 AM;Theta;6.354797778E+17;520
2017-02-13T00:01:00.0000000;Alpha;636,225,408,600,000,000.00000000;980
11-03-2016 12:02 AM;Lambda;6.361372812E+17;581
01-12-2018 12:03 AM;Nu;6.365131218E+17;896
01-12-2013 12:02 AM;Mu;6.349354572E+17;360
2012-11-10 00:02:00;Pi;634881025200000000;773
2015-10-11T00:03:00.0000000;Lambda;635,801,185,800,000,000.00000000;124
08-31-2014 12:02 AM;Gamma;6.354504012E+17;490
12-15-2015 12:02 AM;Alpha;6.358573452E+17;615
05-16-2019 12:02 AM;Eta;6.369356172E+17;181
04-16-2017 12:03 AM;Tau;6.362789778E+17;991
2015-04-11 00:02:00;Pi;635643073200000000;439
2010-06-05 00:03:00;Pi;634112929800000000;386
03-17-2016 12:02 AM;Pi;6.359376972E+17;603
2016-08-18 00:02:00;Chi;636070753200000000;122
2017-02-17 00:04:00;Psi;6.36229E+017;353
2016-04-29 00:04:00;Iota;635974850400000000;255
2013-02-20 00:03:00;Mu;634969153800000000;889
2017-05-13T00:02:00.0000000;Rho;636,302,305,200,000,000.00000000;826
2011-05-01 00:03:00;Omega;6.34398E+017;222
04-28-2013 12:02 AM;Lambda;6.350270412E+17;230
2013-10-17T00:02:00.0000000;Sigma;635,175,649,200,000,000.00000000;350
2015-05-25 00:01:00;Zeta;6.35681E+017;216
01-14-2018 12:02 AM;Omicron;6.365148492E+17;650
2010-05-17T00:01:00.0000000;Gamma;634,096,512,600,000,000.00000000;480
2011-03-03T00:02:00.0000000;Delta;634,347,073,200,000,000.00000000;386
10-24-2019 12:03 AM;Zeta;6.370747218E+17;857
07-15-2012 12:02 AM;Kappa;6.347790732E+17;867
2013-09-16 00:01:00;Beta;635148864600000000;396
03-24-2018 12:03 AM;Psi;6.365744658E+17;823
2010-06-27 00:02:00;Omega;6.34132E+017;808
2012-08-23 00:03:00;Omicron;634812769800000000;173
2017-11-13 00:02:00;Kappa;636461281200000000;21
2019-06-14 00:05:00;Kappa;636960675000000000;379
2012-02-29T00:02:00.0000000;Mu;634,660,705,200,000,000.00000000;751
02-09-2015 12:02 AM;Iota;6.355903692E+17;823
10-19-2015 12:03 AM;Lambda;6.358080978E+17;151
2019-01-01T00:03:00.0000000;Beta;636,818,977,800,000,000.00000000;327
2014-11-22 00:03:00;Upsilon;635522113800000000;964
2013-01-16 00:03:00;Beta;634938913800000000;585
07-31-2013 12:02 AM;Delta;6.351082572E+17;479
2010-05-20 00:02:00;Gamma;634099105200000000;749
02-16-2018 12:02 AM;Upsilon;6.365433612E+17;555
09-29-2016 12:01 AM;Omicron;6.361070406E+17;268
2010-08-14T00:03:00.0000000;Xi;634,173,409,800,000,000.00000000;169
2013-07-17 00:02:00;Psi;635096161200000000;899
2010-09-03T00:02:00.0000000;Beta;634,190,689,200,000,000.00000000;970
05-10-2010 12:03 AM;Kappa;6.340904658E+17;484
2015-07-12T00:02:00.0000000;Sigma;635,722,561,200,000,000.00000000;124
01-02-2011 12:02 AM;Theta;6.342952332E+17;383
2015-04-01 00:03:00;Beta;6.35634E+017;526
2010-04-27 00:02:00;Sigma;634079233200000000;149
01-13-2012 12:02 AM;Omicron;6.346200972E+17;902
12-06-2012 12:02 AM;Rho;6.349034892E+17;717
2011-12-22 00:03:00;Xi;6.34601E+017;57
01-03-2016 12:01 AM;Alpha;6.358737606E+17;537
2019-07-22 00:02:00;Beta;636993505200000000;628
2019-12-28T00:04:00.0000000;Iota;637,130,882,400,000,000.00000000;754
2012-04-09 00:02:00;Theta;6.34695E+017;268
01-14-2013 12:01 AM;Mu;6.349371846E+17;88
11-07-2015 12:03 AM;Chi;6.358245138E+17;107
09-26-2017 12:02 AM;Gamma;6.364198092E+17;951
04-05-2015 12:02 AM;Zeta;6.356378892E+17;476
2018-03-01 00:02:00;Delta;636554593200000000;383
11-21-2017 12:03 AM;Upsilon;6.364681938E+17;406
09-11-2017 12:03 AM;Chi;6.364068498E+17;759
2015-12-21T00:04:00.0000000;Delta;635,862,530,400,000,000.00000000;319
2010-08-17 00:03:00;Rho;634176001800000000;424
06-06-2018 12:02 AM;Kappa;6.366384012E+17;859
2016-08-19 00:02:00;Lambda;6.36072E+017;797
2011-08-12T00:03:00.0000000;Phi;634,487,041,800,000,000.00000000;587
2015-12-26 00:02:00;Alpha;635866849200000000;482
2015-10-11 00:05:00;Gamma;635801187000000000;776
2019-04-18T00:03:00.0000000;Gamma;636,911,425,800,000,000.00000000;567
2012-01-25 00:03:00;Pi;634630465800000000;596
08-14-2014 12:03 AM;Iota;6.354357138E+17;410
2010-01-07 00:02:00;Iota;633984193200000000;872
2013-03-16 00:02:00;Psi;634989889200000000;686
2013-06-08 00:03:00;Upsilon;635062465800000000;159
2013-05-29 00:02:00;Omicron;635053825200000000;465
11-30-2015 12:02 AM;Gamma;6.358443852E+17;491
02-16-2018 12:02 AM;Iota;6.365433612E+17;297
2013-10-13 00:04:00;Phi;635172194400000000;659
2012-01-01 00:04:00;Rho;634609730400000000;166
2017-05-01 00:03:00;Rho;6.36292E+017;217
2014-04-21 00:01:00;Theta;635336352600000000;539
2015-12-25 00:03:00;Pi;635865985800000000;142
04-01-2010 12:04 AM;Gamma;6.340567704E+17;974
11-01-2017 12:02 AM;Beta;6.364509132E+17;183
04-15-2017 12:03 AM;Tau;6.362781138E+17;337
2010-08-16T00:02:00.0000000;Upsilon;634,175,137,200,000,000.00000000;159
2019-07-20T00:02:00.0000000;Sigma;636,991,777,200,000,000.00000000;571
10-06-2019 12:03 AM;Lambda;6.370591698E+17;509
2011-10-13 00:02:00;Eta;6.34541E+017;607
02-05-2016 12:02 AM;Xi;6.359022732E+17;569
10-10-2012 12:02 AM;Epsilon;6.348542412E+17;849
07-17-2010 12:04 AM;Alpha;6.341492184E+17;214
2016-10-23 00:03:00;Mu;636127777800000000;199
2016-03-27 00:01:00;Zeta;635946336600000000;448
05-23-2011 12:02 AM;Chi;6.344170572E+17;470
2017-09-18T00:02:00.0000000;Phi;636,412,897,200,000,000.00000000;96
2010-03-19 00:03:00;Phi;634045537800000000;129
2011-03-19T00:02:00.0000000;Gamma;634,360,897,200,000,000.00000000;343
2017-09-16T00:04:00.0000000;Gamma;636,411,170,400,000,000.00000000;363
01-10-2014 12:03 AM;Phi;6.352490898E+17;747
2016-11-10 00:02:00;Sigma;636143329200000000;461
2013-06-18 00:03:00;Pi;6.35071E+017;167
12-04-2012 12:03 AM;Epsilon;6.349017618E+17;405
09-14-2010 12:02 AM;Theta;6.342001932E+17;278
2016-07-30 00:04:00;Eta;6.36054E+017;393
2019-12-09T00:04:00.0000000;Omicron;637,114,466,400,000,000.00000000;321
2017-10-21 00:06:00;Eta;636441411600000000;547
