TM;Category;unknown;Quantity
2016-01-17 00:01:00;Kappa;6.35886E+017;976
2012-08-30 00:01:00;Beta;634818816600000000;424
07-17-2011 12:01 AM;Chi;6.344645766E+17;284
2013-06-13T00:01:00.0000000;Phi;635,066,784,600,000,000.00000000;301
11-19-2018 12:01 AM;Tau;6.367818246E+17;205
2019-06-17 00:01:00;Eta;636963264600000000;266
2018-01-23T00:01:00.0000000;Iota;636,522,624,600,000,000.00000000;850
2010-06-02 00:01:00;Rho;634110336600000000;456
2015-08-25 00:01:00;Chi;6.35761E+017;187
2015-01-02 00:01:00;Kappa;6.35558E+017;487
07-19-2017 12:01 AM;Zeta;6.363601926E+17;296
2015-02-17 00:01:00;Iota;635597280600000000;46
2013-11-27 00:01:00;Xi;635211072600000000;689
2018-01-02 00:01:00;Alpha;636504480600000000;933
2015-06-07T00:01:00.0000000;Delta;635,692,320,600,000,000.00000000;819
2013-09-26 00:02:00;Lambda;635157505200000000;686
2010-09-05 00:01:00;Rho;634192416600000000;872
2012-11-25T00:01:00.0000000;Nu;634,893,984,600,000,000.00000000;205
2011-11-12T00:01:00.0000000;Rho;634,566,528,600,000,000.00000000;67
2014-07-01 00:01:00;Xi;635397696600000000;612
2018-02-07 00:01:00;Upsilon;636535584600000000;317
2017-09-17T00:01:00.0000000;Chi;636,412,032,600,000,000.00000000;606
2014-03-12T00:01:00.0000000;Delta;635,301,792,600,000,000.00000000;432
07-18-2016 12:01 AM;Kappa;6.360439686E+17;157
2010-07-13 00:02:00;Rho;634145761200000000;83
2014-04-02 00:01:00;Omega;635319936600000000;179
09-23-2013 12:01 AM;Phi;6.351549126E+17;797
2014-03-27 00:01:00;Mu;635314752600000000;978
2015-06-22 00:02:00;Psi;635705281200000000;724
2018-12-29 00:01:00;Epsilon;636816384600000000;391
2014-11-22 00:02:00;Kappa;635522113200000000;847
2010-07-06 00:02:00;Zeta;634139713200000000;149
2010-05-16T00:03:00.0000000;Chi;634,095,649,800,000,000.00000000;657
01-16-2017 12:01 AM;Tau;6.362012166E+17;185
2013-10-19T00:01:00.0000000;Sigma;635,177,376,600,000,000.00000000;994
08-17-2012 12:01 AM;Tau;6.348075846E+17;747
2011-06-06 00:01:00;Epsilon;634429152600000000;828
2016-03-20 00:01:00;Theta;635940288600000000;246
2019-08-04T00:03:00.0000000;Chi;637,004,737,800,000,000.00000000;957
2014-12-15 00:01:00;Delta;6.35542E+017;765
2013-04-20T00:01:00.0000000;Gamma;635,020,128,600,000,000.00000000;911
08-06-2011 12:01 AM;Beta;6.344818566E+17;222
2017-11-26 00:02:00;Gamma;636472513200000000;994
12-24-2013 12:01 AM;Mu;6.352344006E+17;972
10-13-2012 12:01 AM;Upsilon;6.348568326E+17;318
08-02-2017 12:02 AM;Beta;6.363722892E+17;764
2018-12-11 00:01:00;Alpha;636800832600000000;61
09-27-2017 12:02 AM;Sigma;6.364206732E+17;861
2019-11-24T00:01:00.0000000;Theta;637,101,504,600,000,000.00000000;651
2010-08-29 00:02:00;Lambda;634186369200000000;226
2015-11-14 00:01:00;Kappa;635830560600000000;639
2011-02-27 00:02:00;Eta;634343617200000000;11
2014-01-05 00:01:00;Omega;6.35245E+017;926
2017-10-11 00:01:00;Theta;6.36433E+017;848
2019-03-20 00:01:00;Delta;6.36886E+017;244
07-17-2012 12:01 AM;Rho;6.347808006E+17;250
04-06-2010 12:01 AM;Nu;6.340610886E+17;855
2019-02-09 00:03:00;Epsilon;636852673800000000;334
2016-11-13T00:01:00.0000000;Omicron;636,145,920,600,000,000.00000000;908
2015-04-18 00:01:00;Pi;635649120600000000;303
2018-02-27T00:01:00.0000000;Delta;636,552,864,600,000,000.00000000;463
10-01-2010 12:02 AM;Omega;6.342148812E+17;400
10-24-2014 12:01 AM;Chi;6.354970566E+17;884
01-31-2013 12:01 AM;Iota;6.349518726E+17;274
05-06-2012 12:01 AM;Iota;6.347185926E+17;853
06-28-2011 12:02 AM;Sigma;6.344481612E+17;723
2010-05-04 00:01:00;Upsilon;6.34085E+017;239
2019-02-25T00:02:00.0000000;Sigma;636,866,497,200,000,000.00000000;862
07-16-2011 12:03 AM;Nu;6.344637138E+17;603
2019-05-30 00:01:00;Psi;636947712600000000;576
2016-04-09T00:01:00.0000000;Zeta;635,957,568,600,000,000.00000000;113
2010-01-30T00:01:00.0000000;Pi;634,004,064,600,000,000.00000000;174
07-30-2013 12:01 AM;Xi;6.351073926E+17;275
2016-07-17 00:01:00;Eta;6.36043E+017;645
09-15-2010 12:01 AM;Phi;6.342010566E+17;899
2017-04-08T00:02:00.0000000;Upsilon;636,272,065,200,000,000.00000000;249
2010-10-06 00:01:00;Theta;634219200600000000;151
12-12-2010 12:01 AM;Zeta;6.342770886E+17;966
