TM;Category;unknown;Quantity
12-01-2014 12:01 AM;Alpha;6.355298886E+17;332
11-06-2010 12:01 AM;Epsilon;6.342459846E+17;748
2013-07-21 00:01:00;Theta;635099616600000000;464
2011-01-06 00:01:00;Rho;634298688600000000;798
2014-11-17 00:01:00;Psi;635517792600000000;53
2019-09-14 00:01:00;Kappa;637040160600000000;980
2016-02-02 00:01:00;Xi;635899680600000000;866
2018-03-16T00:01:00.0000000;Xi;636,567,552,600,000,000.00000000;326
2017-08-14 00:01:00;Rho;636382656600000000;679
2011-05-11 00:01:00;Upsilon;634406688600000000;812
2010-07-08 00:01:00;Chi;634141440600000000;890
08-13-2015 12:01 AM;Omega;6.357502086E+17;787
05-27-2010 12:01 AM;Gamma;6.341051526E+17;73
2010-10-14 00:01:00;Gamma;6.34226E+017;218
09-01-2014 12:01 AM;Lambda;6.354512646E+17;478
08-08-2010 12:01 AM;Theta;6.341682246E+17;684
2015-01-16 00:01:00;Gamma;635569632600000000;742
04-18-2016 12:01 AM;Mu;6.359653446E+17;4
08-27-2016 12:01 AM;Xi;6.360785286E+17;606
2015-07-19 00:01:00;Nu;6.35729E+017;927
2012-08-11 00:01:00;Zeta;634802400600000000;199
2018-11-07T00:01:00.0000000;Rho;636,771,456,600,000,000.00000000;580
2010-05-23 00:01:00;Chi;6.34102E+017;348
08-12-2015 12:01 AM;Kappa;6.357493446E+17;36
2016-12-20T00:01:00.0000000;Beta;636,177,888,600,000,000.00000000;236
2012-09-12 00:01:00;Rho;634830048600000000;589
07-22-2016 12:01 AM;Alpha;6.360474246E+17;109
09-12-2010 12:01 AM;Gamma;6.341984646E+17;378
2011-01-28 00:01:00;Psi;634317696600000000;190
12-31-2016 12:01 AM;Alpha;6.361873926E+17;351
2012-04-12 00:01:00;Epsilon;6.34698E+017;575
2016-01-06 00:02:00;Pi;635876353200000000;232
2017-08-27 00:01:00;Zeta;636393888600000000;655
06-04-2019 12:01 AM;Alpha;6.369520326E+17;229
09-29-2011 12:01 AM;Xi;6.345285126E+17;256
2016-04-12 00:01:00;Beta;635960160600000000;27
2016-06-28 00:02:00;Iota;6.36027E+017;518
2013-10-16 00:01:00;Kappa;635174784600000000;343
2010-04-16 00:02:00;Omega;6.34070E+017;67
03-18-2015 12:01 AM;Gamma;6.356223366E+17;383
2015-06-22 00:01:00;Lambda;635705280600000000;595
2018-07-22T00:02:00.0000000;Lambda;636,678,145,200,000,000.00000000;35
2015-12-22 00:01:00;Theta;635863392600000000;417
2019-10-06 00:02:00;Sigma;6.37059E+017;228
02-03-2012 12:01 AM;Sigma;6.346382406E+17;315
2018-02-11 00:02:00;Iota;636539041200000000;588
2012-01-19 00:01:00;Omega;634625280600000000;349
2018-01-29 00:01:00;Upsilon;6.36528E+017;363
2018-04-09 00:02:00;Kappa;6.36588E+017;453
2012-06-15T00:02:00.0000000;Iota;634,753,153,200,000,000.00000000;556
2017-06-18T00:01:00.0000000;Chi;636,333,408,600,000,000.00000000;208
09-27-2012 12:02 AM;Theta;6.348430092E+17;597
06-13-2011 12:01 AM;Tau;6.344352006E+17;688
2017-05-31T00:01:00.0000000;Pi;636,317,856,600,000,000.00000000;807
2017-11-17 00:01:00;Epsilon;6.36465E+017;58
12-06-2019 12:01 AM;Upsilon;6.371118726E+17;135
2012-04-02 00:02:00;Lambda;634689217200000000;9
2018-07-03T00:01:00.0000000;Mu;636,661,728,600,000,000.00000000;394
05-04-2012 12:01 AM;Mu;6.347168646E+17;628
05-07-2011 12:01 AM;Epsilon;6.344032326E+17;614
2015-12-11 00:01:00;Eta;6.35854E+017;270
07-24-2015 12:01 AM;Epsilon;6.357329286E+17;206
2016-12-17 00:01:00;Delta;636175296600000000;653
07-17-2016 12:02 AM;Omicron;6.360431052E+17;392
07-01-2017 12:01 AM;Xi;6.363446406E+17;233
2019-02-11 00:01:00;Omega;6.36854E+017;692
12-15-2016 12:01 AM;Rho;6.361735686E+17;665
2015-11-16T00:02:00.0000000;Omega;635,832,289,200,000,000.00000000;667
11-10-2014 12:02 AM;Kappa;6.355117452E+17;557
2012-10-04T00:01:00.0000000;Eta;634,849,056,600,000,000.00000000;900
10-29-2018 12:02 AM;Eta;6.367636812E+17;977
2014-06-14 00:02:00;Pi;635383009200000000;811
2017-12-20 00:01:00;Epsilon;636493248600000000;180
03-06-2013 12:02 AM;Zeta;6.349812492E+17;860
2016-08-29 00:02:00;Tau;636080257200000000;83
2018-03-05 00:02:00;Epsilon;6.36558E+017;891
2015-02-16 00:01:00;Pi;635596416600000000;31
07-14-2018 12:01 AM;Sigma;6.366712326E+17;710
08-06-2011 12:01 AM;Pi;6.344818566E+17;105
08-22-2018 12:02 AM;Upsilon;6.367049292E+17;95
2014-02-04T00:01:00.0000000;Beta;635,270,688,600,000,000.00000000;893
2015-05-21T00:02:00.0000000;Phi;635,677,633,200,000,000.00000000;748
07-01-2010 12:01 AM;Sigma;6.341353926E+17;652
10-19-2011 12:01 AM;Omicron;6.345457926E+17;913
2018-09-28 00:02:00;Kappa;636736897200000000;89
10-08-2014 12:01 AM;Iota;6.354832326E+17;539
2016-07-11 00:02:00;Xi;636037921200000000;203
2010-09-08 00:01:00;Omicron;6.34195E+017;982
2011-01-30 00:01:00;Alpha;634319424600000000;485
2017-03-08 00:01:00;Xi;6.36245E+017;988
2018-11-13 00:02:00;Zeta;6.36777E+017;77
2015-04-17 00:01:00;Iota;635648256600000000;571
2011-07-14 00:01:00;Kappa;6.34462E+017;351
2013-03-29 00:01:00;Chi;635001120600000000;564
2015-07-11 00:01:00;Psi;635721696600000000;889
2010-06-08 00:01:00;Lambda;634115520600000000;911
2016-08-14T00:01:00.0000000;Omega;636,067,296,600,000,000.00000000;380
2019-12-17 00:01:00;Theta;6.37121E+017;722
2014-05-02 00:01:00;Eta;635345856600000000;917
2019-11-01 00:02:00;Epsilon;637081633200000000;677
