TM;Category;unknown;Quantity
2012-04-03 00:01:00;Alpha;634690080600000000;918
2015-04-17 00:01:00;Nu;635648256600000000;953
08-06-2017 12:01 AM;Delta;6.363757446E+17;838
2014-04-22 00:01:00;Upsilon;6.35337E+017;803
2010-05-13 00:01:00;Chi;634093056600000000;338
2010-07-12T00:01:00.0000000;Eta;634,144,896,600,000,000.00000000;829
2014-12-15 00:01:00;Alpha;6.35542E+017;170
05-16-2013 12:02 AM;Upsilon;6.350425932E+17;942
12-27-2017 12:01 AM;Phi;6.364992966E+17;831
2010-10-31 00:01:00;Epsilon;634240800600000000;349
2010-05-02 00:01:00;Omicron;634083552600000000;419
2016-06-19 00:01:00;Alpha;636018912600000000;282
2011-11-18 00:01:00;Zeta;6.34572E+017;834
2017-12-16T00:01:00.0000000;Beta;636,489,792,600,000,000.00000000;162
2013-07-01T00:01:00.0000000;Nu;635,082,336,600,000,000.00000000;906
2012-03-01 00:01:00;Nu;634661568600000000;331
2015-07-13T00:01:00.0000000;Nu;635,723,424,600,000,000.00000000;785
03-30-2011 12:01 AM;Mu;6.343704006E+17;648
11-17-2012 12:01 AM;Rho;6.348870726E+17;388
07-19-2016 12:01 AM;Omega;6.360448326E+17;623
08-18-2018 12:01 AM;Upsilon;6.367014726E+17;376
11-03-2012 12:01 AM;Delta;6.348749766E+17;267
2011-10-24T00:01:00.0000000;Pi;634,550,112,600,000,000.00000000;683
2014-07-23 00:01:00;Delta;6.35417E+017;434
2017-03-02T00:02:00.0000000;Upsilon;636,240,097,200,000,000.00000000;411
06-21-2013 12:01 AM;Psi;6.350736966E+17;309
07-31-2013 12:02 AM;Chi;6.351082572E+17;242
2017-07-26T00:01:00.0000000;Kappa;636,366,240,600,000,000.00000000;981
12-11-2011 12:01 AM;Epsilon;6.345915846E+17;232
04-08-2014 12:01 AM;Chi;6.353251206E+17;336
10-28-2013 12:01 AM;Zeta;6.351851526E+17;610
2013-05-05 00:01:00;Mu;635033088600000000;926
2017-06-03 00:01:00;Alpha;636320448600000000;628
2012-01-27 00:01:00;Upsilon;634632192600000000;4
11-06-2010 12:01 AM;Delta;6.342459846E+17;609
2014-04-24 00:01:00;Iota;6.35339E+017;300
2016-12-25 00:01:00;Phi;6.36182E+017;671
12-11-2010 12:02 AM;Iota;6.342762252E+17;818
2019-01-06 00:01:00;Theta;6.36823E+017;166
03-11-2012 12:01 AM;Kappa;6.346702086E+17;529
05-06-2011 12:01 AM;Phi;6.344023686E+17;158
2017-03-18T00:02:00.0000000;Chi;636,253,921,200,000,000.00000000;119
2011-04-07T00:01:00.0000000;Xi;634,377,312,600,000,000.00000000;90
09-09-2018 12:02 AM;Kappa;6.367204812E+17;574
2015-12-26 00:03:00;Sigma;635866849800000000;246
2017-11-08 00:01:00;Omega;636456960600000000;794
2013-05-26T00:01:00.0000000;Epsilon;635,051,232,600,000,000.00000000;729
2016-02-03 00:01:00;Upsilon;6.35901E+017;778
09-27-2011 12:02 AM;Beta;6.345267852E+17;356
05-17-2013 12:01 AM;Upsilon;6.350434566E+17;16
2018-01-03T00:02:00.0000000;Epsilon;636,505,345,200,000,000.00000000;687
2019-01-04 00:03:00;Xi;636821569800000000;173
2018-01-04T00:01:00.0000000;Sigma;636,506,208,600,000,000.00000000;398
2016-10-04 00:02:00;Pi;636111361200000000;275
2018-03-23 00:03:00;Xi;6.36574E+017;455
2013-05-31 00:01:00;Theta;6.35056E+017;613
2012-06-23 00:01:00;Delta;6.34760E+017;312
09-05-2012 12:02 AM;Iota;6.348240012E+17;940
12-28-2016 12:01 AM;Phi;6.361848006E+17;914
09-05-2012 12:03 AM;Nu;6.348240018E+17;775
2010-06-29 00:01:00;Lambda;6.34134E+017;170
2010-07-30T00:01:00.0000000;Epsilon;634,160,448,600,000,000.00000000;68
10-14-2017 12:02 AM;Zeta;6.364353612E+17;317
