TM;Category;unknown;Quantity
2015-05-01T00:01:00.0000000;Phi;635,660,352,600,000,000.00000000;771
2014-05-24T00:01:00.0000000;Kappa;635,364,864,600,000,000.00000000;617
2016-03-25 00:01:00;Iota;635944608600000000;154
2011-12-25 00:01:00;Epsilon;6.34604E+017;592
2019-04-26 00:01:00;Alpha;6.36918E+017;796
2010-11-11 00:01:00;Zeta;634250304600000000;567
2017-05-29 00:01:00;Kappa;636316128600000000;931
03-31-2012 12:01 AM;Sigma;6.346874886E+17;89
09-26-2011 12:01 AM;Beta;6.345259206E+17;107
2010-05-13 00:01:00;Tau;634093056600000000;595
12-16-2015 12:01 AM;Eta;6.358582086E+17;599
07-27-2013 12:01 AM;Zeta;6.351048006E+17;863
2016-11-30 00:01:00;Delta;636160608600000000;978
2013-03-18 00:01:00;Xi;634991616600000000;207
03-16-2011 12:01 AM;Chi;6.343583046E+17;353
09-22-2013 12:01 AM;Theta;6.351540486E+17;845
02-27-2010 12:01 AM;Zeta;6.340282566E+17;999
2016-03-07 00:01:00;Iota;635929056600000000;879
2014-01-13 00:01:00;Alpha;635251680600000000;758
10-30-2013 12:01 AM;Xi;6.351868806E+17;865
03-10-2019 12:01 AM;Upsilon;6.368777286E+17;34
04-24-2010 12:01 AM;Alpha;6.340766406E+17;415
08-01-2019 12:01 AM;Rho;6.370021446E+17;434
12-27-2018 12:01 AM;Pi;6.368146566E+17;502
2015-03-14 00:02:00;Kappa;6.35619E+017;893
2014-05-12 00:01:00;Psi;6.35354E+017;390
2011-05-02 00:01:00;Sigma;6.34399E+017;277
10-09-2019 12:01 AM;Phi;6.370617606E+17;449
2019-12-28T00:01:00.0000000;Kappa;637,130,880,600,000,000.00000000;548
2017-11-29T00:01:00.0000000;Eta;636,475,104,600,000,000.00000000;386
11-13-2014 12:01 AM;Beta;6.355143366E+17;988
2017-05-15 00:02:00;Omega;636304033200000000;636
06-11-2011 12:01 AM;Eta;6.344334726E+17;105
2010-04-16 00:01:00;Beta;6.34070E+017;452
08-15-2013 12:01 AM;Tau;6.351212166E+17;113
2013-02-13 00:01:00;Iota;6.34963E+017;74
03-17-2016 12:02 AM;Alpha;6.359376972E+17;830
10-12-2019 12:01 AM;Delta;6.370643526E+17;743
2013-07-19T00:01:00.0000000;Iota;635,097,888,600,000,000.00000000;591
07-14-2013 12:01 AM;Sigma;6.350935686E+17;821
05-10-2011 12:01 AM;Delta;6.344058246E+17;720
06-14-2016 12:01 AM;Theta;6.360145926E+17;186
2015-10-17 00:01:00;Theta;6.35806E+017;258
12-17-2015 12:01 AM;Theta;6.358590726E+17;776
2010-05-21 00:01:00;Kappa;634099968600000000;649
01-07-2015 12:01 AM;Tau;6.355618566E+17;494
04-03-2010 12:01 AM;Eta;6.340584966E+17;465
08-03-2012 12:01 AM;Nu;6.347954886E+17;105
2010-06-24T00:01:00.0000000;Rho;634,129,344,600,000,000.00000000;97
02-01-2019 12:01 AM;Omega;6.368457606E+17;41
02-10-2010 12:02 AM;Theta;6.340135692E+17;693
2010-06-27 00:01:00;Beta;634131936600000000;436
2016-11-11 00:02:00;Theta;636144193200000000;897
2010-12-18 00:01:00;Rho;634282272600000000;542
08-14-2019 12:02 AM;Lambda;6.370133772E+17;29
2017-08-09 00:01:00;Delta;636378336600000000;663
2015-12-03 00:02:00;Delta;635846977200000000;94
2010-04-29T00:01:00.0000000;Mu;634,080,960,600,000,000.00000000;225
12-05-2019 12:01 AM;Delta;6.371110086E+17;483
2016-10-26T00:01:00.0000000;Pi;636,130,368,600,000,000.00000000;682
04-22-2016 12:02 AM;Rho;6.359688012E+17;363
06-13-2017 12:01 AM;Pi;6.363290886E+17;441
07-16-2018 12:02 AM;Tau;6.366729612E+17;886
2018-01-21T00:01:00.0000000;Psi;636,520,896,600,000,000.00000000;265
01-05-2010 12:01 AM;Upsilon;6.339824646E+17;820
12-27-2011 12:02 AM;Beta;6.346054092E+17;701
2015-12-26 00:02:00;Rho;635866849200000000;507
10-02-2010 12:03 AM;Rho;6.342157458E+17;530
2012-01-06 00:02:00;Chi;634614049200000000;562
2014-09-30 00:01:00;Omicron;635476320600000000;547
07-02-2017 12:01 AM;Lambda;6.363455046E+17;676
2016-05-23 00:01:00;Rho;6.35996E+017;318
2012-04-20 00:01:00;Epsilon;634704768600000000;771
2013-12-30T00:01:00.0000000;Psi;635,239,584,600,000,000.00000000;755
04-30-2018 12:02 AM;Kappa;6.366064332E+17;593
2018-04-30 00:01:00;Upsilon;6.36606E+017;697
08-06-2016 12:01 AM;Zeta;6.360603846E+17;728
2015-02-04 00:01:00;Alpha;635586048600000000;616
2017-08-27 00:02:00;Chi;636393889200000000;830
2019-06-10 00:01:00;Chi;636957216600000000;292
03-11-2012 12:01 AM;Zeta;6.346702086E+17;925
2019-06-12T00:01:00.0000000;Gamma;636,958,944,600,000,000.00000000;920
2015-02-13 00:03:00;Lambda;635593825800000000;27
04-13-2013 12:02 AM;Zeta;6.350140812E+17;494
2019-10-04 00:01:00;Nu;637057440600000000;675
11-06-2016 12:02 AM;Psi;6.361398732E+17;680
03-11-2011 12:02 AM;Delta;6.343539852E+17;76
2018-10-20T00:01:00.0000000;Alpha;636,755,904,600,000,000.00000000;580
08-26-2010 12:01 AM;Sigma;6.341837766E+17;231
03-09-2019 12:02 AM;Zeta;6.368768652E+17;558
2019-05-29 00:01:00;Sigma;636946848600000000;31
2011-12-06 00:02:00;Eta;6.34587E+017;270
2014-01-13 00:01:00;Xi;635251680600000000;121
2013-12-30T00:02:00.0000000;Rho;635,239,585,200,000,000.00000000;692
11-12-2013 12:02 AM;Upsilon;6.351981132E+17;850
2019-08-21 00:02:00;Phi;637019425200000000;379
05-28-2010 12:02 AM;Phi;6.341060172E+17;216
2012-10-05 00:01:00;Kappa;634849920600000000;746
05-14-2014 12:03 AM;Sigma;6.353562258E+17;748
2016-07-29 00:03:00;Epsilon;636053473800000000;792
2019-01-25 00:01:00;Omega;6.36840E+017;360
2013-07-23 00:02:00;Epsilon;635101345200000000;719
2016-07-11T00:01:00.0000000;Upsilon;636,037,920,600,000,000.00000000;562
2014-09-25T00:03:00.0000000;Delta;635,472,001,800,000,000.00000000;157
2010-05-02 00:01:00;Nu;634083552600000000;422
2011-10-11 00:01:00;Epsilon;634538880600000000;746
2017-03-16 00:02:00;Iota;636252193200000000;150
09-02-2019 12:03 AM;Kappa;6.370297938E+17;962
10-29-2019 12:01 AM;Psi;6.370790406E+17;269
01-30-2014 12:01 AM;Omicron;6.352663686E+17;837
2011-03-20T00:02:00.0000000;Mu;634,361,761,200,000,000.00000000;131
2014-02-01 00:01:00;Delta;635268096600000000;904
2016-01-16 00:03:00;Nu;6.35885E+017;686
05-05-2017 12:03 AM;Iota;6.362953938E+17;913
2019-04-25 00:01:00;Phi;6.36917E+017;860
2011-12-24 00:02:00;Omega;6.34603E+017;584
2013-01-21 00:02:00;Eta;634943233200000000;585
2015-06-26T00:02:00.0000000;Lambda;635,708,737,200,000,000.00000000;118
2015-10-10 00:01:00;Omicron;635800320600000000;866
2018-07-06 00:01:00;Sigma;636664320600000000;92
2019-06-26 00:02:00;Kappa;636971041200000000;910
2012-04-07 00:01:00;Omicron;634693536600000000;965
2015-02-19 00:03:00;Kappa;635599009800000000;226
2018-07-02T00:02:00.0000000;Phi;636,660,865,200,000,000.00000000;4
01-16-2018 12:01 AM;Theta;6.365165766E+17;74
10-31-2012 12:01 AM;Alpha;6.348723846E+17;637
2012-11-22 00:02:00;Gamma;634891393200000000;467
2016-10-14 00:01:00;Omega;6.36120E+017;162
2019-06-18 00:02:00;Nu;6.36964E+017;129
2011-08-12T00:02:00.0000000;Beta;634,487,041,200,000,000.00000000;340
2014-06-16 00:01:00;Sigma;6.35385E+017;745
2011-08-27 00:02:00;Psi;634500001200000000;892
2014-03-13T00:01:00.0000000;Xi;635,302,656,600,000,000.00000000;720
08-03-2018 12:01 AM;Lambda;6.366885126E+17;733
2017-05-28 00:01:00;Delta;636315264600000000;179
05-06-2018 12:01 AM;Nu;6.366116166E+17;528
2012-10-02T00:02:00.0000000;Alpha;634,847,329,200,000,000.00000000;452
04-09-2014 12:02 AM;Epsilon;6.353259852E+17;813
2019-03-31T00:03:00.0000000;Lambda;636,895,873,800,000,000.00000000;266
2016-02-29 00:02:00;Alpha;635923009200000000;460
2014-05-08 00:04:00;Zeta;6.35351E+017;990
2012-07-26 00:03:00;Psi;6.34789E+017;757
03-11-2011 12:03 AM;Omicron;6.343539858E+17;551
2011-08-08 00:02:00;Chi;634483585200000000;779
05-28-2016 12:03 AM;Sigma;6.359999058E+17;683
08-20-2017 12:02 AM;Iota;6.363878412E+17;120
2013-02-08 00:03:00;Tau;634958785800000000;317
09-01-2014 12:02 AM;Kappa;6.354512652E+17;235
2014-02-03T00:02:00.0000000;Theta;635,269,825,200,000,000.00000000;499
2017-08-08T00:05:00.0000000;Nu;636,377,475,000,000,000.00000000;83
08-24-2010 12:02 AM;Gamma;6.341820492E+17;131
01-31-2019 12:02 AM;Omega;6.368448972E+17;673
04-08-2014 12:04 AM;Zeta;6.353251224E+17;911
11-22-2016 12:01 AM;Chi;6.361536966E+17;226
07-04-2015 12:04 AM;Sigma;6.357156504E+17;899
2019-12-25 00:02:00;Zeta;637128289200000000;956
09-12-2016 12:02 AM;Kappa;6.360923532E+17;856
2016-05-12 00:03:00;Sigma;635986081800000000;972
2014-03-10T00:02:00.0000000;Zeta;635,300,065,200,000,000.00000000;351
2016-10-21 00:03:00;Pi;636126049800000000;326
08-10-2010 12:02 AM;Omicron;6.341699532E+17;416
2017-01-11 00:02:00;Psi;6.36197E+017;95
2012-09-02 00:02:00;Delta;6.34821E+017;188
12-09-2017 12:02 AM;Kappa;6.364837452E+17;136
2011-08-16 00:02:00;Alpha;634490497200000000;572
2010-01-13 00:02:00;Lambda;633989377200000000;902
2015-10-08 00:02:00;Tau;635798593200000000;798
08-24-2010 12:03 AM;Sigma;6.341820498E+17;64
2017-01-11 00:01:00;Sigma;636196896600000000;612
04-13-2013 12:02 AM;Iota;6.350140812E+17;266
2018-10-05 00:02:00;Eta;636742945200000000;717
2018-07-26 00:03:00;Beta;6.36682E+017;416
12-07-2017 12:02 AM;Sigma;6.364820172E+17;89
2012-03-12 00:03:00;Mu;634671073800000000;137
2013-06-27 00:02:00;Rho;635078881200000000;443
2013-02-06T00:01:00.0000000;Phi;634,957,056,600,000,000.00000000;446
2017-03-20T00:02:00.0000000;Zeta;636,255,649,200,000,000.00000000;124
07-10-2012 12:04 AM;Delta;6.347747544E+17;538
2012-05-27T00:02:00.0000000;Tau;634,736,737,200,000,000.00000000;908
2013-06-18 00:01:00;Mu;6.35071E+017;891
10-30-2019 12:01 AM;Lambda;6.370799046E+17;850
03-06-2014 12:01 AM;Zeta;6.352966086E+17;636
12-23-2018 12:02 AM;Tau;6.368112012E+17;773
04-16-2018 12:02 AM;Delta;6.365943372E+17;86
2014-04-16T00:02:00.0000000;Gamma;635,332,033,200,000,000.00000000;969
2010-09-07 00:02:00;Omicron;6.34194E+017;771
2015-03-07T00:04:00.0000000;Xi;635,612,834,400,000,000.00000000;227
2012-08-24 00:02:00;Iota;634813633200000000;323
11-21-2017 12:02 AM;Theta;6.364681932E+17;527
11-04-2017 12:02 AM;Rho;6.364535052E+17;880
2016-07-15 00:02:00;Lambda;6.36041E+017;385
2016-03-26 00:02:00;Zeta;635945473200000000;803
11-16-2019 12:02 AM;Sigma;6.370945932E+17;626
01-19-2017 12:01 AM;Delta;6.362038086E+17;715
2014-05-26 00:02:00;Kappa;635366593200000000;716
08-07-2010 12:02 AM;Omicron;6.341673612E+17;230
2016-03-19T00:05:00.0000000;Psi;635,939,427,000,000,000.00000000;110
11-21-2016 12:03 AM;Iota;6.361528338E+17;212
09-17-2015 12:03 AM;Epsilon;6.357804498E+17;79
02-05-2011 12:03 AM;Mu;6.343246098E+17;384
2017-02-25 00:04:00;Phi;636235778400000000;680
2019-04-02T00:01:00.0000000;Phi;636,897,600,600,000,000.00000000;548
09-04-2019 12:03 AM;Gamma;6.370315218E+17;958
2013-04-13 00:04:00;Upsilon;635014082400000000;745
2017-08-06 00:04:00;Rho;636375746400000000;397
01-23-2016 12:01 AM;Gamma;6.358910406E+17;892
08-16-2019 12:03 AM;Kappa;6.370151058E+17;870
2017-05-31T00:02:00.0000000;Mu;636,317,857,200,000,000.00000000;911
07-31-2018 12:02 AM;Chi;6.366859212E+17;174
2012-08-04 00:05:00;Lambda;634796355000000000;497
2011-12-01 00:04:00;Beta;634582946400000000;481
2016-10-13 00:04:00;Pi;6.36119E+017;508
2015-09-11 00:03:00;Lambda;6.35775E+017;770
2011-11-08T00:04:00.0000000;Sigma;634,563,074,400,000,000.00000000;441
2016-07-30 00:04:00;Theta;6.36054E+017;426
2011-12-03 00:03:00;Sigma;6.34585E+017;381
12-04-2013 12:03 AM;Beta;6.352171218E+17;613
2015-01-31 00:04:00;Tau;635582594400000000;245
2019-05-21 00:04:00;Xi;636939938400000000;167
01-24-2016 12:01 AM;Gamma;6.358919046E+17;834
2012-07-02T00:03:00.0000000;Lambda;634,767,841,800,000,000.00000000;463
2014-01-31 00:02:00;Chi;635267233200000000;440
07-04-2015 12:05 AM;Kappa;6.35715651E+17;4
2016-08-20 00:04:00;Lambda;6.36072E+017;532
2011-04-09 00:03:00;Kappa;634379041800000000;48
