TM;Category;unknown;Quantity
2010-07-07 00:01:00;Alpha;634140576600000000;548
2013-03-21 00:01:00;Delta;6.34994E+017;848
2012-02-12 00:01:00;Omicron;634646016600000000;437
2016-05-01 00:01:00;Iota;635976576600000000;741
2016-04-27T00:01:00.0000000;Chi;635,973,120,600,000,000.00000000;214
03-28-2012 12:01 AM;Pi;6.346848966E+17;335
2013-08-31 00:01:00;Delta;6.35135E+017;481
2018-06-01 00:01:00;Omicron;636634080600000000;197
2016-10-05 00:01:00;Mu;636112224600000000;955
2014-07-13 00:01:00;Gamma;635408064600000000;720
12-28-2011 12:01 AM;Lambda;6.346062726E+17;842
01-02-2011 12:01 AM;Delta;6.342952326E+17;96
02-07-2017 12:01 AM;Epsilon;6.362202246E+17;92
2015-01-03 00:01:00;Zeta;6.35558E+017;129
2015-12-12 00:01:00;Lambda;6.35855E+017;847
2015-08-08 00:01:00;Delta;6.35746E+017;802
2014-04-05 00:01:00;Omicron;6.35323E+017;311
2011-06-04 00:01:00;Lambda;634427424600000000;733
2015-06-27T00:01:00.0000000;Tau;635,709,600,600,000,000.00000000;456
06-24-2012 12:01 AM;Psi;6.347609286E+17;975
04-01-2016 12:01 AM;Sigma;6.359506566E+17;654
2017-06-16 00:02:00;Psi;636331681200000000;71
2015-07-29 00:01:00;Xi;635737248600000000;521
10-20-2015 12:02 AM;Tau;6.358089612E+17;546
2011-06-26 00:01:00;Theta;6.34446E+017;914
2010-08-03 00:01:00;Phi;6.34164E+017;759
2018-07-22T00:01:00.0000000;Omega;636,678,144,600,000,000.00000000;473
01-31-2018 12:02 AM;Zeta;6.365295372E+17;850
10-19-2016 12:02 AM;Delta;6.361243212E+17;28
2013-12-18 00:01:00;Zeta;6.35229E+017;274
02-25-2017 12:01 AM;Theta;6.362357766E+17;34
2012-06-01 00:02:00;Delta;634741057200000000;625
06-04-2019 12:03 AM;Theta;6.369520338E+17;532
06-21-2013 12:01 AM;Chi;6.350736966E+17;694
2018-09-13T00:02:00.0000000;Pi;636,723,937,200,000,000.00000000;973
12-30-2017 12:01 AM;Lambda;6.365018886E+17;798
10-10-2013 12:01 AM;Tau;6.351696006E+17;187
2017-05-31T00:01:00.0000000;Tau;636,317,856,600,000,000.00000000;266
09-25-2012 12:01 AM;Phi;6.348412806E+17;831
12-14-2015 12:01 AM;Beta;6.358564806E+17;667
10-24-2014 12:01 AM;Sigma;6.354970566E+17;922
2011-12-25 00:01:00;Zeta;6.34604E+017;240
05-19-2018 12:01 AM;Chi;6.366228486E+17;646
08-11-2010 12:01 AM;Gamma;6.341708166E+17;96
2013-05-09T00:01:00.0000000;Omicron;635,036,544,600,000,000.00000000;736
01-23-2015 12:01 AM;Omega;6.355756806E+17;682
09-04-2014 12:01 AM;Kappa;6.354538566E+17;711
2016-05-31 00:01:00;Mu;636002496600000000;830
08-22-2017 12:01 AM;Gamma;6.363895686E+17;201
08-23-2017 12:02 AM;Theta;6.363904332E+17;242
2018-07-20T00:02:00.0000000;Epsilon;636,676,417,200,000,000.00000000;435
01-12-2018 12:02 AM;Mu;6.365131212E+17;848
2011-11-08 00:01:00;Mu;634563072600000000;364
07-18-2017 12:02 AM;Lambda;6.363593292E+17;438
2014-07-15T00:03:00.0000000;Lambda;635,409,793,800,000,000.00000000;703
2018-11-28 00:01:00;Omega;636789600600000000;399
2017-10-27 00:01:00;Mu;636446592600000000;478
2011-10-02 00:01:00;Chi;634531104600000000;332
04-16-2018 12:01 AM;Zeta;6.365943366E+17;963
2010-07-26 00:01:00;Delta;634156992600000000;43
2013-09-17 00:01:00;Sigma;6.35150E+017;503
2012-06-13 00:01:00;Beta;634751424600000000;658
2013-06-13T00:02:00.0000000;Upsilon;635,066,785,200,000,000.00000000;374
2016-10-24 00:02:00;Eta;636128641200000000;877
2018-08-31 00:04:00;Nu;6.36713E+017;714
2011-07-07T00:01:00.0000000;Tau;634,455,936,600,000,000.00000000;199
2016-10-15 00:02:00;Nu;6.36121E+017;544
2014-07-03 00:02:00;Iota;6.35399E+017;141
2010-09-10 00:01:00;Theta;6.34197E+017;969
02-10-2010 12:02 AM;Sigma;6.340135692E+17;735
2014-02-11 00:01:00;Chi;6.35277E+017;807
2012-02-26 00:02:00;Omega;634658113200000000;313
2016-07-30 00:02:00;Sigma;636054337200000000;581
2016-04-07 00:01:00;Delta;635955840600000000;140
2010-09-18 00:01:00;Tau;634203648600000000;662
04-22-2015 12:01 AM;Chi;6.356525766E+17;659
06-28-2017 12:02 AM;Chi;6.363420492E+17;979
12-08-2017 12:01 AM;Rho;6.364828806E+17;709
04-18-2012 12:01 AM;Sigma;6.347030406E+17;272
2014-10-22 00:01:00;Omega;6.35495E+017;447
2017-03-06 00:02:00;Tau;6.36244E+017;457
2015-02-06 00:02:00;Delta;6.35588E+017;173
05-01-2012 12:02 AM;Rho;6.347142732E+17;617
2012-12-01 00:02:00;Zeta;6.34899E+017;235
2010-07-11T00:01:00.0000000;Omicron;634,144,032,600,000,000.00000000;154
12-08-2017 12:03 AM;Kappa;6.364828818E+17;244
2013-12-08 00:01:00;Kappa;635220576600000000;372
05-12-2014 12:03 AM;Omicron;6.353544978E+17;209
07-14-2018 12:02 AM;Theta;6.366712332E+17;188
05-20-2019 12:01 AM;Nu;6.369390726E+17;385
2013-04-26 00:02:00;Zeta;6.35025E+017;311
2014-11-07 00:02:00;Alpha;6.35509E+017;905
2017-02-11T00:01:00.0000000;Theta;636,223,680,600,000,000.00000000;993
06-30-2017 12:02 AM;Omega;6.363437772E+17;772
2017-10-24T00:02:00.0000000;Pi;636,444,001,200,000,000.00000000;826
05-10-2016 12:02 AM;Rho;6.359843532E+17;743
2011-05-02 00:03:00;Upsilon;6.34399E+017;779
03-29-2018 12:03 AM;Phi;6.365787858E+17;105
08-22-2018 12:02 AM;Theta;6.367049292E+17;36
2018-07-01 00:02:00;Tau;636660001200000000;250
2018-07-20T00:02:00.0000000;Psi;636,676,417,200,000,000.00000000;365
2017-11-29T00:01:00.0000000;Epsilon;636,475,104,600,000,000.00000000;885
2010-09-24 00:02:00;Epsilon;634208833200000000;304
03-13-2017 12:02 AM;Tau;6.362496012E+17;255
2014-11-18 00:01:00;Iota;635518656600000000;223
2016-12-07 00:02:00;Eta;6.36167E+017;12
2015-01-02 00:02:00;Nu;6.35558E+017;22
2017-05-28 00:01:00;Chi;636315264600000000;112
2013-04-02T00:01:00.0000000;Zeta;635,004,576,600,000,000.00000000;248
01-29-2019 12:02 AM;Omega;6.368431692E+17;974
12-29-2010 12:03 AM;Beta;6.342917778E+17;744
2013-07-17 00:01:00;Theta;635096160600000000;680
2015-05-25 00:02:00;Theta;6.35681E+017;137
09-10-2018 12:01 AM;Sigma;6.367213446E+17;166
07-07-2015 12:02 AM;Upsilon;6.357182412E+17;596
2019-10-16T00:03:00.0000000;Omega;637,067,809,800,000,000.00000000;851
2018-11-09 00:02:00;Chi;636773185200000000;233
2010-04-08 00:03:00;Chi;634062817800000000;948
