TM;Category;unknown;Quantity
2014-03-31T00:01:00.0000000;Tau;635,318,208,600,000,000.00000000;982
12-12-2010 12:01 AM;Sigma;6.342770886E+17;516
2018-10-02T00:01:00.0000000;Kappa;636,740,352,600,000,000.00000000;959
2014-08-09 00:01:00;Zeta;6.35431E+017;25
12-13-2011 12:01 AM;Iota;6.345933126E+17;305
2019-08-21 00:01:00;Iota;637019424600000000;634
2015-06-23 00:01:00;Delta;635706144600000000;542
08-22-2012 12:01 AM;Mu;6.348119046E+17;963
05-25-2017 12:01 AM;Tau;6.363126726E+17;722
2011-04-08T00:01:00.0000000;Theta;634,378,176,600,000,000.00000000;496
04-13-2013 12:01 AM;Chi;6.350140806E+17;41
2013-03-02 00:01:00;Delta;6.34978E+017;597
05-08-2010 12:01 AM;Theta;6.340887366E+17;980
05-31-2010 12:01 AM;Omicron;6.341086086E+17;603
06-03-2013 12:01 AM;Kappa;6.350581446E+17;887
2012-02-12 00:01:00;Chi;634646016600000000;182
2010-11-13 00:01:00;Iota;634252032600000000;879
2019-04-16 00:01:00;Iota;636909696600000000;987
2012-05-18 00:01:00;Delta;6.34729E+017;398
2018-12-30T00:02:00.0000000;Upsilon;636,817,249,200,000,000.00000000;507
2015-09-23T00:01:00.0000000;Alpha;635,785,632,600,000,000.00000000;197
2015-04-13T00:01:00.0000000;Lambda;635,644,800,600,000,000.00000000;98
01-19-2010 12:01 AM;Pi;6.339945606E+17;14
05-14-2014 12:02 AM;Zeta;6.353562252E+17;375
2010-09-21T00:01:00.0000000;Upsilon;634,206,240,600,000,000.00000000;536
03-14-2010 12:01 AM;Upsilon;6.340412166E+17;916
05-12-2010 12:01 AM;Tau;6.340921926E+17;40
2019-10-24 00:01:00;Mu;6.37075E+017;466
2011-06-20T00:01:00.0000000;Phi;634,441,248,600,000,000.00000000;950
2015-01-19 00:01:00;Upsilon;6.35572E+017;92
2017-05-13T00:01:00.0000000;Eta;636,302,304,600,000,000.00000000;46
2014-01-05 00:01:00;Mu;6.35245E+017;81
2013-10-19T00:01:00.0000000;Xi;635,177,376,600,000,000.00000000;553
2012-07-01 00:01:00;Theta;634766976600000000;651
07-16-2012 12:02 AM;Delta;6.347799372E+17;332
2011-03-20T00:01:00.0000000;Theta;634,361,760,600,000,000.00000000;702
08-27-2015 12:02 AM;Sigma;6.357623052E+17;335
2013-06-14 00:02:00;Nu;635067649200000000;462
02-22-2017 12:01 AM;Lambda;6.362331846E+17;364
2012-03-24 00:02:00;Iota;6.34681E+017;716
2010-12-02T00:02:00.0000000;Epsilon;634,268,449,200,000,000.00000000;267
2015-11-02 00:01:00;Zeta;635820192600000000;947
2019-01-23 00:01:00;Iota;636837984600000000;518
2018-02-07T00:02:00.0000000;Epsilon;636,535,585,200,000,000.00000000;893
2016-03-27 00:01:00;Omega;635946336600000000;938
2012-10-23 00:02:00;Delta;634865473200000000;283
2011-07-10 00:01:00;Omicron;634458528600000000;170
2012-09-12 00:01:00;Zeta;634830048600000000;514
2012-10-17 00:01:00;Mu;634860288600000000;472
2017-05-16 00:01:00;Pi;636304896600000000;783
2012-03-23 00:03:00;Sigma;6.34681E+017;24
04-29-2013 12:02 AM;Psi;6.350279052E+17;812
07-19-2011 12:01 AM;Psi;6.344663046E+17;171
2013-10-02 00:01:00;Chi;635162688600000000;119
2012-04-22T00:01:00.0000000;Epsilon;634,706,496,600,000,000.00000000;65
2012-03-25 00:01:00;Kappa;6.34682E+017;864
2011-10-25T00:01:00.0000000;Gamma;634,550,976,600,000,000.00000000;397
2018-06-03 00:01:00;Theta;6.36636E+017;701
2012-12-31T00:01:00.0000000;Lambda;634,925,088,600,000,000.00000000;859
12-22-2019 12:01 AM;Gamma;6.371256966E+17;985
2014-05-23T00:01:00.0000000;Psi;635,364,000,600,000,000.00000000;577
07-24-2010 12:01 AM;Kappa;6.341552646E+17;873
03-14-2010 12:01 AM;Phi;6.340412166E+17;20
2011-07-13 00:01:00;Psi;6.34461E+017;936
2016-08-11 00:01:00;Rho;636064704600000000;59
04-12-2018 12:02 AM;Lambda;6.365908812E+17;392
08-27-2015 12:02 AM;Beta;6.357623052E+17;523
2012-03-15 00:01:00;Omega;634673664600000000;217
06-21-2013 12:02 AM;Chi;6.350736972E+17;920
2011-03-24 00:02:00;Mu;634365217200000000;225
11-03-2011 12:01 AM;Upsilon;6.345587526E+17;925
2018-05-10T00:01:00.0000000;Epsilon;636,615,072,600,000,000.00000000;996
2018-04-01 00:02:00;Gamma;636581377200000000;515
2011-10-31 00:01:00;Tau;6.34556E+017;499
2011-07-28 00:02:00;Lambda;634474081200000000;251
2012-11-25T00:01:00.0000000;Xi;634,893,984,600,000,000.00000000;928
2017-09-13 00:01:00;Psi;636408576600000000;349
2011-04-05 00:01:00;Pi;634375584600000000;943
2017-03-27 00:02:00;Theta;6.36262E+017;330
2010-03-09 00:02:00;Psi;634036897200000000;788
2017-10-02 00:02:00;Upsilon;636424993200000000;9
2018-06-14 00:01:00;Gamma;636645312600000000;105
2013-11-09 00:02:00;Beta;6.35196E+017;802
09-17-2014 12:03 AM;Rho;6.354650898E+17;127
2016-01-17 00:01:00;Omicron;6.35886E+017;177
2016-09-03 00:03:00;Sigma;636084577800000000;427
2015-11-01 00:01:00;Zeta;635819328600000000;234
11-16-2013 12:02 AM;Omega;6.352015692E+17;375
2017-08-31T00:01:00.0000000;Omega;636,397,344,600,000,000.00000000;342
11-20-2012 12:01 AM;Mu;6.348896646E+17;947
2015-10-26 00:02:00;Iota;635814145200000000;705
06-20-2015 12:01 AM;Sigma;6.357035526E+17;528
2015-06-11 00:01:00;Beta;635695776600000000;734
2016-10-07T00:01:00.0000000;Theta;636,113,952,600,000,000.00000000;556
2014-07-29 00:03:00;Xi;635421889800000000;707
2015-11-19 00:02:00;Pi;635834881200000000;661
