TM;Category;unknown;Quantity
05-30-2010 12:01 AM;Theta;6.341077446E+17;544
12-30-2010 12:01 AM;Pi;6.342926406E+17;964
2010-06-01 00:01:00;Rho;634109472600000000;753
2014-03-08 00:01:00;Eta;635298336600000000;452
2015-06-07T00:01:00.0000000;Phi;635,692,320,600,000,000.00000000;82
2015-06-07T00:01:00.0000000;Rho;635,692,320,600,000,000.00000000;702
2012-01-21 00:01:00;Epsilon;634627008600000000;263
04-08-2015 12:01 AM;Lambda;6.356404806E+17;633
2017-06-21 00:01:00;Psi;636336000600000000;55
11-25-2010 12:01 AM;Alpha;6.342624006E+17;492
07-13-2019 12:01 AM;Eta;6.369857286E+17;434
2018-06-01 00:02:00;Sigma;636634081200000000;581
2012-09-19 00:01:00;Alpha;634836096600000000;869
2015-12-20 00:01:00;Tau;635861664600000000;330
2013-10-02 00:01:00;Pi;635162688600000000;712
08-18-2012 12:01 AM;Kappa;6.348084486E+17;672
2018-03-21 00:02:00;Beta;636571873200000000;975
2016-10-04 00:01:00;Theta;636111360600000000;11
04-13-2019 12:02 AM;Pi;6.369071052E+17;818
11-21-2018 12:01 AM;Psi;6.367835526E+17;1
2010-11-17 00:02:00;Delta;634255489200000000;90
2017-11-07 00:01:00;Eta;636456096600000000;310
2015-07-30T00:02:00.0000000;Alpha;635,738,113,200,000,000.00000000;629
2019-09-29T00:01:00.0000000;Tau;637,053,120,600,000,000.00000000;284
2013-10-18T00:01:00.0000000;Tau;635,176,512,600,000,000.00000000;388
05-13-2015 12:01 AM;Delta;6.356707206E+17;69
07-20-2011 12:02 AM;Rho;6.344671692E+17;116
03-03-2014 12:01 AM;Kappa;6.352940166E+17;183
12-21-2018 12:02 AM;Psi;6.368094732E+17;627
2012-08-26T00:01:00.0000000;Zeta;634,815,360,600,000,000.00000000;15
09-12-2017 12:01 AM;Mu;6.364077126E+17;361
10-12-2018 12:01 AM;Tau;6.367489926E+17;948
2019-03-31 00:01:00;Kappa;636895872600000000;168
2011-10-08T00:01:00.0000000;Rho;634,536,288,600,000,000.00000000;273
2012-06-17 00:02:00;Xi;634754881200000000;311
