TM;Category;unknown;Quantity
2011-07-10 00:01:00;Nu;634458528600000000;757
06-30-2011 12:01 AM;Kappa;6.344498886E+17;10
2015-04-10 00:01:00;Kappa;635642208600000000;200
2012-07-20 00:01:00;Beta;634783392600000000;107
2018-08-25 00:01:00;Xi;636707520600000000;296
01-03-2010 12:01 AM;Phi;6.339807366E+17;189
2016-07-06 00:01:00;Delta;636033600600000000;121
06-23-2014 12:01 AM;Kappa;6.353907846E+17;494
01-04-2016 12:01 AM;Omega;6.358746246E+17;893
09-27-2017 12:01 AM;Phi;6.364206726E+17;155
2013-07-05 00:01:00;Zeta;635085792600000000;297
06-25-2012 12:01 AM;Mu;6.347617926E+17;490
2010-05-13 00:01:00;Mu;634093056600000000;21
02-27-2015 12:01 AM;Omega;6.356059206E+17;734
11-29-2015 12:01 AM;Iota;6.358435206E+17;67
2014-09-09T00:01:00.0000000;Upsilon;635,458,176,600,000,000.00000000;238
2015-06-27T00:01:00.0000000;Chi;635,709,600,600,000,000.00000000;294
2015-06-05 00:01:00;Lambda;635690592600000000;392
2014-08-01 00:02:00;Tau;635424481200000000;341
2018-01-08 00:01:00;Sigma;636509664600000000;383
02-05-2012 12:01 AM;Omicron;6.346399686E+17;70
2019-08-06T00:01:00.0000000;Phi;637,006,464,600,000,000.00000000;769
2010-10-07 00:01:00;Sigma;634220064600000000;988
2013-11-01 00:02:00;Phi;635188609200000000;566
2016-01-26 00:01:00;Xi;635893632600000000;364
2014-12-09T00:01:00.0000000;Pi;635,536,800,600,000,000.00000000;470
01-28-2019 12:01 AM;Kappa;6.368423046E+17;935
2013-04-16 00:01:00;Rho;635016672600000000;131
2011-04-24 00:02:00;Psi;634392001200000000;638
2018-04-01 00:01:00;Epsilon;636581376600000000;668
04-26-2015 12:01 AM;Phi;6.356560326E+17;171
02-18-2018 12:01 AM;Beta;6.365450886E+17;71
2013-11-02 00:01:00;Delta;635189472600000000;712
2014-05-22T00:02:00.0000000;Eta;635,363,137,200,000,000.00000000;461
2015-10-09 00:01:00;Omega;635799456600000000;854
2012-03-20 00:02:00;Epsilon;634677985200000000;470
2016-02-21 00:01:00;Epsilon;6.35916E+017;775
2019-10-14 00:01:00;Alpha;637066080600000000;872
10-09-2013 12:01 AM;Lambda;6.351687366E+17;442
2010-08-18 00:01:00;Rho;634176864600000000;231
2012-12-14T00:01:00.0000000;Sigma;634,910,400,600,000,000.00000000;91
2013-04-22 00:01:00;Tau;635021856600000000;387
2012-12-31T00:01:00.0000000;Mu;634,925,088,600,000,000.00000000;562
05-04-2017 12:02 AM;Sigma;6.362945292E+17;426
01-09-2019 12:01 AM;Psi;6.368258886E+17;418
03-14-2010 12:02 AM;Xi;6.340412172E+17;547
2017-09-06 00:01:00;Beta;6.36403E+017;999
2011-03-25 00:01:00;Omega;634366080600000000;264
2017-10-10 00:01:00;Tau;636431904600000000;959
2017-04-28 00:02:00;Zeta;636289345200000000;174
12-04-2019 12:01 AM;Nu;6.371101446E+17;987
2011-01-07T00:01:00.0000000;Tau;634,299,552,600,000,000.00000000;146
05-05-2011 12:01 AM;Gamma;6.344015046E+17;39
2010-05-19 00:02:00;Nu;634098241200000000;72
03-30-2017 12:03 AM;Beta;6.362642898E+17;359
01-04-2015 12:01 AM;Tau;6.355592646E+17;65
09-08-2012 12:02 AM;Kappa;6.348265932E+17;130
