TM;Category;unknown;Quantity
11-17-2019 12:01 AM;Rho;6.370954566E+17;863
2015-09-10 00:01:00;Xi;635774400600000000;616
05-03-2012 12:01 AM;Rho;6.347160006E+17;570
01-09-2014 12:01 AM;Pi;6.352482246E+17;203
2011-04-28T00:01:00.0000000;Tau;634,395,456,600,000,000.00000000;533
2018-11-30 00:01:00;Epsilon;636791328600000000;118
2014-08-01 00:01:00;Zeta;635424480600000000;707
2019-08-29 00:01:00;Omicron;637026336600000000;112
05-04-2017 12:01 AM;Psi;6.362945286E+17;321
2013-12-14 00:01:00;Rho;635225760600000000;47
2019-03-15T00:01:00.0000000;Sigma;636,882,048,600,000,000.00000000;973
11-01-2018 12:01 AM;Omega;6.367662726E+17;746
2017-10-20 00:01:00;Theta;636440544600000000;494
2016-04-06 00:01:00;Tau;635954976600000000;866
2015-02-25 00:01:00;Nu;6.35604E+017;113
12-17-2015 12:01 AM;Omicron;6.358590726E+17;860
2019-03-29 00:01:00;Sigma;636894144600000000;519
2012-04-22T00:01:00.0000000;Tau;634,706,496,600,000,000.00000000;350
2016-01-27 00:01:00;Kappa;635894496600000000;790
03-17-2010 12:01 AM;Kappa;6.340438086E+17;42
07-25-2014 12:01 AM;Theta;6.354184326E+17;634
2010-03-12 00:02:00;Rho;6.34039E+017;741
08-21-2017 12:01 AM;Nu;6.363887046E+17;333
2013-08-04 00:01:00;Pi;635111712600000000;929
2019-05-27 00:02:00;Chi;636945121200000000;258
2017-11-10T00:01:00.0000000;Lambda;636,458,688,600,000,000.00000000;428
02-22-2017 12:01 AM;Pi;6.362331846E+17;797
2010-11-16T00:01:00.0000000;Sigma;634,254,624,600,000,000.00000000;153
03-07-2013 12:01 AM;Epsilon;6.349821126E+17;277
2019-04-09 00:01:00;Theta;6.36904E+017;113
2016-04-08 00:01:00;Lambda;635956704600000000;440
2014-12-30 00:01:00;Omicron;635554944600000000;153
2018-05-14 00:01:00;Delta;636618528600000000;428
2014-07-19 00:01:00;Nu;635413248600000000;441
2012-11-08T00:01:00.0000000;Zeta;634,879,296,600,000,000.00000000;477
2010-02-22 00:01:00;Pi;6.34024E+017;109
2013-02-22 00:01:00;Iota;634970880600000000;324
06-11-2016 12:02 AM;Eta;6.360120012E+17;576
2010-03-23T00:02:00.0000000;Theta;634,048,993,200,000,000.00000000;296
2015-03-05 00:01:00;Lambda;635611104600000000;68
03-23-2014 12:01 AM;Xi;6.353112966E+17;212
09-28-2011 12:01 AM;Psi;6.345276486E+17;223
2019-01-05 00:01:00;Iota;636822432600000000;935
06-19-2014 12:02 AM;Tau;6.353873292E+17;116
2015-11-23 00:02:00;Omicron;6.35838E+017;787
09-25-2017 12:01 AM;Rho;6.364189446E+17;504
2018-11-07T00:01:00.0000000;Sigma;636,771,456,600,000,000.00000000;442
2016-08-15T00:01:00.0000000;Psi;636,068,160,600,000,000.00000000;548
05-02-2013 12:01 AM;Upsilon;6.350304966E+17;565
2012-04-28 00:03:00;Omicron;6.34712E+017;484
2018-03-04 00:02:00;Omicron;6.36557E+017;305
2019-07-23 00:01:00;Zeta;636994368600000000;117
2015-01-13T00:01:00.0000000;Omicron;635,567,040,600,000,000.00000000;960
03-02-2014 12:02 AM;Omega;6.352931532E+17;950
07-14-2012 12:02 AM;Upsilon;6.347782092E+17;889
2013-07-06 00:02:00;Beta;6.35087E+017;542
2018-08-08T00:01:00.0000000;Sigma;636,692,832,600,000,000.00000000;147
08-19-2019 12:02 AM;Rho;6.370176972E+17;34
07-05-2010 12:02 AM;Epsilon;6.341388492E+17;331
08-24-2011 12:01 AM;Omicron;6.344974086E+17;801
2011-07-30 00:01:00;Lambda;634475808600000000;610
2012-08-06 00:01:00;Pi;634798080600000000;453
2017-04-09 00:02:00;Nu;636272929200000000;238
2019-07-05 00:02:00;Phi;6.36979E+017;303
2010-06-09 00:01:00;Eta;634116384600000000;459
2019-09-27 00:02:00;Tau;637051393200000000;823
2019-12-11T00:02:00.0000000;Rho;637,116,193,200,000,000.00000000;798
09-09-2016 12:03 AM;Kappa;6.360897618E+17;261
2014-12-07T00:02:00.0000000;Iota;635,535,073,200,000,000.00000000;919
08-22-2018 12:02 AM;Nu;6.367049292E+17;178
2012-11-22 00:01:00;Rho;634891392600000000;14
06-29-2017 12:02 AM;Gamma;6.363429132E+17;279
2013-08-13 00:01:00;Kappa;6.35119E+017;244
