TM;Category;unknown;Quantity
2011-07-08T00:01:00.0000000;Omicron;634,456,800,600,000,000.00000000;976
12-29-2017 12:01 AM;Theta;6.365010246E+17;837
2019-05-29 00:01:00;Zeta;636946848600000000;60
06-30-2016 12:01 AM;Beta;6.360284166E+17;653
2012-12-01 00:01:00;Phi;6.34899E+017;4
09-27-2011 12:01 AM;Eta;6.345267846E+17;352
2011-08-02 00:01:00;Zeta;6.34478E+017;545
2017-01-05 00:01:00;Psi;636191712600000000;527
2016-07-06 00:01:00;Upsilon;636033600600000000;822
2011-09-06 00:01:00;Zeta;6.34509E+017;341
2010-11-29 00:01:00;Gamma;634265856600000000;865
2014-08-26 00:02:00;Sigma;6.35446E+017;894
2011-06-23 00:01:00;Tau;634443840600000000;352
2012-10-03T00:01:00.0000000;Alpha;634,848,192,600,000,000.00000000;863
07-16-2017 12:02 AM;Alpha;6.363576012E+17;80
10-09-2014 12:01 AM;Phi;6.354840966E+17;427
2011-06-02T00:01:00.0000000;Kappa;634,425,696,600,000,000.00000000;208
2014-06-06 00:01:00;Alpha;635376096600000000;947
09-12-2011 12:01 AM;Omega;6.345138246E+17;437
07-23-2016 12:01 AM;Pi;6.360482886E+17;648
2018-11-30 00:01:00;Nu;636791328600000000;202
02-20-2012 12:01 AM;Gamma;6.346529286E+17;637
01-27-2014 12:01 AM;Pi;6.352637766E+17;171
06-28-2011 12:01 AM;Zeta;6.344481606E+17;463
07-13-2012 12:02 AM;Omicron;6.347773452E+17;199
12-03-2019 12:02 AM;Upsilon;6.371092812E+17;271
2015-11-24 00:02:00;Epsilon;6.35839E+017;463
2019-09-09 00:02:00;Lambda;637035841200000000;692
01-30-2013 12:01 AM;Epsilon;6.349510086E+17;785
2018-07-05 00:02:00;Omega;636663457200000000;429
08-18-2019 12:01 AM;Chi;6.370168326E+17;191
09-26-2017 12:02 AM;Pi;6.364198092E+17;555
2016-08-04 00:01:00;Eta;6.36059E+017;612
2013-02-24T00:02:00.0000000;Sigma;634,972,609,200,000,000.00000000;62
2013-09-28 00:01:00;Psi;635159232600000000;102
04-17-2012 12:01 AM;Omicron;6.347021766E+17;832
2018-04-01 00:01:00;Pi;636581376600000000;75
2015-05-17 00:02:00;Alpha;635674177200000000;800
2013-11-04T00:01:00.0000000;Beta;635,191,200,600,000,000.00000000;679
2014-12-14 00:01:00;Xi;6.35541E+017;17
05-25-2016 12:02 AM;Chi;6.359973132E+17;708
2010-01-10T00:01:00.0000000;Beta;633,986,784,600,000,000.00000000;781
2012-02-06 00:01:00;Gamma;634640832600000000;868
01-11-2013 12:02 AM;Alpha;6.349345932E+17;712
2015-02-18T00:01:00.0000000;Beta;635,598,144,600,000,000.00000000;465
2017-06-03 00:01:00;Delta;636320448600000000;7
11-01-2017 12:01 AM;Upsilon;6.364509126E+17;936
2015-12-22 00:01:00;Iota;635863392600000000;663
2018-04-07 00:01:00;Kappa;636586560600000000;546
2011-03-07 00:03:00;Mu;6.34351E+017;459
2012-04-21 00:01:00;Pi;634705632600000000;715
2019-09-12T00:01:00.0000000;Theta;637,038,432,600,000,000.00000000;896
2013-01-22 00:01:00;Tau;634944096600000000;580
2013-10-19 00:02:00;Rho;635177377200000000;979
2010-05-19T00:01:00.0000000;Delta;634,098,240,600,000,000.00000000;619
07-16-2012 12:02 AM;Pi;6.347799372E+17;294
12-23-2018 12:02 AM;Beta;6.368112012E+17;865
02-07-2017 12:01 AM;Rho;6.362202246E+17;39
06-05-2019 12:01 AM;Beta;6.369528966E+17;27
2017-04-14 00:01:00;Chi;6.36277E+017;38
10-26-2014 12:01 AM;Psi;6.354987846E+17;105
12-24-2012 12:01 AM;Eta;6.349190406E+17;875
2013-03-04 00:01:00;Phi;6.34980E+017;522
2012-04-01 00:02:00;Xi;634688353200000000;442
2013-10-03 00:02:00;Delta;635163553200000000;799
2017-10-28 00:01:00;Epsilon;636447456600000000;702
04-08-2015 12:01 AM;Delta;6.356404806E+17;437
02-27-2010 12:01 AM;Delta;6.340282566E+17;922
2012-07-18 00:01:00;Pi;634781664600000000;104
06-08-2019 12:01 AM;Rho;6.369554886E+17;995
05-19-2019 12:01 AM;Epsilon;6.369382086E+17;527
02-24-2011 12:04 AM;Eta;6.343410264E+17;739
2013-02-25T00:02:00.0000000;Eta;634,973,473,200,000,000.00000000;660
05-28-2010 12:03 AM;Rho;6.341060178E+17;807
05-12-2015 12:01 AM;Zeta;6.356698566E+17;927
2016-02-04 00:01:00;Xi;6.35901E+017;835
2014-09-26T00:01:00.0000000;Phi;635,472,864,600,000,000.00000000;385
2012-01-11 00:01:00;Zeta;6.34618E+017;694
2011-07-23 00:02:00;Lambda;634469761200000000;964
09-02-2019 12:02 AM;Epsilon;6.370297932E+17;671
09-27-2017 12:01 AM;Xi;6.364206726E+17;534
2014-11-24 00:01:00;Mu;635523840600000000;658
2011-02-02 00:01:00;Beta;6.34322E+017;603
05-28-2016 12:01 AM;Phi;6.359999046E+17;382
2011-10-09 00:02:00;Mu;634537153200000000;512
02-25-2016 12:02 AM;Eta;6.359195532E+17;781
2016-09-01T00:02:00.0000000;Zeta;636,082,849,200,000,000.00000000;551
2014-01-17T00:01:00.0000000;Omega;635,255,136,600,000,000.00000000;396
2016-08-14T00:01:00.0000000;Zeta;636,067,296,600,000,000.00000000;512
2019-03-16T00:01:00.0000000;Chi;636,882,912,600,000,000.00000000;422
2014-08-03T00:01:00.0000000;Mu;635,426,208,600,000,000.00000000;787
2011-09-05 00:01:00;Kappa;6.34508E+017;565
03-26-2018 12:02 AM;Rho;6.365761932E+17;712
2011-10-25T00:02:00.0000000;Beta;634,550,977,200,000,000.00000000;567
2016-10-05 00:01:00;Alpha;636112224600000000;722
2011-04-22 00:03:00;Tau;634390273800000000;443
10-04-2015 12:02 AM;Sigma;6.357951372E+17;334
2012-03-21 00:02:00;Delta;634678849200000000;922
2018-06-21 00:02:00;Alpha;6.36651E+017;578
2017-11-10T00:01:00.0000000;Eta;636,458,688,600,000,000.00000000;795
2019-08-29 00:03:00;Kappa;6.37026E+017;142
2015-12-27 00:01:00;Kappa;635867712600000000;405
2012-07-26 00:02:00;Chi;6.34789E+017;616
2010-12-16 00:02:00;Chi;634280545200000000;601
2016-12-26 00:02:00;Nu;6.36183E+017;642
2011-06-18T00:02:00.0000000;Nu;634,439,521,200,000,000.00000000;68
2018-01-25 00:02:00;Gamma;636524353200000000;386
2012-04-29 00:02:00;Rho;6.34713E+017;768
04-18-2010 12:02 AM;Delta;6.340714572E+17;675
2014-11-21 00:02:00;Psi;635521249200000000;396
2013-07-16 00:01:00;Zeta;635095296600000000;913
03-18-2010 12:01 AM;Chi;6.340446726E+17;166
2011-04-29 00:02:00;Nu;634396321200000000;564
03-06-2014 12:01 AM;Pi;6.352966086E+17;653
2010-09-02T00:01:00.0000000;Sigma;634,189,824,600,000,000.00000000;666
05-01-2018 12:01 AM;Mu;6.366072966E+17;791
2013-09-17 00:03:00;Phi;6.35150E+017;398
2016-04-06 00:02:00;Upsilon;635954977200000000;863
01-03-2016 12:02 AM;Upsilon;6.358737612E+17;767
02-18-2013 12:03 AM;Kappa;6.349674258E+17;111
2018-04-26 00:03:00;Zeta;6.36603E+017;560
2018-10-14 00:04:00;Eta;636750722400000000;633
