TM;Category;unknown;Quantity
2016-09-25 00:01:00;Psi;6.36104E+017;498
2016-08-11 00:01:00;Sigma;636064704600000000;333
2017-10-28 00:01:00;Gamma;636447456600000000;171
2013-01-15 00:01:00;Gamma;634938048600000000;632
2018-05-09 00:01:00;Theta;636614208600000000;542
2015-05-09 00:01:00;Pi;6.35667E+017;264
03-27-2012 12:01 AM;Delta;6.346840326E+17;913
12-19-2014 12:02 AM;Lambda;6.355454412E+17;230
11-18-2019 12:01 AM;Alpha;6.370963206E+17;462
2018-12-10 00:01:00;Tau;636799968600000000;40
2016-02-03 00:01:00;Sigma;6.35901E+017;487
2018-06-18 00:01:00;Chi;636648768600000000;259
2015-06-23 00:01:00;Upsilon;635706144600000000;82
2018-03-06 00:01:00;Omega;6.36559E+017;296
11-15-2018 12:02 AM;Upsilon;6.367783692E+17;874
2017-06-16 00:01:00;Delta;636331680600000000;224
2019-07-02T00:01:00.0000000;Sigma;636,976,224,600,000,000.00000000;166
2013-05-10 00:02:00;Phi;635037409200000000;976
2017-08-26 00:01:00;Alpha;636393024600000000;797
2013-04-07 00:01:00;Kappa;6.35009E+017;640
2019-05-03 00:02:00;Epsilon;636924385200000000;649
2010-11-30 00:01:00;Xi;634266720600000000;897
01-04-2010 12:01 AM;Lambda;6.339816006E+17;368
09-07-2012 12:01 AM;Gamma;6.348257286E+17;337
11-09-2015 12:01 AM;Mu;6.358262406E+17;455
2013-03-15T00:01:00.0000000;Lambda;634,989,024,600,000,000.00000000;104
2017-05-01 00:01:00;Theta;6.36292E+017;671
2013-12-18 00:01:00;Gamma;6.35229E+017;159
10-16-2012 12:01 AM;Gamma;6.348594246E+17;949
06-21-2013 12:01 AM;Omega;6.350736966E+17;746
04-21-2010 12:02 AM;Chi;6.340740492E+17;497
03-06-2019 12:01 AM;Epsilon;6.368742726E+17;858
2011-03-21T00:01:00.0000000;Delta;634,362,624,600,000,000.00000000;350
07-21-2010 12:01 AM;Iota;6.341526726E+17;229
2018-04-06T00:01:00.0000000;Kappa;636,585,696,600,000,000.00000000;311
2014-10-12 00:01:00;Xi;635486688600000000;522
2018-01-23 00:02:00;Delta;636522625200000000;672
2014-05-20 00:01:00;Alpha;635361408600000000;596
2016-05-18T00:01:00.0000000;Gamma;635,991,264,600,000,000.00000000;787
2019-10-14 00:02:00;Eta;637066081200000000;19
03-05-2013 12:02 AM;Delta;6.349803852E+17;456
06-07-2013 12:01 AM;Iota;6.350616006E+17;791
2013-04-20T00:02:00.0000000;Eta;635,020,129,200,000,000.00000000;470
2013-09-12T00:01:00.0000000;Upsilon;635,145,408,600,000,000.00000000;501
12-25-2012 12:02 AM;Tau;6.349199052E+17;764
03-11-2012 12:01 AM;Psi;6.346702086E+17;533
2018-08-05 00:01:00;Eta;636690240600000000;313
2015-10-11T00:01:00.0000000;Zeta;635,801,184,600,000,000.00000000;457
04-02-2010 12:01 AM;Pi;6.340576326E+17;67
12-12-2016 12:01 AM;Sigma;6.361709766E+17;9
08-09-2010 12:01 AM;Sigma;6.341690886E+17;386
04-09-2019 12:02 AM;Iota;6.369036492E+17;276
2018-09-14T00:02:00.0000000;Gamma;636,724,801,200,000,000.00000000;944
2018-06-03 00:01:00;Eta;6.36636E+017;808
2015-02-25 00:01:00;Beta;6.35604E+017;823
2018-11-15 00:01:00;Phi;6.36778E+017;316
2010-02-18 00:01:00;Sigma;634020480600000000;920
06-19-2014 12:01 AM;Xi;6.353873286E+17;263
2011-12-21 00:01:00;Xi;634600224600000000;979
2012-09-28 00:02:00;Iota;634843873200000000;44
2017-07-13 00:02:00;Phi;6.36355E+017;595
2019-07-20T00:02:00.0000000;Omicron;636,991,777,200,000,000.00000000;809
2015-05-02T00:01:00.0000000;Kappa;635,661,216,600,000,000.00000000;471
10-01-2011 12:02 AM;Omega;6.345302412E+17;4
2016-03-24T00:01:00.0000000;Tau;635,943,744,600,000,000.00000000;979
2016-02-15T00:02:00.0000000;Omega;635,910,913,200,000,000.00000000;945
2018-07-24 00:01:00;Nu;636679872600000000;279
2017-08-08 00:03:00;Phi;636377473800000000;976
2012-09-15T00:02:00.0000000;Psi;634,832,641,200,000,000.00000000;192
02-28-2010 12:01 AM;Psi;6.340291206E+17;707
2015-03-10T00:01:00.0000000;Mu;635,615,424,600,000,000.00000000;307
04-03-2010 12:01 AM;Upsilon;6.340584966E+17;778
03-26-2018 12:01 AM;Mu;6.365761926E+17;419
2018-09-02 00:02:00;Kappa;6.36714E+017;400
2018-01-18 00:02:00;Rho;636518305200000000;59
05-23-2018 12:01 AM;Epsilon;6.366263046E+17;111
10-06-2015 12:01 AM;Pi;6.357968646E+17;649
2013-06-20 00:01:00;Gamma;6.35073E+017;618
2016-04-27T00:01:00.0000000;Rho;635,973,120,600,000,000.00000000;141
2017-05-20 00:01:00;Kappa;6.36308E+017;719
2018-08-25 00:01:00;Mu;636707520600000000;720
2011-05-29 00:03:00;Iota;634422241800000000;546
10-18-2017 12:01 AM;Phi;6.364388166E+17;499
