TM;Category;unknown;Quantity
2019-11-29 00:01:00;Zeta;6.37106E+017;40
09-22-2013 12:01 AM;Mu;6.351540486E+17;689
2010-12-28 00:01:00;Chi;6.34291E+017;249
05-05-2012 12:01 AM;Psi;6.347177286E+17;694
2019-07-21 00:01:00;Theta;636992640600000000;874
2012-06-15T00:01:00.0000000;Iota;634,753,152,600,000,000.00000000;699
04-22-2016 12:01 AM;Gamma;6.359688006E+17;387
2017-02-17 00:01:00;Gamma;6.36229E+017;354
02-07-2010 12:01 AM;Beta;6.340109766E+17;938
12-21-2014 12:02 AM;Pi;6.355471692E+17;972
06-20-2015 12:01 AM;Delta;6.357035526E+17;179
2015-09-02 00:01:00;Rho;635767488600000000;560
08-27-2016 12:01 AM;Tau;6.360785286E+17;126
2013-02-27 00:02:00;Theta;634975201200000000;790
2011-04-05 00:01:00;Iota;634375584600000000;126
2015-06-04 00:01:00;Beta;635689728600000000;82
2019-09-30T00:01:00.0000000;Pi;637,053,984,600,000,000.00000000;205
2015-02-23 00:01:00;Tau;635602464600000000;104
2017-06-21 00:01:00;Pi;636336000600000000;957
2018-08-14 00:02:00;Zeta;6.36698E+017;21
01-11-2019 12:01 AM;Pi;6.368276166E+17;983
2011-11-30T00:01:00.0000000;Lambda;634,582,080,600,000,000.00000000;796
2012-07-23T00:01:00.0000000;Xi;634,785,984,600,000,000.00000000;283
10-14-2012 12:02 AM;Theta;6.348576972E+17;640
2018-12-11 00:01:00;Gamma;636800832600000000;844
2015-08-01T00:02:00.0000000;Chi;635,739,841,200,000,000.00000000;834
09-11-2011 12:01 AM;Phi;6.345129606E+17;193
2016-04-14 00:01:00;Xi;635961888600000000;191
2017-04-30 00:01:00;Nu;636291072600000000;208
2019-02-12 00:01:00;Nu;6.36855E+017;360
2018-11-27T00:01:00.0000000;Theta;636,788,736,600,000,000.00000000;760
10-01-2017 12:01 AM;Beta;6.364241286E+17;917
2017-12-18T00:01:00.0000000;Iota;636,491,520,600,000,000.00000000;805
02-25-2016 12:01 AM;Phi;6.359195526E+17;700
09-12-2010 12:01 AM;Eta;6.341984646E+17;190
2010-12-08 00:01:00;Omicron;6.34274E+017;871
03-14-2010 12:01 AM;Eta;6.340412166E+17;452
2013-12-25 00:02:00;Eta;635235265200000000;758
2015-05-24 00:01:00;Beta;635680224600000000;645
2019-11-09 00:02:00;Iota;6.37089E+017;948
03-31-2016 12:01 AM;Delta;6.359497926E+17;488
09-11-2016 12:01 AM;Mu;6.360914886E+17;102
2011-02-18 00:01:00;Upsilon;6.34336E+017;163
2011-12-19 00:02:00;Mu;634598497200000000;835
12-21-2014 12:01 AM;Chi;6.355471686E+17;139
12-19-2013 12:02 AM;Pi;6.352300812E+17;346
2017-07-08T00:01:00.0000000;Xi;636,350,688,600,000,000.00000000;644
2011-06-18T00:02:00.0000000;Theta;634,439,521,200,000,000.00000000;293
03-08-2019 12:01 AM;Xi;6.368760006E+17;245
2012-12-16 00:02:00;Xi;634912129200000000;883
08-18-2012 12:01 AM;Nu;6.348084486E+17;891
2019-03-19 00:02:00;Tau;6.36886E+017;215
2019-10-21 00:01:00;Tau;637072128600000000;529
