TM;Category;unknown;Quantity
05-23-2011 12:01 AM;Beta;6.344170566E+17;473
2010-01-15 00:01:00;Eta;633991104600000000;380
04-28-2014 12:01 AM;Eta;6.353424006E+17;438
2012-07-06 00:01:00;Pi;634771296600000000;890
2014-11-18 00:01:00;Alpha;635518656600000000;970
2019-05-13 00:01:00;Rho;6.36933E+017;361
08-27-2010 12:01 AM;Theta;6.341846406E+17;364
2013-04-18 00:01:00;Pi;635018400600000000;266
2016-04-26 00:01:00;Gamma;635972256600000000;942
2019-09-28 00:01:00;Eta;637052256600000000;331
2017-03-18 00:01:00;Lambda;636253920600000000;586
2010-09-04T00:01:00.0000000;Beta;634,191,552,600,000,000.00000000;550
2015-10-08 00:01:00;Phi;635798592600000000;306
03-29-2012 12:01 AM;Beta;6.346857606E+17;105
2018-10-17 00:02:00;Eta;636753313200000000;120
2012-10-09 00:01:00;Rho;6.34853E+017;783
2014-08-21T00:01:00.0000000;Sigma;635,441,760,600,000,000.00000000;296
2018-04-12 00:01:00;Mu;6.36591E+017;936
2015-01-31T00:01:00.0000000;Gamma;635,582,592,600,000,000.00000000;940
2011-01-15 00:01:00;Sigma;6.34306E+017;911
2010-03-08 00:01:00;Rho;634036032600000000;8
08-03-2018 12:01 AM;Sigma;6.366885126E+17;503
2014-10-19 00:01:00;Chi;635492736600000000;117
2013-08-23 00:01:00;Mu;635128128600000000;889
01-30-2019 12:01 AM;Psi;6.368440326E+17;885
2010-01-15 00:01:00;Upsilon;633991104600000000;421
2013-07-25 00:02:00;Rho;6.35103E+017;608
2013-12-18 00:01:00;Sigma;6.35229E+017;564
05-16-2019 12:02 AM;Gamma;6.369356172E+17;133
2015-10-17 00:01:00;Nu;6.35806E+017;738
10-05-2014 12:01 AM;Upsilon;6.354806406E+17;629
2011-08-31T00:01:00.0000000;Sigma;634,503,456,600,000,000.00000000;333
2013-07-21 00:01:00;Delta;635099616600000000;980
02-27-2016 12:01 AM;Pi;6.359212806E+17;524
2011-06-05 00:02:00;Xi;634428289200000000;321
2017-10-07T00:01:00.0000000;Delta;636,429,312,600,000,000.00000000;306
02-23-2011 12:01 AM;Gamma;6.343401606E+17;807
2014-05-03 00:01:00;Zeta;635346720600000000;325
2016-01-28T00:01:00.0000000;Psi;635,895,360,600,000,000.00000000;790
2011-09-04 00:01:00;Theta;634506912600000000;405
2015-02-15 00:02:00;Iota;635595553200000000;692
2016-03-04T00:01:00.0000000;Epsilon;635,926,464,600,000,000.00000000;969
12-20-2019 12:02 AM;Nu;6.371239692E+17;313
02-16-2019 12:01 AM;Mu;6.368587206E+17;442
2017-04-06T00:01:00.0000000;Delta;636,270,336,600,000,000.00000000;18
06-10-2012 12:02 AM;Epsilon;6.347488332E+17;208
08-21-2017 12:01 AM;Rho;6.363887046E+17;47
2016-05-15 00:01:00;Phi;635988672600000000;166
2018-05-18 00:01:00;Beta;6.36622E+017;44
06-12-2016 12:02 AM;Tau;6.360128652E+17;979
2011-08-31T00:01:00.0000000;Tau;634,503,456,600,000,000.00000000;535
2012-03-18T00:01:00.0000000;Iota;634,676,256,600,000,000.00000000;276
