TM;Category;unknown;Quantity
03-10-2012 12:01 AM;Lambda;6.346693446E+17;724
2016-08-12 00:01:00;Epsilon;636065568600000000;807
08-25-2017 12:01 AM;Rho;6.363921606E+17;403
07-22-2016 12:01 AM;Kappa;6.360474246E+17;981
2013-11-25 00:01:00;Xi;635209344600000000;102
2016-02-13 00:01:00;Alpha;635909184600000000;678
01-21-2010 12:01 AM;Iota;6.339962886E+17;900
2011-11-10 00:01:00;Zeta;634564800600000000;512
2011-07-23 00:01:00;Phi;634469760600000000;41
2012-05-07 00:01:00;Psi;634719456600000000;74
2014-08-29 00:01:00;Mu;6.35449E+017;305
2014-08-09 00:01:00;Psi;6.35431E+017;406
2010-07-06 00:02:00;Psi;634139713200000000;429
2012-02-29 00:03:00;Upsilon;634660705800000000;768
2010-06-25 00:01:00;Psi;634130208600000000;835
2012-02-29T00:02:00.0000000;Iota;634,660,705,200,000,000.00000000;77
02-15-2019 12:02 AM;Omicron;6.368578572E+17;812
2015-10-08 00:01:00;Sigma;635798592600000000;493
2013-03-11 00:01:00;Delta;634985568600000000;369
02-13-2014 12:01 AM;Alpha;6.352784646E+17;875
2016-10-05 00:01:00;Upsilon;636112224600000000;587
2011-10-26 00:02:00;Lambda;634551841200000000;201
2017-02-15 00:01:00;Tau;636227136600000000;501
06-15-2016 12:01 AM;Xi;6.360154566E+17;905
2012-07-18 00:02:00;Mu;634781665200000000;919
2017-04-04 00:02:00;Kappa;636268609200000000;598
03-27-2019 12:02 AM;Lambda;6.368924172E+17;319
2015-06-03 00:02:00;Xi;635688865200000000;761
07-15-2017 12:01 AM;Sigma;6.363567366E+17;765
12-27-2012 12:01 AM;Omega;6.349216326E+17;707
2010-12-18 00:02:00;Nu;634282273200000000;13
2014-01-05 00:01:00;Epsilon;6.35245E+017;177
2011-03-26 00:01:00;Omicron;6.34367E+017;934
04-20-2016 12:02 AM;Pi;6.359670732E+17;947
2010-06-04T00:01:00.0000000;Eta;634,112,064,600,000,000.00000000;74
05-29-2015 12:02 AM;Epsilon;6.356845452E+17;33
2016-06-21T00:01:00.0000000;Omega;636,020,640,600,000,000.00000000;32
2019-12-29T00:01:00.0000000;Psi;637,131,744,600,000,000.00000000;240
2013-12-15 00:02:00;Delta;6.35227E+017;563
2014-03-15 00:01:00;Upsilon;635304384600000000;593
02-01-2018 12:02 AM;Chi;6.365304012E+17;910
04-25-2014 12:01 AM;Psi;6.353398086E+17;485
2018-11-06 00:01:00;Iota;636770592600000000;140
04-02-2016 12:01 AM;Sigma;6.359515206E+17;870
07-09-2014 12:01 AM;Mu;6.354046086E+17;934
2018-07-21T00:01:00.0000000;Theta;636,677,280,600,000,000.00000000;533
2016-07-25 00:01:00;Sigma;636050016600000000;367
2010-06-06 00:02:00;Upsilon;634113793200000000;561
2015-06-07T00:01:00.0000000;Theta;635,692,320,600,000,000.00000000;194
2013-04-26 00:02:00;Beta;6.35025E+017;681
11-03-2017 12:02 AM;Lambda;6.364526412E+17;697
2017-04-29 00:01:00;Phi;636290208600000000;310
2015-01-17 00:01:00;Iota;635570496600000000;100
2012-07-26 00:01:00;Chi;634788576600000000;336
2012-02-10T00:01:00.0000000;Psi;634,644,288,600,000,000.00000000;226
2018-06-15T00:03:00.0000000;Nu;636,646,177,800,000,000.00000000;217
