TM;Category;unknown;Quantity
2011-09-16 00:01:00;Upsilon;634517280600000000;672
2013-10-23 00:01:00;Pi;6.35181E+017;207
2013-03-16T00:01:00.0000000;Zeta;634,989,888,600,000,000.00000000;692
08-16-2013 12:01 AM;Omicron;6.351220806E+17;826
2010-12-08 00:01:00;Eta;6.34274E+017;715
2014-02-04T00:01:00.0000000;Iota;635,270,688,600,000,000.00000000;433
2016-10-05 00:01:00;Iota;636112224600000000;602
2012-10-25 00:01:00;Pi;634867200600000000;290
2013-03-19 00:01:00;Beta;634992480600000000;697
09-21-2014 12:01 AM;Pi;6.354685446E+17;433
2018-10-24 00:01:00;Delta;636759360600000000;5
11-23-2011 12:01 AM;Mu;6.345760326E+17;798
2018-01-28 00:01:00;Mu;6.36527E+017;445
2018-05-16 00:01:00;Mu;6.36620E+017;384
2018-05-29T00:01:00.0000000;Zeta;636,631,488,600,000,000.00000000;987
03-31-2017 12:01 AM;Sigma;6.362651526E+17;836
09-16-2010 12:01 AM;Tau;6.342019206E+17;944
2012-02-07 00:01:00;Mu;634641696600000000;525
2010-12-19 00:01:00;Sigma;634283136600000000;320
2011-04-04 00:01:00;Phi;634374720600000000;798
2014-06-25 00:01:00;Phi;635392512600000000;757
2011-01-22 00:01:00;Mu;634312512600000000;334
2019-11-09 00:01:00;Psi;637088544600000000;527
08-19-2019 12:01 AM;Gamma;6.370176966E+17;947
12-22-2012 12:01 AM;Alpha;6.349173126E+17;734
12-11-2011 12:02 AM;Xi;6.345915852E+17;970
2015-01-02 00:01:00;Omega;6.35558E+017;824
11-20-2017 12:01 AM;Alpha;6.364673286E+17;401
2014-11-23 00:01:00;Omicron;635522976600000000;944
03-13-2016 12:02 AM;Pi;6.359342412E+17;587
03-10-2017 12:01 AM;Mu;6.362470086E+17;155
2012-10-21T00:01:00.0000000;Chi;634,863,744,600,000,000.00000000;453
03-12-2017 12:01 AM;Rho;6.362487366E+17;223
2014-06-30 00:01:00;Phi;635396832600000000;389
2012-07-27 00:01:00;Sigma;6.34789E+017;280
05-31-2015 12:03 AM;Pi;6.356862738E+17;697
2019-03-13 00:01:00;Zeta;636880320600000000;13
07-26-2014 12:01 AM;Rho;6.354192966E+17;370
08-10-2010 12:02 AM;Alpha;6.341699532E+17;827
2018-12-14T00:01:00.0000000;Nu;636,803,424,600,000,000.00000000;796
05-22-2018 12:01 AM;Gamma;6.366254406E+17;558
2017-09-20 00:01:00;Pi;636414624600000000;663
03-21-2015 12:01 AM;Tau;6.356249286E+17;114
2019-01-21 00:01:00;Omicron;636836256600000000;213
2013-03-20 00:01:00;Chi;6.34993E+017;208
2012-01-11 00:01:00;Lambda;6.34618E+017;956
09-24-2013 12:02 AM;Iota;6.351557772E+17;394
2017-02-14 00:01:00;Delta;636226272600000000;508
2019-08-08T00:01:00.0000000;Delta;637,008,192,600,000,000.00000000;847
2016-02-21 00:01:00;Theta;6.35916E+017;714
2015-02-05 00:01:00;Gamma;635586912600000000;309
2018-08-26T00:02:00.0000000;Lambda;636,708,385,200,000,000.00000000;98
2010-05-23 00:01:00;Kappa;6.34102E+017;737
2015-10-25 00:03:00;Nu;635813281800000000;597
07-19-2017 12:01 AM;Alpha;6.363601926E+17;271
10-29-2019 12:01 AM;Tau;6.370790406E+17;551
2018-01-29 00:01:00;Chi;6.36528E+017;418
11-21-2012 12:01 AM;Psi;6.348905286E+17;435
2012-03-23 00:01:00;Xi;6.34681E+017;832
2010-06-21 00:01:00;Kappa;634126752600000000;845
2014-11-18 00:01:00;Chi;635518656600000000;716
2019-10-02 00:01:00;Upsilon;637055712600000000;818
2016-08-31T00:02:00.0000000;Epsilon;636,081,985,200,000,000.00000000;226
03-31-2016 12:01 AM;Gamma;6.359497926E+17;445
2019-10-05 00:03:00;Beta;6.37058E+017;124
2018-09-12 00:01:00;Rho;636723072600000000;60
07-20-2011 12:02 AM;Beta;6.344671692E+17;194
2016-07-11T00:01:00.0000000;Mu;636,037,920,600,000,000.00000000;241
2019-04-07 00:01:00;Chi;6.36902E+017;528
2016-06-28 00:01:00;Tau;6.36027E+017;341
2012-02-29T00:01:00.0000000;Pi;634,660,704,600,000,000.00000000;690
07-18-2010 12:02 AM;Delta;6.341500812E+17;136
2013-11-19 00:01:00;Alpha;635204160600000000;683
2013-01-25 00:01:00;Xi;6.34947E+017;735
2014-09-30 00:02:00;Beta;635476321200000000;847
2019-04-23 00:01:00;Phi;636915744600000000;212
2018-12-01 00:02:00;Mu;6.36792E+017;60
2019-08-20 00:02:00;Alpha;637018561200000000;913
2015-01-17 00:01:00;Zeta;635570496600000000;567
2011-01-14 00:02:00;Beta;6.34306E+017;316
2018-07-06 00:02:00;Mu;636664321200000000;533
2016-03-18 00:02:00;Sigma;635938561200000000;598
09-12-2017 12:02 AM;Gamma;6.364077132E+17;28
02-02-2011 12:02 AM;Epsilon;6.343220172E+17;127
2019-06-09 00:01:00;Lambda;636956352600000000;959
2016-12-23 00:02:00;Beta;636180481200000000;754
2013-12-12 00:02:00;Epsilon;635224033200000000;793
2010-02-14T00:02:00.0000000;Phi;634,017,025,200,000,000.00000000;568
04-12-2012 12:02 AM;Sigma;6.346978572E+17;951
2019-03-29 00:03:00;Lambda;636894145800000000;962
03-11-2017 12:02 AM;Tau;6.362478732E+17;2
2011-07-24 00:01:00;Beta;634470624600000000;680
2013-06-01 00:01:00;Beta;6.35056E+017;974
08-27-2016 12:01 AM;Lambda;6.360785286E+17;276
2013-12-10T00:01:00.0000000;Lambda;635,222,304,600,000,000.00000000;451
2010-08-16T00:01:00.0000000;Theta;634,175,136,600,000,000.00000000;849
04-23-2010 12:01 AM;Gamma;6.340757766E+17;203
11-19-2017 12:01 AM;Alpha;6.364664646E+17;792
2014-05-08 00:03:00;Gamma;6.35351E+017;886
02-14-2019 12:01 AM;Pi;6.368569926E+17;578
11-13-2013 12:01 AM;Theta;6.351989766E+17;235
07-31-2019 12:02 AM;Chi;6.370012812E+17;898
2018-07-28 00:01:00;Delta;6.36683E+017;604
11-30-2014 12:02 AM;Phi;6.355290252E+17;244
09-05-2012 12:02 AM;Gamma;6.348240012E+17;495
2012-08-25 00:01:00;Tau;634814496600000000;911
2010-12-10 00:01:00;Eta;6.34275E+017;811
2012-11-07T00:01:00.0000000;Chi;634,878,432,600,000,000.00000000;609
12-18-2013 12:03 AM;Rho;6.352292178E+17;676
2011-07-12 00:02:00;Tau;6.34460E+017;702
2010-06-09 00:02:00;Eta;6.34116E+017;406
2016-11-16 00:01:00;Pi;636148512600000000;748
2011-06-19T00:02:00.0000000;Pi;634,440,385,200,000,000.00000000;219
04-01-2017 12:02 AM;Sigma;6.362660172E+17;790
2011-09-04 00:02:00;Alpha;6.34507E+017;196
2011-06-25 00:02:00;Gamma;6.34446E+017;291
2018-01-18 00:01:00;Mu;636518304600000000;956
08-29-2010 12:01 AM;Omega;6.341863686E+17;9
2015-12-20 00:01:00;Alpha;635861664600000000;411
2012-01-08 00:01:00;Iota;634615776600000000;317
2019-08-26T00:01:00.0000000;Gamma;637,023,744,600,000,000.00000000;299
02-22-2011 12:01 AM;Chi;6.343392966E+17;172
12-20-2014 12:01 AM;Epsilon;6.355463046E+17;530
2011-01-14 00:02:00;Eta;6.34306E+017;333
2014-02-02T00:02:00.0000000;Iota;635,268,961,200,000,000.00000000;27
10-01-2016 12:02 AM;Zeta;6.361087692E+17;599
07-05-2015 12:01 AM;Lambda;6.357165126E+17;730
02-04-2018 12:01 AM;Eta;6.365329926E+17;565
12-20-2019 12:02 AM;Omicron;6.371239692E+17;391
05-09-2017 12:01 AM;Iota;6.362988486E+17;807
2014-12-25T00:02:00.0000000;Pi;635,550,625,200,000,000.00000000;810
12-23-2019 12:01 AM;Phi;6.371265606E+17;362
02-27-2010 12:02 AM;Sigma;6.340282572E+17;415
01-14-2017 12:02 AM;Pi;6.361994892E+17;9
2012-01-04T00:03:00.0000000;Omega;634,612,321,800,000,000.00000000;893
2015-06-30 00:03:00;Delta;6.35712E+017;566
2016-11-27 00:02:00;Tau;636158017200000000;703
03-07-2019 12:02 AM;Iota;6.368751372E+17;463
2013-08-23T00:03:00.0000000;Phi;635,128,129,800,000,000.00000000;725
2019-05-22 00:02:00;Iota;636940801200000000;991
2015-07-28 00:02:00;Zeta;635736385200000000;853
2016-01-24 00:02:00;Pi;635891905200000000;713
2012-06-18 00:02:00;Iota;634755745200000000;513
03-19-2010 12:01 AM;Epsilon;6.340455366E+17;838
02-24-2016 12:02 AM;Mu;6.359186892E+17;479
05-11-2015 12:02 AM;Lambda;6.356689932E+17;331
2017-11-11T00:01:00.0000000;Omega;636,459,552,600,000,000.00000000;577
2018-09-12 00:02:00;Chi;636723073200000000;732
2017-02-17 00:02:00;Theta;6.36229E+017;91
2015-08-15 00:01:00;Phi;635751936600000000;131
06-29-2016 12:02 AM;Omicron;6.360275532E+17;706
2010-12-20T00:03:00.0000000;Mu;634,284,001,800,000,000.00000000;986
07-29-2019 12:02 AM;Rho;6.369995532E+17;684
2015-02-22 00:02:00;Beta;635601601200000000;37
11-28-2014 12:01 AM;Gamma;6.355272966E+17;570
03-07-2012 12:01 AM;Eta;6.346667526E+17;459
07-11-2012 12:03 AM;Epsilon;6.347756178E+17;278
06-17-2010 12:02 AM;Upsilon;6.341232972E+17;593
11-25-2010 12:01 AM;Kappa;6.342624006E+17;715
05-30-2016 12:01 AM;Zeta;6.360016326E+17;232
2017-02-27 00:01:00;Kappa;636237504600000000;417
12-30-2011 12:02 AM;Upsilon;6.346080012E+17;829
2011-01-05 00:02:00;Mu;634297825200000000;874
2018-11-25T00:02:00.0000000;Upsilon;636,787,009,200,000,000.00000000;994
10-13-2012 12:02 AM;Alpha;6.348568332E+17;306
10-27-2012 12:03 AM;Pi;6.348689298E+17;851
2016-01-29T00:01:00.0000000;Sigma;635,896,224,600,000,000.00000000;186
09-09-2011 12:02 AM;Iota;6.345112332E+17;582
2018-10-17 00:02:00;Lambda;636753313200000000;834
2014-01-22 00:01:00;Beta;6.35259E+017;816
12-11-2016 12:03 AM;Tau;6.361701138E+17;300
2011-10-04 00:02:00;Delta;634532833200000000;975
2019-01-23 00:02:00;Phi;636837985200000000;976
2010-10-10T00:02:00.0000000;Kappa;634,222,657,200,000,000.00000000;604
2015-06-11 00:02:00;Delta;635695777200000000;327
2013-02-02 00:04:00;Lambda;634953602400000000;851
2011-04-24T00:04:00.0000000;Lambda;634,392,002,400,000,000.00000000;133
2011-01-07T00:01:00.0000000;Alpha;634,299,552,600,000,000.00000000;160
10-07-2014 12:04 AM;Beta;6.354823704E+17;583
2017-04-27 00:04:00;Zeta;636288482400000000;234
02-19-2019 12:01 AM;Omega;6.368613126E+17;875
05-11-2010 12:03 AM;Chi;6.340913298E+17;661
2010-08-17T00:01:00.0000000;Gamma;634,176,000,600,000,000.00000000;334
2019-08-23T00:02:00.0000000;Phi;637,021,153,200,000,000.00000000;953
2013-07-21 00:02:00;Kappa;635099617200000000;290
09-11-2016 12:03 AM;Mu;6.360914898E+17;356
2017-01-13 00:02:00;Iota;6.36199E+017;593
2012-11-10 00:01:00;Mu;634881024600000000;540
04-11-2012 12:03 AM;Upsilon;6.346969938E+17;200
2019-10-22 00:01:00;Eta;637072992600000000;568
2016-06-08 00:03:00;Lambda;6.36009E+017;775
06-02-2014 12:01 AM;Delta;6.353726406E+17;93
2011-01-27 00:03:00;Sigma;634316833800000000;894
2018-03-05 00:03:00;Psi;6.36558E+017;570
2017-11-24 00:02:00;Phi;636470785200000000;637
2017-02-13 00:02:00;Epsilon;636225409200000000;867
06-26-2012 12:03 AM;Alpha;6.347626578E+17;229
2011-02-11T00:03:00.0000000;Alpha;634,329,793,800,000,000.00000000;39
2014-03-12 00:03:00;Pi;635301793800000000;443
01-23-2014 12:03 AM;Theta;6.352603218E+17;159
10-02-2010 12:04 AM;Theta;6.342157464E+17;416
2018-05-12T00:01:00.0000000;Pi;636,616,800,600,000,000.00000000;872
11-19-2011 12:02 AM;Omicron;6.345725772E+17;296
2015-03-30 00:02:00;Phi;635632705200000000;145
2016-08-01 00:02:00;Upsilon;6.36056E+017;551
12-09-2017 12:02 AM;Pi;6.364837452E+17;363
07-12-2013 12:02 AM;Chi;6.350918412E+17;23
06-25-2019 12:01 AM;Xi;6.369701766E+17;558
10-09-2019 12:02 AM;Tau;6.370617612E+17;187
06-15-2016 12:02 AM;Omicron;6.360154572E+17;237
12-13-2016 12:02 AM;Omicron;6.361718412E+17;240
2017-12-01 00:02:00;Theta;636476833200000000;332
12-22-2019 12:01 AM;Omicron;6.371256966E+17;321
2011-11-06 00:03:00;Nu;634561345800000000;907
11-25-2016 12:03 AM;Kappa;6.361562898E+17;158
2012-10-10 00:01:00;Upsilon;6.34854E+017;349
06-22-2013 12:05 AM;Phi;6.35074563E+17;304
01-09-2019 12:02 AM;Phi;6.368258892E+17;447
08-06-2010 12:04 AM;Omega;6.341664984E+17;13
2010-01-28T00:03:00.0000000;Xi;634,002,337,800,000,000.00000000;180
2016-01-29T00:02:00.0000000;Iota;635,896,225,200,000,000.00000000;231
2011-03-07 00:03:00;Sigma;6.34351E+017;630
2016-01-10T00:02:00.0000000;Epsilon;635,879,809,200,000,000.00000000;422
2011-11-30 00:03:00;Kappa;634582081800000000;382
03-14-2016 12:02 AM;Beta;6.359351052E+17;903
2012-12-14T00:02:00.0000000;Omicron;634,910,401,200,000,000.00000000;219
2019-10-14 00:02:00;Upsilon;637066081200000000;151
10-31-2017 12:02 AM;Alpha;6.364500492E+17;934
2017-08-27 00:03:00;Alpha;636393889800000000;165
2019-08-11 00:01:00;Xi;637010784600000000;226
09-10-2010 12:02 AM;Omicron;6.341967372E+17;537
2012-09-29 00:02:00;Chi;634844737200000000;821
2017-05-09 00:03:00;Omega;636298849800000000;487
2019-11-10 00:02:00;Chi;6.37089E+017;827
2017-08-10T00:03:00.0000000;Upsilon;636,379,201,800,000,000.00000000;413
2014-09-29 00:02:00;Upsilon;635475457200000000;353
2012-07-06 00:03:00;Beta;634771297800000000;944
2014-05-09 00:03:00;Omicron;6.35352E+017;873
2010-04-15 00:02:00;Lambda;6.34069E+017;764
2011-08-16 00:03:00;Gamma;634490497800000000;802
2018-08-29 00:02:00;Omicron;636710977200000000;18
12-07-2011 12:02 AM;Tau;6.345881292E+17;653
01-02-2011 12:02 AM;Phi;6.342952332E+17;498
2015-12-23T00:03:00.0000000;Upsilon;635,864,257,800,000,000.00000000;265
2017-04-05 00:02:00;Theta;636269473200000000;674
2015-12-10 00:03:00;Omega;6.35853E+017;66
2014-01-13T00:04:00.0000000;Omicron;635,251,682,400,000,000.00000000;637
04-20-2016 12:04 AM;Omega;6.359670744E+17;250
11-04-2011 12:03 AM;Nu;6.345596178E+17;406
2011-02-17 00:03:00;Alpha;6.34335E+017;679
2018-02-05 00:03:00;Upsilon;636533857800000000;52
2010-01-11T00:01:00.0000000;Omicron;633,987,648,600,000,000.00000000;910
2019-12-09T00:05:00.0000000;Upsilon;637,114,467,000,000,000.00000000;20
2015-12-01T00:05:00.0000000;Omega;635,845,251,000,000,000.00000000;310
2016-12-23 00:02:00;Sigma;636180481200000000;277
2013-09-13 00:03:00;Upsilon;635146273800000000;365
2013-09-29 00:06:00;Nu;635160099600000000;72
09-10-2011 12:02 AM;Beta;6.345120972E+17;370
2013-06-28 00:02:00;Lambda;635079745200000000;497
2013-05-31 00:04:00;Epsilon;6.35056E+017;275
2010-10-31 00:02:00;Rho;634240801200000000;126
2011-05-11 00:02:00;Phi;634406689200000000;471
05-18-2012 12:05 AM;Omega;6.34728963E+17;911
11-28-2014 12:03 AM;Epsilon;6.355272978E+17;491
10-09-2012 12:03 AM;Xi;6.348533778E+17;142
