TM;Category;unknown;Quantity
11-18-2018 12:01 AM;Epsilon;6.367809606E+17;734
2018-08-29 00:01:00;Theta;636710976600000000;755
2019-04-01T00:01:00.0000000;Chi;636,896,736,600,000,000.00000000;646
2014-03-16 00:01:00;Nu;635305248600000000;949
02-01-2017 12:02 AM;Pi;6.362150412E+17;610
02-20-2019 12:01 AM;Theta;6.368621766E+17;512
06-30-2016 12:01 AM;Chi;6.360284166E+17;819
03-28-2018 12:01 AM;Kappa;6.365779206E+17;792
2010-01-07 00:01:00;Omicron;633984192600000000;603
06-10-2018 12:01 AM;Delta;6.366418566E+17;864
2019-11-28 00:01:00;Beta;6.37105E+017;751
2014-02-28 00:01:00;Omicron;6.35291E+017;373
2019-12-07 00:01:00;Theta;637112736600000000;291
2017-05-28 00:01:00;Tau;636315264600000000;918
04-11-2014 12:01 AM;Lambda;6.353277126E+17;532
2014-02-10 00:01:00;Gamma;6.35276E+017;833
2013-11-21T00:02:00.0000000;Upsilon;635,205,889,200,000,000.00000000;882
2012-01-12 00:01:00;Zeta;6.34619E+017;388
07-07-2014 12:01 AM;Psi;6.354028806E+17;374
2012-07-28 00:01:00;Epsilon;6.34790E+017;758
2016-04-30 00:02:00;Nu;635975713200000000;781
10-31-2013 12:01 AM;Omega;6.351877446E+17;390
2018-08-16 00:01:00;Gamma;6.36700E+017;238
2010-02-05 00:01:00;Nu;6.34009E+017;426
2011-12-06 00:01:00;Upsilon;6.34587E+017;972
2012-08-29 00:01:00;Nu;634817952600000000;239
2017-08-11T00:01:00.0000000;Epsilon;636,380,064,600,000,000.00000000;576
2017-09-23 00:02:00;Chi;6.36417E+017;531
2016-06-06 00:02:00;Iota;636007681200000000;952
2013-03-21 00:01:00;Beta;6.34994E+017;346
2015-05-22 00:01:00;Epsilon;635678496600000000;12
02-25-2010 12:01 AM;Nu;6.340265286E+17;941
2013-08-31 00:01:00;Mu;6.35135E+017;254
01-16-2018 12:01 AM;Phi;6.365165766E+17;567
2017-11-27T00:02:00.0000000;Kappa;636,473,377,200,000,000.00000000;133
2017-03-08 00:01:00;Tau;6.36245E+017;669
2016-03-26 00:01:00;Alpha;635945472600000000;503
08-09-2010 12:01 AM;Xi;6.341690886E+17;561
2010-04-28T00:01:00.0000000;Beta;634,080,096,600,000,000.00000000;453
2016-08-14T00:01:00.0000000;Eta;636,067,296,600,000,000.00000000;754
2019-04-06 00:02:00;Beta;6.36901E+017;945
07-12-2013 12:02 AM;Tau;6.350918412E+17;612
2016-10-12 00:01:00;Omicron;636118272600000000;891
02-10-2016 12:02 AM;Tau;6.359065932E+17;375
2013-02-22 00:02:00;Sigma;634970881200000000;70
2013-01-01T00:02:00.0000000;Epsilon;634,925,953,200,000,000.00000000;710
2016-06-01 00:01:00;Zeta;636003360600000000;748
2016-05-23 00:01:00;Eta;6.35996E+017;983
06-22-2014 12:01 AM;Eta;6.353899206E+17;838
2015-07-31T00:02:00.0000000;Upsilon;635,738,977,200,000,000.00000000;159
2011-07-06 00:01:00;Lambda;634455072600000000;424
2017-10-02 00:02:00;Beta;636424993200000000;909
01-30-2019 12:01 AM;Delta;6.368440326E+17;766
11-30-2015 12:01 AM;Alpha;6.358443846E+17;907
2012-11-23 00:02:00;Gamma;634892257200000000;464
2016-08-17 00:01:00;Omicron;636069888600000000;604
2016-09-01T00:02:00.0000000;Tau;636,082,849,200,000,000.00000000;920
05-01-2012 12:01 AM;Psi;6.347142726E+17;154
11-24-2016 12:01 AM;Beta;6.361554246E+17;513
11-05-2017 12:01 AM;Mu;6.364543686E+17;921
2018-11-14 00:02:00;Phi;6.36778E+017;51
2011-08-31T00:03:00.0000000;Beta;634,503,457,800,000,000.00000000;85
2017-01-24T00:01:00.0000000;Tau;636,208,128,600,000,000.00000000;385
2017-02-17 00:01:00;Nu;6.36229E+017;747
2012-11-24 00:01:00;Phi;634893120600000000;87
2010-09-01 00:01:00;Theta;634188960600000000;708
2018-01-05T00:01:00.0000000;Beta;636,507,072,600,000,000.00000000;94
2012-05-09 00:01:00;Beta;634721184600000000;783
2014-03-08 00:01:00;Upsilon;635298336600000000;36
05-08-2011 12:03 AM;Tau;6.344040978E+17;53
2018-01-08 00:01:00;Phi;636509664600000000;959
2011-04-06T00:03:00.0000000;Mu;634,376,449,800,000,000.00000000;540
2012-02-16 00:02:00;Theta;6.34649E+017;879
2018-08-26T00:04:00.0000000;Omega;636,708,386,400,000,000.00000000;139
09-28-2017 12:01 AM;Rho;6.364215366E+17;891
11-03-2011 12:01 AM;Xi;6.345587526E+17;704
2019-06-18 00:01:00;Theta;6.36964E+017;546
10-04-2010 12:01 AM;Delta;6.342174726E+17;590
2014-08-24 00:01:00;Omicron;635444352600000000;873
07-29-2018 12:02 AM;Lambda;6.366841932E+17;588
2014-08-22T00:02:00.0000000;Mu;635,442,625,200,000,000.00000000;357
2014-02-20T00:02:00.0000000;Alpha;635,284,513,200,000,000.00000000;893
2018-12-21 00:01:00;Beta;6.36809E+017;336
2013-12-28T00:01:00.0000000;Omicron;635,237,856,600,000,000.00000000;55
01-10-2018 12:03 AM;Upsilon;6.365113938E+17;719
10-17-2010 12:02 AM;Tau;6.342287052E+17;160
2014-07-17T00:02:00.0000000;Pi;635,411,521,200,000,000.00000000;716
2016-06-24 00:03:00;Zeta;636023233800000000;750
06-02-2013 12:02 AM;Sigma;6.350572812E+17;770
2013-07-06 00:01:00;Psi;6.35087E+017;337
2018-01-19T00:03:00.0000000;Eta;636,519,169,800,000,000.00000000;84
2019-11-21 00:01:00;Chi;637098912600000000;19
2010-08-14 00:01:00;Iota;634173408600000000;933
2013-05-28 00:01:00;Theta;635052960600000000;622
2015-02-23 00:01:00;Zeta;635602464600000000;280
2010-12-16 00:02:00;Theta;634280545200000000;922
2012-06-04 00:02:00;Nu;6.34744E+017;209
2018-01-11 00:01:00;Rho;6.36512E+017;456
2013-11-10 00:02:00;Pi;6.35196E+017;722
2010-01-18 00:01:00;Zeta;6.33994E+017;305
2010-09-24 00:01:00;Upsilon;634208832600000000;833
2011-10-03 00:02:00;Delta;634531969200000000;512
2018-06-12 00:01:00;Lambda;636643584600000000;870
04-02-2017 12:02 AM;Lambda;6.362668812E+17;799
09-26-2018 12:01 AM;Tau;6.367351686E+17;105
01-31-2013 12:02 AM;Xi;6.349518732E+17;622
2017-07-12 00:01:00;Upsilon;6.36354E+017;260
2017-10-02 00:01:00;Phi;636424992600000000;998
2019-02-26 00:02:00;Tau;636867361200000000;228
2019-09-14 00:01:00;Eta;637040160600000000;310
2014-06-05 00:03:00;Iota;635375233800000000;578
2019-11-01 00:03:00;Alpha;637081633800000000;943
2016-11-19 00:02:00;Tau;6.36151E+017;532
2010-11-10 00:03:00;Delta;634249441800000000;559
02-03-2011 12:03 AM;Beta;6.343228818E+17;912
2015-06-14 00:02:00;Alpha;6.35698E+017;929
2017-06-02 00:02:00;Gamma;636319585200000000;981
02-22-2017 12:02 AM;Nu;6.362331852E+17;308
02-17-2018 12:01 AM;Nu;6.365442246E+17;950
09-13-2015 12:02 AM;Upsilon;6.357769932E+17;300
10-16-2017 12:02 AM;Tau;6.364370892E+17;475
2015-03-12 00:02:00;Theta;635617153200000000;891
2011-03-10 00:01:00;Psi;6.34353E+017;370
05-28-2015 12:03 AM;Tau;6.356836818E+17;197
08-31-2015 12:02 AM;Kappa;6.357657612E+17;782
2014-12-13 00:01:00;Mu;6.35540E+017;41
2012-02-10T00:02:00.0000000;Lambda;634,644,289,200,000,000.00000000;479
2018-10-21T00:01:00.0000000;Theta;636,756,768,600,000,000.00000000;203
2018-09-21 00:02:00;Tau;6.36731E+017;918
09-29-2011 12:01 AM;Gamma;6.345285126E+17;662
09-17-2014 12:03 AM;Iota;6.354650898E+17;794
2013-07-25 00:03:00;Mu;6.35103E+017;6
2019-10-15 00:01:00;Xi;637066944600000000;844
2014-10-13T00:03:00.0000000;Chi;635,487,553,800,000,000.00000000;689
2015-05-21 00:03:00;Kappa;635677633800000000;165
2017-01-27 00:02:00;Pi;636210721200000000;598
12-21-2018 12:03 AM;Rho;6.368094738E+17;304
10-26-2013 12:02 AM;Kappa;6.351834252E+17;208
10-29-2019 12:02 AM;Epsilon;6.370790412E+17;991
2010-03-09 00:02:00;Rho;634036897200000000;303
2013-08-25T00:01:00.0000000;Lambda;635,129,856,600,000,000.00000000;780
12-19-2013 12:03 AM;Epsilon;6.352300818E+17;115
12-21-2014 12:01 AM;Delta;6.355471686E+17;216
01-02-2017 12:01 AM;Delta;6.361891206E+17;574
2019-11-24 00:02:00;Eta;637101505200000000;468
09-30-2011 12:03 AM;Lambda;6.345293778E+17;241
2019-03-14T00:02:00.0000000;Sigma;636,881,185,200,000,000.00000000;931
2011-07-05 00:01:00;Theta;634454208600000000;547
2010-12-02 00:05:00;Gamma;634268451000000000;852
07-12-2013 12:02 AM;Lambda;6.350918412E+17;136
05-04-2011 12:04 AM;Theta;6.344006424E+17;794
2014-08-05 00:02:00;Xi;635427937200000000;171
06-02-2014 12:02 AM;Mu;6.353726412E+17;172
2018-11-30 00:01:00;Omicron;636791328600000000;713
12-22-2018 12:03 AM;Beta;6.368103378E+17;711
10-26-2019 12:03 AM;Mu;6.370764498E+17;396
05-14-2015 12:03 AM;Theta;6.356715858E+17;140
2012-05-06 00:02:00;Sigma;634718593200000000;549
11-25-2016 12:02 AM;Sigma;6.361562892E+17;187
2016-01-08T00:04:00.0000000;Omega;635,878,082,400,000,000.00000000;969
2010-09-19T00:02:00.0000000;Xi;634,204,513,200,000,000.00000000;316
2015-11-01 00:03:00;Epsilon;635819329800000000;949
09-13-2010 12:02 AM;Sigma;6.341993292E+17;567
11-20-2011 12:02 AM;Delta;6.345734412E+17;188
2014-09-04 00:02:00;Tau;635453857200000000;228
2011-07-08T00:02:00.0000000;Theta;634,456,801,200,000,000.00000000;794
2018-02-25T00:03:00.0000000;Pi;636,551,137,800,000,000.00000000;559
2010-04-14 00:02:00;Iota;634068001200000000;798
02-19-2019 12:01 AM;Rho;6.368613126E+17;928
2017-12-04 00:03:00;Nu;6.36479E+017;838
2011-12-15T00:03:00.0000000;Mu;634,595,041,800,000,000.00000000;411
09-10-2017 12:01 AM;Xi;6.364059846E+17;80
12-13-2016 12:02 AM;Nu;6.361718412E+17;947
2018-11-25T00:03:00.0000000;Omicron;636,787,009,800,000,000.00000000;136
2014-06-06 00:03:00;Omicron;635376097800000000;939
2018-08-05 00:02:00;Nu;636690241200000000;393
09-23-2019 12:03 AM;Omega;6.370479378E+17;863
10-11-2017 12:05 AM;Lambda;6.36432771E+17;669
2010-09-18 00:02:00;Chi;634203649200000000;918
2019-08-09 00:01:00;Kappa;637009056600000000;848
2017-09-22 00:02:00;Beta;6.36416E+017;248
01-12-2019 12:01 AM;Xi;6.368284806E+17;461
08-06-2011 12:02 AM;Phi;6.344818572E+17;452
11-17-2018 12:02 AM;Lambda;6.367800972E+17;206
01-29-2013 12:01 AM;Psi;6.349501446E+17;54
02-24-2010 12:02 AM;Lambda;6.340256652E+17;252
06-22-2018 12:03 AM;Pi;6.366522258E+17;918
09-24-2012 12:01 AM;Iota;6.348404166E+17;835
2015-07-31T00:03:00.0000000;Xi;635,738,977,800,000,000.00000000;346
2012-09-30 00:01:00;Sigma;634845600600000000;894
2010-10-06 00:02:00;Mu;634219201200000000;339
2012-02-10T00:02:00.0000000;Theta;634,644,289,200,000,000.00000000;822
12-08-2017 12:03 AM;Epsilon;6.364828818E+17;72
2013-04-22 00:02:00;Pi;635021857200000000;624
2010-05-03 00:03:00;Epsilon;6.34084E+017;634
2010-07-10T00:03:00.0000000;Theta;634,143,169,800,000,000.00000000;597
2013-10-23 00:03:00;Epsilon;6.35181E+017;449
05-11-2014 12:03 AM;Iota;6.353536338E+17;333
2014-08-18 00:02:00;Gamma;635439169200000000;651
2016-01-28T00:03:00.0000000;Omega;635,895,361,800,000,000.00000000;719
11-15-2018 12:03 AM;Zeta;6.367783698E+17;583
2018-08-31 00:05:00;Mu;6.36713E+017;997
2014-05-28 00:04:00;Zeta;6.35368E+017;803
2019-07-24 00:03:00;Chi;6.36995E+017;654
2012-03-02 00:02:00;Omega;634662433200000000;344
2017-11-13 00:01:00;Delta;636461280600000000;342
02-06-2011 12:02 AM;Psi;6.343254732E+17;446
2015-02-26 00:01:00;Delta;6.35605E+017;800
2016-11-19 00:03:00;Zeta;6.36151E+017;123
2014-01-31 00:03:00;Gamma;635267233800000000;21
2019-07-24 00:02:00;Lambda;6.36995E+017;353
02-28-2014 12:04 AM;Gamma;6.352914264E+17;524
2017-09-21 00:03:00;Mu;6.36415E+017;914
2011-09-05 00:03:00;Gamma;6.34508E+017;593
10-24-2014 12:03 AM;Lambda;6.354970578E+17;237
2014-03-14 00:02:00;Chi;635303521200000000;232
2015-11-01 00:05:00;Gamma;6.35819E+017;421
2016-02-22 00:02:00;Alpha;6.35917E+017;152
10-28-2018 12:02 AM;Mu;6.367628172E+17;150
2017-07-14 00:01:00;Beta;6.36356E+017;340
09-14-2010 12:02 AM;Eta;6.342001932E+17;896
2016-05-30 00:04:00;Beta;636001634400000000;245
2010-04-09T00:04:00.0000000;Upsilon;634,063,682,400,000,000.00000000;790
02-26-2015 12:04 AM;Alpha;6.356050584E+17;655
2010-02-16 00:03:00;Kappa;634018753800000000;711
2016-11-13T00:02:00.0000000;Alpha;636,145,921,200,000,000.00000000;953
2018-01-04T00:02:00.0000000;Omicron;636,506,209,200,000,000.00000000;8
2013-02-25T00:02:00.0000000;Omicron;634,973,473,200,000,000.00000000;807
2010-10-12 00:04:00;Lambda;6.34224E+017;176
2010-02-11 00:02:00;Chi;634014433200000000;647
2018-11-11 00:05:00;Epsilon;6.36775E+017;727
07-26-2014 12:05 AM;Omicron;6.35419299E+17;714
2011-07-11 00:01:00;Phi;634459392600000000;532
2014-12-30 00:04:00;Sigma;6.35555E+017;363
2011-01-08 00:04:00;Psi;634300418400000000;444
02-06-2011 12:02 AM;Phi;6.343254732E+17;584
11-28-2013 12:05 AM;Sigma;6.35211939E+17;627
09-26-2012 12:02 AM;Nu;6.348421452E+17;375
2015-10-18 00:02:00;Delta;6.35807E+017;793
2016-09-18T00:04:00.0000000;Iota;636,097,538,400,000,000.00000000;551
