TM;Category;unknown;Quantity
2011-02-15 00:01:00;Psi;634333248600000000;156
07-14-2012 12:01 AM;Kappa;6.347782086E+17;317
2011-07-06 00:01:00;Delta;634455072600000000;51
2010-05-17T00:01:00.0000000;Omega;634,096,512,600,000,000.00000000;444
08-18-2018 12:01 AM;Delta;6.367014726E+17;966
2015-07-30 00:01:00;Alpha;635738112600000000;106
2016-09-27 00:01:00;Phi;6.36105E+017;886
08-25-2017 12:01 AM;Beta;6.363921606E+17;660
2013-08-02 00:01:00;Sigma;635109984600000000;761
2013-11-09 00:01:00;Chi;635195520600000000;122
2015-09-13 00:01:00;Alpha;6.35777E+017;528
2012-12-10 00:01:00;Kappa;634906944600000000;674
2019-07-03 00:01:00;Alpha;636977088600000000;95
10-10-2014 12:01 AM;Theta;6.354849606E+17;683
2013-02-03 00:01:00;Nu;634954464600000000;395
2014-02-21T00:01:00.0000000;Phi;635,285,376,600,000,000.00000000;75
03-07-2019 12:01 AM;Mu;6.368751366E+17;182
2010-08-19 00:01:00;Omega;634177728600000000;534
2015-06-26T00:01:00.0000000;Nu;635,708,736,600,000,000.00000000;19
2017-03-18 00:01:00;Alpha;636253920600000000;931
2017-01-14 00:01:00;Omega;6.36199E+017;178
2017-02-11T00:01:00.0000000;Omicron;636,223,680,600,000,000.00000000;881
2011-10-10 00:01:00;Kappa;634538016600000000;22
2014-10-21 00:02:00;Nu;6.35494E+017;55
10-21-2016 12:01 AM;Upsilon;6.361260486E+17;310
2010-03-04T00:02:00.0000000;Eta;634,032,577,200,000,000.00000000;38
2012-10-26 00:01:00;Theta;6.34868E+017;310
2011-06-18 00:01:00;Sigma;634439520600000000;829
02-08-2011 12:01 AM;Iota;6.343272006E+17;579
2015-10-18 00:01:00;Mu;6.35807E+017;558
01-14-2012 12:01 AM;Omega;6.346209606E+17;748
02-11-2015 12:01 AM;Xi;6.355920966E+17;144
2012-04-21 00:01:00;Sigma;634705632600000000;682
2012-03-02 00:01:00;Epsilon;634662432600000000;289
2019-11-08 00:01:00;Omega;637087680600000000;750
05-06-2011 12:01 AM;Tau;6.344023686E+17;753
2010-01-13 00:01:00;Tau;633989376600000000;956
2015-10-11T00:01:00.0000000;Pi;635,801,184,600,000,000.00000000;400
2018-04-02 00:01:00;Omega;636582240600000000;36
04-18-2011 12:03 AM;Delta;6.343868178E+17;689
07-20-2010 12:01 AM;Gamma;6.341518086E+17;736
12-25-2012 12:03 AM;Beta;6.349199058E+17;745
2019-08-10 00:02:00;Eta;637009921200000000;391
2010-06-07 00:01:00;Pi;634114656600000000;250
2011-06-21T00:01:00.0000000;Alpha;634,442,112,600,000,000.00000000;490
08-25-2011 12:02 AM;Kappa;6.344982732E+17;996
10-25-2015 12:01 AM;Beta;6.358132806E+17;299
2017-10-24T00:02:00.0000000;Phi;636,444,001,200,000,000.00000000;50
2012-12-03 00:01:00;Upsilon;6.34901E+017;999
05-27-2011 12:01 AM;Omicron;6.344205126E+17;850
2013-11-05T00:01:00.0000000;Epsilon;635,192,064,600,000,000.00000000;166
2010-01-16 00:01:00;Mu;6.33992E+017;185
2014-08-23T00:01:00.0000000;Rho;635,443,488,600,000,000.00000000;886
2018-09-22 00:01:00;Chi;6.36732E+017;696
2013-11-11 00:01:00;Sigma;6.35197E+017;708
03-05-2019 12:01 AM;Omega;6.368734086E+17;636
05-04-2011 12:02 AM;Lambda;6.344006412E+17;560
2011-04-27T00:02:00.0000000;Phi;634,394,593,200,000,000.00000000;133
2013-12-11T00:02:00.0000000;Nu;635,223,169,200,000,000.00000000;618
12-12-2016 12:03 AM;Lambda;6.361709778E+17;803
2018-06-21 00:02:00;Chi;6.36651E+017;816
02-07-2016 12:02 AM;Omega;6.359040012E+17;297
07-09-2019 12:01 AM;Lambda;6.369822726E+17;105
2016-03-23T00:02:00.0000000;Sigma;635,942,881,200,000,000.00000000;978
2015-09-27 00:01:00;Omicron;635789088600000000;164
08-15-2013 12:01 AM;Iota;6.351212166E+17;229
01-19-2011 12:01 AM;Alpha;6.343099206E+17;974
2015-08-06 00:02:00;Alpha;6.35744E+017;34
