TM;Category;unknown;Quantity
2018-12-18 00:01:00;Omega;636806880600000000;212
2018-12-17 00:01:00;Pi;636806016600000000;346
2017-03-07 00:01:00;Kappa;6.36244E+017;831
04-15-2012 12:01 AM;Lambda;6.347004486E+17;129
01-24-2015 12:01 AM;Alpha;6.355765446E+17;114
09-26-2012 12:01 AM;Delta;6.348421446E+17;249
09-24-2013 12:02 AM;Pi;6.351557772E+17;643
2013-05-31 00:01:00;Rho;6.35056E+017;636
2017-06-07 00:01:00;Tau;6.36324E+017;516
2012-11-15 00:01:00;Eta;6.34885E+017;254
2019-06-16 00:01:00;Sigma;636962400600000000;898
2019-07-23 00:01:00;Eta;636994368600000000;698
09-06-2019 12:01 AM;Phi;6.370332486E+17;891
02-04-2017 12:01 AM;Chi;6.362176326E+17;669
08-08-2010 12:01 AM;Eta;6.341682246E+17;389
2018-11-30 00:01:00;Delta;636791328600000000;443
2019-01-07 00:01:00;Beta;6.36824E+017;860
10-25-2015 12:01 AM;Rho;6.358132806E+17;422
2016-06-24 00:01:00;Theta;636023232600000000;191
04-17-2012 12:01 AM;Omega;6.347021766E+17;226
2011-07-23 00:01:00;Iota;634469760600000000;32
2015-07-19 00:01:00;Chi;6.35729E+017;829
2013-08-13 00:01:00;Gamma;6.35119E+017;689
07-16-2017 12:02 AM;Omega;6.363576012E+17;452
03-26-2019 12:01 AM;Nu;6.368915526E+17;49
06-13-2016 12:01 AM;Epsilon;6.360137286E+17;165
2017-10-25 00:02:00;Lambda;636444865200000000;52
2014-05-10 00:01:00;Sigma;6.35353E+017;875
2012-06-03 00:01:00;Omega;6.34743E+017;452
2018-07-19 00:01:00;Beta;636675552600000000;433
2015-03-09T00:01:00.0000000;Epsilon;635,614,560,600,000,000.00000000;81
04-06-2015 12:01 AM;Gamma;6.356387526E+17;759
2018-05-11T00:01:00.0000000;Omicron;636,615,936,600,000,000.00000000;528
11-13-2014 12:01 AM;Zeta;6.355143366E+17;126
2015-08-21 00:01:00;Lambda;635757120600000000;781
2011-03-21T00:01:00.0000000;Sigma;634,362,624,600,000,000.00000000;371
04-15-2013 12:01 AM;Phi;6.350158086E+17;299
10-26-2019 12:02 AM;Eta;6.370764492E+17;406
2016-07-25 00:01:00;Pi;636050016600000000;926
02-11-2015 12:01 AM;Upsilon;6.355920966E+17;532
2017-01-27 00:02:00;Alpha;636210721200000000;781
2011-11-16 00:02:00;Upsilon;6.34570E+017;990
02-24-2017 12:02 AM;Psi;6.362349132E+17;681
10-14-2012 12:02 AM;Omicron;6.348576972E+17;406
12-27-2012 12:01 AM;Epsilon;6.349216326E+17;905
2017-09-18T00:02:00.0000000;Chi;636,412,897,200,000,000.00000000;467
2014-09-15 00:02:00;Omicron;6.35463E+017;190
2018-08-11 00:01:00;Iota;636695424600000000;339
09-15-2010 12:01 AM;Kappa;6.342010566E+17;668
08-09-2015 12:01 AM;Rho;6.357467526E+17;802
2011-11-12T00:02:00.0000000;Rho;634,566,529,200,000,000.00000000;255
2016-10-22 00:01:00;Theta;636126912600000000;411
2012-09-15 00:03:00;Lambda;634832641800000000;585
2017-11-15 00:02:00;Zeta;6.36463E+017;813
2019-12-29T00:01:00.0000000;Delta;637,131,744,600,000,000.00000000;37
2019-09-26 00:01:00;Gamma;637050528600000000;309
2015-09-29 00:01:00;Mu;6.35791E+017;412
2016-01-28T00:01:00.0000000;Upsilon;635,895,360,600,000,000.00000000;595
2013-08-27 00:01:00;Alpha;635131584600000000;857
12-24-2012 12:01 AM;Mu;6.349190406E+17;557
02-19-2017 12:02 AM;Sigma;6.362305932E+17;639
2013-10-06 00:01:00;Omega;6.35166E+017;342
2013-06-11 00:01:00;Phi;635065056600000000;686
2014-06-27T00:02:00.0000000;Tau;635,394,241,200,000,000.00000000;214
2017-11-12 00:02:00;Epsilon;636460417200000000;923
02-24-2016 12:01 AM;Mu;6.359186886E+17;327
04-15-2013 12:01 AM;Xi;6.350158086E+17;529
01-27-2015 12:01 AM;Eta;6.355791366E+17;806
2018-07-27 00:01:00;Eta;6.36682E+017;515
2014-12-13 00:02:00;Delta;6.35540E+017;278
2017-05-12T00:02:00.0000000;Gamma;636,301,441,200,000,000.00000000;426
07-17-2017 12:04 AM;Nu;6.363584664E+17;796
11-01-2017 12:02 AM;Alpha;6.364509132E+17;629
2012-12-12 00:01:00;Tau;634908672600000000;809
2012-06-23 00:01:00;Kappa;6.34760E+017;264
11-26-2010 12:01 AM;Lambda;6.342632646E+17;545
2014-05-08 00:02:00;Zeta;635351041200000000;315
04-13-2012 12:01 AM;Zeta;6.346987206E+17;80
07-21-2016 12:02 AM;Omicron;6.360465612E+17;297
10-02-2015 12:01 AM;Alpha;6.357934086E+17;527
2019-07-25 00:02:00;Mu;6.36996E+017;375
2012-06-21 00:03:00;Tau;6.34758E+017;928
03-25-2012 12:02 AM;Xi;6.346823052E+17;11
2019-11-23T00:02:00.0000000;Mu;637,100,641,200,000,000.00000000;268
2018-07-09 00:02:00;Zeta;6.36667E+017;79
2017-10-18 00:03:00;Tau;636438817800000000;533
08-10-2016 12:01 AM;Xi;6.360638406E+17;512
2015-11-06 00:01:00;Iota;6.35824E+017;188
2011-07-28 00:02:00;Gamma;634474081200000000;340
03-10-2018 12:03 AM;Psi;6.365623698E+17;202
2019-03-16T00:01:00.0000000;Phi;636,882,912,600,000,000.00000000;621
2017-06-26 00:01:00;Sigma;6.36340E+017;798
2010-08-22 00:02:00;Zeta;6.34180E+017;527
12-15-2015 12:02 AM;Beta;6.358573452E+17;164
2010-12-27 00:01:00;Pi;6.34290E+017;420
2011-07-30 00:02:00;Sigma;6.34476E+017;645
2016-06-08 00:01:00;Beta;636009408600000000;347
